Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
RMBS_122019P6,0:13.74,0:13.73,0:13.845,0.0,0:14.07,0:14.25,0:14.415,0:14.085:898522:0.0:0,0:13.91:341920:0.0:0,0:13.69:445842:0.0:0,0:13.89:518715:0.0:0,0:13.88:558981:0.0:0,0:13.51:590139:0.0:0,0:13.82:660699:0.0:0,0:13.605:374715:0.0:0,0:13.25:552617:0.0:0,0:13.2:444929:0.0:0,[0:13.18:406655:0.0:0
RMBS_122019P7,0:13.74,0:13.73,0:13.845,0.0,0:14.07,0:14.25,0:14.415,0:14.085:898522:0.0:0,0:13.91:341920:0.0:0,0:13.69:445842:0.0:0,0:13.89:518715:0.0:0,0:13.88:558981:0.0:0,0:13.51:590139:0.0:0,0:13.82:660699:0.0:0,0:13.605:374715:0.0:0,0:13.25:552617:0.0:0,0:13.2:444929:0.0:0,[0:13.18:406655:0.0:0
RMBS_122019P8,0:13.74,0:13.73,0:13.845,0.0,0:14.07,0:14.25,0:14.415,0:14.085:898522:0.0:0,0:13.91:341920:0.0:0,0:13.69:445842:0.0:0,0:13.89:518715:0.0:0,0:13.88:558981:0.0:0,0:13.51:590139:0.0:0,0:13.82:660699:0.0:0,0:13.605:374715:0.0:0,0:13.25:552617:0.0:0,0:13.2:444929:0.0:0,[0:13.18:406655:0.0:0
RMBS_122019P9,0:13.74,0:13.73,0:13.845,0.0,0:14.07,0:14.25,0:14.415,0:14.085:898522:0.0:0,0:13.91:341920:0.0:0,0:13.69:445842:0.0:0,0:13.89:518715:0.0:0,0:13.88:558981:0.0:0,0:13.51:590139:0.0:0,0:13.82:660699:0.0:0,0:13.605:374715:0.0:0,0:13.25:552617:0.0:0,0:13.2:444929:0.0:0,[0:13.18:406655:0.0:0
RMBS_122019P10,0:13.74,0:13.73,0:13.845,0.0,0:14.07,0:14.25,0:14.415,0:14.085:898522:0.0:0,0:13.91:341920:0.0:0,0:13.69:445842:0.0:0,0:13.89:518715:0.0:0,0:13.88:558981:0.0:0,0:13.51:590139:0.0:0,0:13.82:660699:0.0:0,0:13.605:374715:0.0:0,0:13.25:552617:0.0:0,0:13.2:444929:0.0:0,[0:13.18:406655:0.0:0
RMBS_122019P11,0:13.74,0:13.73,0:13.845,0.0,0:14.07,0:14.25,0:14.415,0:14.085:898522:0.0:0,0:13.91:341920:0.0:0,0:13.69:445842:0.0:0,0:13.89:518715:0.0:0,0:13.88:558981:0.0:0,0:13.51:590139:0.0:0,0:13.82:660699:0.0:0,0:13.605:374715:0.0:0,0:13.25:552617:0.0:0,0:13.2:444929:0.0:0,[0:13.18:406655:0.0:0
RMBS_122019P12,0:13.74,0:13.73,0:13.845,0.0,0:14.07,0:14.25,0:14.415,0:14.085:898522:0.26:0,0:13.91:341920:0.26:0,0:13.69:445842:0.26:0,0:13.89:518715:0.26:0,0:13.88:558981:0.26:0,0:13.51:590139:0.26:0,0:13.82:660699:0.26:0,0:13.605:374715:0.03:4,4:13.25:552617:0.03:0,4:13.2:444929:0.03:0,[4:13.18:406655:0.03:0
RMBS_122019P13,0:13.74,0:13.73,0:13.845,0.0,0:14.07,5:14.25,10:14.415,10:14.085:898522:0.1:0,10:13.91:341920:0.1:0,10:13.69:445842:0.1:0,10:13.89:518715:0.1:0,10:13.88:558981:0.17:1,11:13.51:590139:0.17:0,11:13.82:660699:0.17:0,11:13.605:374715:0.18:1,20:13.25:552617:0.3:1,21:13.2:444929:0.36:1,[20:13.18:406655:0.36:0
RMBS_122019P14,0:13.74,0:13.73,0:13.845,0.0,0:14.07,15:14.25,15:14.415,31:14.085:898522:0.38:4,35:13.91:341920:0.51:16,19:13.69:445842:0.51:0,19:13.89:518715:0.53:10,12:13.88:558981:0.53:0,12:13.51:590139:0.72:4,13:13.82:660699:0.72:0,13:13.605:374715:0.65:50,55:13.25:552617:0.65:0,55:13.2:444929:1.01:5,[54:13.18:406655:1.01:0
RMBS_122019P15,0:13.74,0:13.73,0:13.845,0.0,0:14.07,0:14.25,0:14.415,0:14.085:898522:1.19:5,5:13.91:341920:1.19:0,5:13.69:445842:1.19:0,5:13.89:518715:1.24:5,5:13.88:558981:1.24:0,5:13.51:590139:1.24:0,5:13.82:660699:1.24:0,5:13.605:374715:1.24:0,5:13.25:552617:1.24:0,5:13.2:444929:1.24:0,[5:13.18:406655:1.24:0
