Symbol,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
RMD_122019C95,2:143.88:236659:48.5:0,2:144.15:325334:48.5:0,2:145.28:340241:48.5:0,2:145.42:314205:48.5:0,2:147.1:548054:48.5:0,U:147.78:451805:.:,2:149.59:369393:48.5:0,2:146.34:697382:48.5:0,2:145.25:588435:48.5:0
RMD_122019C100,1:143.88:236659:30.9:0,1:144.15:325334:30.9:0,1:145.28:340241:30.9:0,1:145.42:314205:30.9:0,1:147.1:548054:30.9:0,1:147.78:451805:30.9:0,1:149.59:369393:30.9:0,1:146.34:697382:30.9:0,[1:145.25:588435:30.9:0
RMD_122019C105,6:143.88:236659:38.6:0,6:144.15:325334:38.6:0,6:145.28:340241:38.6:0,6:145.42:314205:38.6:0,6:147.1:548054:38.6:0,6:147.78:451805:38.6:0,6:149.59:369393:38.6:0,6:146.34:697382:38.6:0,[6:145.25:588435:38.6:0
RMD_122019C110,27:143.88:236659:25.7:0,27:144.15:325334:25.7:0,27:145.28:340241:25.7:0,27:145.42:314205:25.7:0,27:147.1:548054:25.7:0,27:147.78:451805:25.7:0,27:149.59:369393:25.7:0,27:146.34:697382:25.7:0,[27:145.25:588435:25.7:0
RMD_122019C115,2:143.88:236659:33.02:0,2:144.15:325334:33.02:0,2:145.28:340241:33.02:0,2:145.42:314205:33.02:0,2:147.1:548054:32.9:2,2:147.78:451805:32.9:0,2:149.59:369393:32.9:0,2:146.34:697382:32.9:0,[2:145.25:588435:32.9:0
RMD_122019C120,23:143.88:236659:22.11:0,23:144.15:325334:22.11:0,23:145.28:340241:22.11:0,23:145.42:314205:22.11:0,23:147.1:548054:22.11:0,23:147.78:451805:22.11:0,23:149.59:369393:22.11:0,23:146.34:697382:22.11:0,[23:145.25:588435:25.5:1
RMD_122019C125,488:143.88:236659:19.15:0,488:144.15:325334:19.15:0,488:145.28:340241:19.15:0,488:145.42:314205:19.15:0,488:147.1:548054:19.15:0,488:147.78:451805:23.5:1,488:149.59:369393:23.5:0,488:146.34:697382:23.5:0,[488:145.25:588435:23.5:0
RMD_122019C130,96:143.88:236659:12.8:0,96:144.15:325334:12.8:0,96:145.28:340241:12.8:0,96:145.42:314205:12.8:0,96:147.1:548054:12.8:0,96:147.78:451805:12.8:0,96:149.59:369393:12.8:0,96:146.34:697382:12.8:0,[96:145.25:588435:12.8:0
RMD_122019C135,156:143.88:236659:10.3:0,156:144.15:325334:10.3:0,156:145.28:340241:10.3:0,156:145.42:314205:10.3:0,156:147.1:548054:12.5:3,158:147.78:451805:12.5:0,158:149.59:369393:14.88:4,154:146.34:697382:12.46:1,[154:145.25:588435:12.46:0
RMD_122019C140,71:143.88:236659:6.32:0,71:144.15:325334:7.2:6,70:145.28:340241:6.23:3,73:145.42:314205:7.37:1,73:147.1:548054:8.05:2,73:147.78:451805:8.05:0,73:149.59:369393:8.05:0,73:146.34:697382:8.05:0,[73:145.25:588435:6.86:2
RMD_122019C145,224:143.88:236659:3.2:17,215:144.15:325334:3.7:3,215:145.28:340241:3.59:45,228:145.42:314205:3.72:4,229:147.1:548054:4.5:3,229:147.78:451805:5.42:116,333:149.59:369393:6.52:1,333:146.34:697382:4.7:31,[324:145.25:588435:3.7:4
RMD_122019C150,332:143.88:236659:1.32:5,337:144.15:325334:1.35:14,338:145.28:340241:1.73:10,338:145.42:314205:1.73:0,338:147.1:548054:1.78:38,340:147.78:451805:2.55:17,357:149.59:369393:3.7:56,373:146.34:697382:2.05:32,[399:145.25:588435:1.4:6
RMD_122019C155,743:143.88:236659:0.5:2,743:144.15:325334:0.5:0,743:145.28:340241:0.5:0,743:145.42:314205:0.5:0,743:147.1:548054:0.7:85,676:147.78:451805:1.05:87,685:149.59:369393:1.4:52,657:146.34:697382:1.05:20,[657:145.25:588435:0.6:1
RMD_122019C160,100:143.88:236659:0.65:0,100:144.15:325334:0.65:0,100:145.28:340241:0.22:14,114:145.42:314205:0.22:0,114:147.1:548054:0.4:10,114:147.78:451805:0.4:0,114:149.59:369393:0.52:11,125:146.34:697382:0.52:0,[125:145.25:588435:0.52:0
RMD_122019C165,12:143.88:236659:0.45:0,12:144.15:325334:0.45:0,12:145.28:340241:0.45:0,12:145.42:314205:0.45:0,12:147.1:548054:0.45:0,12:147.78:451805:0.45:0,12:149.59:369393:0.45:0,12:146.34:697382:0.45:0,[12:145.25:588435:0.45:0
RMD_122019C170,0:143.88:236659:0.0:0,0:144.15:325334:0.0:0,0:145.28:340241:0.0:0,0:145.42:314205:0.0:0,0:147.1:548054:0.0:0,0:147.78:451805:0.0:0,0:149.59:369393:0.15:4,4:146.34:697382:0.15:0,[4:145.25:588435:0.15:0
RMD_122019C175,0:143.88:236659:0.0:0,0:144.15:325334:0.0:0,0:145.28:340241:0.0:0,0:145.42:314205:0.0:0,0:147.1:548054:0.0:0,0:147.78:451805:0.0:0,0:149.59:369393:0.0:0,0:146.34:697382:0.0:0,[0:145.25:588435:0.0:0
RMD_011720C100,U,U,U,6:145.42:314205:36.92:0,6:147.1:548054:36.92:0,6:147.78:451805:36.92:0,6:149.59:369393:36.92:0,6:146.34:697382:36.92:0,[6:145.25:588435:36.92:0
RMD_011720C105,U,U,U,0:145.42:314205:0.0:0,0:147.1:548054:0.0:0,0:147.78:451805:0.0:0,0:149.59:369393:0.0:0,0:146.34:697382:0.0:0,[0:145.25:588435:0.0:0
RMD_011720C110,U,U,U,1:145.42:314205:27.6:0,1:147.1:548054:27.6:0,1:147.78:451805:27.6:0,1:149.59:369393:27.6:0,1:146.34:697382:27.6:0,[1:145.25:588435:27.6:0
RMD_011720C115,U,U,U,7:145.42:314205:25.54:0,7:147.1:548054:25.54:0,7:147.78:451805:25.54:0,7:149.59:369393:25.54:0,7:146.34:697382:25.54:0,[7:145.25:588435:25.54:0
RMD_011720C120,U,U,U,46:145.42:314205:17.7:0,46:147.1:548054:17.7:0,46:147.78:451805:17.7:0,46:149.59:369393:17.7:0,46:146.34:697382:17.7:0,[46:145.25:588435:17.7:0
RMD_011720C125,U,U,U,291:145.42:314205:21.0:0,291:147.1:548054:21.0:0,291:147.78:451805:21.0:0,291:149.59:369393:21.0:0,291:146.34:697382:21.0:0,[291:145.25:588435:21.0:0
RMD_011720C130,U,U,U,29:145.42:314205:18.4:0,29:147.1:548054:18.4:0,29:147.78:451805:18.4:0,29:149.59:369393:18.4:0,29:146.34:697382:18.4:0,[29:145.25:588435:18.4:0
RMD_011720C135,U,U,U,31:145.42:314205:11.21:0,31:147.1:548054:11.21:0,31:147.78:451805:11.21:0,31:149.59:369393:11.21:0,31:146.34:697382:11.21:0,[31:145.25:588435:11.21:0
RMD_011720C140,U,U,U,119:145.42:314205:2.1:0,119:147.1:548054:2.1:0,119:147.78:451805:2.1:0,119:149.59:369393:2.1:0,119:146.34:697382:2.1:0,[119:145.25:588435:2.1:0
RMD_011720C145,U,U,U,108:145.42:314205:5.51:3,111:147.1:548054:5.85:7,118:147.78:451805:5.85:0,118:149.59:369393:5.85:0,118:146.34:697382:5.85:0,[118:145.25:588435:5.85:0
RMD_011720C150,U,U,U,187:145.42:314205:3.2:3,187:147.1:548054:3.2:0,187:147.78:451805:3.2:0,187:149.59:369393:4.71:2,188:146.34:697382:3.8:2,[187:145.25:588435:3.8:0
RMD_011720C155,U,U,U,34:145.42:314205:1.75:8,34:147.1:548054:1.75:0,34:147.78:451805:1.75:0,59:149.59:369393:3.1:1,59:146.34:697382:1.83:30,[89:145.25:588435:1.83:0
RMD_011720C160,U,U,U,42:145.42:314205:0.95:0,42:147.1:548054:0.95:0,42:147.78:451805:0.95:0,42:149.59:369393:1.46:22,39:146.34:697382:1.46:0,[39:145.25:588435:1.46:0
RMD_011720C165,U,U,U,10:145.42:314205:0.55:0,10:147.1:548054:0.55:0,10:147.78:451805:0.55:0,10:149.59:369393:0.6:0,10:146.34:697382:0.6:0,[10:145.25:588435:0.6:0
RMD_011720C170,U,U,U,20:145.42:314205:0.3:0,20:147.1:548054:0.3:0,20:147.78:451805:0.3:0,20:149.59:369393:0.4:10,10:146.34:697382:0.4:0,[10:145.25:588435:0.4:0
RMD_011720C175,U,U,U,12:145.42:314205:0.25:0,12:147.1:548054:0.25:0,12:147.78:451805:0.25:0,12:149.59:369393:0.25:0,12:146.34:697382:0.25:0,[12:145.25:588435:0.25:0
