Symbol,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
RMD_122019P95,122:143.88:236659:0.8:0,122:144.15:325334:0.8:0,122:145.28:340241:0.8:0,122:145.42:314205:0.8:0,122:147.1:548054:0.8:0,U:147.78:451805::,122:149.59:369393:0.8:0,122:146.34:697382:0.8:0,122:145.25:588435:0.8:0
RMD_122019P100,92:143.88:236659:0.45:0,92:144.15:325334:0.45:0,92:145.28:340241:0.45:0,92:145.42:314205:0.45:0,92:147.1:548054:0.45:0,U:147.78:451805::,92:149.59:369393:0.45:0,92:146.34:697382:0.45:0,[92:145.25:588435:0.45:0
RMD_122019P105,13:143.88:236659:0.1:0,13:144.15:325334:0.1:0,13:145.28:340241:0.1:0,13:145.42:314205:0.1:0,13:147.1:548054:0.1:0,13:147.78:451805:0.1:0,13:149.59:369393:0.1:0,13:146.34:697382:0.1:0,[13:145.25:588435:0.1:0
RMD_122019P110,40:143.88:236659:1.51:0,40:144.15:325334:1.51:0,40:145.28:340241:1.51:0,40:145.42:314205:1.51:0,40:147.1:548054:1.51:0,U:147.78:451805::,40:149.59:369393:1.51:0,40:146.34:697382:1.51:0,[40:145.25:588435:1.51:0
RMD_122019P115,53:143.88:236659:0.13:0,53:144.15:325334:0.13:0,53:145.28:340241:0.13:0,53:145.42:314205:0.13:0,53:147.1:548054:0.13:0,U:147.78:451805::,53:149.59:369393:0.13:0,53:146.34:697382:0.13:0,[53:145.25:588435:0.13:0
RMD_122019P120,155:143.88:236659:0.32:0,155:144.15:325334:0.32:0,155:145.28:340241:0.32:0,155:145.42:314205:0.32:0,155:147.1:548054:0.32:0,U:147.78:451805:.::147.78:451805::,155:149.59:369393:0.32:0,155:146.34:697382:0.32:0,[155:145.25:588435:0.32:0
RMD_122019P125,327:143.88:236659:0.5:0,327:144.15:325334:0.5:0,327:145.28:340241:0.25:1,327:145.42:314205:0.25:0,327:147.1:548054:0.25:0,U:147.78:451805::,327:149.59:369393:0.15:11,327:146.34:697382:0.15:0,[327:145.25:588435:0.15:0
RMD_122019P130,3:143.88:236659:0.55:3,5:144.15:325334:0.47:1,6:145.28:340241:0.47:0,6:145.42:314205:0.47:0,6:147.1:548054:0.47:0,U:147.78:451805::,5:149.59:369393:0.27:0,5:146.34:697382:0.33:100,[105:145.25:588435:0.33:0
RMD_122019P135,91:143.88:236659:1.33:0,91:144.15:325334:0.85:2,92:145.28:340241:0.85:0,92:145.42:314205:0.85:0,92:147.1:548054:0.65:2,U:147.78:451805::,89:149.59:369393:0.45:0,89:146.34:697382:0.45:0,[89:145.25:588435:0.68:1
RMD_122019P140,22:143.88:236659:2.16:2,24:144.15:325334:2.16:0,24:145.28:340241:2.16:0,24:145.42:314205:1.6:5,29:147.1:548054:1.25:151,U:147.78:451805::,178:149.59:369393:0.73:2,176:146.34:697382:0.73:0,[176:145.25:588435:0.73:0
