Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
RNG_122019C110,83:158.99,83:157.87,83:163.73,83:161.52,83.0,83:157.65,83:161.96,83:167.03,83:169.39:880132:65.0:0,83:169.83:1240119:65.0:0,83:170.21:953040:65.0:0,83:172.71:1194359:65.0:0,83:168.02:1718157:65.0:0,83:169.82:859713:65.0:0,83:170.19:745347:65.0:0,83:170.0:978022:65.0:0,83:171.41:903474:65.0:1,82:169.75:705538:65.0:0,82:168.88:749746:65.0:0
RNG_122019C115,373:158.99,373:157.87,373:163.73,373:161.52,373.0,373:157.65,373:161.96,373:167.03,373:169.39:880132:56.02:0,373:169.83:1240119:56.02:0,373:170.21:953040:56.02:0,373:172.71:1194359:56.02:0,373:168.02:1718157:56.02:0,373:169.82:859713:56.02:0,373:170.19:745347:56.02:0,373:170.0:978022:56.02:0,373:171.41:903474:56.02:0,373:169.75:705538:56.02:0,373:168.88:749746:56.02:0
RNG_122019C120,414:158.99,414:157.87,414:163.73,414:161.52,414.0,419:157.65,419:161.96,419:167.03,419:169.39:880132:40.7:0,419:169.83:1240119:40.7:0,419:170.21:953040:49.48:1,418:172.71:1194359:49.48:0,418:168.02:1718157:49.5:4,418:169.82:859713:49.5:0,418:170.19:745347:49.5:0,418:170.0:978022:49.5:0,418:171.41:903474:49.5:0,418:169.75:705538:49.5:0,[418:168.88:749746:49.5:0
RNG_122019C125,322:158.99,322:157.87,322:163.73,322:161.52,322.0,322:157.65,322:161.96,322:167.03,322:169.39:880132:45.1:0,322:169.83:1240119:45.1:0,322:170.21:953040:45.1:0,322:172.71:1194359:45.1:0,322:168.02:1718157:45.1:0,322:169.82:859713:45.1:0,322:170.19:745347:45.1:0,322:170.0:978022:45.1:0,322:171.41:903474:45.1:0,322:169.75:705538:45.1:0,[322:168.88:749746:45.1:0
RNG_122019C130,60:158.99,60:157.87,60:163.73,60:161.52,60.0,60:157.65,60:161.96,60:167.03,60:169.39:880132:32.0:0,60:169.83:1240119:32.0:0,60:170.21:953040:32.0:0,60:172.71:1194359:32.0:0,60:168.02:1718157:32.0:0,60:169.82:859713:32.0:0,60:170.19:745347:32.0:0,60:170.0:978022:32.0:0,80:171.41:903474:46.5:10,80:169.75:705538:46.5:0,[80:168.88:749746:46.5:0
RNG_122019C135,22:158.99,22:157.87,22:163.73,22:161.52,22.0,22:157.65,22:161.96,22:167.03,22:169.39:880132:36.85:0,22:169.83:1240119:36.85:0,22:170.21:953040:35.5:2,24:172.71:1194359:35.5:0,24:168.02:1718157:35.5:0,24:169.82:859713:35.5:0,24:170.19:745347:35.5:0,24:170.0:978022:35.5:0,24:171.41:903474:35.5:0,24:169.75:705538:35.5:0,[24:168.88:749746:35.5:0
RNG_122019C140,53:158.99,53:157.87,54:163.73,54:161.52,55.0,55:157.65,55:161.96,55:167.03,55:169.39:880132:27.62:0,55:169.83:1240119:27.62:0,55:170.21:953040:27.62:0,55:172.71:1194359:27.62:0,55:168.02:1718157:27.62:0,55:169.82:859713:27.62:0,55:170.19:745347:27.62:0,55:170.0:978022:27.62:0,55:171.41:903474:32.0:0,55:169.75:705538:31.89:3,[55:168.88:749746:31.89:0
RNG_122019C145,57:158.99,57:157.87,57:163.73,57:161.52,57.0,57:157.65,57:161.96,57:167.03,57:169.39:880132:13.5:0,57:169.83:1240119:13.5:0,57:170.21:953040:26.85:14,70:172.71:1194359:26.85:0,70:168.02:1718157:25.28:2,70:169.82:859713:25.28:0,70:170.19:745347:25.28:0,70:170.0:978022:25.28:0,70:171.41:903474:25.28:0,70:169.75:705538:25.28:0,[70:168.88:749746:25.28:0
RNG_122019C150,19:158.99,19:157.87,19:163.73,19:161.52,19.0,19:157.65,19:161.96,20:167.03,20:169.39:880132:17.9:0,20:169.83:1240119:17.9:0,20:170.21:953040:22.0:2,20:172.71:1194359:22.0:0,20:168.02:1718157:22.0:0,20:169.82:859713:22.0:0,20:170.19:745347:22.0:0,20:170.0:978022:22.0:0,20:171.41:903474:24.28:0,20:169.75:705538:24.28:0,[20:168.88:749746:24.28:0
RNG_122019C155,60:158.99,60:157.87,60:163.73,61:161.52,61.0,61:157.65,66:161.96,66:167.03,65:169.39:880132:17.0:0,65:169.83:1240119:17.0:0,65:170.21:953040:17.0:0,65:172.71:1194359:20.58:2,65:168.02:1718157:17.0:5,65:169.82:859713:17.0:0,65:170.19:745347:17.11:2,65:170.0:978022:17.11:0,65:171.41:903474:20.0:20,65:169.75:705538:16.24:8,[65:168.88:749746:16.24:0
