Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
RNG_122019P110,409:158.99,457:157.87,457:163.73,457:161.52,457.0,457:157.65,461:161.96,457:167.03,457:169.39:880132:0.27:0,457:169.83:1240119:0.27:0,457:170.21:953040:0.27:0,457:172.71:1194359:0.27:0,457:168.02:1718157:0.27:0,457:169.82:859713:0.27:0,457:170.19:745347:0.27:0,457:170.0:978022:0.27:0,457:171.41:903474:0.27:0,457:169.75:705538:0.27:0,457:168.88:749746:0.27:0
RNG_122019P115,235:158.99,242:157.87,242:163.73,242:161.52,242.0,243:157.65,245:161.96,245:167.03,246:169.39:880132:0.45:0,246:169.83:1240119:0.3:3,244:170.21:953040:0.38:9,253:172.71:1194359:0.38:0,253:168.02:1718157:0.44:9,253:169.82:859713:0.44:0,253:170.19:745347:0.44:0,253:170.0:978022:0.44:0,253:171.41:903474:0.1:1,253:169.75:705538:0.16:10,243:168.88:749746:0.16:0
RNG_122019P120,350:158.99,350:157.87,351:163.73,351:161.52,351.0,351:157.65,352:161.96,352:167.03,351:169.39:880132:0.55:0,351:169.83:1240119:0.4:1,350:170.21:953040:0.4:0,350:172.71:1194359:0.4:0,350:168.02:1718157:0.4:0,350:169.82:859713:0.4:0,350:170.19:745347:0.36:42,392:170.0:978022:0.36:0,392:171.41:903474:0.14:13,379:169.75:705538:0.15:29,[350:168.88:749746:0.15:0
RNG_122019P125,40:158.99,40:157.87,41:163.73,41:161.52,42.0,47:157.65,59:161.96,58:167.03,57:169.39:880132:0.51:2,56:169.83:1240119:0.55:5,58:170.21:953040:0.55:0,58:172.71:1194359:0.55:0,58:168.02:1718157:0.55:0,58:169.82:859713:0.55:0,58:170.19:745347:0.3:38,85:170.0:978022:0.3:0,85:171.41:903474:0.32:6,79:169.75:705538:0.38:22,[58:168.88:749746:0.38:0
RNG_122019P130,27:158.99,29:157.87,29:163.73,29:161.52,31.0,31:157.65,39:161.96,38:167.03,37:169.39:880132:0.81:1,38:169.83:1240119:0.81:0,38:170.21:953040:0.81:0,38:172.71:1194359:0.81:0,38:168.02:1718157:0.65:3,38:169.82:859713:0.66:1,38:170.19:745347:0.66:0,38:170.0:978022:0.39:1,38:171.41:903474:0.39:0,38:169.75:705538:0.39:0,[38:168.88:749746:0.39:0
RNG_122019P135,38:158.99,49:157.87,49:163.73,50:161.52,54.0,54:157.65,70:161.96,71:167.03,80:169.39:880132:1.02:5,80:169.83:1240119:1.0:1,80:170.21:953040:1.0:0,80:172.71:1194359:1.0:0,80:168.02:1718157:0.85:11,85:169.82:859713:0.74:6,80:170.19:745347:0.9:1,80:170.0:978022:0.5:1,79:171.41:903474:0.52:0,79:169.75:705538:0.52:0,[79:168.88:749746:0.45:1
RNG_122019P140,131:158.99,130:157.87,141:163.73,141:161.52,141.0,141:157.65,150:161.96,139:167.03,140:169.39:880132:1.6:30,135:169.83:1240119:1.35:8,135:170.21:953040:1.2:3,132:172.71:1194359:1.03:6,138:168.02:1718157:1.17:5,138:169.82:859713:1.31:1,138:170.19:745347:0.8:183,287:170.0:978022:0.7:6,283:171.41:903474:0.5:1,282:169.75:705538:0.63:13,[276:168.88:749746:0.53:1
RNG_122019P145,54:158.99,75:157.87,75:163.73,84:161.52,84.0,86:157.65,590:161.96,596:167.03,597:169.39:880132:2.2:13,607:169.83:1240119:1.9:18,603:170.21:953040:1.64:34,606:172.71:1194359:1.4:5,605:168.02:1718157:1.7:9,601:169.82:859713:1.8:2,601:170.19:745347:1.1:2,600:170.0:978022:1.11:1,600:171.41:903474:0.9:6,601:169.75:705538:1.08:15,[609:168.88:749746:0.85:20
RNG_122019P150,259:158.99,266:157.87,268:163.73,272:161.52,272.0,272:157.65,299:161.96,283:167.03,249:169.39:880132:2.77:11,260:169.83:1240119:2.55:2,260:170.21:953040:2.35:51,311:172.71:1194359:1.9:68,365:168.02:1718157:2.55:7,367:169.82:859713:2.2:5,365:170.19:745347:2.2:0,365:170.0:978022:1.55:11,387:171.41:903474:1.32:10,387:169.75:705538:1.32:0,[387:168.88:749746:1.32:0
RNG_122019P155,54:158.99,55:157.87,55:163.73,55:161.52,44.0,44:157.65,59:161.96,102:167.03,140:169.39:880132:4.0:3,142:169.83:1240119:3.6:17,146:170.21:953040:3.26:17,150:172.71:1194359:2.8:16,145:168.02:1718157:3.5:9,150:169.82:859713:3.1:1,151:170.19:745347:2.65:12,160:170.0:978022:2.3:7,180:171.41:903474:2.02:30,181:169.75:705538:2.08:8,[173:168.88:749746:2.17:2
