Symbol,20191023,20191024,20191025,20191028,20191029,20191030,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
ROKU_112219C119,7.0,7:131.22,23:133.74,7:146.88,7:147.24,7:149.741,7.0,7:140.51,8:139.57,8:141.05,8:118.46:52644159:6.25:184,76:121.94:19173380:6.7:43,80:129.21:20638338:11.8:54,81:135.35:24213386:17.4:24,73:142.37:20539499:21.45:8,67:148.7:26177439:29.0:5,66:157.3:26521332:38.91:2,65:160.12:27647305:44.18:3,62:158.93:25639047:39.85:6,U:155.91:21562539:U:U,62:158.75:14819880:36.29:1
ROKU_112219C120,73.0,71:131.22,232:133.74,71:146.88,67:147.24,165:149.65,170.0,171:140.51,172:139.57,172:141.05,465:118.46:52644159:5.56:668,658:121.94:19173380:6.35:272,653:129.21:20638338:11.0:274,605:135.35:24213386:16.2:76,592:142.37:20539499:22.44:107,645:148.7:26177439:30.0:102,592:157.3:26521332:37.95:11,586:160.12:27647305:40.0:72,563:158.93:25639047:37.85:105,555:155.91:21562539:37.7:41,560:158.75:14819880:37.73:14
ROKU_112219C121,24.0,23:131.22,129:133.74,23:146.88,23:147.24,23:149.6501,23.0,23:140.51,26:139.57,28:141.05,28:118.46:52644159:5.3:166,64:121.94:19173380:5.8:239,117:129.21:20638338:10.15:31,113:135.35:24213386:15.15:38,95:142.37:20539499:21.85:110,105:148.7:26177439:27.35:14,99:157.3:26521332:35.73:57,106:160.12:27647305:38.95:24,106:158.93:25639047:38.0:26,107:155.91:21562539:34.95:38,109:158.75:14819880:37.46:2
ROKU_112219C122,78.0,78:131.22,11:133.74,76:146.88,70:147.24,69:149.59,69.0,66:140.51,66:139.57,62:141.05,62:118.46:52644159:4.88:204,138:121.94:19173380:5.22:217,204:129.21:20638338:9.15:299,225:135.35:24213386:14.45:151,247:142.37:20539499:19.79:54,227:148.7:26177439:25.93:12,230:157.3:26521332:34.87:9,224:160.12:27647305:39.6:56,180:158.93:25639047:37.25:81,159:155.91:21562539:34.39:70,158:158.75:14819880:36.48:12
ROKU_112219C123,17.0,17:131.22,26:133.74,15:146.88,8:147.24,8:149.6154,12.0,13:140.51,13:139.57,13:141.05,26:118.46:52644159:4.35:146,68:121.94:19173380:4.8:218,152:129.21:20638338:8.51:757,389:135.35:24213386:13.6:108,338:142.37:20539499:18.59:37,322:148.7:26177439:26.05:27,319:157.3:26521332:34.3:48,319:160.12:27647305:38.65:10,304:158.93:25639047:36.25:39,269:155.91:21562539:33.0:30,279:158.75:14819880:35.5:46
ROKU_112219C124,22.0,22:131.22,48:133.74,23:146.88,23:147.24,23:149.64,14.0,16:140.51,16:139.57,17:141.05,16:118.46:52644159:4.1:219,97:121.94:19173380:4.36:148,154:129.21:20638338:8.0:457,180:135.35:24213386:12.66:103,171:142.37:20539499:18.6:52,155:148.7:26177439:24.94:41,128:157.3:26521332:33.72:16,120:160.12:27647305:35.75:28,123:158.93:25639047:33.75:33,U:155.91:21562539:U:U,134:158.75:14819880:34.37:51
ROKU_112219C125,233.0,233:131.22,657:133.74,230:146.88,228:147.24,252:149.64,250.0,248:140.51,239:139.57,238:141.05,238:118.46:52644159:3.89:659,423:121.94:19173380:3.85:233,507:129.21:20638338:7.6:409,568:135.35:24213386:12.0:213,521:142.37:20539499:18.03:242,529:148.7:26177439:24.2:36,512:157.3:26521332:32.55:35,516:160.12:27647305:35.0:45,495:158.93:25639047:33.8:108,424:155.91:21562539:31.35:83,432:158.75:14819880:33.27:50
ROKU_112219C126,129.0,129:131.22,35:133.74,129:146.88,129:147.24,129:149.6983,130.0,133:140.51,133:139.57,134:141.05,134:118.46:52644159:3.5:433,384:121.94:19173380:3.54:247,340:129.21:20638338:6.96:396,326:135.35:24213386:11.24:141,293:142.37:20539499:17.2:62,283:148.7:26177439:22.1:13,279:157.3:26521332:31.5:11,274:160.12:27647305:34.9:12,271:158.93:25639047:33.01:10,275:155.91:21562539:29.95:83,292:158.75:14819880:32.36:37
ROKU_112219C127,12.0,12:131.22,29:133.74,12:146.88,9:147.24,9:149.7243,10.0,6:140.51,6:139.57,7:141.05,30:118.46:52644159:3.31:520,140:121.94:19173380:3.4:42,140:129.21:20638338:6.03:517,252:135.35:24213386:10.5:179,245:142.37:20539499:16.35:24,242:148.7:26177439:22.39:30,222:157.3:26521332:30.63:13,U:160.12:27647305::,226:158.93:25639047:31.3:35,205:155.91:21562539:30.85:44,206:158.75:14819880:30.95:22
ROKU_112219C128,25.0,25:131.22,11:133.74,26:146.88,26:147.24,26:149.73,40.0,41:140.51,41:139.57,41:141.05,36:118.46:52644159:2.8:301,143:121.94:19173380:2.83:78,149:129.21:20638338:5.65:332,252:135.35:24213386:9.67:140,203:142.37:20539499:15.1:82,178:148.7:26177439:20.25:38,170:157.3:26521332:29.3:64,U:160.12:27647305::,218:158.93:25639047:29.45:45,227:155.91:21562539:28.4:68,245:158.75:14819880:30.3:11
