Symbol,20191024,20191025,20191028,20191029,20191030,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
ROKU_112219P119,7.0,7:133.74,7:146.88,3:147.24,3:149.4927,4.0,4:140.51,4:139.57,44:141.05,95:118.46:52644159:7.05:131,177:121.94:19173380:4.07:1147,1233:129.21:20638338:1.53:188,1229:135.35:24213386:0.69:348,1156:142.37:20539499:0.36:71,1136:148.7:26177439:0.39:58,1134:157.3:26521332:0.22:106,U:160.12:27647305::,1084:158.93:26429197:0.07:10,1081:155.91:21563039:0.02:14,1077:158.75:14819900:0.02:0
ROKU_112219P120,90.0,92:133.74,92:146.88,125:147.24,128:149.4927,134.0,137:140.51,143:139.57,165:141.05,246:118.46:52644159:7.21:887,635:121.94:19173380:4.49:1009,1449:129.21:20638338:1.78:594,1466:135.35:24213386:0.78:325,1511:142.37:20539499:0.41:246,1533:148.7:26177439:0.41:237,1524:157.3:26521332:0.24:548,1735:160.12:27647305:0.11:339,1965:158.93:26429197:0.05:252,1862:155.91:21563039:0.04:349,1700:158.75:14819900:0.01:124
ROKU_112219P121,5.0,10:133.74,10:146.88,9:147.24,10:149.3563,10.0,10:140.51,10:139.57,10:141.05,14:118.46:52644159:7.35:501,228:121.94:19173380:5.0:123,276:129.21:20638338:2.07:200,315:135.35:24213386:0.9:109,300:142.37:20539499:0.53:55,331:148.7:26177439:0.44:131,315:157.3:26521332:0.31:312,534:160.12:27647305:0.12:47,537:158.93:26429197:0.05:51,541:155.91:21563039:0.05:0,541:158.75:14819900:0.05:0
ROKU_112219P122,18.0,18:133.74,18:146.88,18:147.24,19:149.3563,76.0,76:140.51,80:139.57,81:141.05,79:118.46:52644159:8.36:75,93:121.94:19173380:5.5:109,100:129.21:20638338:2.3:165,108:135.35:24213386:1.05:243,145:142.37:20539499:0.49:65,151:148.7:26177439:0.47:39,145:157.3:26521332:0.29:21,U:160.12:27647305::,212:158.93:26429197:0.05:36,206:155.91:21563039:0.02:10,205:158.75:14819900:0.01:8
ROKU_112219P123,8.0,9:133.74,8:146.88,8:147.24,8:149.49,10.0,19:140.51,24:139.57,25:141.05,49:118.46:52644159:6.7:88,80:121.94:19173380:5.92:34,84:129.21:20638338:2.6:395,165:135.35:24213386:1.22:122,169:142.37:20539499:0.55:99,186:148.7:26177439:0.51:19,182:157.3:26521332:0.34:161,258:160.12:27647305:0.11:84,297:158.93:26429197:0.06:17,295:155.91:21563039:0.04:24,283:158.75:14819900:0.01:2
ROKU_112219P124,34.0,41:133.74,41:146.88,40:147.24,45:149.49,45.0,45:140.51,45:139.57,47:141.05,49:118.46:52644159:9.45:108,79:121.94:19173380:7.3:7,82:129.21:20638338:3.0:156,113:135.35:24213386:1.37:119,148:142.37:20539499:0.66:166,177:148.7:26177439:0.56:108,223:157.3:26521332:0.38:150,159:160.12:27647305:0.16:58,173:158.93:26429197:0.06:43,204:155.91:21563039:0.02:4,200:158.75:14819900:0.01:33
ROKU_112219P125,59.0,60:133.74,60:146.88,182:147.24,126:149.4714,211.0,217:140.51,217:139.57,216:141.05,286:118.46:52644159:10.87:409,356:121.94:19173380:7.09:54,369:129.21:20638338:3.3:412,527:135.35:24213386:1.56:840,582:142.37:20539499:0.7:502,691:148.7:26177439:0.59:340,603:157.3:26521332:0.35:425,U:160.12:27647305::,U:158.93:26429197:U:U,1032:155.91:21563039:0.03:40,1024:158.75:14819900:0.01:526
ROKU_112219P126,72.0,54:133.74,54:146.88,56:147.24,57:149.4537,57.0,63:140.51,63:139.57,67:141.05,67:118.46:52644159:10.49:185,111:121.94:19173380:7.82:3,110:129.21:20638338:3.75:301,164:135.35:24213386:1.76:85,191:142.37:20539499:0.85:148,268:148.7:26177439:0.64:72,231:157.3:26521332:0.42:134,241:160.12:27647305:0.17:264,U:158.93:26429197:U:U,542:155.91:21563039:0.04:27,540:158.75:14819900:0.01:317
ROKU_112219P127,34.0,47:133.74,34:146.88,33:147.24,34:149.4537,33.0,33:140.51,33:139.57,33:141.05,33:118.46:52644159:9.65:130,66:121.94:19173380:8.31:2,68:129.21:20638338:4.25:125,98:135.35:24213386:1.91:235,134:142.37:20539499:0.91:216,193:148.7:26177439:0.68:115,210:157.3:26521332:0.39:135,228:160.12:27647305:0.19:339,536:158.93:26429197:0.11:31,U:155.91:21563039:U:U,U:158.75:14819900:U:U
ROKU_112219P128,30.0,29:133.74,34:146.88,38:147.24,40:149.4537,45.0,45:140.51,45:139.57,46:141.05,54:118.46:52644159:11.59:46,64:121.94:19173380:9.84:10,71:129.21:20638338:4.58:99,100:135.35:24213386:2.26:502,382:142.37:20539499:1.03:736,406:148.7:26177439:0.77:524,390:157.3:26521332:0.48:226,428:160.12:27647305:0.2:393,639:158.93:26429197:0.14:26,631:155.91:21563039:0.09:59,639:158.75:14819900:0.01:89
