Symbol,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
SAFE_122019C17.5,0:34.43:292194:0.0:0,0:135.35:24213386:0.0:0,0:35.42:197461:0.0:0,0:36.28:180759:0.0:0,0:35.43:162057:0.0:0,0:35.93:89121:0.0:0,0:36.36:1683238:0.0:0,0:37.42:331213:0.0:0,[0:37.94:392348:0.0:0
SAFE_122019C20,0:34.43:292194:0.0:0,0:135.35:24213386:0.0:0,0:35.42:197461:0.0:0,0:36.28:180759:0.0:0,0:35.43:162057:0.0:0,0:35.93:89121:0.0:0,0:36.36:1683238:0.0:0,0:37.42:331213:0.0:0,[0:37.94:392348:0.0:0
SAFE_122019C22.5,0:34.43:292194:0.0:0,U:135.35:24213386::,0:35.42:197461:0.0:0,0:36.28:180759:0.0:0,0:35.43:162057:0.0:0,0:35.93:89121:0.0:0,0:36.36:1683238:0.0:0,0:37.42:331213:0.0:0,[0:37.94:392348:0.0:0
SAFE_122019C25,0:34.43:292194:0.0:0,0:135.35:24213386:0.0:0,0:35.42:197461:0.0:0,0:36.28:180759:0.0:0,0:35.43:162057:0.0:0,0:35.93:89121:0.0:0,0:36.36:1683238:0.0:0,0:37.42:331213:0.0:0,[0:37.94:392348:0.0:0
SAFE_122019C30,0:34.43:292194:0.0:0,0:135.35:24213386:0.0:0,0:35.42:197461:0.0:0,0:36.28:180759:0.0:0,0:35.43:162057:0.0:0,0:35.93:89121:0.0:0,0:36.36:1683238:0.0:0,0:37.42:331213:0.0:0,[0:37.94:392348:0.0:0
SAFE_122019C35,11:34.43:292194:1.05:29,U:135.35:24213386::,22:35.42:197461:1.05:0,22:36.28:180759:2.0:14,32:35.43:162057:2.0:0,0:35.93:89121:1.7:24,76:36.36:1683238:2.25:27,56:37.42:331213:3.2:6,[55:37.94:392348:3.5:42
SAFE_122019C40,0:34.43:292194:0.0:0,0:135.35:24213386:0.0:0,0:35.42:197461:0.0:0,0:36.28:180759:0.21:10,10:35.43:162057:0.3:10,0:35.93:89121:0.2:1,21:36.36:1683238:0.46:26,16:37.42:331213:0.6:7,[18:37.94:392348:0.9:20
SAFE_122019C45,0:34.43:292194:0.0:0,0:135.35:24213386:0.0:0,0:35.42:197461:0.0:0,0:36.28:180759:0.0:0,0:35.43:162057:0.0:0,0:35.93:89121:0.0:0,0:36.36:1683238:0.0:0,0:37.42:331213:0.0:0,[0:37.94:392348:0.0:0
SAFE_122019C50,0:34.43:292194:0.0:0,0:135.35:24213386:0.0:0,0:35.42:197461:0.0:0,0:36.28:180759:0.0:0,0:35.43:162057:0.0:0,0:35.93:89121:0.0:0,0:36.36:1683238:0.0:0,0:37.42:331213:0.0:0,[0:37.94:392348:0.0:0
SAFE_011720C15,U,U,U,0:36.28:180759:0.0:0,0:35.43:162057:0.0:0,0:35.93:89121:0.0:0,0:36.36:1683238:0.0:0,0:37.42:331213:0.0:0,[0:37.94:392348:0.0:0
SAFE_011720C17.5,U,U,U,0:36.28:180759:0.0:0,0:35.43:162057:0.0:0,0:35.93:89121:0.0:0,0:36.36:1683238:0.0:0,0:37.42:331213:0.0:0,[0:37.94:392348:0.0:0
SAFE_011720C20,U,U,U,0:36.28:180759:0.0:0,0:35.43:162057:0.0:0,0:35.93:89121:0.0:0,0:36.36:1683238:0.0:0,0:37.42:331213:0.0:0,[0:37.94:392348:0.0:0
SAFE_011720C22.5,U,U,U,0:36.28:180759:0.0:0,0:35.43:162057:0.0:0,0:35.93:89121:0.0:0,0:36.36:1683238:0.0:0,0:37.42:331213:0.0:0,[0:37.94:392348:0.0:0
SAFE_011720C25,U,U,U,3:36.28:180759:10.04:0,3:35.43:162057:10.04:0,0:35.93:89121:10.04:0,3:36.36:1683238:10.04:0,3:37.42:331213:12.5:3,[2:37.94:392348:12.5:0
SAFE_011720C30,U,U,U,601:36.28:180759:4.41:0,601:35.43:162057:4.41:0,0:35.93:89121:4.41:0,601:36.36:1683238:6.68:10,601:37.42:331213:6.68:0,[601:37.94:392348:6.68:0
SAFE_011720C35,U,U,U,171:36.28:180759:2.4:15,171:35.43:162057:2.4:0,0:35.93:89121:2.4:0,171:36.36:1683238:3.24:12,171:37.42:331213:3.24:0,[171:37.94:392348:4.0:5
SAFE_011720C40,U,U,U,370:36.28:180759:0.15:0,370:35.43:162057:0.35:82,0:35.93:89121:0.35:4,428:36.36:1683238:1.0:199,470:37.42:331213:0.95:25,[470:37.94:392348:1.4:157
