Symbol,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
SAFE_122019P17.5,0:34.43:292194:0.0:0,0:135.35:24213386:0.0:0,0:35.42:197461:0.0:0,0:36.28:180759:0.0:0,0:35.43:162057:0.0:0,0:35.93:89121:0.0:0,0:36.36:1683238:0.0:0,0:37.42:331213:0.0:0,[0:37.94:392348:0.0:0
SAFE_122019P20,0:34.43:292194:0.0:0,0:135.35:24213386:0.0:0,0:35.42:197461:0.0:0,0:36.28:180759:0.0:0,0:35.43:162057:0.0:0,0:35.93:89121:0.0:0,0:36.36:1683238:0.0:0,0:37.42:331213:0.0:0,[0:37.94:392348:0.0:0
SAFE_122019P22.5,0:34.43:292194:0.0:0,0:135.35:24213386:0.0:0,0:35.42:197461:0.0:0,0:36.28:180759:0.0:0,0:35.43:162057:0.0:0,0:35.93:89121:0.0:0,0:36.36:1683238:0.0:0,0:37.42:331213:0.0:0,[0:37.94:392348:0.0:0
SAFE_122019P25,0:34.43:292194:0.0:0,0:135.35:24213386:0.0:0,0:35.42:197461:0.0:0,0:36.28:180759:0.0:0,0:35.43:162057:0.0:0,0:35.93:89121:0.0:0,0:36.36:1683238:0.0:0,0:37.42:331213:0.0:0,[0:37.94:392348:0.0:0
SAFE_122019P30,89:34.43:292194:0.5:0,89:135.35:24213386:0.1:12,77:35.42:197461:0.1:0,77:36.28:180759:0.1:0,77:35.43:162057:0.1:0,0:35.93:89121:0.1:0,78:36.36:1683238:0.15:0,78:37.42:331213:0.15:0,[78:37.94:392348:0.15:0
SAFE_122019P35,2:34.43:292194:2.15:0,2:135.35:24213386:2.15:0,2:35.42:197461:2.15:0,2:36.28:180759:2.15:0,2:35.43:162057:2.15:0,2:35.93:89121:0.95:4,224:36.36:1683238:1.05:28,230:37.42:331213:1.05:0,[230:37.94:392348:0.65:63
SAFE_122019P40,0:34.43:292194:0.0:0,0:135.35:24213386:0.0:0,0:35.42:197461:0.0:0,0:36.28:180759:0.0:0,0:35.43:162057:0.0:0,0:35.93:89121:0.0:0,125:36.36:1683238:3.9:26,103:37.42:331213:3.9:0,[103:37.94:392348:2.75:1
SAFE_122019P45,0:34.43:292194:0.0:0,0:135.35:24213386:0.0:0,0:35.42:197461:0.0:0,0:36.28:180759:0.0:0,0:35.43:162057:0.0:0,0:35.93:89121:0.0:0,0:36.36:1683238:0.0:0,0:37.42:331213:0.0:0,[0:37.94:392348:0.0:0
SAFE_122019P50,0:34.43:292194:0.0:0,0:135.35:24213386:0.0:0,0:35.42:197461:0.0:0,0:36.28:180759:0.0:0,0:35.43:162057:0.0:0,0:35.93:89121:0.0:0,0:36.36:1683238:0.0:0,0:37.42:331213:0.0:0,[0:37.94:392348:0.0:0
SAFE_011720P15,U,U,U,0:36.28:180759:0.0:0,0:35.43:162057:0.0:0,0:35.93:89121:0.0:0,0:36.36:1683238:0.0:0,0:37.42:331213:0.0:0,[0:37.94:392348:0.0:0
SAFE_011720P17.5,U,U,U,0:36.28:180759:0.0:0,0:35.43:162057:0.0:0,0:35.93:89121:0.0:0,0:36.36:1683238:0.0:0,0:37.42:331213:0.0:0,[0:37.94:392348:0.0:0
SAFE_011720P20,U,U,U,0:36.28:180759:0.0:0,0:35.43:162057:0.0:0,0:35.93:89121:0.0:0,0:36.36:1683238:0.0:0,0:37.42:331213:0.0:0,[0:37.94:392348:0.0:0
SAFE_011720P22.5,U,U,U,71:36.28:180759:0.13:0,71:35.43:162057:0.13:0,0:35.93:89121:0.13:0,71:36.36:1683238:0.1:10,61:37.42:331213:0.1:0,[61:37.94:392348:0.1:0
SAFE_011720P25,U,U,U,60:36.28:180759:0.2:0,60:35.43:162057:0.2:0,0:35.93:89121:0.2:0,60:36.36:1683238:0.2:0,60:37.42:331213:0.2:0,[60:37.94:392348:0.2:0
SAFE_011720P30,U,U,U,49:36.28:180759:0.37:0,49:35.43:162057:0.37:0,0:35.93:89121:0.37:0,49:36.36:1683238:0.35:0,49:37.42:331213:0.3:1,[49:37.94:392348:0.3:0
SAFE_011720P35,U,U,U,1:36.28:180759:1.74:0,1:35.43:162057:1.74:0,0:35.93:89121:1.74:0,1:36.36:1683238:1.3:22,22:37.42:331213:1.1:2,[23:37.94:392348:0.95:1
SAFE_011720P40,U,U,U,0:36.28:180759:0.0:0,0:35.43:162057:0.0:0,0:35.93:89121:0.0:0,0:36.36:1683238:3.8:1,1:37.42:331213:3.8:0,[1:37.94:392348:3.8:0
