Symbol,20191028,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
SAGE_112219P133,34:142.27,34:138.01,34:135.65,34.0,34:143.7,34:144.44,34:138.71,34:138.93:231450:10.6:0,34:144.34:332290:10.6:0,34:141.55:572910:10.6:0,34:144.05:335818:10.6:0,34:140.79:296213:5.41:1,35:146.32:302683:5.41:0,U:145.96:446497::,U:151.52:572833:U:U,35:0:0:5.41:0,35:149.0:278972:5.41:0
SAGE_112219P134,48:142.27,48:138.01,48:135.65,48.0,48:143.7,48:144.44,48:138.71,48:138.93:231450:10.9:0,48:144.34:332290:10.9:0,48:141.55:572910:10.9:0,48:144.05:335818:10.9:0,48:140.79:296213:10.9:0,48:146.32:302683:10.9:0,U:145.96:446497::,48:151.52:572833:10.9:0,48:0:0:10.9:0,48:149.0:278972:10.9:0
SAGE_112219P135,133:142.27,133:138.01,133:135.65,133.0,133:143.7,133:144.44,133:138.71,133:138.93:231450:11.6:0,133:144.34:332290:11.6:0,133:141.55:572910:4.1:5,138:144.05:335818:5.4:3,141:140.79:296213:5.4:0,141:146.32:302683:3.5:12,139:145.96:446497:3.5:0,139:151.52:572833:3.5:0,139:0:0:3.5:0,139:149.0:278972:0.08:12
SAGE_112219P136,0:142.27,0:138.01,0:135.65,0.0,0:143.7,0:144.44,0:138.71,0:138.93:231450:0.0:0,0:144.34:332290:0.0:0,0:141.55:572910:0.0:0,0:144.05:335818:0.0:0,0:140.79:296213:0.0:0,0:146.32:302683:0.0:0,0:145.96:446497:2.85:2,2:151.52:572833:2.85:0,2:0:0:2.85:0,2:149.0:278972:0.05:4
SAGE_112219P137,0:142.27,0:138.01,0:135.65,0.0,0:143.7,0:144.44,0:138.71,0:138.93:231450:0.0:0,0:144.34:332290:0.0:0,0:141.55:572910:0.0:0,0:144.05:335818:0.0:0,0:140.79:296213:0.0:0,0:146.32:302683:0.0:0,0:145.96:446497:3.3:1,1:151.52:572833:3.3:0,U:0:0:U:U,1:149.0:278972:3.3:0
SAGE_112219P138,34:142.27,34:138.01,34:135.65,34.0,34:143.7,34:144.44,34:138.71,34:138.93:231450:13.0:0,34:144.34:332290:13.0:0,34:141.55:572910:13.0:0,34:144.05:335818:13.0:0,34:140.79:296213:6.83:1,35:146.32:302683:4.75:2,37:145.96:446497:3.3:1,36:151.52:572833:2.64:7,U:0:0:U:U,41:149.0:278972:2.64:0
SAGE_112219P139,32:142.27,33:138.01,33:135.65,33.0,33:143.7,33:144.44,33:138.71,33:138.93:231450:10.82:0,33:144.34:332290:10.82:0,33:141.55:572910:10.82:0,33:144.05:335818:10.82:0,33:140.79:296213:10.82:0,33:146.32:302683:10.82:0,33:145.96:446497:10.82:0,U:151.52:572833:U:U,33:0:0:10.82:0,[33:149.0:278972:0.05:300
SAGE_112219P140,0:142.27,0:138.01,0:135.65,0.0,0:143.7,0:144.44,0:138.71,0:138.93:231450:0.0:0,0:144.34:332290:0.0:0,0:141.55:572910:0.0:0,0:144.05:335818:7.8:1,1:140.79:296213:8.0:2,3:146.32:302683:6.0:5,8:145.96:446497:4.1:6,14:151.52:572833:4.1:0,14:0:0:4.1:0,[14:149.0:278972:0.05:12
SAGE_112219P141,0:142.27,0:138.01,0:135.65,0.0,0:143.7,0:144.44,0:138.71,0:138.93:231450:0.0:0,0:144.34:332290:0.0:0,0:141.55:572910:0.0:0,0:144.05:335818:0.0:0,0:140.79:296213:0.0:0,0:146.32:302683:0.0:0,0:145.96:446497:0.0:0,0:151.52:572833:0.0:0,0:0:0:0.0:0,[0:149.0:278972:0.0:0
SAGE_112219P142,0:142.27,0:138.01,0:135.65,0.0,0:143.7,0:144.44,0:138.71,0:138.93:231450:0.0:0,0:144.34:332290:10.1:1,1:141.55:572910:9.5:1,0:144.05:335818:9.5:0,0:140.79:296213:9.5:0,0:146.32:302683:9.5:0,0:145.96:446497:5.0:1,1:151.52:572833:5.0:0,1:0:0:5.0:0,[1:149.0:278972:5.0:0
SAGE_112219P143,0:142.27,0:138.01,0:135.65,0.0,0:143.7,0:144.44,0:138.71,0:138.93:231450:0.0:0,0:144.34:332290:0.0:0,0:141.55:572910:0.0:0,0:144.05:335818:0.0:0,0:140.79:296213:0.0:0,0:146.32:302683:0.0:0,0:145.96:446497:0.0:0,0:151.52:572833:0.0:0,0:0:0:0.0:0,[0:149.0:278972:0.0:0
