Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
SBUX_112219C79.5,0:84.13,24:84.19,33:84.56,102.0,112:82.37,202:81.89,202:82.99,164:81.95:7220378:3.65:3,167:81.77:7044075:2.5:1,168:129.21:20638338:2.85:102,2:83.32:8500530:3.95:2,2:83.94:7435597:3.95:0,2:84.38:5280972:3.95:0,2:84.21:7472634:4.2:1,3:145.96:446497:4.2:0,3:83.6:6221691:4.4:0,3:82.3:8297355:3.55:2,[4:83.02:6080293:3.2:1
SBUX_112219C80,24:84.13,24:84.19,24:84.56,37.0,37:82.37,59:81.89,122:82.99,123:81.95:7220378:2.57:19,137:81.77:7044075:2.07:47,150:129.21:20638338:2.26:30,15:83.32:8500530:2.26:0,15:83.94:7435597:2.26:0,15:84.38:5280972:2.26:0,15:84.21:7472634:4.2:13,21:145.96:446497:4.07:7,22:83.6:6221691:3.2:3,22:82.3:8297355:2.33:52,[74:83.02:6080293:3.02:22
SBUX_112219C80.5,2:84.13,17:84.19,17:84.56,31.0,40:82.37,50:81.89,60:82.99,61:81.95:7220378:2.87:71,91:81.77:7044075:1.99:15,87:129.21:20638338:2.04:14,96:83.32:8500530:3.25:16,104:83.94:7435597:3.25:0,104:84.38:5280972:3.9:1,104:84.21:7472634:3.85:1,U:145.96:446497::,104:83.6:6221691:3.7:0,104:82.3:8297355:1.74:37,[118:83.02:6080293:2.55:4
SBUX_112219C81,8:84.13,8:84.19,8:84.56,27.0,27:82.37,27:81.89,110:82.99,116:81.95:7220378:1.81:61,123:81.77:7044075:1.39:27,119:129.21:20638338:1.69:92,109:83.32:8500530:2.66:31,93:83.94:7435597:3.35:57,124:84.38:5280972:3.6:38,123:84.21:7472634:3.15:11,129:145.96:446497:3.05:8,140:83.6:6221691:3.1:20,147:82.3:8297355:1.51:52,[181:83.02:6080293:2.05:21
SBUX_112219C81.5,0:84.13,0:84.19,0:84.56,59.0,59:82.37,63:81.89,80:82.99,84:81.95:7220378:1.28:35,97:81.77:7044075:1.09:338,U:129.21:20638338::,375:83.32:8500530:2.24:155,243:83.94:7435597:2.79:33,245:84.38:5280972:2.81:2,243:84.21:7472634:2.61:22,U:145.96:446497::,251:83.6:6221691:2.03:6,250:82.3:8297355:0.94:158,[271:83.02:6080293:1.52:34
SBUX_112219C82,5:84.13,6:84.19,7:84.56,21.0,38:82.37,61:81.89,104:82.99,97:81.95:7220378:1.03:59,128:81.77:7044075:0.86:124,175:129.21:20638338:1.06:503,250:83.32:8500530:1.89:160,206:83.94:7435597:2.33:45,194:84.38:5280972:2.72:25,206:84.21:7472634:2.29:46,U:145.96:446497::,197:83.6:6221691:1.4:39,205:82.3:8297355:0.56:549,[323:83.02:6080293:1.1:204
SBUX_112219C82.5,23:84.13,37:84.19,37:84.56,54.0,76:82.37,507:81.89,561:82.99,539:81.95:7220378:0.83:379,584:81.77:7044075:0.67:511,707:129.21:20638338:0.77:326,762:83.32:8500530:1.61:540,633:83.94:7435597:1.98:95,635:84.38:5280972:2.26:24,636:84.21:7472634:1.95:32,646:145.96:446497:1.72:34,650:83.6:6221691:1.17:70,625:82.3:8297355:0.3:684,[788:83.02:6080293:0.55:431
SBUX_112219C83,67:84.13,65:84.19,67:84.56,80.0,257:82.37,344:81.89,387:82.99,491:81.95:7220378:0.63:201,454:81.77:7044075:0.5:105,468:129.21:20638338:0.58:186,480:83.32:8500530:1.23:241,546:83.94:7435597:1.69:182,564:84.38:5280972:1.88:215,654:84.21:7472634:1.54:44,675:145.96:446497:1.4:316,760:83.6:6221691:0.89:391,634:82.3:8297355:0.13:782,[958:83.02:6080293:0.02:1230
SBUX_112219C83.5,91:84.13,91:84.19,97:84.56,95.0,111:82.37,148:81.89,154:82.99,189:81.95:7220378:0.5:71,213:81.77:7044075:0.35:89,219:129.21:20638338:0.43:71,247:83.32:8500530:1.0:533,434:83.94:7435597:1.27:207,431:84.38:5280972:1.52:116,390:84.21:7472634:1.2:375,512:145.96:446497:0.99:744,841:83.6:6221691:0.58:324,750:82.3:8297355:0.07:449,[847:83.02:6080293:0.01:865
SBUX_112219C84,85:84.13,141:84.19,148:84.56,182.0,200:82.37,231:81.89,253:82.99,593:81.95:7220378:0.38:331,725:81.77:7044075:0.27:196,U:129.21:20638338::,782:83.32:8500530:0.79:992,1134:83.94:7435597:1.0:909,1259:84.38:5280972:1.11:751,1273:84.21:7472634:0.89:778,U:145.96:446497::,1592:83.6:6221691:0.32:1068,1410:82.3:8297355:0.03:929,[1595:83.02:6080293:0.01:644
SBUX_112219C84.5,32:84.13,59:84.19,80:84.56,111.0,149:82.37,151:81.89,171:82.99,181:81.95:7220378:0.36:116,246:81.77:7044075:0.19:40,248:129.21:20638338:0.22:36,259:83.32:8500530:0.52:289,318:83.94:7435597:0.87:336,332:84.38:5280972:0.87:732,493:84.21:7472634:0.66:694,703:145.96:446497:0.48:538,897:83.6:6221691:0.13:1275,1067:82.3:8297355:0.02:115,[1077:83.02:6080293:0.02:272
SBUX_112219C85,117:84.13,194:84.19,253:84.56,330.0,461:82.37,529:81.89,620:82.99,609:81.95:7220378:0.22:175,615:81.77:7044075:0.14:27,608:129.21:20638338:0.16:435,789:83.32:8500530:0.41:782,981:83.94:7435597:0.56:652,907:84.38:5280972:0.62:447,956:84.21:7472634:0.45:1111,1392:145.96:446497:0.32:1396,1905:83.6:6221691:0.1:1268,2082:82.3:8297355:0.01:778,[1883:83.02:6080293:0.01:114
SBUX_112219C85.5,38:84.13,39:84.19,72:84.56,144.0,119:82.37,129:81.89,138:82.99,128:81.95:7220378:0.19:59,152:81.77:7044075:0.14:10,U:129.21:20638338::,172:83.32:8500530:0.31:120,221:83.94:7435597:0.4:233,306:84.38:5280972:0.45:270,315:84.21:7472634:0.31:426,553:145.96:446497:0.19:626,760:83.6:6221691:0.05:344,789:82.3:8297355:0.02:52,[783:83.02:6080293:0.01:30
SBUX_112219C86,133:84.13,134:84.19,390:84.56,481.0,520:82.37,518:81.89,517:82.99,420:81.95:7220378:0.15:128,429:81.77:7044075:0.07:16,425:129.21:20638338:0.09:214,426:83.32:8500530:0.21:118,488:83.94:7435597:0.28:118,526:84.38:5280972:0.33:388,602:84.21:7472634:0.19:775,U:145.96:446497::,1195:83.6:6221691:0.02:1202,1804:82.3:8297355:0.01:76,[1745:83.02:6080293:0.01:95
SBUX_112219C86.5,41:84.13,48:84.19,55:84.56,123.0,131:82.37,149:81.89,148:82.99,134:81.95:7220378:0.12:27,119:81.77:7044075:0.06:5,115:129.21:20638338:0.07:24,126:83.32:8500530:0.15:31,121:83.94:7435597:0.21:250,230:84.38:5280972:0.22:226,283:84.21:7472634:0.12:324,400:145.96:446497:0.07:27,411:83.6:6221691:0.02:75,389:82.3:8297355:0.02:10,[381:83.02:6080293:0.01:12
SBUX_112219C87,121:84.13,143:84.19,151:84.56,185.0,184:82.37,211:81.89,212:82.99,249:81.95:7220378:0.09:11,251:81.77:7044075:0.06:15,247:129.21:20638338:0.05:11,252:83.32:8500530:0.1:123,333:83.94:7435597:0.13:108,239:84.38:5280972:0.15:80,289:84.21:7472634:0.09:103,U:145.96:446497::,359:83.6:6221691:0.01:1,359:82.3:8297355:0.01:2,[361:83.02:6080293:0.01:2
SBUX_112219C87.5,157:84.13,647:84.19,655:84.56,679.0,751:82.37,742:81.89,737:82.99,737:81.95:7220378:0.06:18,725:81.77:7044075:0.04:10,725:129.21:20638338:0.04:4,724:83.32:8500530:0.09:35,728:83.94:7435597:0.1:10,732:84.38:5280972:0.09:103,795:84.21:7472634:0.06:92,757:145.96:446497:0.02:123,659:83.6:6221691:0.01:5,661:82.3:8297355:0.01:0,[661:83.02:6080293:0.01:0
SBUX_112219C88,103:84.13,108:84.19,113:84.56,125.0,164:82.37,171:81.89,171:82.99,170:81.95:7220378:0.06:23,173:81.77:7044075:0.04:2,171:129.21:20638338:0.04:3,172:83.32:8500530:0.05:25,181:83.94:7435597:0.05:104,247:84.38:5280972:0.06:12,244:84.21:7472634:0.04:164,346:145.96:446497:0.04:0,346:83.6:6221691:0.04:0,346:82.3:8297355:0.04:0,[346:83.02:6080293:0.03:5
SBUX_112219C88.5,42:84.13,44:84.19,50:84.56,50.0,53:82.37,78:81.89,78:82.99,62:81.95:7220378:0.06:10,52:81.77:7044075:0.06:0,52:129.21:20638338:0.06:0,52:83.32:8500530:0.04:35,74:83.94:7435597:0.04:2,74:84.38:5280972:0.04:2,76:84.21:7472634:0.04:0,76:145.96:446497:0.04:0,76:83.6:6221691:0.04:0,76:82.3:8297355:0.04:0,76:83.02:6080293:0.04:0
SBUX_112219C89,103:84.13,109:84.19,116:84.56,126.0,135:82.37,128:81.89,128:82.99,128:81.95:7220378:0.03:11,127:81.77:7044075:0.03:4,129:129.21:20638338:0.03:0,129:83.32:8500530:0.03:1,130:83.94:7435597:0.03:9,139:84.38:5280972:0.03:0,139:84.21:7472634:0.03:11,142:145.96:446497:0.03:0,142:83.6:6221691:0.03:0,142:82.3:8297355:0.03:0,142:83.02:6080293:0.03:0
SBUX_112919C79.5,0:84.13,0:84.19,0:84.56,13.0,13:82.37,13:81.89,13:82.99,13:81.95:7220378:2.99:3,13:81.77:7044075:2.99:0,13:129.21:20638338:2.99:0,13:83.32:8500530:2.99:0,13:83.94:7435597:2.99:0,13:84.38:5280972:2.99:0,13:84.21:7472634:2.99:0,13:145.96:446497:2.99:0,13:83.6:6221691:4.35:10,23:82.3:8297355:3.7:3,[23:83.02:6080293:3.7:0
SBUX_112919C80,11:84.13,11:84.19,15:84.56,25.0,25:82.37,31:81.89,37:82.99,37:81.95:7220378:2.5:22,47:81.77:7044075:2.23:42,57:129.21:20638338:2.48:2,58:83.32:8500530:2.48:0,58:83.94:7435597:4.2:3,58:84.38:5280972:4.25:2,58:84.21:7472634:4.25:0,U:145.96:446497::,83:83.6:6221691:3.6:4,81:82.3:8297355:2.48:31,[89:83.02:6080293:3.2:63
SBUX_112919C80.5,2:84.13,2:84.19,4:84.56,4.0,6:82.37,5:81.89,14:82.99,14:81.95:7220378:2.66:8,22:81.77:7044075:2.66:0,22:129.21:20638338:2.66:0,22:83.32:8500530:2.66:0,22:83.94:7435597:2.66:0,22:84.38:5280972:2.66:0,22:84.21:7472634:3.6:1,23:145.96:446497:3.6:6,23:83.6:6221691:2.92:11,30:82.3:8297355:1.99:4,[34:83.02:6080293:2.68:23
SBUX_112919C81,12:84.13,13:84.19,13:84.56,42.0,60:82.37,63:81.89,89:82.99,87:81.95:7220378:2.02:56,95:81.77:7044075:1.46:1,96:129.21:20638338:1.73:2,94:83.32:8500530:3.1:27,95:83.94:7435597:3.45:4,95:84.38:5280972:3.51:3,95:84.21:7472634:3.51:0,U:145.96:446497::,94:83.6:6221691:2.62:22,111:82.3:8297355:1.63:239,[184:83.02:6080293:2.22:54
SBUX_112919C81.5,9:84.13,9:84.19,9:84.56,9.0,20:82.37,14:81.89,28:82.99,30:81.95:7220378:2.2:37,59:81.77:7044075:1.31:59,78:129.21:20638338:1.54:51,108:83.32:8500530:2.5:56,104:83.94:7435597:3.0:6,107:84.38:5280972:2.94:36,102:84.21:7472634:2.94:0,102:145.96:446497:2.76:13,98:83.6:6221691:2.14:9,99:82.3:8297355:1.32:28,[116:83.02:6080293:1.78:16
SBUX_112919C82,14:84.13,43:84.19,43:84.56,44.0,44:82.37,74:81.89,122:82.99,152:81.95:7220378:1.32:8,179:81.77:7044075:1.07:263,291:129.21:20638338:1.23:103,291:83.32:8500530:1.99:267,269:83.94:7435597:2.7:30,272:84.38:5280972:2.9:7,276:84.21:7472634:2.35:27,269:145.96:446497:2.43:16,269:83.6:6221691:1.57:30,266:82.3:8297355:1.02:570,[491:83.02:6080293:1.39:344
SBUX_112919C82.5,15:84.13,15:84.19,21:84.56,26.0,127:82.37,219:81.89,314:82.99,254:81.95:7220378:1.0:156,326:81.77:7044075:0.83:166,424:129.21:20638338:1.02:108,462:83.32:8500530:1.8:223,377:83.94:7435597:2.19:80,371:84.38:5280972:2.52:52,354:84.21:7472634:2.2:57,U:145.96:446497::,364:83.6:6221691:1.45:27,368:82.3:8297355:0.75:462,[514:83.02:6080293:1.05:375
