Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
SBUX_112219P79.5,77:84.13,75:84.19,71:84.56,124.0,128:82.37,140:81.89,213:82.99,211:81.95:7220378:0.41:5,214:81.77:7044075:0.44:149,303:129.21:20638338:0.26:39,308:83.32:8500530:0.18:15,299:83.94:7435597:0.08:14,298:84.38:5280972:0.08:0,298:84.21:7472634:0.04:210,483:145.96:446497:0.03:69,426:83.6:6221691:0.03:0,426:82.3:8297355:0.02:4,[425:83.02:6080293:0.02:0
SBUX_112219P80,115:84.13,117:84.19,116:84.56,132.0,159:82.37,1664:81.89,1671:82.99,1679:81.95:7220378:0.62:57,1720:81.77:7044075:0.6:92,1782:129.21:20638338:0.37:115,1833:83.32:8500530:0.18:267,1985:83.94:7435597:0.11:51,2000:84.38:5280972:0.08:50,1987:84.21:7472634:0.04:60,1965:145.96:446497:0.04:36,1927:83.6:6221691:0.04:8,1927:82.3:8297355:0.03:66,[1952:83.02:6080293:0.01:56
SBUX_112219P80.5,45:84.13,46:84.19,47:84.56,46.0,48:82.37,125:81.89,245:82.99,241:81.95:7220378:0.78:97,299:81.77:7044075:0.72:396,586:129.21:20638338:0.47:29,592:83.32:8500530:0.22:23,579:83.94:7435597:0.11:34,598:84.38:5280972:0.1:5,596:84.21:7472634:0.06:87,637:145.96:446497:0.05:54,648:83.6:6221691:0.03:51,597:82.3:8297355:0.04:96,[633:83.02:6080293:0.05:7
SBUX_112219P81,310:84.13,303:84.19,295:84.56,237.0,287:82.37,312:81.89,425:82.99,434:81.95:7220378:0.98:207,547:81.77:7044075:0.95:268,640:129.21:20638338:0.6:51,676:83.32:8500530:0.28:112,669:83.94:7435597:0.2:86,657:84.38:5280972:0.15:31,655:84.21:7472634:0.08:55,651:145.96:446497:0.07:73,661:83.6:6221691:0.05:58,639:82.3:8297355:0.08:153,[565:83.02:6080293:0.01:19
SBUX_112219P81.5,56:84.13,56:84.19,56:84.56,82.0,93:82.37,91:81.89,105:82.99,147:81.95:7220378:1.24:453,413:81.77:7044075:1.13:191,523:129.21:20638338:0.81:178,507:83.32:8500530:0.32:78,485:83.94:7435597:0.21:128,492:84.38:5280972:0.17:68,526:84.21:7472634:0.11:86,572:145.96:446497:0.09:125,593:83.6:6221691:0.06:83,628:82.3:8297355:0.13:303,[758:83.02:6080293:0.01:30
SBUX_112219P82,69:84.13,69:84.19,70:84.56,86.0,96:82.37,602:81.89,612:82.99,675:81.95:7220378:1.49:570,988:81.77:7044075:1.45:60,1019:129.21:20638338:1.02:112,1089:83.32:8500530:0.49:136,1153:83.94:7435597:0.29:192,1191:84.38:5280972:0.3:43,1209:84.21:7472634:0.17:207,1287:145.96:446497:0.14:345,1460:83.6:6221691:0.1:638,1471:82.3:8297355:0.26:998,[1827:83.02:6080293:0.01:120
SBUX_112219P82.5,95:84.13,95:84.19,96:84.56,101.0,605:82.37,617:81.89,615:82.99,765:81.95:7220378:1.66:95,809:81.77:7044075:1.76:31,805:129.21:20638338:1.31:46,814:83.32:8500530:0.64:112,870:83.94:7435597:0.39:95,916:84.38:5280972:0.31:65,964:84.21:7472634:0.23:126,1036:145.96:446497:0.23:271,1094:83.6:6221691:0.21:175,1083:82.3:8297355:0.49:416,[1172:83.02:6080293:0.01:1179
SBUX_112219P83,336:84.13,331:84.19,333:84.56,355.0,471:82.37,499:81.89,492:82.99,501:81.95:7220378:1.98:119,594:81.77:7044075:2.02:2,595:129.21:20638338:1.55:42,607:83.32:8500530:0.84:94,617:83.94:7435597:0.58:139,650:84.38:5280972:0.42:118,683:84.21:7472634:0.35:226,765:145.96:446497:0.32:1457,1772:83.6:6221691:0.28:273,1743:82.3:8297355:0.82:654,[1778:83.02:6080293:0.01:1083
SBUX_112219P83.5,12:84.13,13:84.19,14:84.56,53.0,445:82.37,455:81.89,455:82.99,466:81.95:7220378:2.13:17,466:81.77:7044075:2.13:0,466:129.21:20638338:2.13:0,466:83.32:8500530:1.07:371,683:83.94:7435597:0.8:166,684:84.38:5280972:0.55:132,689:84.21:7472634:0.5:207,720:145.96:446497:0.47:567,990:83.6:6221691:0.62:342,905:82.3:8297355:1.23:317,[912:83.02:6080293:0.39:734
SBUX_112219P84,53:84.13,53:84.19,54:84.56,74.0,75:82.37,86:81.89,86:82.99,102:81.95:7220378:2.45:10,101:81.77:7044075:2.83:4,103:129.21:20638338:2.46:6,99:83.32:8500530:1.4:53,116:83.94:7435597:0.92:124,137:84.38:5280972:0.72:263,189:84.21:7472634:0.68:1300,804:145.96:446497:0.73:264,932:83.6:6221691:0.71:495,748:82.3:8297355:1.73:198,[696:83.02:6080293:0.88:252
SBUX_112219P84.5,30:84.13,30:84.19,33:84.56,59.0,55:82.37,57:81.89,51:82.99,51:81.95:7220378:2.7:11,52:81.77:7044075:3.16:24,62:129.21:20638338:2.78:9,62:83.32:8500530:1.72:11,61:83.94:7435597:1.26:27,74:84.38:5280972:0.96:106,124:84.21:7472634:0.93:197,189:145.96:446497:1.0:69,189:83.6:6221691:1.29:499,604:82.3:8297355:2.03:110,[550:83.02:6080293:1.35:77
SBUX_112219P85,43:84.13,43:84.19,46:84.56,56.0,48:82.37,47:81.89,46:82.99,60:81.95:7220378:2.8:7,58:81.77:7044075:3.75:3,60:129.21:20638338:3.75:0,60:83.32:8500530:1.99:17,65:83.94:7435597:1.6:19,81:84.38:5280972:1.17:26,93:84.21:7472634:1.25:77,120:145.96:446497:1.36:61,164:83.6:6221691:1.64:62,160:82.3:8297355:2.68:35,[139:83.02:6080293:2.03:50
