Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
SIMO_122019C22.5,0:42.72,0:42.02,0:41.93,0:42.9:273079:0.0:0,0:43.7:270607:0.0:0,0:43.34:185404:0.0:0,0:42.74:152018:0.0:0,0:42.25:152574:0.0:0,0:42.29:152633:0.0:0,0:42.63:172742:0.0:0,0:145.96:446497:0.0:0,0:43.31:241867:0.0:0,0:43.42:188372:0.0:0,[0:43.17:144758:0.0:0
SIMO_122019C25,3:42.72,0:42.02,0:41.93,0:42.9:273079:16.9:0,0:43.7:270607:16.9:0,0:43.34:185404:16.9:0,0:42.74:152018:16.9:0,0:42.25:152574:16.9:0,0:42.29:152633:16.9:0,0:42.63:172742:16.9:0,0:145.96:446497:16.9:0,0:43.31:241867:16.9:0,0:43.42:188372:16.9:0,[0:43.17:144758:16.9:0
SIMO_122019C30,11:42.72,11:42.02,10:41.93,10:42.9:273079:7.0:0,10:43.7:270607:7.0:0,10:43.34:185404:7.0:0,10:42.74:152018:13.5:10,3:42.25:152574:13.5:0,3:42.29:152633:13.5:0,3:42.63:172742:13.5:0,3:145.96:446497:13.5:0,3:43.31:241867:13.5:0,3:43.42:188372:13.5:0,[3:43.17:144758:13.5:0
SIMO_122019C35,36:42.72,36:42.02,13:41.93,13:42.9:273079:7.3:0,13:43.7:270607:7.3:0,13:43.34:185404:7.3:0,13:42.74:152018:7.3:0,13:42.25:152574:7.3:0,13:42.29:152633:7.3:0,13:42.63:172742:7.3:0,13:145.96:446497:7.3:0,13:43.31:241867:7.3:0,13:43.42:188372:7.3:0,[13:43.17:144758:7.3:0
SIMO_122019C40,367:42.72,365:42.02,365:41.93,364:42.9:273079:2.9:0,364:43.7:270607:4.15:8,357:43.34:185404:4.15:0,357:42.74:152018:4.15:0,357:42.25:152574:4.15:0,357:42.29:152633:4.15:0,357:42.63:172742:4.15:0,357:145.96:446497:4.15:0,357:43.31:241867:4.0:6,352:43.42:188372:4.0:0,[352:43.17:144758:4.0:0
SIMO_122019C45,108:42.72,109:42.02,119:41.93,119:42.9:273079:1.0:10,129:43.7:270607:1.22:3,126:43.34:185404:1.22:0,126:42.74:152018:1.22:0,126:42.25:152574:1.22:0,126:42.29:152633:0.82:1,126:42.63:172742:0.82:0,U:145.96:446497::,127:43.31:241867:1.0:1,128:43.42:188372:1.0:0,[128:43.17:144758:1.0:0
SIMO_122019C50,17:42.72,17:42.02,17:41.93,14:42.9:273079:0.1:0,14:43.7:270607:0.1:0,14:43.34:185404:0.1:0,14:42.74:152018:0.1:0,14:42.25:152574:0.1:0,14:42.29:152633:0.1:0,14:42.63:172742:0.1:0,14:145.96:446497:0.1:0,14:43.31:241867:0.1:0,14:43.42:188372:0.1:0,[14:43.17:144758:0.1:0
SIMO_122019C55,5:42.72,5:42.02,5:41.93,5:42.9:273079:0.6:0,5:43.7:270607:0.6:0,5:43.34:185404:0.6:0,5:42.74:152018:0.6:0,5:42.25:152574:0.6:0,5:42.29:152633:0.6:0,5:42.63:172742:0.6:0,5:145.96:446497:0.6:0,5:43.31:241867:0.6:0,5:43.42:188372:0.6:0,[5:43.17:144758:0.6:0
SIMO_122019C60,1:42.72,1:42.02,1:41.93,1:42.9:273079:0.8:0,1:43.7:270607:0.8:0,1:43.34:185404:0.8:0,1:42.74:152018:0.8:0,1:42.25:152574:0.8:0,1:42.29:152633:0.8:0,1:42.63:172742:0.8:0,U:145.96:446497:0.0:0:145.96:446497:.:,1:43.31:241867:0.8:0,1:43.42:188372:0.8:0,[1:43.17:144758:0.8:0
SIMO_011720C22.5,U,U,U,U,U,U,U,U,U,U,U,0:43.31:241867:0.0:0,0:43.42:188372:0.0:0,[0:43.17:144758:0.0:0
SIMO_011720C30,U,U,U,U,U,U,U,U,U,U,U,0:43.31:241867:0.0:0,0:43.42:188372:0.0:0,[0:43.17:144758:0.0:0
SIMO_011720C55,U,U,U,U,U,U,U,U,U,U,U,0:43.31:241867:0.0:0,0:43.42:188372:0.0:0,[0:43.17:144758:0.0:0
SIMO_011720C60,U,U,U,U,U,U,U,U,U,U,U,0:43.31:241867:0.0:0,0:43.42:188372:0.0:0,[0:43.17:144758:0.0:0
SIMO_011720C45,U,U,U,U,U,U,U,U,U,U,U,0:43.31:241867:1.65:1,1:43.42:188372:1.65:0,[1:43.17:144758:1.65:0
SIMO_011720C50,U,U,U,U,U,U,U,U,U,U,U,0:43.31:241867:0.35:4,4:43.42:188372:0.35:0,[4:43.17:144758:0.35:0
SIMO_011720C35,U,U,U,U,U,U,U,U,U,U,U,0:43.31:241867:0.0:0,0:43.42:188372:0.0:0,[0:43.17:144758:0.0:0
SIMO_011720C40,U,U,U,U,U,U,U,U,U,U,U,0:43.31:241867:0.0:0,0:43.42:188372:0.0:0,[0:43.17:144758:0.0:0
SIMO_011720C25,U,U,U,U,U,U,U,U,U,U,U,0:43.31:241867:0.0:0,0:43.42:188372:0.0:0,[0:43.17:144758:0.0:0
