Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
SIMO_122019P22.5,0:42.72,0:42.02,0:41.93,0:42.9:273079:0.0:0,0:43.7:270607:0.0:0,0:43.34:185404:0.0:0,0:42.74:152018:0.0:0,0:42.25:152574:0.0:0,0:42.29:152633:0.0:0,0:42.63:172742:0.0:0,0:145.96:446497:0.0:0,0:43.31:241867:0.0:0,0:43.42:188372:0.0:0,[0:43.17:144758:0.0:0
SIMO_122019P25,1:42.72,1:42.02,1:41.93,1:42.9:273079:0.15:0,1:43.7:270607:0.15:0,1:43.34:185404:0.15:0,1:42.74:152018:0.15:0,1:42.25:152574:0.15:0,1:42.29:152633:0.15:0,1:42.63:172742:0.15:0,1:145.96:446497:0.15:0,1:43.31:241867:0.15:0,1:43.42:188372:0.15:0,[1:43.17:144758:0.15:0
SIMO_122019P30,266:42.72,266:42.02,266:41.93,266:42.9:273079:0.3:0,266:43.7:270607:0.3:0,266:43.34:185404:0.3:0,266:42.74:152018:0.3:0,266:42.25:152574:0.3:0,266:42.29:152633:0.3:0,266:42.63:172742:0.3:0,266:145.96:446497:0.3:0,266:43.31:241867:0.3:0,266:43.42:188372:0.3:0,[266:43.17:144758:0.3:0
SIMO_122019P35,31:42.72,31:42.02,31:41.93,31:42.9:273079:0.25:0,31:43.7:270607:0.25:0,31:43.34:185404:0.25:0,31:42.74:152018:0.25:0,31:42.25:152574:0.16:5,26:42.29:152633:0.15:2,28:42.63:172742:0.15:0,28:145.96:446497:0.15:0,28:43.31:241867:0.15:0,28:43.42:188372:0.11:10,[28:43.17:144758:0.11:0
SIMO_122019P40,27:42.72,27:42.02,27:41.93,27:42.9:273079:1.2:0,27:43.7:270607:1.2:0,27:43.34:185404:1.2:0,27:42.74:152018:0.6:5,31:42.25:152574:0.6:0,31:42.29:152633:0.6:0,31:42.63:172742:0.6:0,31:145.96:446497:0.59:25,56:43.31:241867:0.59:0,56:43.42:188372:0.59:0,[56:43.17:144758:0.59:0
SIMO_122019P45,0:42.72,0:42.02,2:41.93,2:42.9:273079:3.6:0,2:43.7:270607:3.6:0,2:43.34:185404:3.6:0,2:42.74:152018:3.6:0,2:42.25:152574:3.6:0,2:42.29:152633:3.6:0,2:42.63:172742:3.6:0,2:145.96:446497:3.6:0,2:43.31:241867:3.6:0,2:43.42:188372:3.6:0,[2:43.17:144758:3.6:0
SIMO_122019P50,3:42.72,3:42.02,3:41.93,3:42.9:273079:7.5:0,3:43.7:270607:7.5:0,3:43.34:185404:7.5:0,3:42.74:152018:6.1:3,3:42.25:152574:6.1:0,3:42.29:152633:6.1:0,3:42.63:172742:6.1:0,3:145.96:446497:6.1:0,3:43.31:241867:6.1:0,3:43.42:188372:6.1:0,[3:43.17:144758:6.1:0
SIMO_122019P55,0:42.72,0:42.02,0:41.93,0:42.9:273079:0.0:0,0:43.7:270607:0.0:0,0:43.34:185404:0.0:0,0:42.74:152018:0.0:0,0:42.25:152574:0.0:0,0:42.29:152633:0.0:0,0:42.63:172742:0.0:0,0:145.96:446497:0.0:0,0:43.31:241867:0.0:0,0:43.42:188372:0.0:0,[0:43.17:144758:0.0:0
SIMO_122019P60,0:42.72,0:42.02,0:41.93,0:42.9:273079:21.1:0,0:43.7:270607:21.1:0,0:43.34:185404:21.1:0,0:42.74:152018:21.1:0,0:42.25:152574:21.1:0,0:42.29:152633:21.1:0,0:42.63:172742:21.1:0,0:145.96:446497:21.1:0,0:43.31:241867:21.1:0,0:43.42:188372:21.1:0,[0:43.17:144758:21.1:0
SIMO_011720P22.5,U,U,U,U,U,U,U,U,U,U,0:145.96:446497:0.0:0,0:43.31:241867:0.0:0,0:43.42:188372:0.0:0,[0:43.17:144758:0.0:0
SIMO_011720P25,U,U,U,U,U,U,U,U,U,U,0:145.96:446497:0.0:0,0:43.31:241867:0.0:0,0:43.42:188372:0.0:0,[0:43.17:144758:0.0:0
SIMO_011720P30,U,U,U,U,U,U,U,U,U,U,0:145.96:446497:0.0:0,0:43.31:241867:0.0:0,0:43.42:188372:0.0:0,[0:43.17:144758:0.0:0
SIMO_011720P35,U,U,U,U,U,U,U,U,U,U,0:145.96:446497:0.0:0,0:43.31:241867:0.0:0,0:43.42:188372:0.0:0,[0:43.17:144758:0.0:0
SIMO_011720P40,U,U,U,U,U,U,U,U,U,U,0:145.96:446497:0.0:0,0:43.31:241867:0.0:0,0:43.42:188372:0.0:0,[0:43.17:144758:0.0:0
SIMO_011720P45,U,U,U,U,U,U,U,U,U,U,0:145.96:446497:0.0:0,0:43.31:241867:0.0:0,0:43.42:188372:0.0:0,[0:43.17:144758:0.0:0
SIMO_011720P50,U,U,U,U,U,U,U,U,U,U,0:145.96:446497:0.0:0,0:43.31:241867:0.0:0,0:43.42:188372:0.0:0,[0:43.17:144758:0.0:0
SIMO_011720P55,U,U,U,U,U,U,U,U,U,U,0:145.96:446497:0.0:0,0:43.31:241867:0.0:0,0:43.42:188372:0.0:0,[0:43.17:144758:0.0:0
SIMO_011720P60,U,U,U,U,U,U,U,U,U,U,0:145.96:446497:0.0:0,0:43.31:241867:0.0:0,0:43.42:188372:0.0:0,[0:43.17:144758:0.0:0
