Symbol,20191028,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
SPLK_112219P110,12:120.0,11:120.47,15:119.96,16.0,16:121.03,30:123.37,32:123.4,33:122.8:864592:1.19:9,42:125.03:1115901:1.19:0,42:124.75:987674:0.8:2,40:124.88:908598:0.69:22,53:124.72:793645:0.69:0,53:116.99:3267203:1.8:100,135:119.2:2339469:1.31:31,160:122.79:2163375:0.7:47,218:126.81:2062781:0.4:238,U:126.84:3749039:U:U,584:140.5:12249338:0.03:98
SPLK_112219P111,4:120.0,4:120.47,4:119.96,4.0,2:121.03,2:123.37,2:123.4,2:122.8:864592:1.75:0,2:125.03:1115901:1.05:5,7:124.75:987674:1.05:0,7:124.88:908598:0.83:3,10:124.72:793645:0.83:0,10:116.99:3267203:2.18:3,10:119.2:2339469:2.55:1,U:122.79:2163375::,74:126.81:2062781:0.52:7,U:126.84:3749039:U:U,236:140.5:12249338:0.02:23
SPLK_112219P112,7:120.0,7:120.47,7:119.96,8.0,8:121.03,9:123.37,9:123.4,10:122.8:864592:1.55:0,10:125.03:1115901:1.55:0,10:124.75:987674:1.55:0,10:124.88:908598:1.55:0,10:124.72:793645:1.55:0,10:116.99:3267203:2.56:19,29:119.2:2339469:1.8:13,U:122.79:2163375::,195:126.81:2062781:0.6:19,198:126.84:3749039:0.63:733,656:140.5:12249338:0.03:129
SPLK_112219P113,3:120.0,6:120.47,5:119.96,5.0,5:121.03,5:123.37,5:123.4,5:122.8:864592:1.8:0,5:125.03:1115901:1.8:0,5:124.75:987674:1.17:3,6:124.88:908598:1.17:0,6:124.72:793645:1.17:0,6:116.99:3267203:2.83:49,49:119.2:2339469:2.15:31,U:122.79:2163375::,U:126.81:2062781:U:U,82:126.84:3749039:0.74:295,237:140.5:12249338:0.02:95
SPLK_112219P114,1:120.0,1:120.47,1:119.96,1.0,1:121.03,1:123.37,1:123.4,1:122.8:864592:4.2:0,1:125.03:1115901:4.2:0,1:124.75:987674:4.2:0,1:124.88:908598:4.2:0,1:124.72:793645:4.2:0,1:116.99:3267203:3.4:11,12:119.2:2339469:2.3:9,U:122.79:2163375::,91:126.81:2062781:0.85:20,U:126.84:3749039:U:U,U:140.5:12249338:U:U
SPLK_112219P115,48:120.0,50:120.47,62:119.96,62.0,60:121.03,138:123.37,139:123.4,139:122.8:864592:2.21:1,138:125.03:1115901:1.8:10,137:124.75:987674:1.65:17,151:124.88:908598:1.65:0,151:124.72:793645:1.44:6,152:116.99:3267203:3.7:469,535:119.2:2339469:2.6:369,U:122.79:2163375::,461:126.81:2062781:1.05:258,531:126.84:3749039:1.02:922,1067:140.5:12249338:0.03:386
SPLK_112219P116,2:120.0,2:120.47,2:119.96,2.0,2:121.03,47:123.37,54:123.4,55:122.8:864592:2.5:8,61:125.03:1115901:2.5:0,61:124.75:987674:1.8:55,107:124.88:908598:1.86:4,111:124.72:793645:1.86:0,111:116.99:3267203:4.4:41,127:119.2:2339469:3.2:76,U:122.79:2163375::,198:126.81:2062781:1.2:107,213:126.84:3749039:1.16:283,375:140.5:12249338:0.05:113
SPLK_112219P117,1:120.0,1:120.47,2:119.96,2.0,24:121.03,34:123.37,36:123.4,36:122.8:864592:2.96:0,36:125.03:1115901:2.8:3,36:124.75:987674:2.0:5,40:124.88:908598:1.9:5,44:124.72:793645:2.08:2,43:116.99:3267203:4.8:27,61:119.2:2339469:3.35:15,U:122.79:2163375::,92:126.81:2062781:1.45:26,97:126.84:3749039:1.4:291,291:140.5:12249338:0.03:28
SPLK_112219P118,3:120.0,5:120.47,4:119.96,4.0,4:121.03,4:123.37,6:123.4,10:122.8:864592:3.4:1,11:125.03:1115901:2.61:5,12:124.75:987674:2.3:1,13:124.88:908598:2.1:3,13:124.72:793645:2.2:5,14:116.99:3267203:5.2:54,61:119.2:2339469:3.76:24,74:122.79:2163375:2.7:221,347:126.81:2062781:1.65:79,357:126.84:3749039:1.59:496,401:140.5:12249338:0.05:40
SPLK_112219P119,0:120.0,0:120.47,0:119.96,0.0,4:121.03,4:123.37,4:123.4,4:122.8:864592:3.6:0,4:125.03:1115901:3.6:0,4:124.75:987674:2.43:2,6:124.88:908598:2.56:10,14:124.72:793645:2.5:4,18:116.99:3267203:5.65:8,20:119.2:2339469:4.2:44,U:122.79:2163375::,90:126.81:2062781:1.92:45,100:126.84:3749039:1.85:382,384:140.5:12249338:0.04:29
SPLK_112219P120,25:120.0,26:120.47,36:119.96,38.0,85:121.03,88:123.37,88:123.4,90:122.8:864592:3.8:23,90:125.03:1115901:3.6:2,91:124.75:987674:2.8:28,92:124.88:908598:2.7:12,92:124.72:793645:2.79:7,87:116.99:3267203:6.04:22,86:119.2:2339469:4.6:23,94:122.79:2163375:3.3:103,207:126.81:2062781:2.15:58,241:126.84:3749039:2.15:1870,1042:140.5:12249338:0.05:58
SPLK_112219P121,0:120.0,0:120.47,0:119.96,0.0,6:121.03,6:123.37,6:123.4,6:122.8:864592:4.4:0,6:125.03:1115901:3.4:4,4:124.75:987674:3.4:18,20:124.88:908598:3.2:10,29:124.72:793645:3.2:5,34:116.99:3267203:3.2:0,34:119.2:2339469:5.2:44,51:122.79:2163375:3.7:132,165:126.81:2062781:2.55:25,181:126.84:3749039:2.41:524,521:140.5:12249338:0.05:214
SPLK_112219P122,4:120.0,4:120.47,4:119.96,4.0,52:121.03,52:123.37,52:123.4,52:122.8:864592:5.8:0,52:125.03:1115901:4.5:5,56:124.75:987674:3.9:8,62:124.88:908598:3.4:3,64:124.72:793645:3.6:9,66:116.99:3267203:7.2:11,61:119.2:2339469:6.13:3,61:122.79:2163375:4.22:152,166:126.81:2062781:2.78:26,179:126.84:3749039:2.79:569,568:140.5:12249338:0.03:255
SPLK_112219P123,0:120.0,0:120.47,0:119.96,0.0,11:121.03,12:123.37,13:123.4,12:122.8:864592:5.6:1,12:125.03:1115901:5.3:5,14:124.75:987674:3.9:19,32:124.88:908598:4.0:4,36:124.72:793645:3.93:6,41:116.99:3267203:7.62:18,40:119.2:2339469:7.62:0,40:122.79:2163375:4.8:111,119:126.81:2062781:3.22:11,125:126.84:3749039:3.05:1044,794:140.5:12249338:0.01:348
SPLK_112219P124,0:120.0,0:120.47,0:119.96,0.0,5:121.03,19:123.37,19:123.4,31:122.8:864592:5.6:3,33:125.03:1115901:5.41:5,37:124.75:987674:4.4:5,42:124.88:908598:4.4:0,42:124.72:793645:4.65:23,47:116.99:3267203:9.1:4,45:119.2:2339469:9.56:11,51:122.79:2163375:5.2:2,80:126.81:2062781:3.57:73,84:126.84:3749039:3.5:778,684:140.5:12249338:0.01:318
SPLK_112219P125,0:120.0,0:120.47,0:119.96,0.0,0:121.03,5:123.37,5:123.4,5:122.8:864592:6.9:0,5:125.03:1115901:5.1:3,8:124.75:987674:5.1:27,33:124.88:908598:4.9:3,36:124.72:793645:5.0:3,39:116.99:3267203:9.8:15,36:119.2:2339469:9.0:7,U:122.79:2163375::,81:126.81:2062781:4.2:59,91:126.84:3749039:3.82:568,440:140.5:12249338:0.03:98
SPLK_112219P126,0:120.0,0:120.47,0:119.96,0.0,0:121.03,0:123.37,0:123.4,4:122.8:864592:7.5:0,4:125.03:1115901:7.5:0,4:124.75:987674:5.6:21,15:124.88:908598:5.5:1,15:124.72:793645:5.7:1,16:116.99:3267203:9.5:7,23:119.2:2339469:9.5:0,23:122.79:2163375:9.5:0,22:126.81:2062781:4.44:40,39:126.84:3749039:4.3:335,215:140.5:12249338:0.03:119
SPLK_112219P127,0:120.0,0:120.47,0:119.96,1.0,26:121.03,26:123.37,26:123.4,29:122.8:864592:7.0:7,36:125.03:1115901:6.39:2,36:124.75:987674:6.39:0,36:124.88:908598:5.6:5,41:124.72:793645:6.3:1,42:116.99:3267203:6.3:0,42:119.2:2339469:11.6:6,U:122.79:2163375::,42:126.81:2062781:4.8:174,172:126.84:3749039:4.72:152,162:140.5:12249338:0.06:123
SPLK_112219P128,0:120.0,0:120.47,4:119.96,4.0,4:121.03,14:123.37,15:123.4,15:122.8:864592:8.3:3,18:125.03:1115901:8.3:0,18:124.75:987674:8.3:0,18:124.88:908598:6.7:1,18:124.72:793645:6.7:0,18:116.99:3267203:11.6:15,24:119.2:2339469:11.6:0,U:122.79:2163375::,24:126.81:2062781:5.28:71,73:126.84:3749039:5.49:24,95:140.5:12249338:0.05:72
SPLK_112219P129,0:120.0,0:120.47,0:119.96,0.0,0:121.03,0:123.37,0:123.4,2:122.8:864592:9.5:0,2:125.03:1115901:8.49:1,3:124.75:987674:7.2:4,7:124.88:908598:7.2:0,7:124.72:793645:7.2:0,7:116.99:3267203:7.2:0,7:119.2:2339469:13.3:9,14:122.79:2163375:9.4:1,14:126.81:2062781:6.9:7,14:126.84:3749039:6.3:3,14:140.5:12249338:0.05:237
SPLK_112919P110,85:120.0,85:120.47,85:119.96,98.0,109:121.03,109:123.37,118:123.4,118:122.8:864592:1.4:1,118:125.03:1115901:1.3:2,119:124.75:987674:1.1:21,121:124.88:908598:1.1:0,121:124.72:793645:1.1:0,121:116.99:3267203:2.25:3,123:119.2:2339469:1.63:30,U:122.79:2163375::,168:126.81:2062781:0.6:23,191:126.84:3749039:0.7:197,168:140.5:12249338:0.07:40
SPLK_112919P111,3:120.0,1:120.47,1:119.96,1.0,13:121.03,17:123.37,17:123.4,17:122.8:864592:1.85:0,17:125.03:1115901:1.85:0,17:124.75:987674:1.15:1,18:124.88:908598:1.15:0,18:124.72:793645:1.18:1,18:116.99:3267203:2.55:7,20:119.2:2339469:2.8:1,21:122.79:2163375:1.11:7,28:126.81:2062781:1.11:0,U:126.84:3749039:U:U,39:140.5:12249338:0.06:12
SPLK_112919P112,50:120.0,50:120.47,50:119.96,50.0,155:121.03,155:123.37,155:123.4,155:122.8:864592:1.8:8,158:125.03:1115901:1.8:0,158:124.75:987674:1.45:1,158:124.88:908598:1.45:0,158:124.72:793645:1.45:0,158:116.99:3267203:2.85:37,169:119.2:2339469:2.02:13,178:122.79:2163375:1.4:19,174:126.81:2062781:0.85:53,174:126.84:3749039:0.95:50,203:140.5:12249338:0.02:11
SPLK_112919P113,0:120.0,0:120.47,0:119.96,2.0,11:121.03,11:123.37,11:123.4,11:122.8:864592:1.95:1,12:125.03:1115901:1.65:1,13:124.75:987674:1.45:3,16:124.88:908598:1.45:0,16:124.72:793645:1.45:0,16:116.99:3267203:1.45:0,16:119.2:2339469:2.3:11,U:122.79:2163375::,40:126.81:2062781:1.07:2,38:126.84:3749039:1.11:157,115:140.5:12249338:0.05:5
SPLK_112919P114,0:120.0,0:120.47,0:119.96,0.0,0:121.03,0:123.37,0:123.4,0:122.8:864592:2.2:5,4:125.03:1115901:2.2:0,4:124.75:987674:1.6:2,4:124.88:908598:1.6:0,4:124.72:793645:1.6:1,4:116.99:3267203:1.6:0,4:119.2:2339469:2.68:36,33:122.79:2163375:1.71:9,36:126.81:2062781:1.07:23,39:126.84:3749039:1.25:44,71:140.5:12249338:0.01:24
SPLK_112919P115,9:120.0,15:120.47,15:119.96,15.0,32:121.03,33:123.37,33:123.4,32:122.8:864592:2.59:8,31:125.03:1115901:2.05:4,31:124.75:987674:1.9:5,36:124.88:908598:1.9:0,36:124.72:793645:1.9:0,36:116.99:3267203:4.0:52,81:119.2:2339469:3.1:1333,1343:122.79:2163375:2.03:17,U:126.81:2062781:U:U,U:126.84:3749039:U:U,1573:140.5:12249338:0.03:304
SPLK_112919P116,6:120.0,6:120.47,6:119.96,6.0,6:121.03,6:123.37,6:123.4,31:122.8:864592:2.85:22,34:125.03:1115901:2.34:8,41:124.75:987674:2.34:0,41:124.88:908598:2.34:0,41:124.72:793645:2.34:0,41:116.99:3267203:4.2:3,41:119.2:2339469:3.53:17,U:122.79:2163375::,U:126.81:2062781:U:U,U:126.84:3749039:U:U,221:140.5:12249338:0.03:86
SPLK_112919P117,1:120.0,1:120.47,1:119.96,1.0,1:121.03,1:123.37,1:123.4,1:122.8:864592:3.2:15,7:125.03:1115901:3.0:10,13:124.75:987674:2.4:3,14:124.88:908598:2.25:1,15:124.72:793645:2.25:0,15:116.99:3267203:4.8:104,113:119.2:2339469:3.8:23,133:122.79:2163375:2.75:7,138:126.81:2062781:1.5:3,139:126.84:3749039:1.85:21,145:140.5:12249338:0.03:23
SPLK_112919P118,1:120.0,1:120.47,1:119.96,1.0,6:121.03,12:123.37,12:123.4,102:122.8:864592:3.6:4,102:125.03:1115901:2.8:1,103:124.75:987674:2.5:2,105:124.88:908598:2.55:1,106:124.72:793645:2.55:0,106:116.99:3267203:5.5:21,120:119.2:2339469:4.05:66,178:122.79:2163375:3.22:162,337:126.81:2062781:1.69:7,341:126.84:3749039:2.09:176,294:140.5:12249338:0.08:13
SPLK_112919P119,0:120.0,0:120.47,0:119.96,2.0,8:121.03,8:123.37,9:123.4,9:122.8:864592:4.0:4,10:125.03:1115901:4.0:0,10:124.75:987674:3.1:1,11:124.88:908598:3.2:1,11:124.72:793645:2.8:11,21:116.99:3267203:5.97:100,121:119.2:2339469:4.76:50,U:122.79:2163375::,162:126.81:2062781:2.2:14,164:126.84:3749039:2.33:57,171:140.5:12249338:0.05:54
SPLK_112919P120,15:120.0,15:120.47,16:119.96,16.0,16:121.03,27:123.37,32:123.4,39:122.8:864592:4.4:15,47:125.03:1115901:4.1:10,46:124.75:987674:3.1:3,49:124.88:908598:3.1:0,49:124.72:793645:3.1:0,49:116.99:3267203:6.55:21,59:119.2:2339469:5.31:1394,1414:122.79:2163375:3.7:45,1438:126.81:2062781:2.55:34,1446:126.84:3749039:2.6:480,1743:140.5:12249338:0.05:370
SPLK_112919P121,6:120.0,6:120.47,9:119.96,9.0,9:121.03,27:123.37,27:123.4,29:122.8:864592:5.1:0,29:125.03:1115901:5.1:0,29:124.75:987674:3.66:10,38:124.88:908598:3.6:3,41:124.72:793645:3.5:9,50:116.99:3267203:3.5:0,50:119.2:2339469:7.1:5,U:122.79:2163375::,135:126.81:2062781:2.84:22,137:126.84:3749039:3.0:62,172:140.5:12249338:0.1:54
SPLK_112919P122,4:120.0,4:120.47,4:119.96,4.0,4:121.03,21:123.37,21:123.4,22:122.8:864592:4.9:4,26:125.03:1115901:5.3:4,24:124.75:987674:4.1:6,27:124.88:908598:3.9:16,36:124.72:793645:3.9:6,33:116.99:3267203:3.9:0,33:119.2:2339469:7.7:3,36:122.79:2163375:4.54:156,180:126.81:2062781:3.3:22,190:126.84:3749039:3.27:46,U:140.5:12249338:U:U
SPLK_112919P123,0:120.0,0:120.47,0:119.96,0.0,0:121.03,4:123.37,6:123.4,5:122.8:864592:5.6:6,5:125.03:1115901:4.8:9,10:124.75:987674:4.2:2,9:124.88:908598:4.4:2,11:124.72:793645:4.3:8,19:116.99:3267203:8.0:3,18:119.2:2339469:8.0:0,18:122.79:2163375:5.0:52,67:126.81:2062781:3.55:16,80:126.84:3749039:3.7:43,100:140.5:12249338:0.05:21
SPLK_112919P124,0:120.0,0:120.47,0:119.96,0.0,0:121.03,16:123.37,16:123.4,9:122.8:864592:6.2:1,10:125.03:1115901:6.0:2,11:124.75:987674:4.88:14,21:124.88:908598:4.88:0,21:124.72:793645:4.7:11,32:116.99:3267203:7.9:8,30:119.2:2339469:7.9:0,30:122.79:2163375:7.9:0,31:126.81:2062781:3.88:34,48:126.84:3749039:4.2:13,51:140.5:12249338:0.15:12
SPLK_112919P125,0:120.0,0:120.47,0:119.96,0.0,0:121.03,7:123.37,7:123.4,7:122.8:864592:6.8:3,10:125.03:1115901:6.9:1,11:124.75:987674:5.25:7,18:124.88:908598:5.57:1,19:124.72:793645:5.57:0,19:116.99:3267203:8.53:7,19:119.2:2339469:8.53:0,19:122.79:2163375:6.35:1,24:126.81:2062781:4.33:22,32:126.84:3749039:4.4:69,79:140.5:12249338:0.08:42
SPLK_112919P126,0:120.0,0:120.47,0:119.96,0.0,0:121.03,0:123.37,0:123.4,0:122.8:864592:0.0:0,0:125.03:1115901:0.0:0,0:124.75:987674:5.6:82,68:124.88:908598:5.6:0,68:124.72:793645:5.6:0,68:116.99:3267203:5.6:0,68:119.2:2339469:11.3:2,66:122.79:2163375:11.3:0,66:126.81:2062781:4.8:24,82:126.84:3749039:5.0:219,199:140.5:12249338:0.08:140
SPLK_112919P127,0:120.0,0:120.47,0:119.96,0.0,0:121.03,0:123.37,0:123.4,0:122.8:864592:0.0:0,0:125.03:1115901:8.1:1,1:124.75:987674:8.1:0,1:124.88:908598:8.1:0,1:124.72:793645:8.1:0,1:116.99:3267203:8.1:0,1:119.2:2339469:8.1:0,1:122.79:2163375:8.1:0,2:126.81:2062781:5.4:59,41:126.84:3749039:5.46:14,50:140.5:12249338:0.4:11
SPLK_112919P128,0:120.0,0:120.47,0:119.96,0.0,0:121.03,0:123.37,0:123.4,0:122.8:864592:0.0:0,0:125.03:1115901:8.3:7,3:124.75:987674:6.6:2,5:124.88:908598:6.6:0,5:124.72:793645:6.6:0,5:116.99:3267203:11.1:6,11:119.2:2339469:11.0:1,11:122.79:2163375:11.0:0,17:126.81:2062781:5.65:2,17:126.84:3749039:5.9:12,29:140.5:12249338:0.1:276
SPLK_112919P129,0:120.0,0:120.47,0:119.96,0.0,0:121.03,1:123.37,1:123.4,1:122.8:864592:10.31:0,1:125.03:1115901:7.5:22,22:124.75:987674:7.5:0,22:124.88:908598:7.5:0,22:124.72:793645:7.5:0,22:116.99:3267203:7.5:0,22:119.2:2339469:7.5:0,U:122.79:2163375::,22:126.81:2062781:6.06:1,23:126.84:3749039:6.76:1,24:140.5:12249338:0.07:17
SPLK_120619P110,0:120.0,2:120.47,2:119.96,9.0,9:121.03,10:123.37,11:123.4,11:122.8:864592:2.0:0,11:125.03:1115901:2.0:0,11:124.75:987674:2.0:0,11:124.88:908598:1.26:8,19:124.72:793645:1.26:0,19:116.99:3267203:2.4:1,20:119.2:2339469:2.4:0,20:122.79:2163375:2.4:0,20:126.81:2062781:0.87:3,U:126.84:3749039:U:U,36:140.5:12249338:0.05:3
SPLK_120619P111,0:120.0,0:120.47,0:119.96,0.0,0:121.03,0:123.37,0:123.4,0:122.8:864592:0.0:0,0:125.03:1115901:0.0:0,0:124.75:987674:1.55:5,5:124.88:908598:1.55:0,5:124.72:793645:1.55:0,5:116.99:3267203:1.55:0,5:119.2:2339469:1.55:0,5:122.79:2163375:1.37:10,15:126.81:2062781:0.96:10,12:126.84:3749039:1.2:1,13:140.5:12249338:1.2:0
SPLK_120619P112,0:120.0,4:120.47,4:119.96,4.0,4:121.03,5:123.37,5:123.4,5:122.8:864592:2.6:0,5:125.03:1115901:2.6:0,5:124.75:987674:1.6:1,6:124.88:908598:1.6:0,6:124.72:793645:1.6:0,6:116.99:3267203:1.6:0,6:119.2:2339469:1.6:0,6:122.79:2163375:1.6:0,5:126.81:2062781:1.24:0,5:126.84:3749039:1.24:0,5:140.5:12249338:1.24:0
SPLK_120619P113,0:120.0,0:120.47,0:119.96,0.0,0:121.03,0:123.37,0:123.4,0:122.8:864592:0.0:0,0:125.03:1115901:0.0:0,0:124.75:987674:0.0:0,0:124.88:908598:0.0:0,0:124.72:793645:0.0:0,0:116.99:3267203:0.0:0,0:119.2:2339469:0.0:0,0:122.79:2163375:2.05:3,5:126.81:2062781:1.75:0,5:126.84:3749039:1.75:0,5:140.5:12249338:0.12:1
SPLK_120619P114,0:120.0,0:120.47,0:119.96,0.0,0:121.03,0:123.37,0:123.4,0:122.8:864592:0.0:0,0:125.03:1115901:0.0:0,0:124.75:987674:0.0:0,0:124.88:908598:0.0:0,0:124.72:793645:0.0:0,0:116.99:3267203:0.0:0,0:119.2:2339469:3.4:3,3:122.79:2163375:2.4:1,4:126.81:2062781:1.45:3,7:126.84:3749039:1.45:0,7:140.5:12249338:1.45:0
