Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
SPNS_122019C15,0:22.69:93506:0.0:0,0:22.12:139079:0.0:0,0:21.98:127916:0.0:0,0:22.19:68848:0.0:0,0:22.7:60514:0.0:0,0:22.62:54709:0.0:0,U:122.79:2163375::,0:22.37:119989:0.0:0,0:21.99:75298:0.0:0,[0:22.1:61036:0.0:0
SPNS_122019C17.5,0:22.69:93506:0.0:0,0:22.12:139079:0.0:0,0:21.98:127916:0.0:0,0:22.19:68848:0.0:0,0:22.7:60514:0.0:0,0:22.62:54709:0.0:0,U:122.79:2163375::,0:22.37:119989:0.0:0,0:21.99:75298:0.0:0,[0:22.1:61036:0.0:0
SPNS_122019C20,2:22.69:93506:3.0:0,2:22.12:139079:3.0:0,2:21.98:127916:3.0:0,2:22.19:68848:3.0:0,2:22.7:60514:2.95:4,6:22.62:54709:2.9:1,U:122.79:2163375::,6:22.37:119989:2.6:1,5:21.99:75298:2.6:0,[5:22.1:61036:2.6:0
SPNS_122019C22.5,14:22.69:93506:0.9:0,14:22.12:139079:0.7:1,14:21.98:127916:0.7:0,14:22.19:68848:0.7:0,14:22.7:60514:0.7:0,14:22.62:54709:1.1:10,U:122.79:2163375::,34:22.37:119989:0.5:0,34:21.99:75298:0.5:0,[34:22.1:61036:0.5:0
SPNS_122019C25,113:22.69:93506:0.35:0,113:22.12:139079:0.35:0,113:21.98:127916:0.35:0,113:22.19:68848:0.35:0,113:22.7:60514:0.2:3,116:22.62:54709:0.2:0,U:122.79:2163375::,116:22.37:119989:0.2:0,116:21.99:75298:0.2:0,[116:22.1:61036:0.2:0
SPNS_011720C10,U,U,U,U,1:22.7:60514:5.8:0,1:22.62:54709:5.8:0,U:122.79:2163375::,1:22.37:119989:5.8:0,1:21.99:75298:5.8:0,[1:22.1:61036:5.8:0
SPNS_011720C12.5,U,U,U,U,0:22.7:60514:5.48:0,0:22.62:54709:5.48:0,U:122.79:2163375::,0:22.37:119989:5.48:0,0:21.99:75298:5.48:0,[0:22.1:61036:5.48:0
SPNS_011720C15,U,U,U,U,194:22.7:60514:7.1:0,194:22.62:54709:7.1:0,U:122.79:2163375::,163:22.37:119989:7.2:0,163:21.99:75298:7.2:0,[163:22.1:61036:7.2:0
SPNS_011720C17.5,U,U,U,U,45:22.7:60514:4.8:0,45:22.62:54709:4.8:0,U:122.79:2163375::,45:22.37:119989:4.8:0,45:21.99:75298:4.8:0,[45:22.1:61036:4.8:0
SPNS_011720C20,U,U,U,U,221:22.7:60514:2.8:2,221:22.62:54709:2.92:5,U:122.79:2163375::,216:22.37:119989:2.92:0,216:21.99:75298:2.92:0,[216:22.1:61036:2.92:0
SPNS_011720C22.5,U,U,U,U,5:22.7:60514:1.65:0,5:22.62:54709:1.17:5,U:122.79:2163375:::122.79:2163375::,10:22.37:119989:1.17:0,10:21.99:75298:1.17:0,[10:22.1:61036:1.17:0
SPNS_011720C25,U,U,U,U,10:22.7:60514:0.19:0,10:22.62:54709:0.19:0,U:122.79:2163375::,10:22.37:119989:0.19:0,10:21.99:75298:0.19:0,[10:22.1:61036:0.19:0
