Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
SPNS_122019P15,0:22.69:93506:0.0:0,0:22.12:139079:0.0:0,0:21.98:127916:0.0:0,0:22.19:68848:0.0:0,0:22.7:60514:0.0:0,0:22.62:54709:0.0:0,U:122.79:2163375::,0:22.37:119989:0.0:0,0:21.99:75298:0.0:0,[0:22.1:61036:0.0:0
SPNS_122019P17.5,0:22.69:93506:0.0:0,0:22.12:139079:0.0:0,0:21.98:127916:0.0:0,0:22.19:68848:0.0:0,0:22.7:60514:0.0:0,0:22.62:54709:0.0:0,U:122.79:2163375::,0:22.37:119989:0.0:0,0:21.99:75298:0.0:0,[0:22.1:61036:0.0:0
SPNS_122019P20,0:22.69:93506:0.0:0,0:22.12:139079:0.0:0,0:21.98:127916:0.0:0,0:22.19:68848:0.0:0,0:22.7:60514:0.0:0,0:22.62:54709:0.0:0,U:122.79:2163375::,0:22.37:119989:0.0:0,0:21.99:75298:0.0:0,[0:22.1:61036:0.0:0
SPNS_122019P22.5,5:22.69:93506:0.6:0,5:22.12:139079:0.6:0,5:21.98:127916:0.6:0,5:22.19:68848:0.6:0,5:22.7:60514:0.6:0,5:22.62:54709:0.6:0,U:122.79:2163375::,5:22.37:119989:0.6:0,5:21.99:75298:0.6:0,[5:22.1:61036:0.6:0
SPNS_122019P25,0:22.69:93506:0.0:0,0:22.12:139079:0.0:0,0:21.98:127916:0.0:0,0:22.19:68848:0.0:0,0:22.7:60514:0.0:0,0:22.62:54709:0.0:0,U:122.79:2163375::,0:22.37:119989:0.0:0,0:21.99:75298:0.0:0,[0:22.1:61036:0.0:0
SPNS_011720P10,U,U,U,U,10:22.7:60514:0.09:0,10:22.62:54709:0.09:0,U:122.79:2163375::,10:22.37:119989:0.09:0,10:21.99:75298:0.09:0,[10:22.1:61036:0.09:0
SPNS_011720P12.5,U,U,U,U,10:22.7:60514:0.45:0,10:22.62:54709:0.45:0,U:122.79:2163375::,10:22.37:119989:0.45:0,10:21.99:75298:0.45:0,[10:22.1:61036:0.45:0
SPNS_011720P15,U,U,U,U,30:22.7:60514:0.14:0,30:22.62:54709:0.14:0,U:122.79:2163375::,30:22.37:119989:0.14:0,30:21.99:75298:0.14:0,[30:22.1:61036:0.14:0
SPNS_011720P17.5,U,U,U,U,21:22.7:60514:0.39:0,21:22.62:54709:0.39:0,U:122.79:2163375::,21:22.37:119989:0.39:0,21:21.99:75298:0.39:0,[21:22.1:61036:0.39:0
SPNS_011720P20,U,U,U,U,10:22.7:60514:0.25:0,10:22.62:54709:0.25:0,U:122.79:2163375::,10:22.37:119989:0.25:0,10:21.99:75298:0.25:0,[10:22.1:61036:0.25:0
SPNS_011720P22.5,U,U,U,U,0:22.7:60514:0.0:0,0:22.62:54709:0.0:0,U:122.79:2163375::,0:22.37:119989:0.0:0,0:21.99:75298:0.0:0,[0:22.1:61036:0.0:0
SPNS_011720P25,U,U,U,U,0:22.7:60514:0.0:0,0:22.62:54709:0.0:0,U:122.79:2163375:::122.79:2163375::,0:22.37:119989:0.0:0,0:21.99:75298:0.0:0,[0:22.1:61036:0.0:0
