Symbol,20191121
SPY_112219C303.5,98:310.57:34736150:6.95:0
SPY_112219C304,3931:310.57:34736150:6.36:385
SPY_112219C304.5,28:310.57:34736150:5.77:11
SPY_112219C305,11900:310.57:34736150:5.41:3664
SPY_112219C306,3684:310.57:34736150:4.45:321
SPY_112219C307,7893:310.57:34736150:3.31:1176
SPY_112219C307.5,2990:310.57:34736150:2.98:1390
SPY_112219C308,9400:310.57:34736150:2.48:4164
SPY_112219C309,5920:310.57:34736150:1.59:18061
SPY_112219C310,18955:310.57:34736150:0.86:79625
SPY_112219C311,15422:310.57:34736150:0.34:72936
SPY_112219C312,27718:310.57:34736150:0.11:36753
SPY_112219C312.5,15476:310.57:34736150:0.05:8499
SPY_112219C313,14532:310.57:34736150:0.04:10579
SPY_112219C314,22299:310.57:34736150:0.01:4036
SPY_112219C315,32441:310.57:34736150:0.01:2123
SPY_112219C316,9508:310.57:34736150:0.01:212
SPY_112219C317,3643:310.57:34736150:0.01:60
SPY_112219C317.5,550:310.57:34736150:0.01:0
SPY_112219C318,3458:310.57:34736150:0.01:15
SPY_112519C305.5,100:310.57:34736150:5.1:0
SPY_112519C306,687:310.57:34736150:4.56:43
SPY_112519C306.5,114:310.57:34736150:3.74:2
SPY_112519C307,645:310.57:34736150:3.87:183
SPY_112519C307.5,465:310.57:34736150:3.32:1398
SPY_112519C308,1571:310.57:34736150:2.71:1232
SPY_112519C308.5,1187:310.57:34736150:2.28:649
SPY_112519C309,1211:310.57:34736150:1.89:2485
SPY_112519C309.5,1517:310.57:34736150:1.53:2928
SPY_112519C310,3879:310.57:34736150:1.19:12943
SPY_112519C310.5,1679:310.57:34736150:0.88:8053
SPY_112519C311,2878:310.57:34736150:0.63:6820
SPY_112519C311.5,4281:310.57:34736150:0.46:3664
SPY_112519C312,13211:310.57:34736150:0.29:10991
SPY_112519C312.5,6130:310.57:34736150:0.21:1349
SPY_112519C313,8634:310.57:34736150:0.13:3481
SPY_112519C313.5,2844:310.57:34736150:0.07:657
SPY_112519C314,4423:310.57:34736150:0.04:983
SPY_112519C314.5,2182:310.57:34736150:0.03:360
SPY_112519C315,3749:310.57:34736150:0.02:386
SPY_112719C305.5,231:310.57:34736150:5.1:40
SPY_112719C306,924:310.57:34736150:5.05:214
SPY_112719C306.5,206:310.57:34736150:4.54:271
SPY_112719C307,1165:310.57:34736150:3.9:382
SPY_112719C307.5,230:310.57:34736150:3.69:146
SPY_112719C308,930:310.57:34736150:3.13:951
SPY_112719C308.5,303:310.57:34736150:2.7:919
SPY_112719C309,1105:310.57:34736150:2.34:3184
SPY_112719C309.5,691:310.57:34736150:1.99:2308
SPY_112719C310,4125:310.57:34736150:1.64:6037
SPY_112719C310.5,600:310.57:34736150:1.38:2756
SPY_112719C311,1422:310.57:34736150:1.08:7095
SPY_112719C311.5,782:310.57:34736150:0.86:1072
SPY_112719C312,2941:310.57:34736150:0.63:6865
SPY_112719C312.5,2243:310.57:34736150:0.46:3574
SPY_112719C313,3507:310.57:34736150:0.33:9679
SPY_112719C313.5,2294:310.57:34736150:0.25:203
SPY_112719C314,3980:310.57:34736150:0.16:1326
SPY_112719C314.5,2602:310.57:34736150:0.13:1373
SPY_112719C315,4151:310.57:34736150:0.08:599
SPY_112919C305.5,388:310.57:34736150:4.96:92
SPY_112919C306,13005:310.57:34736150:4.95:309
SPY_112919C306.5,318:310.57:34736150:4.74:71
SPY_112919C307,7647:310.57:34736150:4.26:386
SPY_112919C307.5,4393:310.57:34736150:3.68:884
SPY_112919C308,7994:310.57:34736150:3.27:1131
SPY_112919C308.5,1075:310.57:34736150:2.91:761
SPY_112919C309,5871:310.57:34736150:2.48:3021
SPY_112919C309.5,1240:310.57:34736150:2.2:2767
SPY_112919C310,17338:310.57:34736150:1.8:10313
SPY_112919C310.5,2795:310.57:34736150:1.5:6578
SPY_112919C311,7644:310.57:34736150:1.21:8672
SPY_112919C311.5,2163:310.57:34736150:0.97:4339
SPY_112919C312,17283:310.57:34736150:0.75:6799
SPY_112919C312.5,5357:310.57:34736150:0.58:2078
SPY_112919C313,15703:310.57:34736150:0.42:3128
SPY_112919C313.5,4731:310.57:34736150:0.31:901
SPY_112919C314,7129:310.57:34736150:0.21:9409
SPY_112919C314.5,1641:310.57:34736150:0.15:458
SPY_112919C315,30884:310.57:34736150:0.1:2201
SPY_120219C301,96:310.57:34736150:11.46:0
SPY_120219C302,254:310.57:34736150:8.84:3
SPY_120219C303,179:310.57:34736150:7.58:2
SPY_120219C304,164:310.57:34736150:7.18:6
SPY_120219C305,1263:310.57:34736150:6.28:112
SPY_120219C306,229:310.57:34736150:5.12:75
SPY_120219C307,471:310.57:34736150:4.57:58
SPY_120219C308,1089:310.57:34736150:3.69:49
SPY_120219C309,1638:310.57:34736150:2.87:284
SPY_120219C310,3650:310.57:34736150:2.09:1038
SPY_120219C311,1462:310.57:34736150:1.54:1066
SPY_120219C312,2391:310.57:34736150:0.98:371
SPY_120219C313,3345:310.57:34736150:0.64:390
SPY_120219C314,1794:310.57:34736150:0.35:338
SPY_120219C315,1000:310.57:34736150:0.2:317
SPY_120219C316,443:310.57:34736150:0.11:44
SPY_120219C317,1356:310.57:34736150:0.05:179
SPY_120219C318,1796:310.57:34736150:0.04:220
SPY_120219C319,787:310.57:34736150:0.03:19
SPY_120219C320,1872:310.57:34736150:0.02:174
SPY_120419C301,218:310.57:34736150:9.21:0
SPY_120419C302,341:310.57:34736150:9.0:0
SPY_120419C303,155:310.57:34736150:7.72:0
SPY_120419C304,255:310.57:34736150:6.94:10
SPY_120419C305,985:310.57:34736150:6.7:23
SPY_120419C306,261:310.57:34736150:5.28:43
SPY_120419C307,224:310.57:34736150:4.82:71
SPY_120419C308,421:310.57:34736150:4.05:66
SPY_120419C309,650:310.57:34736150:3.21:30
SPY_120419C310,1464:310.57:34736150:2.53:142
SPY_120419C311,1561:310.57:34736150:1.93:155
SPY_120419C312,1701:310.57:34736150:1.44:451
SPY_120419C313,944:310.57:34736150:0.94:100
SPY_120419C314,1480:310.57:34736150:0.66:106
SPY_120419C315,1612:310.57:34736150:0.41:451
SPY_120419C316,1446:310.57:34736150:0.25:103
SPY_120419C317,732:310.57:34736150:0.12:7
SPY_120419C318,9354:310.57:34736150:0.08:22
SPY_120419C319,641:310.57:34736150:0.05:11
SPY_120419C320,394:310.57:34736150:0.04:25
SPY_120619C302.5,843:310.57:34736150:8.55:41
SPY_120619C303,6095:310.57:34736150:8.38:153
SPY_120619C304,2042:310.57:34736150:7.52:159
SPY_120619C305,2212:310.57:34736150:6.63:619
SPY_120619C306,1844:310.57:34736150:6.03:280
SPY_120619C307,2042:310.57:34736150:5.08:719
SPY_120619C307.5,1794:310.57:34736150:4.74:944
SPY_120619C308,5691:310.57:34736150:4.27:738
SPY_120619C309,16926:310.57:34736150:3.62:4076
SPY_120619C310,3884:310.57:34736150:2.87:2354
SPY_120619C311,8215:310.57:34736150:2.23:1980
SPY_120619C312,5794:310.57:34736150:1.69:2385
SPY_120619C312.5,4402:310.57:34736150:1.45:1297
SPY_120619C313,13536:310.57:34736150:1.22:916
SPY_120619C314,2770:310.57:34736150:0.85:381
SPY_120619C315,4332:310.57:34736150:0.57:16659
SPY_120619C316,2093:310.57:34736150:0.36:319
SPY_120619C317,3746:310.57:34736150:0.22:504
SPY_120619C317.5,1882:310.57:34736150:0.19:412
SPY_120619C318,4154:310.57:34736150:0.17:450
SPY_120919C301,4:310.57:34736150:9.79:4
SPY_120919C302,17:310.57:34736150:9.09:2
SPY_120919C303,38:310.57:34736150:8.56:0
SPY_120919C304,46:310.57:34736150:7.18:0
SPY_120919C305,677:310.57:34736150:7.11:9
