Symbol,20191121
SPY_112219P303.5,8592:310.58:34740957:0.03:1535
SPY_112219P304,23883:310.58:34740957:0.04:5525
SPY_112219P304.5,3095:310.58:34740957:0.04:7221
SPY_112219P305,85952:310.58:34740957:0.05:30648
SPY_112219P306,17333:310.58:34740957:0.07:12244
SPY_112219P307,19684:310.58:34740957:0.12:21488
SPY_112219P307.5,8847:310.58:34740957:0.15:6343
SPY_112219P308,30227:310.58:34740957:0.19:23742
SPY_112219P309,24719:310.58:34740957:0.33:51178
SPY_112219P310,27981:310.58:34740957:0.6:82093
SPY_112219P311,42485:310.58:34740957:1.08:44245
SPY_112219P312,14638:310.58:34740957:1.83:7813
SPY_112219P312.5,5462:310.58:34740957:2.1:2190
SPY_112219P313,6047:310.58:34740957:2.73:2925
SPY_112219P314,3102:310.58:34740957:3.65:1040
SPY_112219P315,1566:310.58:34740957:4.8:151
SPY_112219P316,51:310.58:34740957:5.52:67
SPY_112219P317,32:310.58:34740957:6.75:5
SPY_112219P317.5,0:310.58:34740957:5.7:0
SPY_112219P318,4:310.58:34740957:6.59:0
SPY_112519P305.5,2934:310.58:34740957:0.16:299
SPY_112519P306,3303:310.58:34740957:0.2:1634
SPY_112519P306.5,1075:310.58:34740957:0.19:444
SPY_112519P307,1906:310.58:34740957:0.28:11913
SPY_112519P307.5,1428:310.58:34740957:0.32:1583
SPY_112519P308,5405:310.58:34740957:0.41:4872
SPY_112519P308.5,1792:310.58:34740957:0.5:3063
SPY_112519P309,2733:310.58:34740957:0.61:5042
SPY_112519P309.5,1998:310.58:34740957:0.73:8243
SPY_112519P310,5280:310.58:34740957:0.9:15187
SPY_112519P310.5,1445:310.58:34740957:1.12:6540
SPY_112519P311,6827:310.58:34740957:1.37:4736
SPY_112519P311.5,1340:310.58:34740957:1.65:869
SPY_112519P312,2631:310.58:34740957:1.96:1035
SPY_112519P312.5,978:310.58:34740957:2.03:154
SPY_112519P313,799:310.58:34740957:2.82:780
SPY_112519P313.5,277:310.58:34740957:3.01:15
SPY_112519P314,381:310.58:34740957:3.67:179
SPY_112519P314.5,137:310.58:34740957:4.2:61
SPY_112519P315,602:310.58:34740957:4.62:155
SPY_112719P305.5,687:310.58:34740957:0.35:113
SPY_112719P306,2173:310.58:34740957:0.46:1366
SPY_112719P306.5,653:310.58:34740957:0.51:166
SPY_112719P307,2838:310.58:34740957:0.57:1218
SPY_112719P307.5,690:310.58:34740957:0.66:777
SPY_112719P308,1722:310.58:34740957:0.73:4473
SPY_112719P308.5,650:310.58:34740957:0.85:1435
SPY_112719P309,8907:310.58:34740957:0.99:9948
SPY_112719P309.5,878:310.58:34740957:1.14:2791
SPY_112719P310,4274:310.58:34740957:1.27:48210
SPY_112719P310.5,897:310.58:34740957:1.48:2732
SPY_112719P311,1597:310.58:34740957:1.73:5673
SPY_112719P311.5,1193:310.58:34740957:1.97:2464
SPY_112719P312,1262:310.58:34740957:2.28:1903
SPY_112719P312.5,360:310.58:34740957:2.56:860
SPY_112719P313,1772:310.58:34740957:3.01:1448
SPY_112719P313.5,656:310.58:34740957:3.41:224
SPY_112719P314,1571:310.58:34740957:3.58:384
SPY_112719P314.5,574:310.58:34740957:4.19:153
SPY_112719P315,930:310.58:34740957:4.45:369
SPY_112919P305.5,917:310.58:34740957:0.53:1693
SPY_112919P306,41539:310.58:34740957:0.57:4658
SPY_112919P306.5,11898:310.58:34740957:0.57:1148
SPY_112919P307,13132:310.58:34740957:0.71:4623
SPY_112919P307.5,12773:310.58:34740957:0.77:1444
SPY_112919P308,14827:310.58:34740957:0.89:5258
SPY_112919P308.5,3937:310.58:34740957:1.03:1277
SPY_112919P309,18554:310.58:34740957:1.12:4819
SPY_112919P309.5,3325:310.58:34740957:1.31:3119
SPY_112919P310,17060:310.58:34740957:1.45:24603
SPY_112919P310.5,3077:310.58:34740957:1.61:3698
SPY_112919P311,3383:310.58:34740957:1.8:4422
