Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
STX_112219C53.5,11:58.08,11:57.67,11:57.84,11:58.12:1709504:2.7:0,11:58.79:1540559:2.7:0,11:58.25:1438939:5.05:3,10:57.97:1694140:5.05:0,10:58.13:1515242:5.05:0,10:58.21:1281163:5.05:0,10:59.08:2369860:5.05:0,10:60.09:2713989:5.05:0,10:59.61:1398640:5.05:0,10:59.48:1869317:5.05:0,10:59.28:1496258:5.05:0
STX_112219C54,37:58.08,37:57.67,37:57.84,37:58.12:1709504:3.62:0,37:58.79:1540559:3.62:0,37:58.25:1438939:3.62:0,37:57.97:1694140:3.62:0,37:58.13:1515242:3.62:0,37:58.21:1281163:3.62:0,37:59.08:2369860:3.62:0,37:60.09:2713989:3.62:0,37:59.61:1398640:3.62:0,37:59.48:1869317:3.62:0,37:59.28:1496258:3.62:0
STX_112219C54.5,36:58.08,33:57.67,33:57.84,33:58.12:1709504:3.24:0,33:58.79:1540559:4.15:1,34:58.25:1438939:4.22:1,35:57.97:1694140:4.22:0,35:58.13:1515242:4.22:0,35:58.21:1281163:4.22:0,35:59.08:2369860:4.22:0,35:60.09:2713989:4.22:0,34:59.61:1398640:5.24:0,34:59.48:1869317:5.08:7,[34:59.28:1496258:5.08:0
STX_112219C55,47:58.08,47:57.67,47:57.84,48:58.12:1709504:3.85:3,48:58.79:1540559:3.85:0,48:58.25:1438939:3.85:0,48:57.97:1694140:3.77:5,53:58.13:1515242:3.77:0,53:58.21:1281163:3.34:20,72:59.08:2369860:3.66:1,72:60.09:2713989:5.34:3,70:59.61:1398640:5.34:0,70:59.48:1869317:5.34:0,[70:59.28:1496258:4.25:14
STX_112219C55.5,47:58.08,47:57.67,47:57.84,52:58.12:1709504:2.82:0,52:58.79:1540559:2.82:0,52:58.25:1438939:2.82:0,52:57.97:1694140:2.82:0,52:58.13:1515242:2.82:0,52:58.21:1281163:2.82:0,52:59.08:2369860:2.82:0,52:60.09:2713989:2.82:0,52:59.61:1398640:2.82:0,52:59.48:1869317:2.82:0,[52:59.28:1496258:2.82:0
STX_112219C56,34:58.08,34:57.67,34:57.84,36:58.12:1709504:2.46:0,36:58.79:1540559:3.05:10,38:58.25:1438939:3.05:0,38:57.97:1694140:3.05:0,38:58.13:1515242:3.05:0,38:58.21:1281163:3.05:0,38:59.08:2369860:3.05:0,38:60.09:2713989:4.32:11,35:59.61:1398640:3.61:3,33:59.48:1869317:3.42:4,[31:59.28:1496258:3.05:24
STX_112219C56.5,3:58.08,21:57.67,21:57.84,21:58.12:1709504:2.07:0,21:58.79:1540559:2.07:0,21:58.25:1438939:2.07:0,21:57.97:1694140:2.07:0,21:58.13:1515242:2.07:0,21:58.21:1281163:2.07:0,21:59.08:2369860:2.07:0,21:60.09:2713989:2.07:0,21:59.61:1398640:2.07:0,21:59.48:1869317:2.07:0,[21:59.28:1496258:2.07:0
STX_112219C57,28:58.08,28:57.67,28:57.84,28:58.12:1709504:1.74:0,28:58.79:1540559:1.74:0,28:58.25:1438939:1.91:1,29:57.97:1694140:1.91:0,29:58.13:1515242:1.91:0,29:58.21:1281163:1.91:0,29:59.08:2369860:2.21:1,30:60.09:2713989:2.21:0,30:59.61:1398640:2.27:6,30:59.48:1869317:2.42:3,[29:59.28:1496258:2.25:1
STX_112219C57.5,71:58.08,71:57.67,71:57.84,71:58.12:1709504:1.97:3,74:58.79:1540559:1.81:2,74:58.25:1438939:1.54:14,88:57.97:1694140:1.36:4,92:58.13:1515242:1.36:0,92:58.21:1281163:1.25:11,96:59.08:2369860:1.71:4,99:60.09:2713989:2.92:9,98:59.61:1398640:2.66:0,98:59.48:1869317:2.14:10,[88:59.28:1496258:1.59:8
STX_112219C58,75:58.08,108:57.67,113:57.84,187:58.12:1709504:1.49:1,187:58.79:1540559:1.56:30,217:58.25:1438939:1.37:1,218:57.97:1694140:0.97:3,221:58.13:1515242:0.95:27,229:58.21:1281163:0.97:18,229:59.08:2369860:1.7:4,231:60.09:2713989:2.12:8,225:59.61:1398640:2.4:0,225:59.48:1869317:1.41:20,[225:59.28:1496258:0.98:165
STX_112219C58.5,49:58.08,49:57.67,49:57.84,45:58.12:1709504:1.23:10,49:58.79:1540559:1.12:4,50:58.25:1438939:0.94:49,75:57.97:1694140:0.8:35,81:58.13:1515242:0.69:44,84:58.21:1281163:0.7:38,110:59.08:2369860:0.93:4,114:60.09:2713989:2.05:11,115:59.61:1398640:1.51:0,115:59.48:1869317:1.01:40,[131:59.28:1496258:0.64:18
STX_112219C59,20:58.08,26:57.67,65:57.84,65:58.12:1709504:0.9:4,64:58.79:1540559:1.0:26,82:58.25:1438939:1.0:0,82:57.97:1694140:0.57:88,81:58.13:1515242:0.49:72,140:58.21:1281163:0.51:122,221:59.08:2369860:0.72:118,298:60.09:2713989:1.65:162,369:59.61:1398640:0.87:13,378:59.48:1869317:0.57:17,[380:59.28:1496258:0.22:230
STX_112219C60,61:58.08,76:57.67,76:57.84,76:58.12:1709504:0.62:4,76:58.79:1540559:0.58:20,96:58.25:1438939:0.37:26,116:57.97:1694140:0.3:67,157:58.13:1515242:0.21:21,172:58.21:1281163:0.24:14,181:59.08:2369860:0.33:156,299:60.09:2713989:0.77:309,535:59.61:1398640:0.4:14,546:59.48:1869317:0.15:92,[569:59.28:1496258:0.01:149
STX_112219C61,29:58.08,37:57.67,45:57.84,45:58.12:1709504:0.29:13,57:58.79:1540559:0.32:100,148:58.25:1438939:0.22:22,159:57.97:1694140:0.1:3,160:58.13:1515242:0.08:3,162:58.21:1281163:0.08:0,162:59.08:2369860:0.17:59,193:60.09:2713989:0.31:566,469:59.61:1398640:0.11:7,467:59.48:1869317:0.03:176,[535:59.28:1496258:0.01:5
