Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
STX_112219P53.5,11:58.08,11:57.67,11:57.84,11:58.12:1709504:0.2:0,11:58.79:1540559:0.2:0,11:58.25:1438939:0.2:0,11:57.97:1694140:0.2:0,11:58.13:1515242:0.2:0,11:58.21:1281163:0.2:0,11:59.08:2369860:0.2:0,11:60.09:2713989:0.2:0,11:59.61:1398640:0.2:0,11:59.48:1869317:0.2:0,11:59.28:1496258:0.2:0
STX_112219P54,17:58.08,17:57.67,17:57.84,17:58.12:1709504:0.7:0,17:58.79:1540559:0.7:0,17:58.25:1438939:0.11:1,18:57.97:1694140:0.11:0,18:58.13:1515242:0.11:0,18:58.21:1281163:0.11:0,18:59.08:2369860:0.02:10,18:60.09:2713989:0.02:0,18:59.61:1398640:0.02:0,18:59.48:1869317:0.02:0,18:59.28:1496258:0.02:0
STX_112219P54.5,0:58.08,4:57.67,15:57.84,15:58.12:1709504:0.36:0,15:58.79:1540559:0.36:0,15:58.25:1438939:0.36:0,15:57.97:1694140:0.36:0,15:58.13:1515242:0.36:0,15:58.21:1281163:0.36:0,15:59.08:2369860:0.04:50,60:60.09:2713989:0.02:3,60:59.61:1398640:0.02:2,60:59.48:1869317:0.02:0,[60:59.28:1496258:0.02:0
STX_112219P55,18:58.08,34:57.67,38:57.84,38:58.12:1709504:0.28:7,37:58.79:1540559:0.19:20,57:58.25:1438939:0.19:0,57:57.97:1694140:0.18:9,51:58.13:1515242:0.16:9,42:58.21:1281163:0.09:5,42:59.08:2369860:0.09:0,42:60.09:2713989:0.09:0,42:59.61:1398640:0.09:0,42:59.48:1869317:0.02:2,[42:59.28:1496258:0.01:1
STX_112219P55.5,3:58.08,3:57.67,3:57.84,3:58.12:1709504:2.54:0,3:58.79:1540559:2.54:0,3:58.25:1438939:0.26:32,35:57.97:1694140:0.25:6,41:58.13:1515242:0.25:0,41:58.21:1281163:0.22:10,51:59.08:2369860:0.05:5,56:60.09:2713989:0.03:10,50:59.61:1398640:0.03:0,50:59.48:1869317:0.03:0,[50:59.28:1496258:0.03:0
STX_112219P56,6:58.08,6:57.67,6:57.84,106:58.12:1709504:0.4:2,106:58.79:1540559:0.4:0,106:58.25:1438939:0.27:1,107:57.97:1694140:0.32:24,130:58.13:1515242:0.32:0,130:58.21:1281163:0.32:0,130:59.08:2369860:0.32:0,130:60.09:2713989:0.03:2,130:59.61:1398640:0.03:0,130:59.48:1869317:0.02:1,[130:59.28:1496258:0.02:100
STX_112219P56.5,13:58.08,13:57.67,13:57.84,14:58.12:1709504:0.57:16,30:58.79:1540559:0.43:10,26:58.25:1438939:0.36:20,40:57.97:1694140:0.43:24,60:58.13:1515242:0.53:10,64:58.21:1281163:0.53:0,64:59.08:2369860:0.08:4,64:60.09:2713989:0.04:1,64:59.61:1398640:0.05:183,235:59.48:1869317:0.05:0,[235:59.28:1496258:0.05:0
STX_112219P57,0:58.08,2:57.67,10:57.84,10:58.12:1709504:0.7:19,23:58.79:1540559:0.51:8,29:58.25:1438939:0.46:35,39:57.97:1694140:0.56:7,40:58.13:1515242:0.52:6,41:58.21:1281163:0.52:0,41:59.08:2369860:0.16:6,46:60.09:2713989:0.09:26,68:59.61:1398640:0.05:7,66:59.48:1869317:0.04:2,[64:59.28:1496258:0.04:0
STX_112219P57.5,0:58.08,1:57.67,7:57.84,7:58.12:1709504:0.83:7,8:58.79:1540559:0.83:0,8:58.25:1438939:0.62:25,33:57.97:1694140:0.73:27,52:58.13:1515242:0.68:27,77:58.21:1281163:0.57:2,79:59.08:2369860:0.25:223,268:60.09:2713989:0.1:345,239:59.61:1398640:0.15:4,239:59.48:1869317:0.04:2,[237:59.28:1496258:0.01:3
STX_112219P58,0:58.08,0:57.67,10:57.84,110:58.12:1709504:1.29:0,110:58.79:1540559:0.79:12,102:58.25:1438939:0.79:0,102:57.97:1694140:0.95:1,103:58.13:1515242:0.85:21,123:58.21:1281163:0.85:0,123:59.08:2369860:0.34:34,146:60.09:2713989:0.15:524,373:59.61:1398640:0.21:58,411:59.48:1869317:0.11:63,[438:59.28:1496258:0.02:170
STX_112219P58.5,37:58.08,39:57.67,39:57.84,39:58.12:1709504:1.28:1,40:58.79:1540559:0.96:1,41:58.25:1438939:0.96:23,59:57.97:1694140:1.17:10,59:58.13:1515242:1.09:13,54:58.21:1281163:0.94:27,57:59.08:2369860:0.55:134,159:60.09:2713989:0.21:233,175:59.61:1398640:0.25:2,176:59.48:1869317:0.15:2,[176:59.28:1496258:0.03:43
STX_112219P59,0:58.08,0:57.67,0:57.84,0:58.12:1709504:0.0:0,0:58.79:1540559:0.0:0,0:58.25:1438939:0.0:0,0:57.97:1694140:1.43:34,27:58.13:1515242:1.43:0,27:58.21:1281163:1.43:0,27:59.08:2369860:0.68:59,61:60.09:2713989:0.28:129,202:59.61:1398640:0.27:248,190:59.48:1869317:0.27:55,[208:59.28:1496258:0.01:110
STX_112219P60,0:58.08,5:57.67,5:57.84,5:58.12:1709504:2.66:0,5:58.79:1540559:2.47:5,10:58.25:1438939:2.47:0,10:57.97:1694140:2.47:0,10:58.13:1515242:2.47:0,10:58.21:1281163:2.47:0,10:59.08:2369860:2.47:0,10:60.09:2713989:0.59:25,58:59.61:1398640:0.75:10,68:59.48:1869317:0.86:41,[86:59.28:1496258:0.83:12
STX_112219P61,0:58.08,0:57.67,0:57.84,0:58.12:1709504:5.05:0,0:58.79:1540559:5.05:0,0:58.25:1438939:5.05:0,0:57.97:1694140:5.05:0,0:58.13:1515242:5.05:0,0:58.21:1281163:5.05:0,0:59.08:2369860:5.05:0,0:60.09:2713989:1.3:46,36:59.61:1398640:1.88:11,35:59.48:1869317:1.64:1,[34:59.28:1496258:1.64:0
STX_112219P61.5,0:58.08,5:57.67,5:57.84,5:58.12:1709504:3.8:0,5:58.79:1540559:3.8:0,5:58.25:1438939:3.8:0,5:57.97:1694140:3.8:0,5:58.13:1515242:3.8:0,5:58.21:1281163:3.8:0,5:59.08:2369860:3.8:0,5:60.09:2713989:1.64:5,10:59.61:1398640:1.64:0,10:59.48:1869317:1.64:0,[10:59.28:1496258:1.64:0
STX_112219P62,0:58.08,0:57.67,0:57.84,0:58.12:1709504:0.0:0,0:58.79:1540559:0.0:0,0:58.25:1438939:0.0:0,0:57.97:1694140:0.0:0,0:58.13:1515242:0.0:0,0:58.21:1281163:0.0:0,0:59.08:2369860:0.0:0,0:60.09:2713989:0.0:0,0:59.61:1398640:0.0:0,0:59.48:1869317:2.67:1,[1:59.28:1496258:2.67:0
STX_112219P63,0:58.08,0:57.67,0:57.84,0:58.12:1709504:0.0:0,0:58.79:1540559:0.0:0,0:58.25:1438939:0.0:0,0:57.97:1694140:0.0:0,0:58.13:1515242:0.0:0,0:58.21:1281163:0.0:0,0:59.08:2369860:0.0:0,0:60.09:2713989:0.0:0,0:59.61:1398640:0.0:0,0:59.48:1869317:0.0:0,[0:59.28:1496258:0.0:0
STX_112219P64,0:58.08,0:57.67,0:57.84,0:58.12:1709504:0.0:0,0:58.79:1540559:0.0:0,0:58.25:1438939:0.0:0,0:57.97:1694140:0.0:0,0:58.13:1515242:0.0:0,0:58.21:1281163:0.0:0,0:59.08:2369860:0.0:0,0:60.09:2713989:0.0:0,0:59.61:1398640:4.4:1,0:59.48:1869317:4.4:0,[0:59.28:1496258:4.4:0
STX_112219P65,0:58.08,0:57.67,0:57.84,0:58.12:1709504:0.0:0,0:58.79:1540559:0.0:0,0:58.25:1438939:0.0:0,0:57.97:1694140:0.0:0,0:58.13:1515242:0.0:0,0:58.21:1281163:0.0:0,0:59.08:2369860:0.0:0,0:60.09:2713989:0.0:0,0:59.61:1398640:0.0:0,0:59.48:1869317:0.0:0,0:59.28:1496258:0.0:0
STX_112919P53.5,0:58.08,4:57.67,4:57.84,5:58.12:1709504:0.19:15,20:58.79:1540559:0.18:35,53:58.25:1438939:0.19:1,53:57.97:1694140:0.19:0,53:58.13:1515242:0.14:22,75:58.21:1281163:0.1:4,75:59.08:2369860:0.1:0,75:60.09:2713989:0.1:0,75:59.61:1398640:0.1:0,75:59.48:1869317:0.1:0,75:59.28:1496258:0.1:0
STX_112919P54,20:58.08,20:57.67,20:57.84,20:58.12:1709504:0.44:0,20:58.79:1540559:0.44:0,20:58.25:1438939:0.2:195,196:57.97:1694140:0.2:0,196:58.13:1515242:0.2:0,196:58.21:1281163:0.2:0,196:59.08:2369860:0.2:0,196:60.09:2713989:0.2:0,196:59.61:1398640:0.2:0,196:59.48:1869317:0.2:0,196:59.28:1496258:0.2:0
STX_112919P54.5,0:58.08,0:57.67,0:57.84,0:58.12:1709504:1.9:0,0:58.79:1540559:1.9:0,0:58.25:1438939:1.9:0,0:57.97:1694140:1.9:0,0:58.13:1515242:1.9:0,0:58.21:1281163:1.9:0,0:59.08:2369860:1.9:0,0:60.09:2713989:1.9:0,0:59.61:1398640:1.9:0,0:59.48:1869317:1.9:0,[0:59.28:1496258:1.9:0
STX_112919P55,7:58.08,7:57.67,13:57.84,13:58.12:1709504:0.58:0,13:58.79:1540559:0.32:6,14:58.25:1438939:0.32:0,14:57.97:1694140:0.32:0,14:58.13:1515242:0.32:0,14:58.21:1281163:0.32:0,14:59.08:2369860:0.32:0,14:60.09:2713989:0.32:0,14:59.61:1398640:0.08:12,26:59.48:1869317:0.08:0,[26:59.28:1496258:0.05:50
STX_112919P55.5,0:58.08,0:57.67,1:57.84,1:58.12:1709504:0.64:0,1:58.79:1540559:0.39:16,17:58.25:1438939:0.33:5,21:57.97:1694140:0.33:0,21:58.13:1515242:0.33:0,21:58.21:1281163:0.33:0,21:59.08:2369860:0.33:0,21:60.09:2713989:0.1:117,137:59.61:1398640:0.1:0,137:59.48:1869317:0.1:0,[137:59.28:1496258:0.1:0
STX_112919P56,0:58.08,4:57.67,10:57.84,10:58.12:1709504:0.83:0,10:58.79:1540559:0.45:15,25:58.25:1438939:0.45:0,25:57.97:1694140:0.46:2,27:58.13:1515242:0.46:0,27:58.21:1281163:0.39:1,28:59.08:2369860:0.39:0,28:60.09:2713989:0.39:0,28:59.61:1398640:0.13:1,28:59.48:1869317:0.13:0,[28:59.28:1496258:0.09:1
STX_112919P56.5,0:58.08,0:57.67,17:57.84,20:58.12:1709504:0.95:0,20:58.79:1540559:0.54:21,36:58.25:1438939:0.5:5,41:57.97:1694140:0.58:2,43:58.13:1515242:0.58:0,43:58.21:1281163:0.58:0,43:59.08:2369860:0.3:15,58:60.09:2713989:0.14:5,61:59.61:1398640:0.13:5,66:59.48:1869317:0.13:0,[66:59.28:1496258:0.12:1
STX_112919P57,2:58.08,22:57.67,22:57.84,22:58.12:1709504:1.17:0,22:58.79:1540559:0.68:1,22:58.25:1438939:0.68:0,22:57.97:1694140:0.7:26,41:58.13:1515242:0.69:5,45:58.21:1281163:0.56:2,45:59.08:2369860:0.32:11,54:60.09:2713989:0.22:10,70:59.61:1398640:0.19:177,190:59.48:1869317:0.23:5,[190:59.28:1496258:0.17:108
STX_112919P57.5,3:58.08,4:57.67,12:57.84,13:58.12:1709504:1.15:2,13:58.79:1540559:0.79:7,20:58.25:1438939:0.75:6,26:57.97:1694140:0.85:14,40:58.13:1515242:0.88:18,56:58.21:1281163:0.69:1,56:59.08:2369860:0.47:7,61:60.09:2713989:0.47:0,61:59.61:1398640:0.32:13,59:59.48:1869317:0.31:10,[51:59.28:1496258:0.24:3
STX_112919P58,17:58.08,17:57.67,17:57.84,17:58.12:1709504:1.06:2,17:58.79:1540559:1.06:0,17:58.25:1438939:0.93:25,36:57.97:1694140:1.16:45,77:58.13:1515242:1.13:28,105:58.21:1281163:0.86:8,101:59.08:2369860:0.46:6,106:60.09:2713989:0.31:107,205:59.61:1398640:0.53:13,202:59.48:1869317:0.38:18,[195:59.28:1496258:0.25:137
STX_112919P58.5,0:58.08,0:57.67,4:57.84,4:58.12:1709504:1.33:11,11:58.79:1540559:1.14:10,14:58.25:1438939:1.16:28,42:57.97:1694140:1.16:0,42:58.13:1515242:1.16:0,42:58.21:1281163:1.16:0,42:59.08:2369860:0.78:34,76:60.09:2713989:0.4:61,119:59.61:1398640:0.4:0,119:59.48:1869317:0.52:200,[319:59.28:1496258:0.48:25
STX_112919P59,16:58.08,16:57.67,9:57.84,9:58.12:1709504:2.16:0,9:58.79:1540559:2.16:0,9:58.25:1438939:2.16:0,9:57.97:1694140:2.16:0,9:58.13:1515242:1.6:1,8:58.21:1281163:1.6:0,8:59.08:2369860:0.88:10,18:60.09:2713989:0.62:27,37:59.61:1398640:0.61:2,37:59.48:1869317:0.73:7,[36:59.28:1496258:0.53:51
STX_112919P59.5,0:58.08,0:57.67,0:57.84,0:58.12:1709504:0.0:0,0:58.79:1540559:0.0:0,0:58.25:1438939:0.0:0,0:57.97:1694140:0.0:0,0:58.13:1515242:1.93:2,2:58.21:1281163:1.85:20,22:59.08:2369860:1.17:20,42:60.09:2713989:0.62:63,87:59.61:1398640:0.79:1,87:59.48:1869317:0.96:105,[130:59.28:1496258:0.9:14
