Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
SWKS_112219C91.5,175:98.48,165:98.72,165:98.16,165:98.64:1476697:8.6:0,165:100.44:1733122:8.6:0,U:100.38:1492618::,165:101.59:4126748:8.6:0,165:101.14:7339110:8.6:0,165:98.75:2588345:8.6:0,165:99.42:2686047:8.6:0,U:60.09:2713989::,165:96.04:2078849:8.6:0,165:96.41:1478516:8.6:0,165:97.84:1766997:8.6:0
SWKS_112219C92,56:98.48,56:98.72,56:98.16,56:98.64:1476697:6.6:0,56:100.44:1733122:9.65:5,56:100.38:1492618:8.8:5,61:101.59:4126748:10.5:9,61:101.14:7339110:10.5:0,62:98.75:2588345:6.95:5,62:99.42:2686047:7.32:93,U:60.09:2713989::,156:96.04:2078849:4.4:2,154:96.41:1478516:5.0:4,152:97.84:1766997:5.63:51
SWKS_112219C92.5,35:98.48,35:98.72,31:98.16,31:98.64:1476697:8.24:0,31:100.44:1733122:8.24:0,31:100.38:1492618:8.24:0,31:101.59:4126748:8.24:0,31:101.14:7339110:5.1:13,31:98.75:2588345:7.3:2,31:99.42:2686047:7.3:0,31:60.09:2713989:7.3:0,31:96.04:2078849:4.39:0,31:96.41:1478516:3.98:2,31:97.84:1766997:4.8:9
SWKS_112219C93.5,177:98.48,175:98.72,175:98.16,175:98.64:1476697:6.4:0,175:100.44:1733122:6.4:0,175:100.38:1492618:6.4:0,175:101.59:4126748:8.84:4,175:101.14:7339110:8.84:0,175:98.75:2588345:5.62:3,174:99.42:2686047:5.77:18,U:60.09:2713989::,168:96.04:2078849:3.7:11,173:96.41:1478516:3.3:4,[173:97.84:1766997:4.0:56
SWKS_112219C94,5:98.48,5:98.72,5:98.16,5:98.64:1476697:2.15:0,5:100.44:1733122:2.15:0,5:100.38:1492618:2.15:0,5:101.59:4126748:9.1:1,6:101.14:7339110:4.0:14,19:98.75:2588345:5.03:2,19:99.42:2686047:5.03:0,19:60.09:2713989:3.61:50,58:96.04:2078849:2.35:0,58:96.41:1478516:2.35:0,[58:97.84:1766997:3.64:1
SWKS_112219C95,194:98.48,190:98.72,220:98.16,220:98.64:1476697:5.58:1,219:100.44:1733122:5.58:0,219:100.38:1492618:6.5:2,219:101.59:4126748:8.1:14,223:101.14:7339110:5.5:55,220:98.75:2588345:4.09:2,222:99.42:2686047:4.8:1,222:60.09:2713989:3.15:2,237:96.04:2078849:1.55:21,235:96.41:1478516:1.73:6,[235:97.84:1766997:2.78:16
SWKS_112219C96,13:98.48,13:98.72,13:98.16,13:98.64:1476697:4.91:4,13:100.44:1733122:6.3:1,14:100.38:1492618:6.3:0,14:101.59:4126748:6.86:17,26:101.14:7339110:6.03:7,27:98.75:2588345:3.5:4,31:99.42:2686047:3.49:13,30:60.09:2713989:2.53:9,103:96.04:2078849:0.95:28,112:96.41:1478516:0.85:162,[250:97.84:1766997:1.8:77
SWKS_112219C97,29:98.48,29:98.72,29:98.16,29:98.64:1476697:4.41:15,29:100.44:1733122:4.41:0,29:100.38:1492618:5.4:1,30:101.59:4126748:6.7:11,31:101.14:7339110:4.1:256,147:98.75:2588345:2.6:4,148:99.42:2686047:2.98:49,169:60.09:2713989:1.56:8,191:96.04:2078849:0.4:76,184:96.41:1478516:0.45:43,[186:97.84:1766997:0.85:74
SWKS_112219C97.5,90:98.48,90:98.72,80:98.16,80:98.64:1476697:4.09:60,33:100.44:1733122:4.36:1,34:100.38:1492618:4.36:0,34:101.59:4126748:5.9:11,24:101.14:7339110:2.65:11,31:98.75:2588345:2.56:9,26:99.42:2686047:2.57:8,U:60.09:2713989::,54:96.04:2078849:0.3:337,335:96.41:1478516:0.27:59,[361:97.84:1766997:0.3:402
SWKS_112219C98,3:98.48,4:98.72,9:98.16,9:98.64:1476697:4.17:0,9:100.44:1733122:4.7:6,15:100.38:1492618:4.7:1,16:101.59:4126748:6.29:5,13:101.14:7339110:3.1:62,41:98.75:2588345:2.55:3,38:99.42:2686047:2.02:30,54:60.09:2713989:1.05:315,339:96.04:2078849:0.2:42,364:96.41:1478516:0.2:14,[366:97.84:1766997:0.02:60
