Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
SWKS_112219P91.5,101:98.48,101:98.72,101:98.16,101:98.64:1476697:0.95:9,110:100.44:1733122:0.8:9,119:100.38:1492618:0.8:0,119:101.59:4126748:0.7:3,121:101.14:7339110:0.18:1,120:98.75:2588345:0.18:0,120:99.42:2686047:0.18:0,120:60.09:2713989:0.1:1,127:96.04:2078849:0.2:0,127:96.41:1478516:0.2:0,127:97.84:1766997:0.2:0
SWKS_112219P92,26:98.48,32:98.72,34:98.16,34:98.64:1476697:1.2:0,34:100.44:1733122:0.9:5,39:100.38:1492618:0.82:1,39:101.59:4126748:0.7:30,61:101.14:7339110:0.2:20,62:98.75:2588345:0.13:2,61:99.42:2686047:0.13:0,61:60.09:2713989:0.1:5,60:96.04:2078849:0.12:0,60:96.41:1478516:0.12:0,60:97.84:1766997:0.12:0
SWKS_112219P92.5,11:98.48,13:98.72,14:98.16,16:98.64:1476697:1.05:13,27:100.44:1733122:0.95:217,243:100.38:1492618:0.94:9,252:101.59:4126748:1.0:39,283:101.14:7339110:0.1:25,279:98.75:2588345:0.05:2,279:99.42:2686047:0.15:1,279:60.09:2713989:0.13:11,271:96.04:2078849:0.15:0,271:96.41:1478516:0.05:10,271:97.84:1766997:0.05:0
SWKS_112219P93.5,20:98.48,35:98.72,36:98.16,36:98.64:1476697:1.55:0,36:100.44:1733122:1.25:29,35:100.38:1492618:1.25:5,40:101.59:4126748:1.05:28,53:101.14:7339110:0.35:12,53:98.75:2588345:0.21:10,57:99.42:2686047:0.12:1,56:60.09:2713989:0.2:5,50:96.04:2078849:0.2:23,58:96.41:1478516:0.1:10,[58:97.84:1766997:0.1:0
SWKS_112219P94,5:98.48,11:98.72,12:98.16,12:98.64:1476697:1.52:3,14:100.44:1733122:1.35:11,25:100.38:1492618:1.15:4,28:101.59:4126748:1.09:75,85:101.14:7339110:0.15:77,59:98.75:2588345:0.3:5,57:99.42:2686047:0.13:7,63:60.09:2713989:0.37:79,117:96.04:2078849:0.28:34,123:96.41:1478516:0.15:12,[126:97.84:1766997:0.02:8
SWKS_112219P95,1:98.48,12:98.72,16:98.16,16:98.64:1476697:1.87:26,U:100.44:1733122::,55:100.38:1492618:1.45:65,109:101.59:4126748:1.36:194,251:101.14:7339110:0.23:177,156:98.75:2588345:0.35:24,160:99.42:2686047:0.25:52,191:60.09:2713989:0.55:107,494:96.04:2078849:0.5:65,479:96.41:1478516:0.21:21,[459:97.84:1766997:0.01:48
SWKS_112219P96,17:98.48,24:98.72,24:98.16,24:98.64:1476697:2.08:1,24:100.44:1733122:1.8:2,26:100.38:1492618:1.65:3,25:101.59:4126748:1.72:33,48:101.14:7339110:0.37:122,80:98.75:2588345:0.76:36,95:99.42:2686047:0.41:4,95:60.09:2713989:0.8:142,454:96.04:2078849:0.95:88,463:96.41:1478516:0.45:165,[542:97.84:1766997:0.1:9
SWKS_112219P97,9:98.48,10:98.72,25:98.16,25:98.64:1476697:2.65:0,25:100.44:1733122:2.1:3,28:100.38:1492618:2.0:2,30:101.59:4126748:1.91:102,95:101.14:7339110:0.7:100,117:98.75:2588345:0.89:65,118:99.42:2686047:0.63:1,117:60.09:2713989:1.21:166,1716:96.04:2078849:1.35:297,1544:96.41:1478516:0.86:12,[1545:97.84:1766997:0.01:1439
SWKS_112219P97.5,0:98.48,0:98.72,0:98.16,0:98.64:1476697:0.0:0,0:100.44:1733122:0.0:0,0:100.38:1492618:2.25:12,12:101.59:4126748:2.07:15,22:101.14:7339110:0.57:26,41:98.75:2588345:1.05:16,42:99.42:2686047:0.75:3,45:60.09:2713989:1.45:2646,1248:96.04:2078849:1.64:606,874:96.41:1478516:1.1:24,[874:97.84:1766997:0.17:149
SWKS_112219P98,0:98.48,11:98.72,11:98.16,11:98.64:1476697:3.06:0,11:100.44:1733122:2.87:1,12:100.38:1492618:2.45:6,18:101.59:4126748:2.35:123,124:101.14:7339110:0.75:73,133:98.75:2588345:1.2:30,143:99.42:2686047:0.85:21,153:60.09:2713989:1.7:1272,644:96.04:2078849:2.42:23,647:96.41:1478516:1.84:11,[643:97.84:1766997:0.25:59
SWKS_112219P100,59:98.48,59:98.72,63:98.16,63:98.64:1476697:3.95:1,63:100.44:1733122:3.22:17,74:100.38:1492618:3.23:44,96:101.59:4126748:3.07:66,125:101.14:7339110:1.4:159,158:98.75:2588345:2.16:57,166:99.42:2686047:1.74:293,425:60.09:2713989:2.5:15,416:96.04:2078849:4.32:19,396:96.41:1478516:3.6:8,[388:97.84:1766997:2.4:24
SWKS_112219P105,5:98.48,5:98.72,5:98.16,5:98.64:1476697:9.0:0,5:100.44:1733122:9.0:0,5:100.38:1492618:9.0:0,5:101.59:4126748:5.6:2,7:101.14:7339110:7.5:1,6:98.75:2588345:7.5:0,6:99.42:2686047:7.5:0,6:60.09:2713989:7.5:0,6:96.04:2078849:7.5:0,6:96.41:1478516:7.5:0,[6:97.84:1766997:7.5:0
SWKS_112219P106,0:98.48,0:98.72,0:98.16,0:98.64:1476697:0.0:0,0:100.44:1733122:0.0:0,0:100.38:1492618:0.0:0,0:101.59:4126748:0.0:0,0:101.14:7339110:0.0:0,0:98.75:2588345:0.0:0,0:99.42:2686047:6.8:11,11:60.09:2713989:6.8:0,0:96.04:2078849:6.8:0,0:96.41:1478516:6.8:0,0:97.84:1766997:6.8:0
SWKS_112219P107,0:98.48,0:98.72,0:98.16,0:98.64:1476697:0.0:0,0:100.44:1733122:0.0:0,0:100.38:1492618:0.0:0,0:101.59:4126748:0.0:0,0:101.14:7339110:6.0:2,2:98.75:2588345:6.0:0,2:99.42:2686047:6.0:0,2:60.09:2713989:6.0:0,2:96.04:2078849:6.0:0,0:96.41:1478516:6.0:0,0:97.84:1766997:6.0:0
SWKS_112219P108,0:98.48,0:98.72,0:98.16,0:98.64:1476697:9.5:215,U:100.44:1733122::,207:100.38:1492618:9.5:0,207:101.59:4126748:7.6:4,211:101.14:7339110:7.6:0,211:98.75:2588345:7.6:0,209:99.42:2686047:7.6:0,104:60.09:2713989:10.1:1,1:96.04:2078849:10.1:0,0:96.41:1478516:10.1:0,0:97.84:1766997:10.1:0
SWKS_112219P109,0:98.48,0:98.72,0:98.16,0:98.64:1476697:0.0:0,0:100.44:1733122:0.0:0,0:100.38:1492618:0.0:0,0:101.59:4126748:0.0:0,0:101.14:7339110:0.0:0,0:98.75:2588345:0.0:0,0:99.42:2686047:0.0:0,0:60.09:2713989:0.0:0,0:96.04:2078849:0.0:0,0:96.41:1478516:0.0:0,0:97.84:1766997:0.0:0
SWKS_112219P110,0:98.48,0:98.72,0:98.16,0:98.64:1476697:0.0:0,0:100.44:1733122:0.0:0,0:100.38:1492618:0.0:0,0:101.59:4126748:9.6:2,2:101.14:7339110:12.7:1,1:98.75:2588345:10.69:10,11:99.42:2686047:10.69:0,11:60.09:2713989:10.69:0,11:96.04:2078849:10.69:0,10:96.41:1478516:10.69:0,10:97.84:1766997:10.69:0
SWKS_112219P111,0:98.48,0:98.72,0:98.16,0:98.64:1476697:0.0:0,0:100.44:1733122:0.0:0,0:100.38:1492618:0.0:0,0:101.59:4126748:0.0:0,0:101.14:7339110:0.0:0,0:98.75:2588345:0.0:0,0:99.42:2686047:0.0:0,0:60.09:2713989:0.0:0,0:96.04:2078849:0.0:0,0:96.41:1478516:0.0:0,0:97.84:1766997:0.0:0
SWKS_112219P112,0:98.48,0:98.72,0:98.16,0:98.64:1476697:0.0:0,0:100.44:1733122:0.0:0,0:100.38:1492618:0.0:0,0:101.59:4126748:11.01:10,1:101.14:7339110:11.01:0,0:98.75:2588345:11.01:0,0:99.42:2686047:11.01:0,0:60.09:2713989:11.01:0,0:96.04:2078849:11.01:0,0:96.41:1478516:11.01:0,0:97.84:1766997:11.01:0
SWKS_112219P113,0:98.48,0:98.72,0:98.16,0:98.64:1476697:0.0:0,0:100.44:1733122:0.0:0,0:100.38:1492618:0.0:0,0:101.59:4126748:11.93:10,1:101.14:7339110:11.93:0,1:98.75:2588345:11.93:0,1:99.42:2686047:13.6:1,U:60.09:2713989::,2:96.04:2078849:13.6:0,0:96.41:1478516:13.6:0,0:97.84:1766997:13.6:0
SWKS_112919P91.5,41:98.48,41:98.72,41:98.16,41:98.64:1476697:4.2:0,41:100.44:1733122:4.2:0,41:100.38:1492618:4.2:0,41:101.59:4126748:4.2:0,41:101.14:7339110:4.2:0,41:98.75:2588345:4.2:0,41:99.42:2686047:4.2:0,41:60.09:2713989:4.2:0,54:96.04:2078849:0.25:0,54:96.41:1478516:0.25:6,54:97.84:1766997:0.25:0
SWKS_112919P92,23:98.48,23:98.72,33:98.16,33:98.64:1476697:1.4:0,33:100.44:1733122:1.13:8,41:100.38:1492618:1.05:2,42:101.59:4126748:0.86:38,71:101.14:7339110:0.41:7,68:98.75:2588345:0.3:6,68:99.42:2686047:0.2:2,68:60.09:2713989:0.3:14,206:96.04:2078849:0.57:0,206:96.41:1478516:0.57:0,206:97.84:1766997:0.2:1
SWKS_112919P92.5,22:98.48,22:98.72,22:98.16,24:98.64:1476697:1.3:1,24:100.44:1733122:1.37:7:100.44:1733122:1.3:0,24:100.38:1492618:1.35:4,28:101.59:4126748:1.06:25,53:101.14:7339110:0.25:226,202:98.75:2588345:0.36:123,187:99.42:2686047:0.17:6,187:60.09:2713989:0.34:16,200:96.04:2078849:0.42:2,202:96.41:1478516:0.42:0,202:97.84:1766997:0.2:1
SWKS_112919P93.5,0:98.48,0:98.72,4:98.16,4:98.64:1476697:1.6:1,5:100.44:1733122:1.6:0,5:100.38:1492618:1.33:1,6:101.59:4126748:1.33:0,6:101.14:7339110:0.46:1,7:98.75:2588345:0.45:2,7:99.42:2686047:0.45:0,7:60.09:2713989:0.45:1,8:96.04:2078849:0.45:1,8:96.41:1478516:0.5:73,[79:97.84:1766997:0.25:2
SWKS_112919P94,0:98.48,0:98.72,5:98.16,5:98.64:1476697:1.9:0,5:100.44:1733122:1.9:0,5:100.38:1492618:1.9:0,5:101.59:4126748:1.26:11,15:101.14:7339110:0.42:9,17:98.75:2588345:0.6:2,17:99.42:2686047:0.3:6,19:60.09:2713989:0.52:29,46:96.04:2078849:0.75:7,41:96.41:1478516:0.67:17,[36:97.84:1766997:0.24:7
SWKS_112919P95,47:98.48,143:98.72,143:98.16,143:98.64:1476697:2.32:0,143:100.44:1733122:1.7:1,144:100.38:1492618:1.74:2,146:101.59:4126748:1.52:55,192:101.14:7339110:0.53:315,256:98.75:2588345:0.8:24,260:99.42:2686047:0.45:11,269:60.09:2713989:0.8:37,291:96.04:2078849:1.2:41,320:96.41:1478516:1.05:110,[386:97.84:1766997:0.35:110
SWKS_112919P96,58:98.48,58:98.72,58:98.16,59:98.64:1476697:2.3:8,67:100.44:1733122:1.98:2,69:100.38:1492618:1.98:0,69:101.59:4126748:1.7:16,74:101.14:7339110:0.68:11,77:98.75:2588345:1.05:5,72:99.42:2686047:0.68:3,74:60.09:2713989:1.0:19,97:96.04:2078849:1.55:236,244:96.41:1478516:1.25:13,[243:97.84:1766997:0.62:4
