Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
SYNA_112219C41.5,1:46.92,1:48.09,1:46.3,1:53.65:3667939:1.8:0,1:59.01:3807061:1.8:0,1:58.64:1822357:1.8:0,1:59.82:1492561:1.8:0,1:61.15:1007686:1.8:0,1:60.41:774945:1.8:0,1:60.37:663970:1.8:0,1:60.09:2713989:1.8:0,1:56.95:709930:1.8:0,U:57.18:426253:U:U,1:56.84:380117:1.8:0
SYNA_112219C42,2:46.92,2:48.09,2:46.3,2:53.65:3667939:2.1:0,2:59.01:3807061:2.1:0,2:58.64:1822357:2.1:0,2:59.82:1492561:2.1:0,2:61.15:1007686:2.1:0,2:60.41:774945:2.1:0,2:60.37:663970:2.1:0,2:60.09:2713989:2.1:0,2:56.95:709930:2.1:0,2:57.18:426253:2.1:0,2:56.84:380117:2.1:0
SYNA_112219C42.5,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,0:60.09:2713989:0.0:0,0:56.95:709930:0.0:0,0:57.18:426253:0.0:0,0:56.84:380117:0.0:0
SYNA_112219C43,10:46.92,10:48.09,10:46.3,10:53.65:3667939:1.35:0,10:59.01:3807061:1.35:0,10:58.64:1822357:1.35:0,10:59.82:1492561:1.35:0,10:61.15:1007686:1.35:0,10:60.41:774945:1.35:0,10:60.37:663970:1.35:0,U:60.09:2713989::,10:56.95:709930:1.35:0,U:57.18:426253:U:U,10:56.84:380117:1.35:0
SYNA_112219C43.5,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,0:60.09:2713989:0.0:0,0:56.95:709930:0.0:0,0:57.18:426253:0.0:0,0:56.84:380117:0.0:0
SYNA_112219C44,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,U:60.09:2713989::,0:56.95:709930:0.0:0,0:57.18:426253:0.0:0,0:56.84:380117:0.0:0
SYNA_112219C44.5,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,0:60.09:2713989:0.0:0,0:56.95:709930:0.0:0,0:57.18:426253:0.0:0,0:56.84:380117:0.0:0
SYNA_112219C45,1:46.92,1:48.09,1:46.3,1:53.65:3667939:2.45:0,1:59.01:3807061:2.45:0,1:58.64:1822357:2.45:0,1:59.82:1492561:2.45:0,1:61.15:1007686:2.45:0,1:60.41:774945:2.45:0,1:60.37:663970:2.45:0,U:60.09:2713989::,1:56.95:709930:2.45:0,1:57.18:426253:2.45:0,1:56.84:380117:12.8:1
SYNA_112219C46,1:46.92,1:48.09,1:46.3,1:53.65:3667939:0.45:0,1:59.01:3807061:0.45:0,1:58.64:1822357:0.45:0,1:59.82:1492561:0.45:0,1:61.15:1007686:0.45:0,1:60.41:774945:0.45:0,1:60.37:663970:0.45:0,U:60.09:2713989::,1:56.95:709930:0.45:0,1:57.18:426253:0.45:0,1:56.84:380117:0.45:0
SYNA_112219C46.5,55:46.92,55:48.09,55:46.3,55:53.65:3667939:1.2:0,55:59.01:3807061:1.2:0,55:58.64:1822357:1.2:0,55:59.82:1492561:1.2:0,55:61.15:1007686:1.2:0,55:60.41:774945:1.2:0,55:60.37:663970:1.2:0,55:60.09:2713989:1.2:0,U:56.95:709930:U:U,U:57.18:426253:U:U,55:56.84:380117:1.2:0
SYNA_112219C47,7:46.92,7:48.09,7:46.3,7:53.65:3667939:2.3:7,8:59.01:3807061:2.3:0,8:58.64:1822357:2.3:0,8:59.82:1492561:14.0:1,U:61.15:1007686::,8:60.41:774945:14.0:0,8:60.37:663970:14.0:0,8:60.09:2713989:14.0:0,U:56.95:709930:.1:U,8:57.18:426253:14.0:0,8:56.84:380117:14.0:0
SYNA_112219C47.5,3:46.92,3:48.09,3:46.3,3:53.65:3667939:1.8:3,3:59.01:3807061:1.8:0,3:58.64:1822357:1.8:0,3:59.82:1492561:1.8:0,3:61.15:1007686:1.8:0,3:60.41:774945:1.8:0,3:60.37:663970:1.8:0,3:60.09:2713989:1.8:0,3:56.95:709930:1.8:0,3:57.18:426253:1.8:0,3:56.84:380117:1.8:0
SYNA_112219C48.5,42:46.92,42:48.09,42:46.3,42:53.65:3667939:1.65:4,42:59.01:3807061:1.65:0,42:58.64:1822357:1.65:0,42:59.82:1492561:1.65:0,42:61.15:1007686:1.65:0,42:60.41:774945:1.65:0,42:60.37:663970:1.65:0,U:60.09:2713989::,42:56.95:709930:1.65:0,42:57.18:426253:1.65:0,42:56.84:380117:1.65:0
SYNA_112219C49,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,U:60.09:2713989::,0:56.95:709930:0.0:0,0:57.18:426253:0.0:0,0:56.84:380117:0.0:0
SYNA_112219C50,0:46.92,0:48.09,0:46.3,0:53.65:3667939:4.0:1,1:59.01:3807061:4.0:0,1:58.64:1822357:4.0:0,1:59.82:1492561:4.0:0,U:61.15:1007686::,1:60.41:774945:4.0:0,1:60.37:663970:4.0:0,1:60.09:2713989:4.0:0,1:56.95:709930:4.0:0,1:57.18:426253:4.0:0,1:56.84:380117:4.0:0
SYNA_112219C52.5,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,0:60.09:2713989:0.0:0,0:56.95:709930:0.0:0,0:57.18:426253:0.0:0,[0:56.84:380117:0.0:0
SYNA_112219C53,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,0:60.09:2713989:0.0:0,0:56.95:709930:0.0:0,0:57.18:426253:0.0:0,[0:56.84:380117:0.0:0
SYNA_112219C53.5,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,U:60.09:2713989::,0:56.95:709930:0.0:0,0:57.18:426253:0.0:0,[0:56.84:380117:0.0:0
SYNA_112219C54,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,U:60.09:2713989::,0:56.95:709930:0.0:0,0:57.18:426253:0.0:0,[0:56.84:380117:0.0:0
SYNA_112219C54.5,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,U:61.15:1007686::,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,U:60.09:2713989::,0:56.95:709930:0.0:0,0:57.18:426253:0.0:0,[0:56.84:380117:0.0:0
SYNA_112919C42,9:46.92,9:48.09,9:46.3,9:53.65:3667939:4.1:0,9:59.01:3807061:4.1:0,9:58.64:1822357:4.1:0,9:59.82:1492561:4.1:0,9:61.15:1007686:4.1:0,9:60.41:774945:4.1:0,9:60.37:663970:4.1:0,9:60.09:2713989:4.1:0,9:56.95:709930:4.1:0,9:57.18:426253:4.1:0,U:56.84:380117:U:U
SYNA_112919C42.5,4:46.92,4:48.09,4:46.3,4:53.65:3667939:4.76:0,4:59.01:3807061:4.76:0,4:58.64:1822357:4.76:0,4:59.82:1492561:4.76:0,4:61.15:1007686:4.76:0,4:60.41:774945:4.76:0,4:60.37:663970:4.76:0,U:60.09:2713989::,4:56.95:709930:16.59:0,4:57.18:426253:16.59:0,4:56.84:380117:16.59:0
SYNA_112919C43,64:46.92,36:48.09,35:46.3,35:53.65:3667939:3.9:0,35:59.01:3807061:3.9:0,35:58.64:1822357:3.9:0,35:59.82:1492561:3.9:0,35:61.15:1007686:3.9:0,35:60.41:774945:3.9:0,35:60.37:663970:3.9:0,U:60.09:2713989::,U:56.95:709930:U:U,35:57.18:426253:3.9:0,35:56.84:380117:3.9:0
SYNA_112919C43.5,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,0:60.09:2713989:0.0:0,0:56.95:709930:0.0:0,0:57.18:426253:0.0:0,0:56.84:380117:0.0:0
SYNA_112919C44,6:46.92,6:48.09,6:46.3,6:53.65:3667939:2.88:0,6:59.01:3807061:2.88:0,6:58.64:1822357:2.88:0,6:59.82:1492561:2.88:0,6:61.15:1007686:2.88:0,6:60.41:774945:2.88:0,6:60.37:663970:2.88:0,6:60.09:2713989:2.88:0,U:56.95:709930:U:U,6:57.18:426253:2.88:0,U:56.84:380117:U:U
SYNA_112919C44.5,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,U:60.09:2713989::,0:56.95:709930:0.0:0,0:57.18:426253:0.0:0,0:56.84:380117:0.0:0
SYNA_112919C45,2:46.92,2:48.09,2:46.3,2:53.65:3667939:1.05:0,2:59.01:3807061:1.05:0,2:58.64:1822357:1.05:0,2:59.82:1492561:1.05:0,2:61.15:1007686:1.05:0,2:60.41:774945:1.05:0,2:60.37:663970:1.05:0,2:60.09:2713989:1.05:0,2:56.95:709930:1.05:0,2:57.18:426253:1.05:0,2:56.84:380117:1.05:0
SYNA_112919C45.5,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,0:60.09:2713989:0.0:0,0:56.95:709930:0.0:0,0:57.18:426253:0.0:0,0:56.84:380117:0.0:0
SYNA_112919C46,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,U:60.09:2713989::,0:56.95:709930:0.0:0,0:57.18:426253:0.0:0,U:56.84:380117:U:U
