Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
SYNA_112219P41.5,1:46.92,1:48.09,1:46.3,1:53.65:3667939:2.3:0,1:59.01:3807061:2.3:0,1:58.64:1822357:2.3:0,1:59.82:1492561:2.3:0,1:61.15:1007686:2.3:0,1:60.41:774945:2.3:0,1:60.37:663970:2.3:0,U:60.09:2713989::,1:56.95:709930:2.3:0,U:57.18:426253:U:U,1:56.84:380117:2.3:0
SYNA_112219P42,1:46.92,1:48.09,1:46.3,1:53.65:3667939:1.8:0,1:59.01:3807061:1.8:0,1:58.64:1822357:1.8:0,1:59.82:1492561:1.8:0,1:61.15:1007686:1.8:0,1:60.41:774945:1.8:0,1:60.37:663970:1.8:0,1:60.09:2713989:1.8:0,1:56.95:709930:1.8:0,1:57.18:426253:1.8:0,1:56.84:380117:1.8:0
SYNA_112219P42.5,1:46.92,1:48.09,1:46.3,1:53.65:3667939:2.0:0,1:59.01:3807061:2.0:0,1:58.64:1822357:2.0:0,U:59.82:1492561::,1:61.15:1007686:2.0:0,1:60.41:774945:2.0:0,1:60.37:663970:2.0:0,1:60.09:2713989:2.0:0,U:56.95:709930:U:U,1:57.18:426253:2.0:0,1:56.84:380117:2.0:0
SYNA_112219P43,1:46.92,1:48.09,1:46.3,1:53.65:3667939:2.25:0,1:59.01:3807061:2.25:0,1:58.64:1822357:2.25:0,U:59.82:1492561::,1:61.15:1007686:2.25:0,1:60.41:774945:2.25:0,1:60.37:663970:2.25:0,1:60.09:2713989:2.25:0,1:56.95:709930:2.25:0,1:57.18:426253:2.25:0,1:56.84:380117:2.25:0
SYNA_112219P43.5,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,0:60.09:2713989:0.0:0,0:56.95:709930:0.0:0,0:57.18:426253:0.0:0,0:56.84:380117:0.0:0
SYNA_112219P44,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,0:60.09:2713989:0.0:0,0:56.95:709930:0.0:0,U:57.18:426253:U:U,0:56.84:380117:0.0:0
SYNA_112219P44.5,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,0:60.09:2713989:0.0:0,0:56.95:709930:0.0:0,0:57.18:426253:0.0:0,U:56.84:380117:U:U
SYNA_112219P45,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,U:60.09:2713989::,0:56.95:709930:0.0:0,U:57.18:426253:U:U,0:56.84:380117:0.0:0
SYNA_112219P46,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,0:60.09:2713989:0.0:0,0:56.95:709930:0.0:0,0:57.18:426253:0.0:0,0:56.84:380117:0.0:0
SYNA_112219P46.5,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,0:60.09:2713989:0.0:0,0:56.95:709930:0.0:0,U:57.18:426253:U:U,0:56.84:380117:0.0:0
SYNA_112219P47,0:46.92,0:48.09,0:46.3,0:53.65:3667939:2.5:5,5:59.01:3807061:2.5:0,5:58.64:1822357:2.5:0,5:59.82:1492561:2.5:0,5:61.15:1007686:2.5:0,5:60.41:774945:2.5:0,5:60.37:663970:2.5:0,U:60.09:2713989::,5:56.95:709930:2.5:0,U:57.18:426253:U:U,5:56.84:380117:2.5:0
SYNA_112219P47.5,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.9:2,2:59.01:3807061:0.9:0,2:58.64:1822357:0.9:0,2:59.82:1492561:0.9:0,2:61.15:1007686:0.9:0,2:60.41:774945:0.9:0,2:60.37:663970:0.9:0,2:60.09:2713989:0.9:0,2:56.95:709930:0.9:0,2:57.18:426253:0.9:0,U:56.84:380117:U:U
SYNA_112219P48.5,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,U:60.37:663970::,U:60.09:2713989::,U:56.95:709930:U:U,0:57.18:426253:0.0:0,0:56.84:380117:0.0:0
SYNA_112219P49,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,0:60.09:2713989:0.0:0,0:56.95:709930:0.0:0,0:57.18:426253:0.0:0,0:56.84:380117:0.0:0
SYNA_112219P50,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,0:60.09:2713989:0.0:0,0:56.95:709930:0.0:0,0:57.18:426253:0.0:0,0:56.84:380117:0.0:0
SYNA_112219P52.5,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,0:60.09:2713989:0.0:0,0:56.95:709930:0.05:10,10:57.18:426253:0.05:0,[10:56.84:380117:0.05:0
SYNA_112219P53,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:1.0:2,2:58.64:1822357:1.0:0,2:59.82:1492561:1.0:0,2:61.15:1007686:1.0:0,2:60.41:774945:1.0:0,2:60.37:663970:1.0:0,2:60.09:2713989:1.0:0,2:56.95:709930:0.06:2,0:57.18:426253:0.06:0,[0:56.84:380117:0.06:0
SYNA_112219P53.5,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:1.5:3,3:58.64:1822357:0.3:18,20:59.82:1492561:0.3:0,20:61.15:1007686:0.12:1,21:60.41:774945:0.12:0,21:60.37:663970:0.12:0,21:60.09:2713989:0.12:0,21:56.95:709930:0.12:0,21:57.18:426253:0.12:0,[21:56.84:380117:0.12:0
SYNA_112219P54,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.0:0,0:59.82:1492561:0.0:0,0:61.15:1007686:0.0:0,0:60.41:774945:0.0:0,0:60.37:663970:0.0:0,0:60.09:2713989:0.0:0,0:56.95:709930:0.0:0,0:57.18:426253:0.0:0,[0:56.84:380117:0.0:0
SYNA_112219P54.5,0:46.92,0:48.09,0:46.3,0:53.65:3667939:0.0:0,0:59.01:3807061:0.0:0,0:58.64:1822357:0.4:1,1:59.82:1492561:0.4:0,1:61.15:1007686:0.4:0,1:60.41:774945:0.4:0,1:60.37:663970:0.4:0,1:60.09:2713989:0.4:0,1:56.95:709930:0.4:0,1:57.18:426253:0.4:0,[1:56.84:380117:0.4:0
