Symbol,20191028,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
TECD_122019C75,0:122.41,0.0,0:127.33,0:128.96,0:124.68,0:124.6:205054:0.0:0,0:124.5:228523:0.0:0,0:124.3:144580:0.0:0,0:125.41:338977:0.0:0,0:121.49:980916:0.0:0,0:130.55:1275622:0.0:0,0:130.43:998372:0.0:0,0:129.8:866792:0.0:0,0:129.65:1053766:0.0:0,0:129.42:1071749:0.0:0,0:129.09:771412:0.0:0
TECD_122019C80,0:122.41,0.0,0:127.33,0:128.96,0:124.68,0:124.6:205054:0.0:0,0:124.5:228523:0.0:0,0:124.3:144580:0.0:0,0:125.41:338977:0.0:0,0:121.49:980916:0.0:0,0:130.55:1275622:0.0:0,0:130.43:998372:0.0:0,0:129.8:866792:0.0:0,0:129.65:1053766:0.0:0,0:129.42:1071749:0.0:0,[0:129.09:771412:0.0:0
TECD_122019C85,56:122.41,56.0,56:127.33,56:128.96,56:124.68,56:124.6:205054:21.8:0,56:124.5:228523:21.8:0,56:124.3:144580:21.8:0,56:125.41:338977:21.8:0,56:121.49:980916:21.8:0,56:130.55:1275622:21.8:0,56:130.43:998372:21.8:0,56:129.8:866792:21.8:0,56:129.65:1053766:21.8:0,56:129.42:1071749:21.8:0,[56:129.09:771412:21.8:0
TECD_122019C90,6:122.41,6.0,6:127.33,6:128.96,6:124.68,6:124.6:205054:17.6:0,6:124.5:228523:17.6:0,6:124.3:144580:17.6:0,6:125.41:338977:17.6:0,6:121.49:980916:17.6:0,6:130.55:1275622:17.6:0,6:130.43:998372:17.6:0,6:129.8:866792:17.6:0,6:129.65:1053766:17.6:0,6:129.42:1071749:17.6:0,[6:129.09:771412:17.6:0
TECD_122019C95,32:122.41,30.0,30:127.33,30:128.96,30:124.68,30:124.6:205054:28.3:0,30:124.5:228523:28.3:0,30:124.3:144580:28.3:0,30:125.41:338977:28.3:0,30:121.49:980916:0.0:0:121.49:980916:28.3:0,30:130.55:1275622:28.3:0,30:130.43:998372:28.3:0,30:129.8:866792:28.3:0,30:129.65:1053766:28.3:0,30:129.42:1071749:28.3:0,[30:129.09:771412:28.3:0
TECD_122019C100,52:122.41,52.0,52:127.33,52:128.96,52:124.68,52:124.6:205054:25.9:0,52:124.5:228523:25.9:0,52:124.3:144580:25.9:0,52:125.41:338977:25.9:0,52:121.49:980916:25.9:0,52:130.55:1275622:30.6:2,50:130.43:998372:30.6:0,50:129.8:866792:30.6:0,50:129.65:1053766:30.6:0,50:129.42:1071749:30.6:0,[50:129.09:771412:30.6:0
TECD_122019C105,42:122.41,41.0,41:127.33,41:128.96,41:124.68,41:124.6:205054:17.72:0,41:124.5:228523:17.72:0,41:124.3:144580:17.72:0,41:125.41:338977:20.3:2,41:121.49:980916:20.3:0,41:130.55:1275622:25.83:2,41:130.43:998372:25.83:0,41:129.8:866792:25.83:0,41:129.65:1053766:25.83:0,41:129.42:1071749:25.83:0,[41:129.09:771412:25.83:0
TECD_122019C110,30:122.41,30.0,30:127.33,27:128.96,27:124.68,27:124.6:205054:18.84:0,27:124.5:228523:18.84:0,27:124.3:144580:18.84:0,27:125.41:338977:15.9:2,29:121.49:980916:15.9:0,29:130.55:1275622:20.9:2,27:130.43:998372:20.9:0,27:129.8:866792:20.08:2,25:129.65:1053766:20.08:0,25:129.42:1071749:20.08:0,[25:129.09:771412:20.08:0
TECD_122019C115,35:122.41,35.0,35:127.33,35:128.96,35:124.68,35:124.6:205054:13.63:0,35:124.5:228523:13.63:0,35:124.3:144580:12.5:1,34:125.41:338977:12.5:0,34:121.49:980916:12.5:0,34:130.55:1275622:12.5:0,34:130.43:998372:12.5:0,32:129.8:866792:12.5:0,32:129.65:1053766:12.5:0,32:129.42:1071749:12.5:0,[32:129.09:771412:12.5:0
TECD_122019C120,49:122.41,49.0,49:127.33,49:128.96,49:124.68,48:124.6:205054:10.05:0,48:124.5:228523:10.05:0,48:124.3:144580:9.13:2,50:125.41:338977:9.13:0,50:121.49:980916:10.0:1,50:130.55:1275622:11.1:2,48:130.43:998372:11.1:0,48:129.8:866792:10.15:2,46:129.65:1053766:10.15:0,46:129.42:1071749:10.15:0,[46:129.09:771412:10.15:0
