Symbol,20191028,20191030,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
TECD_122019P75,85:122.41,85:123.59,85.0,85:127.33,85:128.96,85:124.68,85:124.6:205054:0.01:0,85:124.5:228523:0.01:0,85:124.3:144580:0.01:0,85:125.41:338977:0.01:0,85:121.49:980916:0.01:0,85:130.55:1275622:0.01:0,85:130.43:998372:0.01:0,85:129.8:866792:0.01:0,85:129.65:1053766:0.01:0,85:129.42:1071749:0.01:0,85:129.09:771412:0.01:0
TECD_122019P80,133:122.41,133:123.59,133.0,133:127.33,133:128.96,133:124.68,133:124.6:205054:0.2:0,133:124.5:228523:0.2:0,133:124.3:144580:0.2:1,132:125.41:338977:0.2:0,132:121.49:980916:0.2:0,132:130.55:1275622:0.2:0,132:130.43:998372:0.2:0,132:129.8:866792:0.2:0,132:129.65:1053766:0.2:0,132:129.42:1071749:0.2:0,[132:129.09:771412:0.2:0
TECD_122019P85,19:122.41,19:123.59,19.0,19:127.33,19:128.96,19:124.68,19:124.6:205054:0.25:0,19:124.5:228523:0.25:0,19:124.3:144580:0.25:0,19:125.41:338977:0.25:0,19:121.49:980916:0.03:10,19:130.55:1275622:0.03:0,19:130.43:998372:0.03:0,19:129.8:866792:0.03:0,19:129.65:1053766:0.03:0,19:129.42:1071749:0.03:0,[19:129.09:771412:0.03:0
TECD_122019P90,42:122.41,40:123.59,40.0,40:127.33,40:128.96,40:124.68,40:124.6:205054:0.25:0,40:124.5:228523:0.25:0,40:124.3:144580:0.25:0,40:125.41:338977:0.25:0,40:121.49:980916:0.25:0,40:130.55:1275622:0.25:1,40:130.43:998372:0.25:0,40:129.8:866792:0.03:10,40:129.65:1053766:0.03:0,40:129.42:1071749:0.03:0,[40:129.09:771412:0.03:0
TECD_122019P95,176:122.41,176:123.59,176.0,176:127.33,176:128.96,176:124.68,176:124.6:205054:0.75:0,176:124.5:228523:0.75:0,176:124.3:144580:0.75:0,176:125.41:338977:0.75:0,176:121.49:980916:0.75:0,176:130.55:1275622:0.75:0,176:130.43:998372:0.75:0,176:129.8:866792:0.75:0,176:129.65:1053766:0.75:0,176:129.42:1071749:0.75:0,[176:129.09:771412:0.75:0
TECD_122019P100,140:122.41,280:123.59,280.0,280:127.33,280:128.96,280:124.68,270:124.6:205054:0.78:0,270:124.5:228523:0.78:0,270:124.3:144580:0.78:0,270:125.41:338977:0.78:0,270:121.49:980916:0.78:0,270:130.55:1275622:0.78:0,270:130.43:998372:0.78:0,270:129.8:866792:0.78:0,270:129.65:1053766:0.78:0,270:129.42:1071749:0.78:0,[270:129.09:771412:0.78:0
TECD_122019P105,15:122.41,15:123.59,15.0,15:127.33,15:128.96,15:124.68,15:124.6:205054:1.06:0,15:124.5:228523:1.06:0,15:124.3:144580:1.06:0,15:125.41:338977:1.06:0,15:121.49:980916:0.05:4,15:130.55:1275622:0.05:1,16:130.43:998372:0.05:0,16:129.8:866792:0.05:0,16:129.65:1053766:0.05:0,16:129.42:1071749:0.05:0,[16:129.09:771412:0.05:0
TECD_122019P110,24:122.41,25:123.59,23.0,24:127.33,26:128.96,26:124.68,26:124.6:205054:1.3:0,26:124.5:228523:1.67:3,25:124.3:144580:1.67:0,25:125.41:338977:1.75:5,26:121.49:980916:0.05:23,23:130.55:1275622:0.05:1,22:130.43:998372:0.05:0,22:129.8:866792:0.05:0,22:129.65:1053766:0.05:0,22:129.42:1071749:0.05:0,[22:129.09:771412:0.05:0
TECD_122019P115,109:122.41,108:123.59,108.0,108:127.33,108:128.96,108:124.68,118:124.6:205054:2.53:0,118:124.5:228523:2.53:0,118:124.3:144580:2.53:0,118:125.41:338977:2.35:16,134:121.49:980916:0.04:10,134:130.55:1275622:0.05:3,131:130.43:998372:0.05:0,131:129.8:866792:0.06:20,111:129.65:1053766:0.06:0,111:129.42:1071749:0.05:25,[131:129.09:771412:0.05:0
TECD_122019P120,63:122.41,74:123.59,74.0,74:127.33,74:128.96,64:124.68,45:124.6:205054:4.38:6,45:124.5:228523:4.23:2,47:124.3:144580:4.2:2,49:125.41:338977:4.3:90,101:121.49:980916:0.1:22,104:130.55:1275622:0.1:0,104:130.43:998372:0.1:0,104:129.8:866792:0.1:0,104:129.65:1053766:0.1:0,104:129.42:1071749:0.1:0,[104:129.09:771412:0.1:8
TECD_122019P125,10:122.41,10:123.59,10.0,10:127.33,14:128.96,24:124.68,21:124.6:205054:6.1:5,26:124.5:228523:6.27:1,26:124.3:144580:6.27:0,26:125.41:338977:6.27:0,26:121.49:980916:0.2:8,21:130.55:1275622:0.2:0,21:130.43:998372:0.2:0,21:129.8:866792:0.05:4,21:129.65:1053766:0.05:0,21:129.42:1071749:0.05:0,[21:129.09:771412:0.35:145
TECD_122019P130,0:122.41,1:123.59,1.0,1:127.33,5:128.96,5:124.68,5:124.6:205054:9.32:1,5:124.5:228523:9.32:0,5:124.3:144580:9.32:0,5:125.41:338977:9.32:0,5:121.49:980916:0.6:1,6:130.55:1275622:0.75:9,11:130.43:998372:0.75:0,11:129.8:866792:1.0:11,15:129.65:1053766:0.5:0,15:129.42:1071749:1.2:3,[16:129.09:771412:1.4:42
TECD_122019P135,0:122.41,0:123.59,0.0,0:127.33,0:128.96,0:124.68,0:124.6:205054:36.4:0,0:124.5:228523:36.4:0,0:124.3:144580:36.4:0,0:125.41:338977:36.4:0,0:121.49:980916:36.4:0,0:130.55:1275622:36.4:0,0:130.43:998372:36.4:0,0:129.8:866792:36.4:0,0:129.65:1053766:36.4:0,0:129.42:1071749:36.4:0,[0:129.09:771412:36.4:0
TECD_122019P140,0:122.41,0:123.59,0.0,0:127.33,0:128.96,0:124.68,0:124.6:205054:41.0:0,0:124.5:228523:41.0:0,0:124.3:144580:41.0:0,0:125.41:338977:41.0:0,0:121.49:980916:41.0:0,0:130.55:1275622:41.0:0,0:130.43:998372:41.0:0,0:129.8:866792:41.0:0,0:129.65:1053766:41.0:0,0:129.42:1071749:41.0:0,[0:129.09:771412:41.0:0
TECD_122019P145,0:122.41,0:123.59,0.0,0:127.33,0:128.96,0:124.68,0:124.6:205054:0.0:0,0:124.5:228523:0.0:0,0:124.3:144580:0.0:0,0:125.41:338977:0.0:0,0:121.49:980916:0.0:0,0:130.55:1275622:0.0:0,0:130.43:998372:0.0:0,0:129.8:866792:0.0:0,0:129.65:1053766:0.0:0,0:129.42:1071749:0.0:0,[0:129.09:771412:0.0:0
TECD_122019P150,0:122.41,0:123.59,0.0,0:127.33,0:128.96,0:124.68,0:124.6:205054:0.0:0,0:124.5:228523:0.0:0,0:124.3:144580:0.0:0,0:125.41:338977:0.0:0,0:121.49:980916:0.0:0,0:130.55:1275622:0.0:0,0:130.43:998372:0.0:0,0:129.8:866792:0.0:0,0:129.65:1053766:0.0:0,0:129.42:1071749:0.0:0,[0:129.09:771412:0.0:0
TECD_122019P155,0:122.41,0:123.59,0.0,0:127.33,0:128.96,0:124.68,0:124.6:205054:0.0:0,0:124.5:228523:0.0:0,0:124.3:144580:0.0:0,0:125.41:338977:0.0:0,0:121.49:980916:0.0:0,0:130.55:1275622:0.0:0,0:130.43:998372:0.0:0,0:129.8:866792:0.0:0,0:129.65:1053766:0.0:0,0:129.42:1071749:0.0:0,[0:129.09:771412:0.0:0
