Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
TEL_122019C55,0:94.45,0:94.56,0:93.94,0:94.01:1305290:0.0:0,0:93.9:901271:0.0:0,0:93.63:581470:0.0:0,0:93.18:1111013:0.0:0,0:93.64:1312050:0.0:0,0:92.9:693263:0.0:0,0:93.1:1267725:0.0:0,0:92.45:1813096:0.0:0,0:91.83:963901:0.0:0,0:90.85:1176541:0.0:0,[0:90.59:817090:0.0:0
TEL_122019C60,0:94.45,0:94.56,0:93.94,0:94.01:1305290:0.0:0,0:93.9:901271:0.0:0,0:93.63:581470:0.0:0,0:93.18:1111013:0.0:0,0:93.64:1312050:0.0:0,0:92.9:693263:0.0:0,0:93.1:1267725:0.0:0,0:92.45:1813096:0.0:0,0:91.83:963901:0.0:0,0:90.85:1176541:0.0:0,[0:90.59:817090:0.0:0
TEL_122019C65,0:94.45,0:94.56,0:93.94,0:94.01:1305290:0.0:0,0:93.9:901271:0.0:0,0:93.63:581470:0.0:0,0:93.18:1111013:0.0:0,0:93.64:1312050:0.0:0,0:92.9:693263:0.0:0,0:93.1:1267725:0.0:0,0:92.45:1813096:0.0:0,0:91.83:963901:0.0:0,0:90.85:1176541:0.0:0,[0:90.59:817090:0.0:0
TEL_122019C70,0:94.45,0:94.56,0:93.94,0:94.01:1305290:0.0:0,0:93.9:901271:0.0:0,0:93.63:581470:0.0:0,0:93.18:1111013:0.0:0,0:93.64:1312050:0.0:0,0:92.9:693263:0.0:0,0:93.1:1267725:0.0:0,0:92.45:1813096:0.0:0,0:91.83:963901:0.0:0,0:90.85:1176541:0.0:0,[0:90.59:817090:0.0:0
TEL_122019C75,0:94.45,0:94.56,0:93.94,0:94.01:1305290:0.0:0,0:93.9:901271:0.0:0,0:93.63:581470:0.0:0,0:93.18:1111013:0.0:0,0:93.64:1312050:0.0:0,0:92.9:693263:0.0:0,0:93.1:1267725:0.0:0,0:92.45:1813096:0.0:0,0:91.83:963901:0.0:0,0:90.85:1176541:0.0:0,[0:90.59:817090:0.0:0
TEL_122019C80,0:94.45,0:94.56,0:93.94,0:94.01:1305290:0.0:0,0:93.9:901271:0.0:0,0:93.63:581470:0.0:0,0:93.18:1111013:0.0:0,0:93.64:1312050:0.0:0,0:92.9:693263:0.0:0,0:93.1:1267725:0.0:0,0:92.45:1813096:0.0:0,0:91.83:963901:0.0:0,0:90.85:1176541:0.0:0,[0:90.59:817090:0.0:0
TEL_122019C85,1:94.45,1:94.56,1:93.94,1:94.01:1305290:5.8:0,1:93.9:901271:5.8:0,1:93.63:581470:5.8:0,1:93.18:1111013:5.8:0,1:93.64:1312050:5.8:0,1:92.9:693263:5.8:0,1:93.1:1267725:5.8:0,1:92.45:1813096:5.8:0,1:91.83:963901:5.8:0,1:90.85:1176541:5.8:0,[1:90.59:817090:5.8:0
TEL_122019C90,63:94.45,73:94.56,73:93.94,73:94.01:1305290:5.0:0,73:93.9:901271:5.0:0,73:93.63:581470:5.0:0,73:93.18:1111013:5.0:0,73:93.64:1312050:3.52:4,76:92.9:693263:3.52:0,76:93.1:1267725:3.52:0,76:92.45:1813096:3.52:0,76:91.83:963901:3.52:0,76:90.85:1176541:2.8:1,[76:90.59:817090:2.8:0
TEL_122019C95,190:94.45,253:94.56,257:93.94,257:94.01:1305290:1.95:38,295:93.9:901271:1.6:1,296:93.63:581470:1.6:0,296:93.18:1111013:1.43:4,296:93.64:1312050:1.43:0,296:92.9:693263:1.43:0,296:93.1:1267725:1.02:84,322:92.45:1813096:0.8:5,333:91.83:963901:0.75:0,333:90.85:1176541:0.75:0,[333:90.59:817090:0.5:3
TEL_122019C100,126:94.45,131:94.56,131:93.94,131:94.01:1305290:0.4:166,297:93.9:901271:0.4:0,297:93.63:581470:0.4:0,297:93.18:1111013:0.25:5,302:93.64:1312050:0.25:0,302:92.9:693263:0.25:0,302:93.1:1267725:0.25:0,302:92.45:1813096:0.25:0,302:91.83:963901:0.25:0,302:90.85:1176541:0.25:0,[302:90.59:817090:0.25:0
