Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
TEL_122019P55,0:94.45,0:94.56,0:93.94,0:94.01:1305290:0.0:0,0:93.9:901271:0.0:0,0:93.63:581470:0.0:0,0:93.18:1111013:0.0:0,0:93.64:1312050:0.0:0,0:92.9:693263:0.0:0,0:93.1:1267725:0.0:0,0:92.45:1813096:0.0:0,0:91.83:963901:0.0:0,0:90.85:1176541:0.0:0,[0:90.59:817090:0.0:0
TEL_122019P60,0:94.45,0:94.56,0:93.94,0:94.01:1305290:0.0:0,0:93.9:901271:0.0:0,0:93.63:581470:0.0:0,0:93.18:1111013:0.0:0,0:93.64:1312050:0.0:0,0:92.9:693263:0.0:0,0:93.1:1267725:0.0:0,0:92.45:1813096:0.0:0,0:91.83:963901:0.0:0,0:90.85:1176541:0.0:0,[0:90.59:817090:0.0:0
TEL_122019P65,0:94.45,0:94.56,0:93.94,0:94.01:1305290:0.0:0,0:93.9:901271:0.0:0,0:93.63:581470:0.0:0,0:93.18:1111013:0.0:0,0:93.64:1312050:0.0:0,0:92.9:693263:0.0:0,0:93.1:1267725:0.0:0,0:92.45:1813096:0.0:0,0:91.83:963901:0.0:0,0:90.85:1176541:0.0:0,[0:90.59:817090:0.0:0
TEL_122019P70,0:94.45,0:94.56,0:93.94,0:94.01:1305290:0.0:0,0:93.9:901271:0.0:0,0:93.63:581470:0.0:0,0:93.18:1111013:0.0:0,0:93.64:1312050:0.0:0,0:92.9:693263:0.0:0,0:93.1:1267725:0.0:0,0:92.45:1813096:0.0:0,0:91.83:963901:0.0:0,0:90.85:1176541:0.0:0,[0:90.59:817090:0.0:0
TEL_122019P75,0:94.45,0:94.56,0:93.94,0:94.01:1305290:0.0:0,0:93.9:901271:0.0:0,0:93.63:581470:0.0:0,0:93.18:1111013:0.0:0,0:93.64:1312050:0.0:0,0:92.9:693263:0.0:0,0:93.1:1267725:0.0:0,0:92.45:1813096:0.0:0,0:91.83:963901:0.0:0,0:90.85:1176541:0.0:0,[0:90.59:817090:0.0:0
TEL_122019P80,0:94.45,0:94.56,0:93.94,0:94.01:1305290:0.0:0,0:93.9:901271:0.0:0,0:93.63:581470:0.0:0,0:93.18:1111013:0.0:0,0:93.64:1312050:0.0:0,0:92.9:693263:0.0:0,0:93.1:1267725:0.0:0,0:92.45:1813096:0.0:0,0:91.83:963901:0.0:0,0:90.85:1176541:0.0:0,[0:90.59:817090:0.0:0
TEL_122019P85,8:94.45,8:94.56,8:93.94,8:94.01:1305290:0.65:0,8:93.9:901271:0.65:0,8:93.63:581470:0.65:0,8:93.18:1111013:0.65:0,8:93.64:1312050:0.65:0,8:92.9:693263:0.65:0,8:93.1:1267725:0.65:0,8:92.45:1813096:0.35:220,171:91.83:963901:0.4:5,171:90.85:1176541:0.4:0,[171:90.59:817090:0.4:0
TEL_122019P90,13:94.45,14:94.56,14:93.94,14:94.01:1305290:1.05:0,14:93.9:901271:1.05:0,14:93.63:581470:1.16:1,14:93.18:1111013:1.16:0,14:93.64:1312050:1.16:0,14:92.9:693263:1.0:1,15:93.1:1267725:1.0:0,15:92.45:1813096:1.0:1,16:91.83:963901:1.4:2,18:90.85:1176541:1.35:65,[83:90.59:817090:1.5:2
TEL_122019P95,13:94.45,13:94.56,13:93.94,13:94.01:1305290:7.6:0,13:93.9:901271:3.0:10,23:93.63:581470:3.0:0,23:93.18:1111013:3.0:0,23:93.64:1312050:3.0:0,23:92.9:693263:3.0:0,23:93.1:1267725:3.0:0,23:92.45:1813096:3.0:0,23:91.83:963901:3.0:0,23:90.85:1176541:4.5:1,[24:90.59:817090:4.5:0
TEL_122019P100,0:94.45,0:94.56,0:93.94,0:94.01:1305290:0.0:0,0:93.9:901271:6.79:1,1:93.63:581470:6.79:0,1:93.18:1111013:6.79:0,1:93.64:1312050:6.79:0,1:92.9:693263:6.79:0,1:93.1:1267725:6.79:0,1:92.45:1813096:6.79:0,1:91.83:963901:7.8:0,1:90.85:1176541:7.8:0,[1:90.59:817090:7.8:0
TEL_122019P105,0:94.45,0:94.56,0:93.94,0:94.01:1305290:0.0:0,0:93.9:901271:0.0:0,0:93.63:581470:0.0:0,0:93.18:1111013:0.0:0,0:93.64:1312050:0.0:0,0:92.9:693263:0.0:0,0:93.1:1267725:0.0:0,0:92.45:1813096:0.0:0,0:91.83:963901:0.0:0,0:90.85:1176541:0.0:0,[0:90.59:817090:0.0:0
TEL_122019P110,0:94.45,0:94.56,0:93.94,0:94.01:1305290:0.0:0,0:93.9:901271:0.0:0,0:93.63:581470:0.0:0,0:93.18:1111013:0.0:0,0:93.64:1312050:0.0:0,0:92.9:693263:0.0:0,0:93.1:1267725:0.0:0,0:92.45:1813096:0.0:0,0:91.83:963901:0.0:0,0:90.85:1176541:0.0:0,[0:90.59:817090:0.0:0
