Symbol,20191024,20191025,20191028,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
TER_122019P40,0.0,0:63.62,0:64.06,0:62.77,0:61.22,0.0,0:62.87,0:62.59,0:63.015,0:62.57:1870969:0.0:0,0:63.51:2120163:0.0:0,0:64.07:1071485:0.0:0,0:65.18:3378823:0.0:0,0:65.66:2533965:0.0:0,0:65.57:2057357:0.0:0,0:66.77:2871870:0.0:0,0:65.11:2262270:0.0:0,0:63.85:2004573:0.0:0,0:61.78:2243678:0.0:0,[0:61.96:1723711:0.0:0
TER_122019P45,24.0,24:63.62,24:64.06,24:62.77,24:61.22,24.0,24:62.87,24:62.59,24:63.015,24:62.57:1870969:0.11:0,24:63.51:2120163:0.11:0,24:64.07:1071485:0.11:0,24:65.18:3378823:0.11:0,24:65.66:2533965:0.11:0,24:65.57:2057357:0.11:0,24:66.77:2871870:0.11:0,24:65.11:2262270:0.11:0,24:63.85:2004573:0.11:0,24:61.78:2243678:0.11:0,[24:61.96:1723711:0.11:0
TER_122019P50,37.0,37:63.62,37:64.06,34:62.77,35:61.22,35.0,50:62.87,58:62.59,58:63.015,73:62.57:1870969:0.15:0,73:63.51:2120163:0.15:0,73:64.07:1071485:0.11:1,73:65.18:3378823:0.11:0,73:65.66:2533965:0.1:1,73:65.57:2057357:0.1:0,73:66.77:2871870:0.1:0,73:65.11:2262270:0.1:0,73:63.85:2004573:0.1:0,73:61.78:2243678:0.15:1,[73:61.96:1723711:0.15:0
TER_122019P55,64.0,65:63.62,74:64.06,118:62.77,139:61.22,139.0,152:62.87,166:62.59,166:63.015,166:62.57:1870969:0.4:5,166:63.51:2120163:0.4:0,166:64.07:1071485:0.4:0,166:65.18:3378823:0.24:1,166:65.66:2533965:0.2:2,164:65.57:2057357:0.15:6,164:66.77:2871870:0.05:11,164:65.11:2262270:0.05:0,164:63.85:2004573:0.2:10,174:61.78:2243678:0.35:76,[250:61.96:1723711:0.3:11
TER_122019P60,1102.0,1256:63.62,1270:64.06,1533:62.77,793:61.22,793.0,791:62.87,803:62.59,839:63.015,854:62.57:1870969:1.2:6,854:63.51:2120163:1.2:0,854:64.07:1071485:0.86:7,855:65.18:3378823:0.65:25,849:65.66:2533965:0.68:12,849:65.57:2057357:0.62:68,840:66.77:2871870:0.36:44,845:65.11:2262270:0.52:25,871:63.85:2004573:0.75:2,872:61.78:2243678:1.31:29,[870:61.96:1723711:1.2:20
TER_122019P65,69.0,169:63.62,189:64.06,341:62.77,328:61.22,328.0,332:62.87,333:62.59,333:63.015,293:62.57:1870969:3.88:5,294:63.51:2120163:3.88:0,294:64.07:1071485:3.88:0,294:65.18:3378823:2.0:76,326:65.66:2533965:2.1:22,342:65.57:2057357:2.05:42,366:66.77:2871870:1.4:64,371:65.11:2262270:1.8:23,608:63.85:2004573:2.6:32,627:61.78:2243678:3.89:110,[527:61.96:1723711:3.92:69
TER_122019P70,25.0,25:63.62,25:64.06,25:62.77,30:61.22,30.0,30:62.87,30:62.59,30:63.015,30:62.57:1870969:7.2:0,30:63.51:2120163:7.2:0,30:64.07:1071485:7.2:0,30:65.18:3378823:7.2:0,30:65.66:2533965:7.2:0,30:65.57:2057357:7.2:0,30:66.77:2871870:3.87:5,30:65.11:2262270:4.6:2,32:63.85:2004573:6.0:4,32:61.78:2243678:7.6:3,[34:61.96:1723711:7.6:0
TER_122019P75,0.0,0:63.62,0:64.06,50:62.77,50:61.22,50.0,50:62.87,50:62.59,50:63.015,50:62.57:1870969:11.46:0,50:63.51:2120163:11.46:0,50:64.07:1071485:11.46:0,50:65.18:3378823:11.46:0,50:65.66:2533965:11.46:0,50:65.57:2057357:11.46:0,50:66.77:2871870:11.46:0,50:65.11:2262270:11.46:0,50:63.85:2004573:11.46:0,50:61.78:2243678:11.46:0,[50:61.96:1723711:11.46:0
TER_122019P80,0.0,0:63.62,0:64.06,0:62.77,0:61.22,0.0,0:62.87,0:62.59,0:63.015,0:62.57:1870969:0.0:0,0:63.51:2120163:0.0:0,0:64.07:1071485:0.0:0,0:65.18:3378823:0.0:0,0:65.66:2533965:0.0:0,0:65.57:2057357:0.0:0,0:66.77:2871870:0.0:0,0:65.11:2262270:0.0:0,0:63.85:2004573:0.0:0,0:61.78:2243678:0.0:0,[0:61.96:1723711:0.0:0
TER_122019P85,0.0,0:63.62,0:64.06,0:62.77,0:61.22,0.0,0:62.87,0:62.59,0:63.015,0:62.57:1870969:23.1:0,0:63.51:2120163:23.1:0,0:64.07:1071485:23.1:0,0:65.18:3378823:23.1:0,0:65.66:2533965:23.1:0,0:65.57:2057357:23.1:0,0:66.77:2871870:23.1:0,0:65.11:2262270:23.1:0,0:63.85:2004573:23.1:0,0:61.78:2243678:23.1:0,[0:61.96:1723711:23.1:0
