Symbol,20191028,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
TGT_112219P100,459:109.72,597:107.93,663:106.91,663.0,696:108.77,756:110.06,794:110.51,870:110.59:3493631:0.96:82,918:110.15:2795331:0.73:83,980:110.45:2827919:0.68:386,1238:108.35:5180397:0.91:372,1502:108.58:3659894:0.88:63,1530:111.11:5967966:0.53:348,1585:113.21:5313405:0.41:333,1486:111.96:6910721:0.37:1336,3252:126.43:32258592:0.01:770,U:127.65:10801696:U:U,3130:127.02:7535483:0.01:30
TGT_112219P101,167:109.72,361:107.93,392:106.91,392.0,398:108.77,477:110.06,515:110.51,544:110.59:3493631:0.85:86,561:110.15:2795331:0.94:25,562:110.45:2827919:0.8:20,577:108.35:5180397:1.19:92,617:108.58:3659894:1.06:21,623:111.11:5967966:0.74:217,763:113.21:5313405:0.53:273,884:111.96:6910721:0.47:627,2357:126.43:32258592:0.01:708,U:127.65:10801696:U:U,2096:127.02:7535483:0.01:10
TGT_112219P102,195:109.72,417:107.93,576:106.91,576.0,590:108.77,649:110.06,695:110.51,886:110.59:3493631:1.08:14,896:110.15:2795331:1.11:39,929:110.45:2827919:1.03:10,937:108.35:5180397:1.46:175,1043:108.58:3659894:1.29:23,1047:111.11:5967966:0.89:134,1119:113.21:5313405:0.66:80,1175:111.96:6910721:0.62:308,U:126.43:32258592:U:U,2082:127.65:10801696:0.02:57,2056:127.02:7535483:0.01:54
TGT_112219P103,264:109.72,534:107.93,545:106.91,545.0,567:108.77,610:110.06,641:110.51,803:110.59:3493631:1.25:12,801:110.15:2795331:1.37:8,804:110.45:2827919:1.15:12,815:108.35:5180397:1.7:339,1025:108.58:3659894:1.56:23,1046:111.11:5967966:1.07:96,1080:113.21:5313405:0.82:336,1241:111.96:6910721:0.83:509,2285:126.43:32258592:0.01:887,2008:127.65:10801696:0.01:9,2001:127.02:7535483:0.01:20
TGT_112219P104,235:109.72,366:107.93,712:106.91,712.0,741:108.77,755:110.06,778:110.51,1083:110.59:3493631:1.58:26,1082:110.15:2795331:1.68:55,1118:110.45:2827919:1.53:48,1137:108.35:5180397:2.08:238,1345:108.58:3659894:1.98:101,1413:111.11:5967966:1.32:142,1477:113.21:5313405:1.01:395,1497:111.96:6910721:1.03:830,U:126.43:32258592:U:U,2040:127.65:10801696:0.01:78,2017:127.02:7535483:0.01:3
TGT_112219P105,332:109.72,790:107.93,931:106.91,931.0,1032:108.77,1043:110.06,1067:110.51,1328:110.59:3493631:1.9:38,1318:110.15:2795331:1.93:64,1358:110.45:2827919:1.76:308,1570:108.35:5180397:2.52:207,1734:108.58:3659894:2.24:65,1777:111.11:5967966:1.6:188,1780:113.21:5313405:1.22:479,1749:111.96:6910721:1.3:1060,3439:126.43:32258592:0.01:1388,3047:127.65:10801696:0.01:68,3045:127.02:7535483:0.01:37
TGT_112219P106,365:109.72,430:107.93,721:106.91,721.0,730:108.77,742:110.06,694:110.51,850:110.59:3493631:2.23:33,868:110.15:2795331:2.44:47,904:110.45:2827919:2.09:49,941:108.35:5180397:2.97:18,948:108.58:3659894:2.86:42,962:111.11:5967966:1.94:146,1014:113.21:5313405:1.49:184,984:111.96:6910721:1.64:399,1436:126.43:32258592:0.01:700,U:127.65:10801696:U:U,1400:127.02:7535483:0.01:20
TGT_112219P107,527:109.72,553:107.93,557:106.91,557.0,604:108.77,782:110.06,814:110.51,927:110.59:3493631:2.68:126,1030:110.15:2795331:2.67:56,1075:110.45:2827919:2.41:14,1082:108.35:5180397:3.45:83,1139:108.58:3659894:3.26:58,1166:111.11:5967966:2.29:61,1209:113.21:5313405:1.74:145,1203:111.96:6910721:1.91:762,U:126.43:32258592:U:U,1694:127.65:10801696:0.01:10,1694:127.02:7535483:0.01:153
TGT_112219P108,459:109.72,574:107.93,576:106.91,576.0,585:108.77,656:110.06,665:110.51,697:110.59:3493631:3.14:81,752:110.15:2795331:3.16:21,773:110.45:2827919:2.88:49,787:108.35:5180397:3.94:239,809:108.58:3659894:3.74:81,845:111.11:5967966:2.69:147,872:113.21:5313405:2.06:183,891:111.96:6910721:2.28:654,1421:126.43:32258592:0.01:910,U:127.65:10801696:.1:U,U:127.02:7535483:.4:U
TGT_112219P109,263:109.72,386:107.93,387:106.91,387.0,384:108.77,393:110.06,433:110.51,450:110.59:3493631:3.59:21,456:110.15:2795331:3.68:14,461:110.45:2827919:3.45:121,504:108.35:5180397:4.4:149,579:108.58:3659894:4.1:116,640:111.11:5967966:3.06:244,679:113.21:5313405:2.43:207,677:111.96:6910721:2.7:326,1040:126.43:32258592:0.01:1195,1500:127.65:10801696:0.01:4,U:127.02:7535483:U:U
TGT_112219P110,226:109.72,329:107.93,327:106.91,327.0,350:108.77,355:110.06,512:110.51,595:110.59:3493631:4.15:26,588:110.15:2795331:4.09:73,627:110.45:2827919:3.89:831,913:108.35:5180397:4.98:39,905:108.58:3659894:4.8:147,930:111.11:5967966:3.56:232,1014:113.21:5313405:2.8:165,1087:111.96:6910721:3.14:721,2473:126.43:32258592:0.01:2149,2790:127.65:10801696:0.02:55,2732:127.02:7535483:0.01:43
TGT_112219P111,130:109.72,129:107.93,239:106.91,239.0,238:108.77,235:110.06,237:110.51,237:110.59:3493631:4.3:5,242:110.15:2795331:4.75:71,301:110.45:2827919:4.35:77,307:108.35:5180397:5.7:70,362:108.58:3659894:5.9:1,361:111.11:5967966:4.23:113,425:113.21:5313405:3.2:112,442:111.96:6910721:3.65:488,1357:126.43:32258592:0.02:483,1236:127.65:10801696:0.01:18,1235:127.02:7535483:0.01:18
TGT_112219P112,33:109.72,30:107.93,23:106.91,23.0,23:108.77,23:110.06,23:110.51,23:110.59:3493631:5.13:219,222:110.15:2795331:5.25:50,268:110.45:2827919:5.14:154,225:108.35:5180397:6.3:13,217:108.58:3659894:5.85:12,217:111.11:5967966:4.58:130,233:113.21:5313405:3.69:306,381:111.96:6910721:4.15:722,941:126.43:32258592:0.03:768,617:127.65:10801696:0.01:44,603:127.02:7535483:0.01:0
TGT_112219P113,146:109.72,110:107.93,123:106.91,123.0,186:108.77,194:110.06,194:110.51,194:110.59:3493631:6.12:0,194:110.15:2795331:6.23:1,194:110.45:2827919:5.31:5,194:108.35:5180397:7.1:26,219:108.58:3659894:6.55:17,230:111.11:5967966:5.23:25,220:113.21:5313405:4.18:198,336:111.96:6910721:4.7:867,874:126.43:32258592:0.01:735,U:127.65:10801696:U:U,671:127.02:7535483:0.01:78
TGT_112219P114,48:109.72,48:107.93,121:106.91,121.0,121:108.77,126:110.06,131:110.51,162:110.59:3493631:6.5:0,162:110.15:2795331:6.5:0,162:110.45:2827919:6.5:0,162:108.35:5180397:7.9:37,189:108.58:3659894:7.55:52,226:111.11:5967966:5.88:21,240:113.21:5313405:4.7:41,259:111.96:6910721:5.09:129,335:126.43:32258592:0.02:710,U:127.65:10801696:U:U,581:127.02:7535483:0.01:0
TGT_112219P115,27:109.72,27:107.93,117:106.91,117.0,142:108.77,185:110.06,242:110.51,256:110.59:3493631:6.7:21,257:110.15:2795331:6.7:0,257:110.45:2827919:7.05:5,262:108.35:5180397:8.6:13,267:108.58:3659894:8.05:99,360:111.11:5967966:6.77:44,391:113.21:5313405:5.3:165,460:111.96:6910721:5.91:149,420:126.43:32258592:0.02:2093,U:127.65:10801696:U:U,1528:127.02:7535483:0.01:11
TGT_112219P116,2:109.72,37:107.93,234:106.91,234.0,261:108.77,376:110.06,390:110.51,448:110.59:3493631:7.1:5,452:110.15:2795331:7.95:39,491:110.45:2827919:7.75:2,493:108.35:5180397:8.8:26,519:108.58:3659894:8.7:85,603:111.11:5967966:7.8:56,639:113.21:5313405:5.92:13,639:111.96:6910721:5.48:14,674:126.43:32258592:0.02:864,988:127.65:10801696:0.01:55,989:127.02:7535483:0.01:10
TGT_112219P117,0:109.72,30:107.93,155:106.91,155.0,182:108.77,271:110.06,372:110.51,482:110.59:3493631:7.85:9,484:110.15:2795331:8.7:40,519:110.45:2827919:8.45:13,530:108.35:5180397:10.2:8,532:108.58:3659894:9.6:23,554:111.11:5967966:8.3:41,595:113.21:5313405:6.5:2,597:111.96:6910721:6.15:48,605:126.43:32258592:0.04:1428,1108:127.65:10801696:0.01:117,1055:127.02:7535483:0.01:37
TGT_112219P118,0:109.72,30:107.93,103:106.91,103.0,103:108.77,110:110.06,205:110.51,315:110.59:3493631:9.3:142,450:110.15:2795331:9.5:26,476:110.45:2827919:9.2:29,497:108.35:5180397:11.05:6,500:108.58:3659894:10.35:11,510:111.11:5967966:9.25:83,541:113.21:5313405:7.3:72,544:111.96:6910721:6.85:10,534:126.43:32258592:0.04:3605,1408:127.65:10801696:0.01:349,[1371:127.02:7535483:0.01:13
