Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
TTEK_122019C40,1:86.67:231081:44.4:0,1:86.97:255112:44.4:0,1:87.12:319469:44.4:0,1:88.35:384690:44.4:0,1:86.35:806775:44.4:0,1:87.1:429873:44.4:0,1:87.15:307093:44.4:0,1:86.28:425339:44.4:0,1:83.95:304374:44.4:0,[1:85.76:226077:44.4:0
TTEK_122019C45,0:86.67:231081:0.0:0,0:86.97:255112:0.0:0,0:87.12:319469:0.0:0,0:88.35:384690:0.0:0,0:86.35:806775:0.0:0,0:87.1:429873:0.0:0,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_122019C50,10:86.67:231081:22.1:0,10:86.97:255112:22.1:0,10:87.12:319469:22.1:0,10:88.35:384690:22.1:0,10:86.35:806775:22.1:0,10:87.1:429873:22.1:0,10:87.15:307093:22.1:0,10:86.28:425339:22.1:0,10:83.95:304374:22.1:0,[10:85.76:226077:22.1:0
TTEK_122019C55,1:86.67:231081:23.15:0,1:86.97:255112:23.15:0,1:87.12:319469:23.15:0,1:88.35:384690:23.15:0,1:86.35:806775:23.15:0,1:87.1:429873:23.15:0,1:87.15:307093:23.15:0,1:86.28:425339:23.15:0,1:83.95:304374:23.15:0,[1:85.76:226077:23.15:0
TTEK_122019C60,9:86.67:231081:25.0:0,9:86.97:255112:25.0:0,9:87.12:319469:25.0:0,9:88.35:384690:25.0:0,9:86.35:806775:25.0:0,9:87.1:429873:25.0:0,9:87.15:307093:25.0:0,9:86.28:425339:25.0:0,9:83.95:304374:25.0:0,[9:85.76:226077:25.0:0
TTEK_122019C65,150:86.67:231081:17.0:0,150:86.97:255112:17.0:0,150:87.12:319469:17.0:0,150:88.35:384690:17.0:0,150:86.35:806775:17.0:0,150:87.1:429873:17.0:0,150:87.15:307093:17.0:0,150:86.28:425339:17.0:0,150:83.95:304374:17.0:0,[150:85.76:226077:17.0:0
TTEK_122019C70,360:86.67:231081:12.7:0,360:86.97:255112:12.7:0,360:87.12:319469:12.7:0,360:88.35:384690:12.7:0,360:86.35:806775:12.7:0,360:87.1:429873:12.7:0,360:87.15:307093:12.7:0,360:86.28:425339:12.7:0,360:83.95:304374:12.7:0,[360:85.76:226077:12.7:0
TTEK_122019C75,203:86.67:231081:14.0:0,203:86.97:255112:14.0:0,203:87.12:319469:14.0:0,203:88.35:384690:14.0:0,203:86.35:806775:14.0:0,203:87.1:429873:14.0:0,203:87.15:307093:14.0:0,203:86.28:425339:14.0:0,203:83.95:304374:14.0:0,[203:85.76:226077:14.0:0
TTEK_122019C80,126:86.67:231081:8.28:25,101:86.97:255112:8.28:0,101:87.12:319469:8.28:0,101:88.35:384690:9.48:1,102:86.35:806775:6.45:13,96:87.1:429873:7.2:1,95:87.15:307093:7.2:0,95:86.28:425339:7.2:0,95:83.95:304374:5.41:2,[95:85.76:226077:5.41:0
TTEK_122019C85,465:86.67:231081:4.88:300,465:86.97:255112:4.55:35,465:87.12:319469:4.65:1,465:88.35:384690:5.7:13,455:86.35:806775:2.85:43,455:87.1:429873:3.7:9,448:87.15:307093:3.7:0,448:86.28:425339:2.75:12,448:83.95:304374:2.75:0,[448:85.76:226077:2.75:0
TTEK_122019C90,573:86.67:231081:2.45:29,592:86.97:255112:2.2:3,593:87.12:319469:2.2:6,591:88.35:384690:2.9:119,553:86.35:806775:0.85:147,535:87.1:429873:0.98:34,520:87.15:307093:0.9:25,498:86.28:425339:0.6:6,496:83.95:304374:0.4:7,[492:85.76:226077:0.35:3
TTEK_122019C95,41:86.67:231081:1.3:0,41:86.97:255112:0.8:2,43:87.12:319469:0.85:4,45:88.35:384690:1.15:35,61:86.35:806775:0.22:53,54:87.1:429873:0.1:2,53:87.15:307093:0.1:0,53:86.28:425339:0.1:0,53:83.95:304374:0.1:0,[53:85.76:226077:0.1:0
TTEK_122019C100,0:86.67:231081:0.0:0,0:86.97:255112:0.0:0,0:87.12:319469:0.0:0,0:88.35:384690:0.38:22,22:86.35:806775:0.38:0,22:87.1:429873:0.38:0,22:87.15:307093:0.38:0,22:86.28:425339:0.38:0,22:83.95:304374:0.38:0,[22:85.76:226077:0.38:0
TTEK_122019C105,0:86.67:231081:0.0:0,0:86.97:255112:0.0:0,0:87.12:319469:0.0:0,0:88.35:384690:0.0:0,0:86.35:806775:0.0:0,0:87.1:429873:0.0:0,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_122019C110,0:86.67:231081:0.0:0,0:86.97:255112:0.0:0,0:87.12:319469:0.0:0,0:88.35:384690:0.0:0,0:86.35:806775:0.0:0,0:87.1:429873:0.0:0,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720C100,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720C105,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720C110,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720C115,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720C120,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720C125,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720C45,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720C50,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720C55,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720C60,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720C65,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720C70,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720C75,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720C80,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720C85,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_011720C90,U,U,U,U,U,U,0:87.15:307093:0.0:0,0:86.28:425339:1.6:4,4:83.95:304374:1.6:0,[4:85.76:226077:1.21:3
TTEK_011720C95,U,U,U,U,U,U,0:87.15:307093:0.0:0,10:86.28:425339:0.35:0,10:83.95:304374:0.35:0,[10:85.76:226077:0.35:0
TTEK_122019C35,U,U,U,U,U,U,U,U,0:83.95:304374:0.0:0,0:85.76:226077:0.0:0
