Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
TTEK_122019P40,0:86.67:231081:0.0:0,0:86.97:255112:0.0:0,0:87.12:319469:0.0:0,0:88.35:384690:0.0:0,0:86.35:806775:0.0:0,0:87.1:429873:0.0:0,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_122019P45,0:86.67:231081:0.0:0,0:86.97:255112:0.0:0,0:87.12:319469:0.0:0,0:88.35:384690:0.0:0,0:86.35:806775:0.0:0,0:87.1:429873:0.0:0,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
TTEK_122019P50,6:86.67:231081:0.45:0,6:86.97:255112:0.45:0,6:87.12:319469:0.45:0,6:88.35:384690:0.45:0,6:86.35:806775:0.45:0,6:87.1:429873:0.45:0,6:87.15:307093:0.45:0,6:86.28:425339:0.45:0,6:83.95:304374:0.45:0,[6:85.76:226077:0.45:0
TTEK_122019P55,0:86.67:231081:0.2:0,0:86.97:255112:0.2:0,0:87.12:319469:0.2:0,0:88.35:384690:0.2:0,0:86.35:806775:0.2:0,0:87.1:429873:0.2:0,0:87.15:307093:0.2:0,0:86.28:425339:0.2:0,0:83.95:304374:0.2:0,[0:85.76:226077:0.2:0
TTEK_122019P60,50:86.67:231081:0.23:0,50:86.97:255112:0.23:0,50:87.12:319469:0.23:0,50:88.35:384690:0.23:0,50:86.35:806775:0.23:0,50:87.1:429873:0.23:0,50:87.15:307093:0.23:0,50:86.28:425339:0.23:0,50:83.95:304374:0.23:0,[50:85.76:226077:0.23:0
TTEK_122019P65,52:86.67:231081:0.45:0,52:86.97:255112:0.45:0,52:87.12:319469:0.45:0,52:88.35:384690:0.45:0,52:86.35:806775:0.45:0,52:87.1:429873:0.45:0,52:87.15:307093:0.45:0,52:86.28:425339:0.45:0,52:83.95:304374:0.45:0,[52:85.76:226077:0.45:0
TTEK_122019P70,32:86.67:231081:0.3:1,33:86.97:255112:0.3:0,33:87.12:319469:0.3:0,33:88.35:384690:0.3:0,33:86.35:806775:0.3:0,33:87.1:429873:0.3:0,33:87.15:307093:0.3:0,31:86.28:425339:0.05:0,31:83.95:304374:0.05:0,[31:85.76:226077:0.05:0
TTEK_122019P75,14:86.67:231081:0.65:1,15:86.97:255112:0.65:0,15:87.12:319469:0.65:0,15:88.35:384690:0.48:4,18:86.35:806775:0.25:2,17:87.1:429873:0.25:0,17:87.15:307093:0.25:0,19:86.28:425339:0.15:0,19:83.95:304374:0.15:0,[19:85.76:226077:0.15:0
TTEK_122019P80,17:86.67:231081:1.22:0,17:86.97:255112:1.22:0,17:87.12:319469:1.22:0,17:88.35:384690:1.0:6,20:86.35:806775:0.95:7,25:87.1:429873:0.4:1,24:87.15:307093:0.4:0,23:86.28:425339:0.45:0,23:83.95:304374:0.85:1,[24:85.76:226077:0.85:0
TTEK_122019P85,16:86.67:231081:3.04:0,16:86.97:255112:2.85:36,51:87.12:319469:2.74:1,51:88.35:384690:2.34:54,54:86.35:806775:1.75:17,50:87.1:429873:1.4:2,50:87.15:307093:1.4:0,50:86.28:425339:1.55:12,45:83.95:304374:2.65:2,[44:85.76:226077:2.65:0
TTEK_122019P90,225:86.67:231081:5.8:0,225:86.97:255112:5.3:1,224:87.12:319469:5.84:1,225:88.35:384690:4.22:30,201:86.35:806775:4.53:119,122:87.1:429873:3.6:22,110:87.15:307093:3.6:6,100:86.28:425339:4.4:3,98:83.95:304374:4.4:1,[97:85.76:226077:5.8:2
TTEK_122019P95,0:86.67:231081:0.0:0,0:86.97:255112:0.0:0,0:87.12:319469:0.0:0,0:88.35:384690:0.0:0,0:86.35:806775:0.0:0,0:87.1:429873:0.0:0,0:87.15:307093:0.0:0,0:86.28:425339:0.0:0,0:83.95:304374:0.0:0,[0:85.76:226077:0.0:0
