Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
TWTR_112219C22,3:29.21:10558698:7.5:0,3:29.34:9668295:7.5:0,3:29.05:15077365:7.5:0,3:29.08:9303232:7.1:2,5:28.89:13655509:7.1:0,5:29.25:12156794:7.1:0,5:29.49:14537556:7.1:0,5:29.17:14117068:7.1:0,5:29.79:24276137:7.1:0,5:0:0:7.1:0
TWTR_112219C23,75:29.21:10558698:6.0:0,75:29.34:9668295:6.0:0,75:29.05:15077365:6.0:0,75:29.08:9303232:6.0:0,75:28.89:13655509:6.0:0,75:29.25:12156794:6.0:0,75:29.49:14537556:6.0:0,75:29.17:14117068:6.0:0,75:29.79:24276137:6.0:0,75:0:0:6.0:0
TWTR_112219C24,1:29.21:10558698:5.21:0,1:29.34:9668295:5.21:0,1:29.05:15077365:5.21:0,1:29.08:9303232:5.21:0,1:28.89:13655509:4.95:4,5:29.25:12156794:4.95:0,5:29.49:14537556:5.62:1,5:29.17:14117068:5.62:0,5:29.79:24276137:5.62:0,5:0:0:6.1:1
TWTR_112219C25,480:29.21:10558698:4.9:0,480:29.34:9668295:4.9:0,480:29.05:15077365:4.9:0,480:29.08:9303232:4.9:0,480:28.89:13655509:3.92:5,485:29.25:12156794:4.4:205,486:29.49:14537556:4.64:146,418:29.17:14117068:4.45:0,418:29.79:24276137:4.81:9,412:0:0:4.81:0
TWTR_112219C26,50:29.21:10558698:4.1:0,50:29.34:9668295:4.1:0,50:29.05:15077365:4.1:0,50:29.08:9303232:4.1:0,50:28.89:13655509:2.88:76,120:29.25:12156794:3.38:15,109:29.49:14537556:3.38:0,109:29.17:14117068:2.94:29,120:29.79:24276137:2.94:0,120:0:0:4.15:2
TWTR_112219C27,89:29.21:10558698:2.4:5,91:29.34:9668295:2.4:0,91:29.05:15077365:2.12:1,92:29.08:9303232:2.12:0,92:28.89:13655509:1.94:12,100:29.25:12156794:2.32:2,100:29.49:14537556:2.67:3,129:29.17:14117068:2.17:227,109:29.79:24276137:2.83:171,156:0:0:2.85:120
TWTR_112219C27.5,28:29.21:10558698:1.91:13,33:29.34:9668295:1.88:63,62:29.05:15077365:1.8:380,433:29.08:9303232:1.69:7,437:28.89:13655509:1.42:77,480:29.25:12156794:1.87:59,470:29.49:14537556:2.14:6,442:29.17:14117068:1.45:111,446:29.79:24276137:2.43:13,441:0:0:2.51:490
TWTR_112219C28,101:29.21:10558698:1.45:38,118:29.34:9668295:1.28:2,118:29.05:15077365:1.22:6,124:29.08:9303232:1.16:121,179:28.89:13655509:1.0:196,203:29.25:12156794:1.44:90,186:29.49:14537556:1.56:124,160:29.17:14117068:1.1:393,157:29.79:24276137:1.8:140,157:0:0:2.09:114
TWTR_112219C28.5,192:29.21:10558698:1.1:473,530:29.34:9668295:1.05:813,536:29.05:15077365:0.85:761,626:29.08:9303232:0.86:381,658:28.89:13655509:0.67:409,684:29.25:12156794:0.89:102,728:29.49:14537556:1.13:144,748:29.17:14117068:0.75:251,812:29.79:24276137:1.3:451,622:0:0:1.52:104
TWTR_112219C29,462:29.21:10558698:0.77:261,473:29.34:9668295:0.75:132,533:29.05:15077365:0.56:256,643:29.08:9303232:0.55:462,1004:28.89:13655509:0.44:863,1199:29.25:12156794:0.57:1253,1494:29.49:14537556:0.64:1205,1727:29.17:14117068:0.38:2346,2415:29.79:24276137:0.83:1987,1763:0:0:1.02:680
TWTR_112219C29.5,2587:29.21:10558698:0.53:418,2677:29.34:9668295:0.52:391,2788:29.05:15077365:0.36:697,3049:29.08:9303232:0.31:448,3137:28.89:13655509:0.25:2464,4697:29.25:12156794:0.33:3087,4668:29.49:14537556:0.34:6171,5646:29.17:14117068:0.14:3921,6683:29.79:24276137:0.41:5382,5084:0:0:0.53:5128
TWTR_112219C30,1676:29.21:10558698:0.36:592,1825:29.34:9668295:0.33:678,1953:29.05:15077365:0.22:1257,2276:29.08:9303232:0.19:1344,2734:28.89:13655509:0.15:2187,3647:29.25:12156794:0.16:14868,11960:29.49:14537556:0.17:14410,15609:29.17:14117068:0.05:4186,15557:29.79:24276137:0.14:22655,14549:0:0:0.03:26236
TWTR_112219C30.5,993:29.21:10558698:0.23:443,1153:29.34:9668295:0.2:288,1141:29.05:15077365:0.13:421,1257:29.08:9303232:0.1:2316,3138:28.89:13655509:0.09:191,3252:29.25:12156794:0.08:1197,4072:29.49:14537556:0.08:6545,6547:29.17:14117068:0.02:937,6076:29.79:24276137:0.06:17536,11347:0:0:0.02:3073
TWTR_112219C31,1059:29.21:10558698:0.15:402,1200:29.34:9668295:0.12:455,1239:29.05:15077365:0.08:52,1261:29.08:9303232:0.05:65,1273:28.89:13655509:0.05:429,1193:29.25:12156794:0.05:631,1600:29.49:14537556:0.05:4020,3036:29.17:14117068:0.02:123,3104:29.79:24276137:0.03:10085,4824:0:0:0.01:1486
TWTR_112219C31.5,1015:29.21:10558698:0.09:50,1026:29.34:9668295:0.08:33,1027:29.05:15077365:0.05:152,1017:29.08:9303232:0.04:43,1038:28.89:13655509:0.04:68,1070:29.25:12156794:0.03:174,1141:29.49:14537556:0.03:629,1492:29.17:14117068:0.01:27,1489:29.79:24276137:0.02:3177,U:0:0:U:U
