Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
TWTR_112219P22,2:29.21:10558698:0.04:0,2:29.34:9668295:0.04:0,2:29.05:15077365:0.04:0,2:29.08:9303232:0.04:0,2:28.89:13655509:0.04:0,2:29.25:12156794:0.04:0,2:29.49:14537556:0.04:0,2:29.17:14117068:0.04:0,2:29.79:24276137:0.04:0,2:30.03:14159319:0.04:0
TWTR_112219P23,0:29.21:10558698:0.0:0,0:29.34:9668295:0.0:0,0:29.05:15077365:0.0:0,0:29.08:9303232:0.0:0,0:28.89:13655509:0.0:0,0:29.25:12156794:0.0:0,0:29.49:14537556:0.0:0,0:29.17:14117068:0.0:0,0:29.79:24276137:0.0:0,0:30.03:14159319:0.0:0
TWTR_112219P24,0:29.21:10558698:0.0:0,0:29.34:9668295:0.0:0,0:29.05:15077365:0.0:0,0:29.08:9303232:0.0:0,0:28.89:13655509:0.0:0,0:29.25:12156794:0.0:0,0:29.49:14537556:0.0:0,0:29.17:14117068:0.0:0,0:29.79:24276137:0.0:0,[0:30.03:14159319:0.0:0
TWTR_112219P25,34:29.21:10558698:0.03:6,31:29.34:9668295:0.02:15,42:29.05:15077365:0.02:0,42:29.08:9303232:0.02:0,42:28.89:13655509:0.01:3,42:29.25:12156794:0.01:37,79:29.49:14537556:0.01:0,79:29.17:14117068:0.01:0,79:29.79:24276137:0.01:0,[79:30.03:14159319:0.01:0
TWTR_112219P26,113:29.21:10558698:0.05:6,117:29.34:9668295:0.04:28,122:29.05:15077365:0.03:17,135:29.08:9303232:0.02:3,133:28.89:13655509:0.03:20,136:29.25:12156794:0.01:10,135:29.49:14537556:0.01:0,135:29.17:14117068:0.01:0,135:29.79:24276137:0.01:1,[135:30.03:14159319:0.01:0
TWTR_112219P27,529:29.21:10558698:0.12:81,544:29.34:9668295:0.08:47,549:29.05:15077365:0.06:46,554:29.08:9303232:0.06:260,566:28.89:13655509:0.06:15,574:29.25:12156794:0.03:261,805:29.49:14537556:0.02:126,922:29.17:14117068:0.02:12,924:29.79:24276137:0.01:2,[922:30.03:14159319:0.01:1
TWTR_112219P27.5,64:29.21:10558698:0.15:52,82:29.34:9668295:0.13:9,84:29.05:15077365:0.1:30,89:29.08:9303232:0.09:39,105:28.89:13655509:0.09:52,137:29.25:12156794:0.05:425,478:29.49:14537556:0.02:154,494:29.17:14117068:0.02:30,492:29.79:24276137:0.01:35,[488:30.03:14159319:0.01:0
TWTR_112219P28,543:29.21:10558698:0.24:29,547:29.34:9668295:0.18:20,561:29.05:15077365:0.2:250,761:29.08:9303232:0.17:556,1003:28.89:13655509:0.18:772,1245:29.25:12156794:0.08:1151,2090:29.49:14537556:0.03:630,2231:29.17:14117068:0.03:701,2082:29.79:24276137:0.01:47,[2068:30.03:14159319:0.01:2
TWTR_112219P28.5,250:29.21:10558698:0.37:186,278:29.34:9668295:0.27:30,280:29.05:15077365:0.32:367,555:29.08:9303232:0.28:192,626:28.89:13655509:0.34:448,858:29.25:12156794:0.15:1153,1469:29.49:14537556:0.06:785,2065:29.17:14117068:0.07:770,2177:29.79:24276137:0.01:680,[2428:30.03:14159319:0.01:28
TWTR_112219P29,369:29.21:10558698:0.56:229,460:29.34:9668295:0.46:187,526:29.05:15077365:0.53:355,698:29.08:9303232:0.5:137,783:28.89:13655509:0.53:983,1093:29.25:12156794:0.3:2826,1754:29.49:14537556:0.17:729,1926:29.17:14117068:0.2:1260,2184:29.79:24276137:0.03:916,[1971:30.03:14159319:0.01:233
TWTR_112219P29.5,344:29.21:10558698:0.81:127,420:29.34:9668295:0.72:8,427:29.05:15077365:0.78:56,461:29.08:9303232:0.77:82,478:28.89:13655509:0.9:115,508:29.25:12156794:0.54:536,929:29.49:14537556:0.39:1461,1111:29.17:14117068:0.48:386,1088:29.79:24276137:0.11:5756,[2228:30.03:14159319:0.01:688
TWTR_112219P30,707:29.21:10558698:1.13:23,707:29.34:9668295:0.98:75,716:29.05:15077365:1.15:139,642:29.08:9303232:1.14:23,656:28.89:13655509:1.31:169,731:29.25:12156794:0.91:336,808:29.49:14537556:0.72:252,838:29.17:14117068:0.95:452,880:29.79:24276137:0.35:5531,[2297:30.03:14159319:0.01:2079
TWTR_112219P30.5,198:29.21:10558698:1.49:207,260:29.34:9668295:1.42:1,261:29.05:15077365:1.42:14,263:29.08:9303232:1.57:1,263:28.89:13655509:1.52:6,267:29.25:12156794:1.36:140,381:29.49:14537556:1.03:45,362:29.17:14117068:1.52:165,356:29.79:24276137:0.68:418,[442:30.03:14159319:0.49:372
TWTR_112219P31,175:29.21:10558698:1.9:30,204:29.34:9668295:1.84:39,229:29.05:15077365:1.81:41,270:29.08:9303232:1.97:90,314:28.89:13655509:2.21:54,335:29.25:12156794:1.81:77,342:29.49:14537556:1.56:98,310:29.17:14117068:2.0:56,270:29.79:24276137:1.23:147,[272:30.03:14159319:0.94:144
TWTR_112219P31.5,338:29.21:10558698:2.38:0,338:29.34:9668295:2.38:0,338:29.05:15077365:2.55:1,338:29.08:9303232:2.48:181,182:28.89:13655509:2.48:0,182:29.25:12156794:2.21:15,188:29.49:14537556:1.9:61,200:29.17:14117068:2.32:27,195:29.79:24276137:1.74:123,[162:30.03:14159319:1.46:225
TWTR_112219P32,69:29.21:10558698:2.7:0,69:29.34:9668295:2.77:11,70:29.05:15077365:2.81:15,67:29.08:9303232:3.05:3,64:28.89:13655509:3.15:8,64:29.25:12156794:2.79:23,80:29.49:14537556:2.4:32,88:29.17:14117068:2.97:10,53:29.79:24276137:2.17:187,[91:30.03:14159319:1.93:46
