Symbol,20191028,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118
TXN_112219P110,05:00.00,34:57.79,34:57.99,153,35:00.97,03:59.86,04:00.36,180:119.92:4271180:0.14:10,190:120.11:3796680:0.14:0,190:118.075:5136241:0.14:0,190:119.02:4760185:0.11:5,194:118.42:4952069:0.07:2,192:117.57:4568097:0.11:22,194:118.0:4478518:0.04:10,192:117.89:5337778:0.02:17
TXN_112219P111,06:00.00,52:57.80,54:58.00,53,55:01.00,55:59.90,56:00.40,54:119.92:4271180:0.19:1,54:120.11:3796680:0.19:0,54:118.075:5136241:0.18:6,57:119.02:4760185:0.18:0,57:118.42:4952069:0.11:1,58:117.57:4568097:0.11:0,58:118.0:4478518:0.1:3,61:117.89:5337778:0.1:0
TXN_112219P112,02:00.00,38:57.79,35:57.99,94,36:00.97,35:59.86,36:00.36,94:119.92:4271180:0.72:0,94:120.11:3796680:0.72:0,94:118.075:5136241:0.72:0,94:119.02:4760185:0.13:10,94:118.42:4952069:0.16:1,94:117.57:4568097:0.21:1,95:118.0:4478518:0.21:0,95:117.89:5337778:0.21:0
TXN_112219P113,23:00.00,44:57.80,44:58.00,43,45:01.00,44:59.90,44:00.40,38:119.92:4271180:0.25:10,41:120.11:3796680:0.25:0,41:118.075:5136241:0.33:20,51:119.02:4760185:0.23:4,55:118.42:4952069:0.23:0,55:117.57:4568097:0.32:1,55:118.0:4478518:0.15:1,56:117.89:5337778:0.09:13
TXN_112219P114,08:00.00,15:57.80,15:58.00,14,16:01.00,17:59.90,18:00.40,21:119.92:4271180:0.41:3,24:120.11:3796680:0.46:5,29:118.075:5136241:0.45:4,32:119.02:4760185:0.25:1,33:118.42:4952069:0.41:3,34:117.57:4568097:0.4:31,64:118.0:4478518:0.28:25,79:117.89:5337778:0.19:4
TXN_112219P115,20:00.00,32:57.79,15:57.99,74,16:00.97,16:59.86,17:00.36,75:119.92:4271180:0.47:26,68:120.11:3796680:0.61:25,72:118.075:5136241:0.65:16,84:119.02:4760185:0.44:102,150:118.42:4952069:0.55:548,637:117.57:4568097:0.72:92,666:118.0:4478518:0.34:77,711:117.89:5337778:0.23:127
TXN_112219P116,08:00.00,17:57.80,18:58.00,17,19:01.00,54:59.86,56:00.36,173:119.92:4271180:0.78:0,173:120.11:3796680:0.72:10,178:118.075:5136241:0.87:14,185:119.02:4760185:0.57:99,257:118.42:4952069:0.6:16,266:117.57:4568097:0.94:205,133:118.0:4478518:0.55:87,202:117.89:5337778:0.41:101
TXN_112219P117,26:00.00,27:57.79,28:57.99,87,29:00.97,57:59.86,58:00.36,252:119.92:4271180:1.04:25,266:120.11:3796680:0.94:13,260:118.075:5136241:1.21:9,267:119.02:4760185:0.86:32,267:118.42:4952069:1.09:42,284:117.57:4568097:1.22:2556,2149:118.0:4478518:0.94:617,2734:117.89:5337778:0.59:192
TXN_112219P118,31:00.00,43:57.80,02:57.99,541,03:00.97,02:59.86,03:00.36,552:119.92:4271180:0.98:5,553:120.11:3796680:1.43:15,553:118.075:5136241:1.44:17,563:119.02:4760185:1.18:13,565:118.42:4952069:1.24:709,566:117.57:4568097:1.64:45,581:118.0:4478518:1.24:60,584:117.89:5337778:1.04:58
TXN_112219P119,48:00.00,32:57.79,42:57.99,101,43:00.97,09:59.86,14:00.36,128:119.92:4271180:1.77:20,131:120.11:3796680:1.39:71,137:118.075:5136241:1.88:10,143:119.02:4760185:1.53:48,166:118.42:4952069:2.01:22,163:117.57:4568097:2.36:1,164:118.0:4478518:2.02:38,175:117.89:5337778:2.0:19
