Symbol,20191023,20191024,20191025,20191028,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120
T_112219C33,0.0,0:36.82,1:36.91,5:38.49,5:38.2,5:38.49,5.0,5:38.89,5:39.17,5:39.25,5:39.42:25540311:5.5:0,5:39.38:18596197:5.5:0,5:39.37:13524850:5.5:0,5:39.17:16527917:5.5:0,5:39.16:16478711:5.5:0,5:38.95:27453666:5.5:0,5:60.37:663970:6.4:1,6:39.63:25969683:6.4:0,5:37.18:68923743:5.1:0
T_112219C33.5,0.0,0:36.82,0:36.91,0:38.49,0:38.2,0:38.49,0.0,0:38.89,0:39.17,0:39.25,0:39.42:25540311:4.04:0,0:39.38:18596197:4.04:0,0:39.37:13524850:4.04:0,0:39.17:16527917:4.04:0,0:39.16:16478711:4.04:0,0:38.95:27453666:4.04:0,0:60.37:663970:4.04:0,0:39.63:25969683:4.04:0,0:37.18:68923743:3.3:37
T_112219C34,4.0,4:36.82,5:36.91,18:38.49,14:38.2,15:38.49,15.0,15:38.89,15:39.17,15:39.25,15:39.42:25540311:4.3:0,15:39.38:18596197:4.3:0,15:39.37:13524850:5.4:1,15:39.17:16527917:5.4:0,15:39.16:16478711:5.4:0,15:38.95:27453666:5.4:0,15:60.37:663970:5.3:4,16:39.63:25969683:5.3:0,16:37.18:68923743:3.1:393
T_112219C34.5,16.0,16:36.82,0:36.91,16:38.49,16:38.2,17:38.49,17.0,17:38.89,17:39.17,17:39.25,17:39.42:25540311:3.85:0,17:39.38:18596197:3.85:0,17:39.37:13524850:3.85:0,17:39.17:16527917:3.85:0,17:39.16:16478711:3.85:0,17:38.95:27453666:3.85:0,17:60.37:663970:4.9:1,16:39.63:25969683:4.9:0,16:37.18:68923743:2.42:2
T_112219C35,65.0,29:36.82,4:36.91,24:38.49,21:38.2,21:38.49,71.0,71:38.89,71:39.17,71:39.25,71:39.42:25540311:3.95:0,71:39.38:18596197:3.95:0,71:39.37:13524850:3.95:0,71:39.17:16527917:3.95:0,71:39.16:16478711:3.95:0,71:38.95:27453666:3.95:0,71:60.37:663970:4.52:2,71:39.63:25969683:4.52:0,80:37.18:68923743:1.92:26
T_112219C35.5,15.0,15:36.82,16:36.91,15:38.49,15:38.2,15:38.49,15.0,15:38.89,15:39.17,15:39.25,15:39.42:25540311:2.67:0,15:39.38:18596197:2.67:0,15:39.37:13524850:2.67:0,15:39.17:16527917:2.67:0,15:39.16:16478711:2.67:0,15:38.95:27453666:2.67:0,15:60.37:663970:2.67:0,15:39.63:25969683:2.67:0,15:37.18:68923743:1.31:260
T_112219C36,188.0,188:36.82,15:36.91,168:38.49,121:38.2,119:38.49,119.0,130:38.89,124:39.17,124:39.25,124:39.42:25540311:3.6:6,124:39.38:18596197:3.6:0,124:39.37:13524850:3.6:0,124:39.17:16527917:3.37:1,124:39.16:16478711:3.26:21,121:38.95:27453666:2.9:4,121:60.37:663970:3.1:2,121:39.63:25969683:3.35:2,121:37.18:68923743:1.12:1592
T_112219C36.5,268.0,268:36.82,15:36.91,199:38.49,194:38.2,194:38.49,194.0,215:38.89,215:39.17,215:39.25,215:39.42:25540311:2.7:0,215:39.38:18596197:2.85:6,215:39.37:13524850:2.9:33,234:39.17:16527917:2.93:1,233:39.16:16478711:2.93:0,233:38.95:27453666:2.38:3,230:60.37:663970:2.38:0,230:39.63:25969683:2.76:1,233:37.18:68923743:0.72:2926
T_112219C37,189.0,189:36.82,169:36.91,424:38.49,491:38.2,515:38.49,513.0,511:38.89,498:39.17,497:39.25,497:39.42:25540311:2.5:48,481:39.38:18596197:2.31:24,476:39.37:13524850:2.41:85,469:39.17:16527917:2.5:10,469:39.16:16478711:2.22:2,469:38.95:27453666:1.95:65,484:60.37:663970:2.49:9,485:39.63:25969683:2.57:23,511:37.18:68923743:0.36:7130
T_112219C37.5,259.0,278:36.82,199:36.91,359:38.49,377:38.2,378:38.49,382.0,357:38.89,352:39.17,403:39.25,357:39.42:25540311:2.09:2,356:39.38:18596197:1.94:20,363:39.37:13524850:1.85:24,378:39.17:16527917:1.67:5,380:39.16:16478711:1.68:116,433:38.95:27453666:1.57:32,440:60.37:663970:1.85:89,415:39.63:25969683:2.14:9,745:37.18:68923743:0.13:22478
