Symbol,20191024,20191025,20191028,20191030,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120
T_112219P33,190.0,198:36.91,201:38.49,194:38.2,194.0,194:38.89,194:39.17,194:39.25,194:39.42:25540311:0.03:0,194:39.38:18596197:0.03:0,194:39.37:13524850:0.03:0,194:39.17:16527917:0.01:5,194:39.16:16478711:0.01:0,194:38.95:27453666:0.01:0,194:60.37:663970:0.01:0,194:39.63:25969683:0.01:0,194:37.18:68940943:0.01:0
T_112219P33.5,308.0,308:36.91,308:38.49,307:38.2,307.0,297:38.89,292:39.17,292:39.25,292:39.42:25540311:0.01:0,292:39.38:18596197:0.02:4,294:39.37:13524850:0.02:0,294:39.17:16527917:0.02:0,294:39.16:16478711:0.02:0,294:38.95:27453666:0.02:0,294:60.37:663970:0.02:0,294:39.63:25969683:0.02:0,294:37.18:68940943:0.02:1
T_112219P34,545.0,542:36.91,550:38.49,550:38.2,550.0,550:38.89,550:39.17,549:39.25,529:39.42:25540311:0.02:0,529:39.38:18596197:0.02:0,529:39.37:13524850:0.02:0,529:39.17:16527917:0.02:11,518:39.16:16478711:0.02:5,518:38.95:27453666:0.02:12,518:60.37:663970:0.02:0,518:39.63:25969683:0.02:0,518:37.18:68940943:0.02:0
T_112219P34.5,202.0,204:36.91,207:38.49,202:38.2,202.0,202:38.89,199:39.17,199:39.25,199:39.42:25540311:0.01:20,197:39.38:18596197:0.01:0,197:39.37:13524850:0.01:0,197:39.17:16527917:0.03:16,202:39.16:16478711:0.03:0,202:38.95:27453666:0.03:0,202:60.37:663970:0.03:0,202:39.63:25969683:0.03:0,202:37.18:68940943:0.01:1
T_112219P35,545.0,657:36.91,770:38.49,681:38.2,679.0,655:38.89,645:39.17,645:39.25,645:39.42:25540311:0.03:40,648:39.38:18596197:0.03:1,647:39.37:13524850:0.03:0,647:39.17:16527917:0.02:75,616:39.16:16478711:0.02:0,616:38.95:27453666:0.02:0,616:60.37:663970:0.02:20,616:39.63:25969683:0.02:0,681:37.18:68940943:0.02:5196
T_112219P35.5,228.0,291:36.91,301:38.49,376:38.2,364.0,354:38.89,353:39.17,350:39.25,350:39.42:25540311:0.03:20,350:39.38:18596197:0.03:0,350:39.37:13524850:0.03:0,350:39.17:16527917:0.03:0,350:39.16:16478711:0.03:0,350:38.95:27453666:0.03:0,350:60.37:663970:0.03:0,350:39.63:25969683:0.03:0,451:37.18:68940943:0.02:1512
T_112219P36,287.0,304:36.91,323:38.49,510:38.2,549.0,519:38.89,525:39.17,527:39.25,484:39.42:25540311:0.03:114,558:39.38:18596197:0.01:44,578:39.37:13524850:0.01:7,575:39.17:16527917:0.02:7,570:39.16:16478711:0.02:0,570:38.95:27453666:0.02:0,570:60.37:663970:0.02:100,471:39.63:25969683:0.01:11,627:37.18:68940943:0.04:5394
T_112219P36.5,240.0,251:36.91,271:38.49,324:38.2,346.0,339:38.89,437:39.17,439:39.25,437:39.42:25540311:0.04:24,413:39.38:18596197:0.03:3,416:39.37:13524850:0.03:0,416:39.17:16527917:0.03:0,416:39.16:16478711:0.03:0,416:38.95:27453666:0.02:32,420:60.37:663970:0.01:99,516:39.63:25969683:0.02:140,680:37.18:68940943:0.08:4546
T_112219P37,145.0,164:36.91,178:38.49,319:38.2,359.0,514:38.89,506:39.17,466:39.25,464:39.42:25540311:0.04:10,465:39.38:18596197:0.05:10,469:39.37:13524850:0.05:0,469:39.17:16527917:0.04:15,456:39.16:16478711:0.02:4,456:38.95:27453666:0.02:181,605:60.37:663970:0.02:54,609:39.63:25969683:0.06:3,1600:37.18:68940943:0.19:3086
T_112219P37.5,604.0,603:36.91,603:38.49,737:38.2,931.0,1136:38.89,1171:39.17,1184:39.25,1104:39.42:25540311:0.07:13,1101:39.38:18596197:0.06:36,1099:39.37:13524850:0.05:220,1284:39.17:16527917:0.04:31,1264:39.16:16478711:0.04:87,1247:38.95:27453666:0.04:65,1298:60.37:663970:0.03:112,1373:39.63:25969683:0.01:401,U:37.18:68940943:U:U
