Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
UBER_112219C22.5,4:27.01:44941622:4.8:15,19:27.14:41300937:4.8:0,19:26.7:32448063:4.4:6,22:26.71:33124982:4.4:0,22:25.99:27991933:3.6:1,23:26.79:41353173:4.2:16,8:26.75:37309667:4.0:2,8:28.03:52741127:4.0:0,8:29.46:55638958:4.0:0,8:29.56:44372725:4.0:0
UBER_112219C23,29:27.01:44941622:4.3:0,29:27.14:41300937:3.92:30,52:26.7:32448063:3.92:0,52:26.71:33124982:3.3:20,72:25.99:27991933:3.12:40,62:26.79:41353173:3.12:0,62:26.75:37309667:3.12:0,U:28.03:52741127:U:U,62:29.46:55638958:3.12:0,62:29.56:44372725:3.12:0
UBER_112219C23.5,14:27.01:44941622:4.1:3,15:27.14:41300937:3.5:83,93:26.7:32448063:3.7:6,87:26.71:33124982:3.7:0,87:25.99:27991933:2.75:22,101:26.79:41353173:2.75:0,101:26.75:37309667:2.75:0,101:28.03:52741127:4.43:20,U:29.46:55638958:U:U,101:29.56:44372725:4.43:0
UBER_112219C24,10:27.01:44941622:3.1:1,10:27.14:41300937:3.0:1,10:26.7:32448063:3.0:0,10:26.71:33124982:3.0:0,10:25.99:27991933:3.0:0,10:26.79:41353173:2.69:50,59:26.75:37309667:3.0:1,59:28.03:52741127:4.0:50,U:29.46:55638958:U:U,59:29.56:44372725:5.1:0
UBER_112219C24.5,44:27.01:44941622:2.65:6,46:27.14:41300937:2.65:0,46:26.7:32448063:2.65:0,46:26.71:33124982:1.92:100,55:25.99:27991933:1.52:3,58:26.79:41353173:2.03:2,58:26.75:37309667:2.4:262,186:28.03:52741127:3.6:3,186:29.46:55638958:3.6:0,186:29.56:44372725:3.6:0
UBER_112219C25,167:27.01:44941622:2.45:36,192:27.14:41300937:2.3:205,249:26.7:32448063:2.0:70,288:26.71:33124982:1.77:118,358:25.99:27991933:1.32:836,804:26.79:41353173:1.83:395,601:26.75:37309667:2.0:148,620:28.03:52741127:3.0:158,622:29.46:55638958:4.2:80,[605:29.56:44372725:4.55:34
UBER_112219C25.5,51:27.01:44941622:2.07:0,51:27.14:41300937:1.9:24,62:26.7:32448063:1.55:296,336:26.71:33124982:1.45:478,398:25.99:27991933:0.94:175,497:26.79:41353173:1.45:186,436:26.75:37309667:1.35:97,469:28.03:52741127:2.2:326,656:29.46:55638958:3.8:301,[559:29.56:44372725:4.06:33
UBER_112219C26,411:27.01:44941622:1.44:8,410:27.14:41300937:1.55:84,412:26.7:32448063:1.3:1040,901:26.71:33124982:1.1:604,866:25.99:27991933:0.66:760,981:26.79:41353173:1.05:947,996:26.75:37309667:1.0:1470,1576:28.03:52741127:1.86:951,1401:29.46:55638958:3.6:87,[1337:29.56:44372725:3.56:39
UBER_112219C26.5,254:27.01:44941622:1.2:91,192:27.14:41300937:1.25:165,244:26.7:32448063:0.88:368,571:26.71:33124982:0.8:420,458:25.99:27991933:0.45:666,897:26.79:41353173:0.74:1490,1280:26.75:37309667:0.65:820,1579:28.03:52741127:1.66:614,1423:29.46:55638958:3.0:140,[1385:29.56:44372725:3.1:296
UBER_112219C27,695:27.01:44941622:0.9:216,710:27.14:41300937:0.9:665,817:26.7:32448063:0.67:723,1083:26.71:33124982:0.52:2188,2580:25.99:27991933:0.3:1304,3473:26.79:41353173:0.45:5528,5705:26.75:37309667:0.4:3531,6548:28.03:52741127:1.1:5068,6589:29.46:55638958:2.41:2800,[5149:29.56:44372725:2.5:873
UBER_112219C27.5,1664:27.01:44941622:0.68:1342,2725:27.14:41300937:0.7:962,2918:26.7:32448063:0.46:645,3159:26.71:33124982:0.35:379,3425:25.99:27991933:0.18:581,3280:26.79:41353173:0.27:2876,4183:26.75:37309667:0.24:3046,5812:28.03:52741127:0.83:3992,5672:29.46:55638958:2.05:1531,[5319:29.56:44372725:2.1:2460
UBER_112219C28,1093:27.01:44941622:0.5:277,1134:27.14:41300937:0.5:611,1525:26.7:32448063:0.34:1479,2050:26.71:33124982:0.24:1887,3160:25.99:27991933:0.14:653,3565:26.79:41353173:0.19:1299,4187:26.75:37309667:0.1:2200,5267:28.03:52741127:0.4:6863,5192:29.46:55638958:1.5:1614,[4637:29.56:44372725:1.58:1277
