Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
UBER_112219P22.5,51:27.01:44941622:0.1:35,71:27.14:41300937:0.05:1,72:26.7:32448063:0.05:0,72:26.71:33124982:0.01:1,71:25.99:27991933:0.03:6,77:26.79:41353173:0.03:5,72:26.75:37309667:0.01:1,72:28.03:52741127:0.01:0,72:29.46:55638958:0.01:0,72:29.56:44372725:0.01:0
UBER_112219P23,81:27.01:44941622:0.1:0,81:27.14:41300937:0.05:29,105:26.7:32448063:0.04:2,106:26.71:33124982:0.03:2,107:25.99:27991933:0.05:7,113:26.79:41353173:0.02:7,113:26.75:37309667:0.02:3,110:28.03:52741127:0.02:0,110:29.46:55638958:0.02:0,110:29.56:44372725:0.02:0
UBER_112219P23.5,81:27.01:44941622:0.1:3,81:27.14:41300937:0.1:17,93:26.7:32448063:0.05:2,93:26.71:33124982:0.05:12,96:25.99:27991933:0.05:12,106:26.79:41353173:0.02:5,106:26.75:37309667:0.01:1,105:28.03:52741127:0.01:0,105:29.46:55638958:0.02:10,98:29.56:44372725:0.02:0
UBER_112219P24,483:27.01:44941622:0.14:44,494:27.14:41300937:0.12:46,499:26.7:32448063:0.06:283,629:26.71:33124982:0.06:87,615:25.99:27991933:0.1:212,611:26.79:41353173:0.03:58,623:26.75:37309667:0.04:9,617:28.03:52741127:0.01:6,611:29.46:55638958:0.03:16,603:29.56:44372725:0.03:0
UBER_112219P24.5,183:27.01:44941622:0.15:12,181:27.14:41300937:0.12:18,181:26.7:32448063:0.12:28,191:26.71:33124982:0.12:33,209:25.99:27991933:0.2:128,236:26.79:41353173:0.05:199,290:26.75:37309667:0.03:74,394:28.03:52741127:0.02:12,385:29.46:55638958:0.01:60,384:29.56:44372725:0.01:0
UBER_112219P25,646:27.01:44941622:0.25:127,676:27.14:41300937:0.2:167,689:26.7:32448063:0.2:79,681:26.71:33124982:0.17:464,811:25.99:27991933:0.27:349,940:26.79:41353173:0.12:546,1169:26.75:37309667:0.1:372,1109:28.03:52741127:0.02:6,1106:29.46:55638958:0.04:39,[1106:29.56:44372725:0.01:2
UBER_112219P25.5,320:27.01:44941622:0.29:106,370:27.14:41300937:0.3:103,411:26.7:32448063:0.32:679,944:26.71:33124982:0.27:353,1189:25.99:27991933:0.45:928,1557:26.79:41353173:0.19:1082,1527:26.75:37309667:0.12:793,1949:28.03:52741127:0.05:35,1947:29.46:55638958:0.04:13,[1947:29.56:44372725:0.04:0
UBER_112219P26,555:27.01:44941622:0.45:46,582:27.14:41300937:0.42:416,599:26.7:32448063:0.41:4624,4964:26.71:33124982:0.4:1695,4982:25.99:27991933:0.68:3641,7514:26.79:41353173:0.3:940,7928:26.75:37309667:0.22:2068,8563:28.03:52741127:0.03:1022,8297:29.46:55638958:0.02:41,[8256:29.56:44372725:0.02:87
UBER_112219P26.5,381:27.01:44941622:0.68:101,422:27.14:41300937:0.58:232,461:26.7:32448063:0.65:197,505:26.71:33124982:0.62:227,402:25.99:27991933:0.95:294,505:26.79:41353173:0.46:2139,2412:26.75:37309667:0.4:808,2980:28.03:52741127:0.03:1029,2683:29.46:55638958:0.02:12,[2673:29.56:44372725:0.01:22
UBER_112219P27,545:27.01:44941622:0.9:143,498:27.14:41300937:0.79:256,457:26.7:32448063:0.88:980,1037:26.71:33124982:0.85:278,1108:25.99:27991933:1.29:179,1110:26.79:41353173:0.7:837,1535:26.75:37309667:0.6:550,2630:28.03:52741127:0.1:1786,3190:29.46:55638958:0.03:375,[2955:29.56:44372725:0.03:122
