Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
UEIC_122019C30,0:59.41:252988:0.0:0,0:59.57:101630:0.0:0,0:58.76:63395:0.0:0,0:58.34:64034:0.0:0,0:57.89:67195:0.0:0,0:56.94:65045:0.0:0,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_122019C35,0:59.41:252988:0.0:0,0:59.57:101630:0.0:0,0:58.76:63395:0.0:0,0:58.34:64034:0.0:0,0:57.89:67195:0.0:0,0:56.94:65045:0.0:0,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_122019C40,0:59.41:252988:0.0:0,0:59.57:101630:0.0:0,0:58.76:63395:0.0:0,0:58.34:64034:0.0:0,0:57.89:67195:0.0:0,0:56.94:65045:0.0:0,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_122019C45,0:59.41:252988:0.0:0,0:59.57:101630:0.0:0,0:58.76:63395:0.0:0,0:58.34:64034:0.0:0,0:57.89:67195:0.0:0,0:56.94:65045:0.0:0,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_122019C50,0:59.41:252988:0.0:0,0:59.57:101630:0.0:0,0:58.76:63395:0.0:0,0:58.34:64034:0.0:0,0:57.89:67195:0.0:0,0:56.94:65045:0.0:0,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_122019C55,5:59.41:252988:3.4:0,5:59.57:101630:3.4:0,5:58.76:63395:3.4:0,5:58.34:64034:3.4:0,5:57.89:67195:3.4:0,5:56.94:65045:3.4:0,0:57.36:96324:3.4:0,5:57.34:64972:3.4:0,5:56.09:59457:3.4:0,[5:55.53:34828:3.4:0
UEIC_122019C60,0:59.41:252988:1.8:0,0:59.57:101630:1.8:0,0:58.76:63395:1.8:0,0:58.34:64034:1.8:0,0:57.89:67195:1.8:0,0:56.94:65045:1.8:0,0:57.36:96324:1.8:0,0:57.34:64972:1.8:0,0:56.09:59457:1.8:0,[0:55.53:34828:1.8:0
UEIC_122019C65,0:59.41:252988:0.0:0,0:59.57:101630:0.0:0,0:58.76:63395:0.0:0,0:58.34:64034:0.0:0,0:57.89:67195:0.0:0,0:56.94:65045:0.0:0,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_122019C70,1:59.41:252988:0.45:0,1:59.57:101630:0.45:0,1:58.76:63395:0.45:0,1:58.34:64034:0.45:0,1:57.89:67195:0.45:0,1:56.94:65045:0.45:0,0:57.36:96324:0.45:0,1:57.34:64972:0.45:0,1:56.09:59457:0.45:0,[1:55.53:34828:0.45:0
UEIC_122019C75,1:59.41:252988:0.25:0,1:59.57:101630:0.25:0,1:58.76:63395:0.25:0,1:58.34:64034:0.25:0,1:57.89:67195:0.25:0,1:56.94:65045:0.25:0,0:57.36:96324:0.25:0,1:57.34:64972:0.25:0,1:56.09:59457:0.25:0,[1:55.53:34828:0.25:0
UEIC_011720C30,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720C35,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720C40,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720C45,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720C50,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720C55,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720C60,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720C65,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720C70,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720C75,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720C80,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720C85,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
