Symbol,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
UI_122019C135,98:181.98:629588:47.1:1,97:180.77:525473:47.1:0,97:183.77:281355:48.38:1,96:188.17:307469:49.43:2,21:188.31:252251:51.4:4,11:192.39:214924:51.4:0,11:192.51:209434:51.4:0,11:194.32:134737:51.4:0,11:193.73:159703:51.4:0
UI_122019C140,107:181.98:629588:43.65:16,106:180.77:525473:43.65:0,106:183.77:281355:43.65:0,106:188.17:307469:43.65:0,58:188.31:252251:43.65:0,58:192.39:214924:48.6:10,58:192.51:209434:54.8:1,58:194.32:134737:54.8:0,58:193.73:159703:54.8:0
UI_122019C145,47:181.98:629588:35.0:1,47:180.77:525473:36.4:1,47:183.77:281355:40.9:6,41:188.17:307469:40.9:0,9:188.31:252251:41.91:5,9:192.39:214924:41.91:0,9:192.51:209434:41.91:0,9:194.32:134737:41.91:0,[9:193.73:159703:41.91:0
UI_122019C150,23:181.98:629588:36.8:6,27:180.77:525473:36.8:0,27:183.77:281355:36.8:0,27:188.17:307469:32.04:1,21:188.31:252251:32.04:0,21:192.39:214924:32.04:0,21:192.51:209434:41.3:1,21:194.32:134737:43.0:1,[21:193.73:159703:43.0:0
UI_122019C155,35:181.98:629588:29.65:3,35:180.77:525473:29.65:0,35:183.77:281355:29.65:0,35:188.17:307469:29.65:0,35:188.31:252251:29.65:0,35:192.39:214924:29.65:0,35:192.51:209434:29.65:0,35:194.32:134737:29.65:0,[35:193.73:159703:29.65:0
UI_122019C160,8:181.98:629588:24.56:2,10:180.77:525473:24.56:0,10:183.77:281355:22.4:1,10:188.17:307469:24.78:1,9:188.31:252251:28.7:1,8:192.39:214924:29.41:1,8:192.51:209434:35.66:1,9:194.32:134737:35.66:0,[9:193.73:159703:35.66:0
UI_122019C165,9:181.98:629588:20.39:21,29:180.77:525473:20.39:0,29:183.77:281355:20.39:0,29:188.17:307469:20.39:1,29:188.31:252251:20.39:0,29:192.39:214924:20.39:0,29:192.51:209434:29.44:1,28:194.32:134737:29.44:0,[28:193.73:159703:29.44:0
UI_122019C170,71:181.98:629588:17.37:1,70:180.77:525473:17.37:0,70:183.77:281355:15.57:1,70:188.17:307469:17.7:1,70:188.31:252251:17.7:0,70:192.39:214924:20.4:1,71:192.51:209434:22.3:6,65:194.32:134737:22.3:0,[65:193.73:159703:25.3:1
UI_122019C175,52:181.98:629588:11.4:2,54:180.77:525473:11.65:2,54:183.77:281355:9.5:1,55:188.17:307469:9.5:0,55:188.31:252251:9.5:0,55:192.39:214924:16.03:1,54:192.51:209434:16.03:0,54:194.32:134737:16.03:0,[54:193.73:159703:16.03:0
UI_122019C180,48:181.98:629588:8.85:27,70:180.77:525473:7.62:3,70:183.77:281355:8.95:11,70:188.17:307469:10.4:15,72:188.31:252251:11.7:1,72:192.39:214924:13.9:4,68:192.51:209434:13.9:0,68:194.32:134737:16.4:1,[68:193.73:159703:17.0:1
UI_122019C185,14:181.98:629588:7.1:21,20:180.77:525473:5.41:34,47:183.77:281355:6.9:6,50:188.17:307469:8.6:85,130:188.31:252251:8.9:1,130:192.39:214924:11.15:3,129:192.51:209434:11.15:0,129:194.32:134737:11.15:0,[129:193.73:159703:11.15:0
UI_122019C190,3:181.98:629588:5.04:11,12:180.77:525473:3.7:10,13:183.77:281355:4.3:2,15:188.17:307469:5.77:5,20:188.31:252251:6.0:26,46:192.39:214924:8.34:5,50:192.51:209434:7.5:1,51:194.32:134737:9.75:5,[50:193.73:159703:8.84:1
UI_122019C195,4:181.98:629588:2.2:0,4:180.77:525473:3.2:3,4:183.77:281355:2.6:2,5:188.17:307469:4.25:14,14:188.31:252251:3.4:3,15:192.39:214924:5.62:14,64:192.51:209434:5.51:35,50:194.32:134737:5.51:0,[50:193.73:159703:6.06:5
UI_122019C200,39:181.98:629588:2.9:43,59:180.77:525473:2.3:15,46:183.77:281355:1.4:5,44:188.17:307469:2.75:18,43:188.31:252251:2.36:57,93:192.39:214924:3.84:19,112:192.51:209434:3.38:28,111:194.32:134737:4.4:36,[126:193.73:159703:3.75:4
UI_122019C210,41:181.98:629588:0.5:0,41:180.77:525473:0.8:2,41:183.77:281355:0.8:0,41:188.17:307469:0.85:3,43:188.31:252251:0.81:3,46:192.39:214924:1.35:10,47:192.51:209434:1.26:1,47:194.32:134737:1.55:10,[50:193.73:159703:1.3:2
UI_122019C220,1:181.98:629588:0.45:3,3:180.77:525473:0.45:0,3:183.77:281355:0.45:0,3:188.17:307469:0.45:0,3:188.31:252251:0.45:0,3:192.39:214924:0.28:3,6:192.51:209434:0.28:0,6:194.32:134737:0.28:0,[6:193.73:159703:0.28:0
UI_122019C230,2:181.98:629588:0.0:0,2:180.77:525473:0.0:0,2:183.77:281355:0.0:0,2:188.17:307469:0.0:0,2:188.31:252251:0.0:0,2:192.39:214924:0.0:0,2:192.51:209434:0.0:0,2:194.32:134737:0.0:0,[2:193.73:159703:0.0:0
UI_122019C240,6:181.98:629588:0.1:0,6:180.77:525473:0.1:0,6:183.77:281355:0.1:0,6:188.17:307469:0.1:0,6:188.31:252251:0.1:0,6:192.39:214924:0.1:0,6:192.51:209434:0.1:0,6:194.32:134737:0.1:0,[6:193.73:159703:0.1:0
UI_122019C250,0:181.98:629588:0.1:2,2:180.77:525473:0.1:0,2:183.77:281355:0.1:0,2:188.17:307469:0.1:0,2:188.31:252251:0.1:0,2:192.39:214924:0.1:0,2:192.51:209434:0.1:0,2:194.32:134737:0.1:0,[2:193.73:159703:0.1:0
UI_011720C140,U,U,U,68:188.17:307469:43.24:1,67:188.31:252251:48.7:9,62:192.39:214924:48.7:0,62:192.51:209434:55.0:1,63:194.32:134737:55.0:0,63:193.73:159703:55.0:0
UI_011720C145,U,U,U,48:188.17:307469:38.2:1,48:188.31:252251:38.2:0,48:192.39:214924:38.2:0,48:192.51:209434:38.2:0,48:194.32:134737:38.2:0,[48:193.73:159703:38.2:0
UI_011720C150,U,U,U,616:188.17:307469:34.87:0,616:188.31:252251:34.87:0,616:192.39:214924:34.87:0,616:192.51:209434:34.87:0,616:194.32:134737:34.87:0,[616:193.73:159703:34.87:0
UI_011720C155,U,U,U,37:188.17:307469:30.38:0,37:188.31:252251:30.38:0,37:192.39:214924:30.38:0,37:192.51:209434:30.38:0,37:194.32:134737:30.38:0,[37:193.73:159703:30.38:0
UI_011720C160,U,U,U,218:188.17:307469:26.6:0,218:188.31:252251:26.6:0,218:192.39:214924:26.6:0,218:192.51:209434:26.6:0,218:194.32:134737:26.6:0,[218:193.73:159703:26.6:0
UI_011720C165,U,U,U,28:188.17:307469:24.76:24,52:188.31:252251:24.76:0,52:192.39:214924:26.8:2,51:192.51:209434:26.8:0,51:194.32:134737:26.8:0,[51:193.73:159703:31.17:3
UI_011720C170,U,U,U,57:188.17:307469:20.9:1,57:188.31:252251:20.8:2,57:192.39:214924:20.8:0,57:192.51:209434:20.8:0,57:194.32:134737:20.8:0,[57:193.73:159703:25.9:1
UI_011720C175,U,U,U,231:188.17:307469:12.0:0,231:188.31:252251:12.0:0,231:192.39:214924:12.0:0,231:192.51:209434:20.55:0,231:194.32:134737:20.55:0,[231:193.73:159703:20.55:0
UI_011720C180,U,U,U,9:188.17:307469:9.52:0,9:188.31:252251:9.52:0,9:192.39:214924:9.52:0,10:192.51:209434:18.01:0,10:194.32:134737:18.01:0,[10:193.73:159703:18.01:0
UI_011720C185,U,U,U,42:188.17:307469:9.6:8,42:188.31:252251:11.2:13,41:192.39:214924:13.41:15,53:192.51:209434:14.2:2,54:194.32:134737:15.4:1,[53:193.73:159703:15.0:1
UI_011720C190,U,U,U,82:188.17:307469:8.4:45,126:188.31:252251:8.3:24,146:192.39:214924:11.0:17,153:192.51:209434:13.2:1,152:194.32:134737:12.2:4,[152:193.73:159703:12.2:0
UI_011720C195,U,U,U,13:188.17:307469:5.8:0,13:188.31:252251:5.8:0,13:192.39:214924:5.8:0,15:192.51:209434:8.1:51,64:194.32:134737:8.1:0,[64:193.73:159703:8.1:0
UI_011720C200,U,U,U,52:188.17:307469:4.5:3,55:188.31:252251:4.5:0,55:192.39:214924:5.9:6,58:192.51:209434:8.1:3,60:194.32:134737:7.0:1,[61:193.73:159703:7.0:0
UI_011720C210,U,U,U,112:188.17:307469:2.15:3,115:188.31:252251:2.1:3,113:192.39:214924:3.3:1,131:192.51:209434:3.1:9,137:194.32:134737:4.1:1,[137:193.73:159703:3.5:2
UI_011720C220,U,U,U,14:188.17:307469:1.0:2,16:188.31:252251:1.0:0,16:192.39:214924:1.0:0,16:192.51:209434:2.06:4,20:194.32:134737:2.06:0,[20:193.73:159703:2.06:0
UI_011720C230,U,U,U,4:188.17:307469:0.4:11,13:188.31:252251:0.4:0,13:192.39:214924:0.6:10,23:192.51:209434:0.75:21,13:194.32:134737:0.75:0,[13:193.73:159703:0.75:0
UI_011720C240,U,U,U,53:188.17:307469:0.3:0,53:188.31:252251:0.3:0,53:192.39:214924:0.3:0,53:192.51:209434:0.4:2,55:194.32:134737:0.4:0,[55:193.73:159703:0.4:0
UI_011720C250,U,U,U,31:188.17:307469:0.0:0,31:188.31:252251:0.0:0,31:192.39:214924:0.0:0,31:192.51:209434:0.0:0,31:194.32:134737:0.0:0,[31:193.73:159703:0.0:0
UI_011720C260,U,U,U,U,U,0:192.39:214924:0.0:0,0:192.51:209434:0.0:0,0:194.32:134737:0.0:0,[0:193.73:159703:0.0:0
