Symbol,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
UI_122019P135,20:181.98:629588:0.88:0,20:180.77:525473:0.88:0,20:183.77:281355:0.88:0,20:188.17:307469:0.88:0,20:188.31:252251:0.88:0,20:192.39:214924:0.88:0,23:192.51:209434:0.25:0,23:194.32:134737:0.25:0,23:193.73:159703:0.25:0
UI_122019P140,31:181.98:629588:0.58:12,26:180.77:525473:0.5:3,29:183.77:281355:0.5:0,29:188.17:307469:0.5:0,29:188.31:252251:0.5:0,29:192.39:214924:0.5:0,29:192.51:209434:0.5:0,29:194.32:134737:0.5:0,29:193.73:159703:0.5:0
UI_122019P145,9:181.98:629588:0.83:2,9:180.77:525473:0.83:0,9:183.77:281355:0.83:0,9:188.17:307469:0.83:0,9:188.31:252251:0.83:0,9:192.39:214924:0.83:0,9:192.51:209434:0.83:0,9:194.32:134737:0.83:0,[9:193.73:159703:0.83:0
UI_122019P150,100:181.98:629588:1.0:18,104:180.77:525473:0.9:2,104:183.77:281355:0.65:5,103:188.17:307469:0.65:0,103:188.31:252251:0.65:0,103:192.39:214924:0.34:7,101:192.51:209434:0.34:0,101:194.32:134737:0.34:0,[101:193.73:159703:0.34:0
UI_122019P155,67:181.98:629588:1.37:14,72:180.77:525473:1.37:0,72:183.77:281355:1.15:1,72:188.17:307469:1.15:0,72:188.31:252251:0.55:10,72:192.39:214924:0.45:5,72:192.51:209434:0.65:0,72:194.32:134737:0.65:0,[72:193.73:159703:0.65:0
UI_122019P160,12:181.98:629588:4.26:0,12:180.77:525473:4.26:0,12:183.77:281355:4.26:0,12:188.17:307469:4.26:0,12:188.31:252251:0.85:2,12:192.39:214924:0.8:30,42:192.51:209434:0.74:31,68:194.32:134737:0.6:1,[68:193.73:159703:0.6:0
UI_122019P165,86:181.98:629588:2.78:45,118:180.77:525473:2.7:5,117:183.77:281355:2.3:1,118:188.17:307469:1.55:2,120:188.31:252251:1.4:1,120:192.39:214924:0.83:13,131:192.51:209434:1.05:12,131:194.32:134737:1.05:0,[131:193.73:159703:0.76:2
UI_122019P170,44:181.98:629588:3.91:36,75:180.77:525473:3.92:132,152:183.77:281355:3.92:0,152:188.17:307469:2.55:2,152:188.31:252251:2.5:1,152:192.39:214924:1.1:29,177:192.51:209434:1.5:37,178:194.32:134737:1.5:0,[178:193.73:159703:1.08:5
UI_122019P175,32:181.98:629588:5.0:25,50:180.77:525473:5.1:14,61:183.77:281355:4.5:1,61:188.17:307469:3.0:6,63:188.31:252251:3.0:11,64:192.39:214924:1.9:26,108:192.51:209434:2.3:0,108:194.32:134737:2.3:0,[108:193.73:159703:1.6:2
UI_122019P180,4:181.98:629588:7.79:54,44:180.77:525473:8.1:173,191:183.77:281355:5.92:20,191:188.17:307469:4.5:15,192:188.31:252251:4.1:102,257:192.39:214924:2.92:2,259:192.51:209434:2.7:0,259:194.32:134737:2.7:0,[259:193.73:159703:2.45:4
UI_122019P185,1:181.98:629588:9.02:23,20:180.77:525473:10.12:3,21:183.77:281355:8.8:1,21:188.17:307469:6.7:4,24:188.31:252251:6.2:22,32:192.39:214924:4.11:97,95:192.51:209434:3.7:5,96:194.32:134737:4.6:20,[116:193.73:159703:3.57:12
UI_122019P190,0:181.98:629588:11.61:10,10:180.77:525473:14.0:1,10:183.77:281355:14.0:0,10:188.17:307469:8.6:6,14:188.31:252251:9.8:1,14:192.39:214924:6.0:55,84:192.51:209434:6.3:49,69:194.32:134737:5.2:12,[80:193.73:159703:5.4:17
UI_122019P195,0:181.98:629588:24.1:0,0:180.77:525473:24.1:0,0:183.77:281355:24.1:0,0:188.17:307469:11.6:2,2:188.31:252251:11.6:0,2:192.39:214924:8.6:23,24:192.51:209434:7.5:21,45:194.32:134737:7.6:9,[51:193.73:159703:7.5:3
UI_122019P200,0:181.98:629588:18.65:10,10:180.77:525473:18.65:0,10:183.77:281355:18.65:0,10:188.17:307469:18.65:0,10:188.31:252251:18.65:0,10:192.39:214924:18.65:0,11:192.51:209434:9.96:20,31:194.32:134737:10.4:1,[32:193.73:159703:10.4:0
UI_122019P210,0:181.98:629588:0.0:0,0:180.77:525473:0.0:0,0:183.77:281355:0.0:0,0:188.17:307469:0.0:0,0:188.31:252251:0.0:0,0:192.39:214924:0.0:0,0:192.51:209434:0.0:0,0:194.32:134737:17.0:12,[12:193.73:159703:17.0:0
UI_122019P220,0:181.98:629588:0.0:0,0:180.77:525473:0.0:0,0:183.77:281355:0.0:0,0:188.17:307469:0.0:0,0:188.31:252251:0.0:0,0:192.39:214924:28.3:5,6:192.51:209434:29.0:3,7:194.32:134737:29.0:0,[7:193.73:159703:29.0:0
UI_122019P230,0:181.98:629588:0.0:0,0:180.77:525473:0.0:0,0:183.77:281355:0.0:0,0:188.17:307469:0.0:0,0:188.31:252251:0.0:0,0:192.39:214924:0.0:0,0:192.51:209434:0.0:0,0:194.32:134737:0.0:0,[0:193.73:159703:0.0:0
UI_122019P240,0:181.98:629588:0.0:0,0:180.77:525473:0.0:0,0:183.77:281355:0.0:0,0:188.17:307469:56.1:1,1:188.31:252251:56.1:0,1:192.39:214924:49.63:1,1:192.51:209434:49.63:0,1:194.32:134737:49.63:0,[1:193.73:159703:49.63:0
UI_122019P250,0:181.98:629588:0.0:0,0:180.77:525473:0.0:0,0:183.77:281355:0.0:0,0:188.17:307469:0.0:0,0:188.31:252251:0.0:0,0:192.39:214924:0.0:0,0:192.51:209434:0.0:0,0:194.32:134737:0.0:0,[0:193.73:159703:0.0:0
UI_011720P140,U,U,U,30:188.17:307469:1.2:0,30:188.31:252251:0.75:8,22:192.39:214924:0.75:0,22:192.51:209434:0.75:0,22:194.32:134737:0.75:0,22:193.73:159703:0.65:1
UI_011720P145,U,U,U,23:188.17:307469:2.1:0,23:188.31:252251:2.1:0,23:192.39:214924:2.1:0,23:192.51:209434:0.9:5,23:194.32:134737:0.9:0,[23:193.73:159703:0.9:0
UI_011720P150,U,U,U,39:188.17:307469:3.0:0,39:188.31:252251:1.2:1,40:192.39:214924:0.9:8,44:192.51:209434:0.97:2,46:194.32:134737:0.97:0,[46:193.73:159703:0.97:0
UI_011720P155,U,U,U,21:188.17:307469:4.3:0,21:188.31:252251:4.3:0,21:192.39:214924:4.3:0,21:192.51:209434:4.3:0,21:194.32:134737:1.35:76,[91:193.73:159703:1.35:0
UI_011720P160,U,U,U,214:188.17:307469:3.55:0,214:188.31:252251:3.55:0,214:192.39:214924:3.55:0,214:192.51:209434:1.95:9,215:194.32:134737:1.95:0,[215:193.73:159703:1.95:0
UI_011720P165,U,U,U,232:188.17:307469:3.2:5,232:188.31:252251:3.2:0,232:192.39:214924:2.2:11,241:192.51:209434:2.68:12,240:194.32:134737:2.68:0,[240:193.73:159703:2.68:0
UI_011720P170,U,U,U,54:188.17:307469:5.33:0,54:188.31:252251:4.0:7,58:192.39:214924:2.95:27,42:192.51:209434:3.47:1,43:194.32:134737:3.47:0,[43:193.73:159703:2.88:1
UI_011720P175,U,U,U,20:188.17:307469:6.9:1,21:188.31:252251:6.9:0,21:192.39:214924:6.9:0,16:192.51:209434:4.55:0,16:194.32:134737:4.55:0,[16:193.73:159703:3.79:1
