Symbol,20191029,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118
UTX_112219C132,0:142.0,0:143.58,0.0,0:147.51,0:147.85,0:148.31,0:148.73:2773500:0.0:0,0:148.88:1691511:0.0:0,0:148.22:1473372:0.0:0,0:148.39:1610881:0.0:0,0:148.31:1848317:0.0:0,0:148.11:1735412:0.0:0,0:149.36:1989049:0.0:0,0:149.11:1855838:0.0:0
UTX_112219C133,21:142.0,21:143.58,21.0,21:147.51,21:147.85,21:148.31,21:148.73:2773500:6.0:0,21:148.88:1691511:6.0:0,21:148.22:1473372:6.0:0,21:148.39:1610881:6.0:0,21:148.31:1848317:6.0:0,0:148.11:1735412:6.0:0,0:149.36:1989049:6.0:0,0:149.11:1855838:6.0:0
UTX_112219C134,1:142.0,1:143.58,1.0,1:147.51,1:147.85,1:148.31,1:148.73:2773500:3.49:0,1:148.88:1691511:3.49:0,1:148.22:1473372:3.49:0,1:148.39:1610881:3.49:0,1:148.31:1848317:3.49:0,0:148.11:1735412:3.49:0,0:149.36:1989049:3.49:0,0:149.11:1855838:3.49:0
UTX_112219C135,11:142.0,11:143.58,11.0,11:147.51,11:147.85,11:148.31,11:148.73:2773500:4.98:0,11:148.88:1691511:4.98:0,11:148.22:1473372:4.98:0,11:148.39:1610881:4.98:0,11:148.31:1848317:13.09:11,0:148.11:1735412:13.09:0,0:149.36:1989049:13.09:0,0:149.11:1855838:13.09:0
UTX_112219C136,25:142.0,25:143.58,25.0,25:147.51,25:147.85,25:148.31,25:148.73:2773500:4.0:0,25:148.88:1691511:4.0:0,25:148.22:1473372:4.0:0,25:148.39:1610881:4.0:0,25:148.31:1848317:4.0:0,0:148.11:1735412:4.0:0,0:149.36:1989049:4.0:0,0:149.11:1855838:4.0:0
UTX_112219C137,29:142.0,29:143.58,29.0,29:147.51,29:147.85,29:148.31,29:148.73:2773500:10.8:0,29:148.88:1691511:10.8:0,29:148.22:1473372:10.8:0,29:148.39:1610881:11.5:13,27:148.31:1848317:11.5:0,7:148.11:1735412:11.5:0,7:149.36:1989049:12.15:3,5:149.11:1855838:12.15:0
UTX_112219C138,19:142.0,19:143.58,19.0,19:147.51,19:147.85,16:148.31,16:148.73:2773500:11.16:2,14:148.88:1691511:11.16:0,14:148.22:1473372:11.16:0,14:148.39:1610881:11.16:0,14:148.31:1848317:11.16:0,0:148.11:1735412:11.16:0,0:149.36:1989049:11.16:0,0:149.11:1855838:11.16:0
UTX_112219C139,38:142.0,38:143.58,38.0,39:147.51,39:147.85,39:148.31,39:148.73:2773500:10.35:1,39:148.88:1691511:10.35:0,39:148.22:1473372:10.35:0,39:148.39:1610881:10.35:0,39:148.31:1848317:10.35:0,11:148.11:1735412:10.35:0,11:149.36:1989049:10.35:0,11:149.11:1855838:10.35:0
UTX_112219C140,49:142.0,49:143.58,49.0,48:147.51,48:147.85,48:148.31,48:148.73:2773500:9.0:1,48:148.88:1691511:9.0:0,48:148.22:1473372:9.0:0,48:148.39:1610881:8.34:2,48:148.31:1848317:8.34:48,0:148.11:1735412:8.34:0,0:149.36:1989049:8.34:0,0:149.11:1855838:8.34:0
UTX_112219C141,17:142.0,17:143.58,17.0,17:147.51,17:147.85,14:148.31,14:148.73:2773500:6.35:0,14:148.88:1691511:6.35:0,14:148.22:1473372:6.35:0,14:148.39:1610881:6.35:0,14:148.31:1848317:6.89:1,0:148.11:1735412:6.89:0,0:149.36:1989049:6.89:0,0:149.11:1855838:6.89:0
UTX_112219C142,81:142.0,76:143.58,76.0,76:147.51,76:147.85,75:148.31,74:148.73:2773500:7.11:30,54:148.88:1691511:7.11:0,54:148.22:1473372:7.11:0,54:148.39:1610881:6.53:2,54:148.31:1848317:6.53:0,0:148.11:1735412:6.53:0,0:149.36:1989049:6.53:0,0:149.11:1855838:6.53:0
UTX_112219C143,51:142.0,70:143.58,70.0,70:147.51,69:147.85,69:148.31,69:148.73:2773500:6.08:46,49:148.88:1691511:6.08:0,49:148.22:1473372:6.08:0,49:148.39:1610881:6.08:0,49:148.31:1848317:6.08:0,21:148.11:1735412:6.08:0,21:149.36:1989049:6.08:0,21:149.11:1855838:6.08:0
UTX_112219C144,5:142.0,13:143.58,13.0,11:147.51,11:147.85,11:148.31,11:148.73:2773500:3.56:0,11:148.88:1691511:3.56:0,11:148.22:1473372:3.56:0,11:148.39:1610881:4.87:1,11:148.31:1848317:4.87:0,10:148.11:1735412:4.87:0,10:149.36:1989049:5.14:6,16:149.11:1855838:5.14:0
UTX_112219C145,14:142.0,20:143.58,20.0,19:147.51,18:147.85,18:148.31,18:148.73:2773500:4.5:1,17:148.88:1691511:4.35:3,17:148.22:1473372:4.35:0,17:148.39:1610881:4.04:1,17:148.31:1848317:3.34:3,7:148.11:1735412:3.34:0,7:149.36:1989049:4.83:15,21:149.11:1855838:4.2:1
UTX_112219C146,0:142.0,21:143.58,21.0,26:147.51,26:147.85,26:148.31,28:148.73:2773500:3.85:10,28:148.88:1691511:3.85:0,28:148.22:1473372:3.85:0,28:148.39:1610881:3.4:4,28:148.31:1848317:2.6:34,58:148.11:1735412:2.89:5,63:149.36:1989049:3.75:1,64:149.11:1855838:3.17:4
UTX_112219C147,6:142.0,8:143.58,8.0,8:147.51,6:147.85,6:148.31,6:148.73:2773500:3.05:1,7:148.88:1691511:2.79:15,22:148.22:1473372:2.79:0,22:148.39:1610881:2.34:2,22:148.31:1848317:2.0:10,20:148.11:1735412:2.15:19,35:149.36:1989049:2.94:5,36:149.11:1855838:2.23:1
UTX_112219C148,18:142.0,94:143.58,94.0,95:147.51,100:147.85,100:148.31,100:148.73:2773500:2.13:4,101:148.88:1691511:2.19:5,103:148.22:1473372:1.66:1,104:148.39:1610881:1.54:2,104:148.31:1848317:1.29:8,109:148.11:1735412:1.43:35,112:149.36:1989049:2.32:8,114:149.11:1855838:1.8:4
