Symbol,20191029,20191030,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118
UTX_112219P132,30:142.0,30:143.84,30.0,30:147.51,30:147.85,30:148.31,30:148.73:2773500:1.63:0,30:148.88:1691511:1.63:0,30:148.22:1473372:1.63:0,30:148.39:1610881:1.63:0,30:148.31:1848317:1.63:0,30:148.11:1735412:1.63:0,30:149.36:1989049:1.63:0,30:149.11:1855838:1.63:0
UTX_112219P133,64:142.0,64:143.84,64.0,64:147.51,64:147.85,64:148.31,64:148.73:2773500:0.26:0,64:148.88:1691511:0.26:0,64:148.22:1473372:0.26:0,64:148.39:1610881:0.26:0,64:148.31:1848317:0.26:0,64:148.11:1735412:0.26:0,64:149.36:1989049:0.26:0,64:149.11:1855838:0.26:0
UTX_112219P134,78:142.0,78:143.84,78.0,78:147.51,78:147.85,78:148.31,78:148.73:2773500:0.5:0,78:148.88:1691511:0.5:0,78:148.22:1473372:0.5:0,78:148.39:1610881:0.5:0,78:148.31:1848317:0.5:0,78:148.11:1735412:0.5:0,78:149.36:1989049:0.05:3,78:149.11:1855838:0.05:0
UTX_112219P135,105:142.0,105:143.84,107.0,107:147.51,107:147.85,107:148.31,107:148.73:2773500:0.62:0,107:148.88:1691511:0.62:0,107:148.22:1473372:0.62:0,107:148.39:1610881:0.62:0,107:148.31:1848317:0.62:0,107:148.11:1735412:0.62:0,107:149.36:1989049:0.62:0,107:149.11:1855838:0.03:2
UTX_112219P136,207:142.0,210:143.84,197.0,197:147.51,197:147.85,161:148.31,161:148.73:2773500:0.26:0,161:148.88:1691511:0.26:0,161:148.22:1473372:0.26:0,161:148.39:1610881:0.36:75,89:148.31:1848317:0.36:0,89:148.11:1735412:0.36:0,89:149.36:1989049:0.08:1,89:149.11:1855838:0.08:0
UTX_112219P137,434:142.0,434:143.84,434.0,431:147.51,391:147.85,341:148.31,279:148.73:2773500:0.2:0,279:148.88:1691511:0.2:0,279:148.22:1473372:0.2:0,279:148.39:1610881:0.4:75,214:148.31:1848317:0.4:0,214:148.11:1735412:0.4:0,214:149.36:1989049:0.1:76,182:149.11:1855838:0.06:70
UTX_112219P138,1795:142.0,1825:143.84,1832.0,1777:147.51,1737:147.85,1581:148.31,1561:148.73:2773500:0.26:167,1472:148.88:1691511:0.21:153,1332:148.22:1473372:0.17:70,1318:148.39:1610881:0.18:25,1293:148.31:1848317:0.18:0,1293:148.11:1735412:0.05:27,1282:149.36:1989049:0.07:80,1252:149.11:1855838:0.08:90
UTX_112219P139,1758:142.0,1790:143.84,1807.0,1753:147.51,1758:147.85,1572:148.31,1555:148.73:2773500:0.31:242,1466:148.88:1691511:0.28:171,1309:148.22:1473372:0.24:70,1299:148.39:1610881:0.23:72,1274:148.31:1848317:0.23:0,1274:148.11:1735412:0.14:79,1227:149.36:1989049:0.07:143,1139:149.11:1855838:0.1:40
UTX_112219P140,80:142.0,560:143.84,665.0,615:147.51,616:147.85,586:148.31,586:148.73:2773500:0.38:75,511:148.88:1691511:0.32:10,501:148.22:1473372:0.23:1,502:148.39:1610881:0.13:48,487:148.31:1848317:0.13:0,487:148.11:1735412:0.17:55,462:149.36:1989049:0.09:130,357:149.11:1855838:0.01:25
UTX_112219P141,3:142.0,3:143.84,3.0,8:147.51,10:147.85,10:148.31,13:148.73:2773500:0.65:0,13:148.88:1691511:0.65:0,13:148.22:1473372:0.31:1,14:148.39:1610881:0.31:0,14:148.31:1848317:0.31:0,14:148.11:1735412:0.16:2,14:149.36:1989049:0.16:0,14:149.11:1855838:0.16:0
