Symbol,20191101,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
VEEV_122019P95,39.0,39:140.68,39:140.85,49:141.0:767078:0.15:0,49:143.77:951071:0.15:0,49:144.71:728557:0.1:1,49:146.68:1061855:0.1:0,49:148.31:935422:0.1:0,49:148.69:593091:0.1:0,49:153.16:1587857:0.05:2,48:151.76:1305610:0.05:0,48:154.33:1003980:0.05:0,48:150.66:1113203:0.05:0,48:153.27:1205372:0.05:0
VEEV_122019P100,33.0,33:140.68,33:140.85,33:141.0:767078:0.55:0,33:143.77:951071:0.55:0,33:144.71:728557:0.55:0,33:146.68:1061855:0.55:0,33:148.31:935422:0.55:0,33:148.69:593091:0.55:0,33:153.16:1587857:0.05:1,33:151.76:1305610:0.05:0,33:154.33:1003980:0.05:0,33:150.66:1113203:0.05:0,33:153.27:1205372:0.05:0
VEEV_122019P105,53.0,53:140.68,53:140.85,53:141.0:767078:0.4:9,53:143.77:951071:0.25:1,53:144.71:728557:0.25:0,53:146.68:1061855:0.25:0,53:148.31:935422:0.25:0,53:148.69:593091:0.25:0,53:153.16:1587857:0.25:0,53:151.76:1305610:0.25:0,53:154.33:1003980:0.25:0,53:150.66:1113203:0.05:2,[53:153.27:1205372:0.05:0
VEEV_122019P110,57.0,57:140.68,57:140.85,65:141.0:767078:0.57:21,80:143.77:951071:0.5:3,83:144.71:728557:0.46:5,88:146.68:1061855:0.46:0,88:148.31:935422:0.2:3,88:148.69:593091:0.2:0,88:153.16:1587857:0.1:8,83:151.76:1305610:0.1:1,83:154.33:1003980:0.1:0,83:150.66:1113203:0.1:1,[84:153.27:1205372:0.08:4
VEEV_122019P115,348.0,350:140.68,350:140.85,353:141.0:767078:1.0:0,353:143.77:951071:1.0:0,353:144.71:728557:1.0:0,353:146.68:1061855:0.49:1,354:148.31:935422:0.49:0,354:148.69:593091:0.49:0,354:153.16:1587857:0.49:0,354:151.76:1305610:0.2:1,354:154.33:1003980:0.25:6,354:150.66:1113203:0.23:10,[354:153.27:1205372:0.23:5
VEEV_122019P120,164.0,166:140.68,192:140.85,196:141.0:767078:1.6:17,207:143.77:951071:1.6:0,207:144.71:728557:1.0:19,214:146.68:1061855:0.8:5,217:148.31:935422:0.8:22,214:148.69:593091:0.65:15,204:153.16:1587857:0.35:17,194:151.76:1305610:0.36:2,193:154.33:1003980:0.26:6,194:150.66:1113203:0.35:1,[195:153.27:1205372:0.4:7
VEEV_122019P125,283.0,282:140.68,290:140.85,297:141.0:767078:2.45:3,299:143.77:951071:2.05:7,303:144.71:728557:1.55:10,308:146.68:1061855:1.36:12,316:148.31:935422:1.13:28,319:148.69:593091:0.97:3,318:153.16:1587857:0.82:7,317:151.76:1305610:0.69:8,306:154.33:1003980:0.6:2,304:150.66:1113203:0.6:0,[304:153.27:1205372:0.55:8
VEEV_122019P130,204.0,211:140.68,227:140.85,246:141.0:767078:3.8:18,252:143.77:951071:3.04:40,263:144.71:728557:2.48:13,270:146.68:1061855:2.25:44,277:148.31:935422:1.71:197,328:148.69:593091:1.55:15,333:153.16:1587857:0.97:43,341:151.76:1305610:1.17:234,449:154.33:1003980:0.9:10,449:150.66:1113203:1.1:9,[449:153.27:1205372:0.95:44
VEEV_122019P135,455.0,476:140.68,482:140.85,572:141.0:767078:5.5:48,602:143.77:951071:4.45:465,846:144.71:728557:3.65:46,846:146.68:1061855:3.4:214,803:148.31:935422:2.76:32,798:148.69:593091:2.43:104,784:153.16:1587857:1.6:265,959:151.76:1305610:1.91:304,1270:154.33:1003980:1.54:65,1245:150.66:1113203:1.9:33,[1274:153.27:1205372:1.7:107
VEEV_122019P140,367.0,386:140.68,383:140.85,431:141.0:767078:7.55:56,461:143.77:951071:6.17:41,467:144.71:728557:5.5:53,456:146.68:1061855:4.9:31,464:148.31:935422:4.11:60,468:148.69:593091:3.8:52,471:153.16:1587857:2.6:54,495:151.76:1305610:2.93:89,475:154.33:1003980:2.4:120,550:150.66:1113203:3.05:45,[570:153.27:1205372:2.65:89
VEEV_122019P145,808.0,830:140.68,836:140.85,837:141.0:767078:10.3:21,861:143.77:951071:8.55:6,856:144.71:728557:7.7:27,858:146.68:1061855:7.0:30,869:148.31:935422:6.0:17,869:148.69:593091:5.5:29,879:153.16:1587857:3.77:15,878:151.76:1305610:4.3:109,982:154.33:1003980:3.75:92,1052:150.66:1113203:4.52:105,[1072:153.27:1205372:4.07:432
VEEV_122019P150,354.0,364:140.68,365:140.85,365:141.0:767078:11.5:50,315:143.77:951071:11.5:0,315:144.71:728557:11.5:0,315:146.68:1061855:9.9:11,315:148.31:935422:8.32:38,300:148.69:593091:8.02:7,299:153.16:1587857:5.61:108,374:151.76:1305610:6.3:146,405:154.33:1003980:5.5:78,445:150.66:1113203:6.9:49,[459:153.27:1205372:5.85:72
VEEV_122019P155,201.0,200:140.68,200:140.85,200:141.0:767078:15.8:0,200:143.77:951071:15.8:0,200:144.71:728557:15.8:0,200:146.68:1061855:12.5:10,208:148.31:935422:11.85:2,210:148.69:593091:11.85:0,210:153.16:1587857:7.98:80,273:151.76:1305610:9.2:103,339:154.33:1003980:7.64:61,366:150.66:1113203:9.49:46,[403:153.27:1205372:8.43:29
VEEV_122019P160,242.0,243:140.68,243:140.85,245:141.0:767078:20.3:0,245:143.77:951071:18.7:1,245:144.71:728557:18.7:0,245:146.68:1061855:15.87:4,246:148.31:935422:15.87:0,246:148.69:593091:13.5:3,243:153.16:1587857:10.9:20,253:151.76:1305610:11.29:4,256:154.33:1003980:10.3:6,250:150.66:1113203:11.98:1,[249:153.27:1205372:10.67:17
VEEV_122019P165,69.0,69:140.68,69:140.85,68:141.0:767078:22.7:0,68:143.77:951071:22.7:0,68:144.71:728557:22.7:0,68:146.68:1061855:22.7:0,68:148.31:935422:22.7:0,68:148.69:593091:18.0:5,67:153.16:1587857:18.0:0,67:151.76:1305610:18.0:0,67:154.33:1003980:18.0:0,67:150.66:1113203:18.0:0,[67:153.27:1205372:14.25:8
VEEV_122019P170,72.0,72:140.68,72:140.85,72:141.0:767078:29.15:0,72:143.77:951071:29.15:0,72:144.71:728557:29.15:0,72:146.68:1061855:29.15:0,72:148.31:935422:29.15:0,72:148.69:593091:29.15:0,72:153.16:1587857:18.2:1,73:151.76:1305610:18.7:1,73:154.33:1003980:18.97:0,73:150.66:1113203:18.97:0,[73:153.27:1205372:17.2:1
VEEV_122019P175,132.0,132:140.68,132:140.85,131:141.0:767078:33.8:0,131:143.77:951071:33.8:0,131:144.71:728557:33.8:0,131:146.68:1061855:33.8:0,131:148.31:935422:33.8:0,131:148.69:593091:33.8:0,131:153.16:1587857:33.8:0,131:151.76:1305610:22.0:5,136:154.33:1003980:22.0:0,136:150.66:1113203:22.0:0,[136:153.27:1205372:22.0:0
