Symbol,20191028,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
V_112219C155,4:179.84,7:177.63,7:178.86,7.0,7:178.95,7:176.37,7:176.77,7:178.43:7224254:23.82:0,7:178.97:3881491:23.82:0,7:179.54:3600828:23.82:0,7:179.74:6116062:23.82:0,7:179.41:6147116:24.1:1,4:179.75:9802181:24.5:105,109:179.77:7758676:24.55:42,146:179.66:7175036:24.2:7,157:181.66:5964407:25.6:6,153:179.89:5111657:24.75:100,[83:179.47:6864993:24.12:36
V_112219C157.5,31:179.84,31:177.63,31:178.86,31.0,31:178.95,31:176.37,31:176.77,31:178.43:7224254:19.8:0,31:178.97:3881491:19.8:0,31:179.54:3600828:19.8:0,31:179.74:6116062:19.8:0,31:179.41:6147116:20.5:1,1:179.75:9802181:22.24:2,3:179.77:7758676:22.24:0,3:179.66:7175036:22.24:0,3:181.66:5964407:22.24:0,3:179.89:5111657:22.53:3,[2:179.47:6864993:22.53:0
V_112219C160,1:179.84,0:177.63,0:178.86,0.0,0:178.95,1:176.37,1:176.77,1:178.43:7224254:19.85:0,1:178.97:3881491:19.85:0,1:179.54:3600828:19.85:0,1:179.74:6116062:19.85:0,1:179.41:6147116:19.95:1,0:179.75:9802181:19.06:1,1:179.77:7758676:20.03:2,3:179.66:7175036:20.03:0,3:181.66:5964407:20.03:0,3:179.89:5111657:19.89:1,[2:179.47:6864993:19.22:2
V_112219C162.5,23:179.84,22:177.63,22:178.86,22.0,22:178.95,22:176.37,22:176.77,22:178.43:7224254:16.5:0,22:178.97:3881491:16.5:0,22:179.54:3600828:16.5:0,22:179.74:6116062:16.5:0,22:179.41:6147116:16.5:0,2:179.75:9802181:16.5:0,2:179.77:7758676:16.5:0,2:179.66:7175036:16.5:0,2:181.66:5964407:16.5:0,2:179.89:5111657:16.5:0,[2:179.47:6864993:17.12:2
V_112219C165,4:179.84,5:177.63,5:178.86,5.0,5:178.95,5:176.37,6:176.77,5:178.43:7224254:12.61:0,5:178.97:3881491:12.61:0,5:179.54:3600828:12.61:0,5:179.74:6116062:12.61:0,5:179.41:6147116:12.61:0,4:179.75:9802181:14.05:3,7:179.77:7758676:15.22:20,27:179.66:7175036:15.22:0,27:181.66:5964407:17.15:0,27:179.89:5111657:17.15:0,[27:179.47:6864993:14.07:23
V_112219C167.5,16:179.84,16:177.63,19:178.86,19.0,19:178.95,19:176.37,19:176.77,19:178.43:7224254:12.52:0,19:178.97:3881491:12.52:0,19:179.54:3600828:12.52:0,19:179.74:6116062:12.52:0,19:179.41:6147116:12.52:0,19:179.75:9802181:12.52:0,19:179.77:7758676:12.52:0,19:179.66:7175036:12.41:14,6:181.66:5964407:14.41:0,6:179.89:5111657:12.47:1,[5:179.47:6864993:11.33:4
V_112219C170,66:179.84,102:177.63,63:178.86,63.0,63:178.95,67:176.37,82:176.77,81:178.43:7224254:9.87:1,80:178.97:3881491:8.6:28,107:179.54:3600828:9.65:4,105:179.74:6116062:9.9:5,106:179.41:6147116:9.4:6,103:179.75:9802181:9.55:4,102:179.77:7758676:10.0:56,100:179.66:7175036:9.7:5,95:181.66:5964407:13.1:6,94:179.89:5111657:10.0:4,[94:179.47:6864993:9.15:15
V_112219C172.5,82:179.84,59:177.63,59:178.86,59.0,55:178.95,55:176.37,55:176.77,56:178.43:7224254:7.48:7,57:178.97:3881491:6.71:36,93:179.54:3600828:7.63:11,83:179.74:6116062:7.3:10,73:179.41:6147116:7.3:0,73:179.75:9802181:7.25:2,74:179.77:7758676:8.04:2,72:179.66:7175036:7.15:5,71:181.66:5964407:8.05:0,71:179.89:5111657:8.05:0,[71:179.47:6864993:6.35:1
V_112219C175,240:179.84,200:177.63,194:178.86,194.0,199:178.95,199:176.37,209:176.77,212:178.43:7224254:5.65:118,239:178.97:3881491:4.5:22,247:179.54:3600828:5.02:46,239:179.74:6116062:5.15:29,250:179.41:6147116:4.7:32,237:179.75:9802181:4.15:9,242:179.77:7758676:4.88:15,246:179.66:7175036:4.45:129,259:181.66:5964407:5.77:46,232:179.89:5111657:4.6:11,[242:179.47:6864993:4.64:73
V_112219C177.5,266:179.84,264:177.63,296:178.86,296.0,291:178.95,290:176.37,439:176.77,477:178.43:7224254:3.42:102,461:178.97:3881491:2.88:148,511:179.54:3600828:3.1:85,534:179.74:6116062:3.15:69,529:179.41:6147116:2.95:270,652:179.75:9802181:3.0:234,697:179.77:7758676:2.89:369,726:179.66:7175036:2.59:132,705:181.66:5964407:3.3:24,703:179.89:5111657:2.24:63,[668:179.47:6864993:1.81:219
