Symbol,20191028,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
V_112219P155,21:179.84,20:179.25,21:178.86,21.0,21:178.95,31:176.37,32:176.77,32:178.43:7224254:0.06:2,32:178.97:3881491:0.06:0,32:179.54:3600828:0.06:0,32:179.74:6116062:0.04:3,35:179.41:6147116:0.04:0,35:179.75:9802181:0.04:0,35:179.77:7758676:0.04:0,35:179.66:7175036:0.04:0,U:181.66:5964407:U:U,33:179.89:5111657:0.01:0,[33:179.47:6864993:0.01:0
V_112219P157.5,186:179.84,184:179.25,184:178.86,184.0,184:178.95,184:176.37,184:176.77,184:178.43:7224254:0.07:14,196:178.97:3881491:0.07:0,196:179.54:3600828:0.07:0,196:179.74:6116062:0.17:2,196:179.41:6147116:0.17:0,196:179.75:9802181:0.05:1,197:179.77:7758676:0.04:1,198:179.66:7175036:0.04:0,197:181.66:5964407:0.01:0,197:179.89:5111657:0.01:0,[197:179.47:6864993:0.01:0
V_112219P160,278:179.84,281:179.25,282:178.86,282.0,282:178.95,282:176.37,275:176.77,275:178.43:7224254:0.09:7,274:178.97:3881491:0.1:6,275:179.54:3600828:0.08:42,317:179.74:6116062:0.05:3,318:179.41:6147116:0.08:14,329:179.75:9802181:0.05:7,334:179.77:7758676:0.03:21,354:179.66:7175036:0.06:58,401:181.66:5964407:0.01:120,485:179.89:5111657:0.01:0,[485:179.47:6864993:0.01:0
V_112219P162.5,61:179.84,82:179.25,98:178.86,98.0,94:178.95,99:176.37,162:176.77,162:178.43:7224254:0.16:8,160:178.97:3881491:0.11:50,170:179.54:3600828:0.09:6,170:179.74:6116062:0.07:17,170:179.41:6147116:0.11:14,169:179.75:9802181:0.07:9,169:179.77:7758676:0.07:0,169:179.66:7175036:0.03:2,168:181.66:5964407:0.01:0,168:179.89:5111657:0.01:0,[168:179.47:6864993:0.01:0
V_112219P165,311:179.84,300:179.25,301:178.86,301.0,321:178.95,423:176.37,440:176.77,440:178.43:7224254:0.16:14,452:178.97:3881491:0.16:0,452:179.54:3600828:0.11:22,443:179.74:6116062:0.1:22,452:179.41:6147116:0.14:40,489:179.75:9802181:0.08:327,773:179.77:7758676:0.07:236,964:179.66:7175036:0.04:78,929:181.66:5964407:0.02:13,928:179.89:5111657:0.02:3,[925:179.47:6864993:0.01:9
V_112219P167.5,320:179.84,320:179.25,340:178.86,340.0,355:178.95,361:176.37,380:176.77,388:178.43:7224254:0.3:14,388:178.97:3881491:0.29:4,392:179.54:3600828:0.19:735,629:179.74:6116062:0.16:25,646:179.41:6147116:0.17:171,807:179.75:9802181:0.1:273,1048:179.77:7758676:0.07:323,1006:179.66:7175036:0.05:9,1008:181.66:5964407:0.04:8,1001:179.89:5111657:0.02:10,[1007:179.47:6864993:0.01:68
V_112219P170,67:179.84,110:179.25,117:178.86,117.0,144:178.95,165:176.37,217:176.77,221:178.43:7224254:0.5:43,222:178.97:3881491:0.5:21,223:179.54:3600828:0.26:145,311:179.74:6116062:0.24:11,312:179.41:6147116:0.28:46,317:179.75:9802181:0.17:126,371:179.77:7758676:0.12:35,381:179.66:7175036:0.07:6,382:181.66:5964407:0.05:20,368:179.89:5111657:0.02:6,[369:179.47:6864993:0.01:22
V_112219P172.5,34:179.84,149:179.25,153:178.86,153.0,170:178.95,163:176.37,178:176.77,189:178.43:7224254:0.78:95,245:178.97:3881491:0.62:17,247:179.54:3600828:0.48:63,260:179.74:6116062:0.35:96,290:179.41:6147116:0.42:188,338:179.75:9802181:0.29:279,553:179.77:7758676:0.17:115,593:179.66:7175036:0.11:208,752:181.66:5964407:0.06:116,745:179.89:5111657:0.04:17,[738:179.47:6864993:0.01:41
V_112219P175,85:179.84,103:179.25,104:178.86,104.0,116:178.95,148:176.37,155:176.77,163:178.43:7224254:1.06:77,201:178.97:3881491:1.05:34,219:179.54:3600828:0.83:102,255:179.74:6116062:0.66:65,280:179.41:6147116:0.76:86,299:179.75:9802181:0.54:380,518:179.77:7758676:0.34:246,637:179.66:7175036:0.22:417,870:181.66:5964407:0.09:62,828:179.89:5111657:0.05:70,[820:179.47:6864993:0.01:210
V_112219P177.5,98:179.84,115:179.25,186:178.86,186.0,212:178.95,218:176.37,293:176.77,312:178.43:7224254:1.95:110,347:178.97:3881491:1.83:225,481:179.54:3600828:1.38:128,551:179.74:6116062:1.2:116,612:179.41:6147116:1.4:159,647:179.75:9802181:1.02:67,658:179.77:7758676:0.68:392,880:179.66:7175036:0.59:431,1191:181.66:5964407:0.22:299,1110:179.89:5111657:0.15:908,[1495:179.47:6864993:0.02:459
V_112219P180,27:179.84,191:179.25,239:178.86,239.0,239:178.95,300:176.37,342:176.77,346:178.43:7224254:4.35:177,441:178.97:3881491:3.2:135,441:179.54:3600828:2.48:487,771:179.74:6116062:2.26:401,1024:179.41:6147116:2.55:102,985:179.75:9802181:1.93:83,993:179.77:7758676:1.62:1146,1512:179.66:7175036:1.42:514,1525:181.66:5964407:0.47:1450,1694:179.89:5111657:0.87:390,[1704:179.47:6864993:0.28:1593
V_112219P182.5,0:179.84,7:179.25,7:178.86,7.0,11:178.95,12:176.37,17:176.77,24:178.43:7224254:4.45:45,56:178.97:3881491:4.7:13,51:179.54:3600828:4.2:3,52:179.74:6116062:3.55:11,59:179.41:6147116:3.91:2,59:179.75:9802181:3.7:104,71:179.77:7758676:3.55:172,144:179.66:7175036:3.28:12,597:181.66:5964407:1.5:799,698:179.89:5111657:2.85:383,[629:179.47:6864993:2.82:285
V_112219P185,15:179.84,20:179.25,20:178.86,20.0,20:178.95,20:176.37,20:176.77,20:178.43:7224254:6.05:52,59:178.97:3881491:6.05:0,59:179.54:3600828:5.61:2,59:179.74:6116062:5.65:2,59:179.41:6147116:5.45:2,61:179.75:9802181:5.77:2,61:179.77:7758676:5.75:64,98:179.66:7175036:5.5:41,107:181.66:5964407:3.78:29,110:179.89:5111657:5.5:2,[111:179.47:6864993:5.72:33
V_112219P187.5,4:179.84,4:179.25,4:178.86,4.0,4:178.95,4:176.37,4:176.77,4:178.43:7224254:11.45:0,4:178.97:3881491:11.45:0,4:179.54:3600828:11.45:0,4:179.74:6116062:8.15:1,5:179.41:6147116:8.15:0,5:179.75:9802181:8.15:0,5:179.77:7758676:8.15:0,4:179.66:7175036:8.15:0,3:181.66:5964407:5.27:0,2:179.89:5111657:5.27:0,[2:179.47:6864993:8.4:8
V_112219P190,11:179.84,11:179.25,11:178.86,11.0,11:178.95,11:176.37,11:176.77,11:178.43:7224254:15.5:0,11:178.97:3881491:15.5:0,11:179.54:3600828:15.5:0,11:179.74:6116062:15.5:0,11:179.41:6147116:15.5:0,11:179.75:9802181:15.5:0,1:179.77:7758676:15.5:0,1:179.66:7175036:15.5:0,1:181.66:5964407:15.5:0,1:179.89:5111657:15.5:0,[1:179.47:6864993:11.21:1
V_112219P192.5,0:179.84,0:179.25,0:178.86,0.0,0:178.95,0:176.37,0:176.77,0:178.43:7224254:0.0:0,0:178.97:3881491:0.0:0,0:179.54:3600828:0.0:0,0:179.74:6116062:13.61:1,1:179.41:6147116:13.61:0,1:179.75:9802181:13.95:1,0:179.77:7758676:13.95:0,0:179.66:7175036:13.95:0,0:181.66:5964407:13.95:0,0:179.89:5111657:13.95:0,[0:179.47:6864993:13.95:0
V_112219P195,0:179.84,0:179.25,0:178.86,0.0,0:178.95,0:176.37,0:176.77,0:178.43:7224254:0.0:0,0:178.97:3881491:0.0:0,0:179.54:3600828:0.0:0,0:179.74:6116062:0.0:0,0:179.41:6147116:0.0:0,0:179.75:9802181:0.0:0,0:179.77:7758676:0.0:0,0:179.66:7175036:0.0:0,0:181.66:5964407:0.0:0,0:179.89:5111657:0.0:0,[0:179.47:6864993:0.0:0
V_112219P197.5,0:179.84,0:179.25,0:178.86,0.0,0:178.95,0:176.37,0:176.77,0:178.43:7224254:0.0:0,0:178.97:3881491:0.0:0,0:179.54:3600828:0.0:0,0:179.74:6116062:0.0:0,0:179.41:6147116:0.0:0,0:179.75:9802181:0.0:0,0:179.77:7758676:0.0:0,0:179.66:7175036:0.0:0,0:181.66:5964407:0.0:0,0:179.89:5111657:0.0:0,[0:179.47:6864993:0.0:0
V_112219P200,0:179.84,0:179.25,0:178.86,0.0,0:178.95,0:176.37,0:176.77,0:178.43:7224254:0.0:0,0:178.97:3881491:0.0:0,0:179.54:3600828:0.0:0,0:179.74:6116062:0.0:0,0:179.41:6147116:0.0:0,0:179.75:9802181:0.0:0,0:179.77:7758676:0.0:0,0:179.66:7175036:0.0:0,0:181.66:5964407:0.0:0,0:179.89:5111657:0.0:0,[0:179.47:6864993:0.0:0
V_112219P202.5,0:179.84,0:179.25,0:178.86,0.0,0:178.95,0:176.37,0:176.77,0:178.43:7224254:0.0:0,0:178.97:3881491:0.0:0,0:179.54:3600828:0.0:0,0:179.74:6116062:0.0:0,0:179.41:6147116:0.0:0,0:179.75:9802181:0.0:0,0:179.77:7758676:0.0:0,0:179.66:7175036:0.0:0,0:181.66:5964407:0.0:0,0:179.89:5111657:0.0:0,[0:179.47:6864993:0.0:0
V_112919P155,126:179.84,126:179.25,126:178.86,126.0,126:178.95,126:176.37,139:176.77,139:178.43:7224254:0.19:0,139:178.97:3881491:0.19:0,139:179.54:3600828:0.19:0,139:179.74:6116062:0.19:0,139:179.41:6147116:0.19:0,139:179.75:9802181:0.05:1,139:179.77:7758676:0.05:0,139:179.66:7175036:0.05:1,140:181.66:5964407:0.03:3,141:179.89:5111657:0.03:0,[141:179.47:6864993:0.03:0
V_112919P157.5,4:179.84,21:179.25,21:178.86,21.0,21:178.95,21:176.37,21:176.77,21:178.43:7224254:0.1:2,20:178.97:3881491:0.1:0,20:179.54:3600828:0.07:10,20:179.74:6116062:0.08:1,20:179.41:6147116:0.08:0,20:179.75:9802181:0.08:0,20:179.77:7758676:0.05:6,23:179.66:7175036:0.05:0,23:181.66:5964407:0.01:10,23:179.89:5111657:0.01:0,[23:179.47:6864993:0.01:0
V_112919P160,258:179.84,254:179.25,255:178.86,255.0,257:178.95,256:176.37,266:176.77,256:178.43:7224254:0.14:77,299:178.97:3881491:0.16:2,299:179.54:3600828:0.12:12,308:179.74:6116062:0.1:5,308:179.41:6147116:0.2:15,309:179.75:9802181:0.08:3,308:179.77:7758676:0.05:7,307:179.66:7175036:0.06:2,305:181.66:5964407:0.02:10,304:179.89:5111657:0.02:0,[304:179.47:6864993:0.03:4
V_112919P162.5,48:179.84,55:179.25,69:178.86,69.0,69:178.95,69:176.37,70:176.77,71:178.43:7224254:0.26:0,71:178.97:3881491:0.21:12,74:179.54:3600828:0.14:3,74:179.74:6116062:0.14:0,74:179.41:6147116:0.14:0,74:179.75:9802181:0.14:0,74:179.77:7758676:0.1:124,196:179.66:7175036:0.06:4,200:181.66:5964407:0.04:0,200:179.89:5111657:0.04:7,[200:179.47:6864993:0.04:0
V_112919P165,79:179.84,121:179.25,123:178.86,123.0,123:178.95,121:176.37,161:176.77,160:178.43:7224254:0.22:27,154:178.97:3881491:0.31:7,154:179.54:3600828:0.19:13,162:179.74:6116062:0.16:2,161:179.41:6147116:0.16:0,161:179.75:9802181:0.13:151,296:179.77:7758676:0.08:19,291:179.66:7175036:0.08:24,270:181.66:5964407:0.06:30,285:179.89:5111657:0.06:1,[284:179.47:6864993:0.06:0
V_112919P167.5,52:179.84,133:179.25,157:178.86,157.0,152:178.95,155:176.37,210:176.77,210:178.43:7224254:0.49:21,221:178.97:3881491:0.43:12,224:179.54:3600828:0.43:0,224:179.74:6116062:0.25:24,225:179.41:6147116:0.28:23,238:179.75:9802181:0.24:1,238:179.77:7758676:0.12:19,225:179.66:7175036:0.1:19,213:181.66:5964407:0.08:65,245:179.89:5111657:0.09:60,[305:179.47:6864993:0.06:79
V_112919P170,130:179.84,266:179.25,278:178.86,278.0,274:178.95,280:176.37,295:176.77,334:178.43:7224254:0.71:62,354:178.97:3881491:0.65:16,360:179.54:3600828:0.48:43,376:179.74:6116062:0.39:15,378:179.41:6147116:0.4:87,403:179.75:9802181:0.33:2,402:179.77:7758676:0.22:37,407:179.66:7175036:0.19:431,646:181.66:5964407:0.11:107,676:179.89:5111657:0.11:29,[691:179.47:6864993:0.07:22
V_112919P172.5,81:179.84,157:179.25,151:178.86,151.0,187:178.95,177:176.37,174:176.77,176:178.43:7224254:1.0:44,188:178.97:3881491:1.02:6,188:179.54:3600828:0.72:80,208:179.74:6116062:0.58:50,234:179.41:6147116:0.66:52,251:179.75:9802181:0.51:3,252:179.77:7758676:0.36:65,248:179.66:7175036:0.29:66,228:181.66:5964407:0.18:36,220:179.89:5111657:0.16:102,[277:179.47:6864993:0.12:128
V_112919P175,168:179.84,272:179.25,305:178.86,305.0,265:178.95,275:176.37,289:176.77,294:178.43:7224254:1.33:57,296:178.97:3881491:1.51:12,297:179.54:3600828:1.16:70,307:179.74:6116062:1.07:75,303:179.41:6147116:1.06:60,293:179.75:9802181:0.91:39,310:179.77:7758676:0.68:156,376:179.66:7175036:0.58:95,508:181.66:5964407:0.27:700,745:179.89:5111657:0.37:220,[753:179.47:6864993:0.23:463
V_112919P177.5,37:179.84,282:179.25,564:178.86,564.0,559:178.95,553:176.37,562:176.77,573:178.43:7224254:1.68:38,584:178.97:3881491:2.49:21,571:179.54:3600828:1.75:60,581:179.74:6116062:1.64:28,563:179.41:6147116:1.9:22,571:179.75:9802181:1.4:34,591:179.77:7758676:1.24:160,591:179.66:7175036:1.16:123,681:181.66:5964407:0.64:715,828:179.89:5111657:0.81:348,[980:179.47:6864993:0.54:518
