Symbol,20191028,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
WEN_122019P13,0:20.93,0:21.15,0:21.18,0.0,0:20.56,0:20.84,0:20.77,0:20.98:2950336:0.0:0,0:20.65:3309787:0.0:0,0:20.8:1927729:0.0:0,0:20.655:1889497:0.0:0,0:20.92:2110024:0.0:0,0:20.91:1990330:0.0:0,0:20.6:7055401:0.0:0,0:20.46:3308811:0.0:0,0:20.71:3092084:0.0:0,0:20.35:2763699:0.0:0,[0:20.92:2573977:0.0:0
WEN_122019P14,0:20.93,0:21.15,0:21.18,0.0,0:20.56,0:20.84,0:20.77,0:20.98:2950336:0.0:0,0:20.65:3309787:0.0:0,0:20.8:1927729:0.0:0,0:20.655:1889497:0.0:0,0:20.92:2110024:0.0:0,0:20.91:1990330:0.0:0,0:20.6:7055401:0.0:0,0:20.46:3308811:0.0:0,0:20.71:3092084:0.0:0,0:20.35:2763699:0.0:0,[0:20.92:2573977:0.0:0
WEN_122019P15,0:20.93,0:21.15,0:21.18,0.0,0:20.56,0:20.84,0:20.77,0:20.98:2950336:0.0:0,0:20.65:3309787:0.0:0,0:20.8:1927729:0.0:0,0:20.655:1889497:0.0:0,0:20.92:2110024:0.0:0,0:20.91:1990330:0.0:0,0:20.6:7055401:0.0:0,0:20.46:3308811:0.0:0,0:20.71:3092084:0.0:0,0:20.35:2763699:0.0:0,[0:20.92:2573977:0.0:0
WEN_122019P16,0:20.93,0:21.15,15:21.18,15.0,15:20.56,15:20.84,15:20.77,15:20.98:2950336:0.05:0,15:20.65:3309787:0.05:0,15:20.8:1927729:0.05:0,15:20.655:1889497:0.05:0,15:20.92:2110024:0.05:0,15:20.91:1990330:0.05:0,15:20.6:7055401:0.05:0,15:20.46:3308811:0.05:0,15:20.71:3092084:0.05:0,15:20.35:2763699:0.05:0,[15:20.92:2573977:0.05:0
WEN_122019P17,0:20.93,0:21.15,0:21.18,0.0,0:20.56,0:20.84,0:20.77,1:20.98:2950336:0.07:0,1:20.65:3309787:0.07:0,1:20.8:1927729:0.07:0,1:20.655:1889497:0.07:0,1:20.92:2110024:0.07:0,1:20.91:1990330:0.07:0,1:20.6:7055401:0.07:0,1:20.46:3308811:0.07:0,1:20.71:3092084:0.07:0,1:20.35:2763699:0.07:0,[1:20.92:2573977:0.07:0
WEN_122019P18,0:20.93,6:21.15,6:21.18,6.0,6:20.56,35:20.84,39:20.77,41:20.98:2950336:0.1:0,41:20.65:3309787:0.1:0,41:20.8:1927729:0.1:0,41:20.655:1889497:0.1:0,41:20.92:2110024:0.1:0,41:20.91:1990330:0.1:0,41:20.6:7055401:0.1:0,41:20.46:3308811:0.07:1,41:20.71:3092084:0.07:0,41:20.35:2763699:0.07:0,[41:20.92:2573977:0.07:0
WEN_122019P19,0:20.93,0:21.15,0:21.18,0.0,51:20.56,53:20.84,62:20.77,122:20.98:2950336:0.2:1,121:20.65:3309787:0.2:0,121:20.8:1927729:0.15:1,122:20.655:1889497:0.15:0,122:20.92:2110024:0.15:0,122:20.91:1990330:0.15:0,122:20.6:7055401:0.13:3,122:20.46:3308811:0.13:6,122:20.71:3092084:0.12:0,122:20.35:2763699:0.15:2,[124:20.92:2573977:0.1:4
WEN_122019P20,21:20.93,30:21.15,33:21.18,33.0,83:20.56,102:20.84,139:20.77,159:20.98:2950336:0.36:5,161:20.65:3309787:0.43:24,171:20.8:1927729:0.32:23,150:20.655:1889497:0.38:138,261:20.92:2110024:0.3:17,253:20.91:1990330:0.27:1,253:20.6:7055401:0.36:78,307:20.46:3308811:0.39:66,391:20.71:3092084:0.27:21,410:20.35:2763699:0.4:3,[412:20.92:2573977:0.21:7
WEN_122019P21,3:20.93,12:21.15,13:21.18,13.0,13:20.56,13:20.84,27:20.77,55:20.98:2950336:0.79:12,43:20.65:3309787:0.87:14,48:20.8:1927729:0.75:3,51:20.655:1889497:0.82:12,63:20.92:2110024:0.75:10,53:20.91:1990330:0.75:0,53:20.6:7055401:0.85:16,68:20.46:3308811:0.85:0,65:20.71:3092084:0.8:0,65:20.35:2763699:0.85:77,[141:20.92:2573977:0.6:1
WEN_122019P22,11:20.93,17:21.15,17:21.18,17.0,17:20.56,17:20.84,19:20.77,19:20.98:2950336:1.35:0,19:20.65:3309787:1.35:0,19:20.8:1927729:1.35:0,19:20.655:1889497:1.35:0,19:20.92:2110024:1.35:0,19:20.91:1990330:1.4:44,30:20.6:7055401:1.45:3,30:20.46:3308811:1.45:0,30:20.71:3092084:1.45:0,30:20.35:2763699:1.45:0,[30:20.92:2573977:1.45:0
WEN_122019P23,1:20.93,0:21.15,0:21.18,0.0,0:20.56,0:20.84,0:20.77,0:20.98:2950336:1.96:0,0:20.65:3309787:1.96:0,0:20.8:1927729:1.96:0,0:20.655:1889497:1.96:0,0:20.92:2110024:1.96:0,0:20.91:1990330:2.25:10,10:20.6:7055401:2.25:0,10:20.46:3308811:2.25:0,10:20.71:3092084:2.5:0,10:20.35:2763699:2.5:0,[10:20.92:2573977:2.5:0
