Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
WIRE_122019C30,0:59.69,0:57.69,0:57.79,0:58.53:52706:0.0:0,0:58.6:60422:0.0:0,0:60.11:118551:0.0:0,0:59.77:72334:0.0:0,0:58.44:89923:0.0:0,0:58.56:97074:0.0:0,0:57.55:370198:0.0:0,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_122019C35,0:59.69,0:57.69,0:57.79,0:58.53:52706:0.0:0,0:58.6:60422:0.0:0,0:60.11:118551:0.0:0,0:59.77:72334:0.0:0,0:58.44:89923:0.0:0,0:58.56:97074:0.0:0,0:57.55:370198:0.0:0,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_122019C40,0:59.69,0:57.69,0:57.79,0:58.53:52706:0.0:0,0:58.6:60422:0.0:0,0:60.11:118551:0.0:0,0:59.77:72334:0.0:0,0:58.44:89923:0.0:0,0:58.56:97074:0.0:0,0:57.55:370198:0.0:0,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_122019C45,0:59.69,0:57.69,0:57.79,0:58.53:52706:0.0:0,0:58.6:60422:0.0:0,0:60.11:118551:0.0:0,0:59.77:72334:0.0:0,0:58.44:89923:0.0:0,0:58.56:97074:0.0:0,0:57.55:370198:0.0:0,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_122019C50,0:59.69,0:57.69,0:57.79,0:58.53:52706:0.0:0,0:58.6:60422:0.0:0,0:60.11:118551:0.0:0,0:59.77:72334:0.0:0,0:58.44:89923:0.0:0,0:58.56:97074:0.0:0,0:57.55:370198:0.0:0,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_122019C55,2:59.69,2:57.69,2:57.79,2:58.53:52706:5.8:0,2:58.6:60422:5.8:0,2:60.11:118551:5.8:0,2:59.77:72334:5.8:0,2:58.44:89923:5.8:0,2:58.56:97074:5.8:0,2:57.55:370198:5.8:0,2:56.96:64100:5.8:0,2:55.65:94361:5.8:0,2:56.12:83170:5.8:0,[2:56.01:30940:5.8:0
WIRE_122019C60,8:59.69,3:57.69,3:57.79,3:58.53:52706:1.75:0,3:58.6:60422:1.75:0,3:60.11:118551:1.75:0,3:59.77:72334:1.75:0,3:58.44:89923:1.75:0,3:58.56:97074:1.25:2,4:57.55:370198:1.25:0,4:56.96:64100:1.25:0,4:55.65:94361:1.25:0,4:56.12:83170:1.25:0,[4:56.01:30940:1.25:0
WIRE_122019C65,0:59.69,0:57.69,0:57.79,0:58.53:52706:0.0:0,0:58.6:60422:0.0:0,0:60.11:118551:0.0:0,0:59.77:72334:0.0:0,0:58.44:89923:0.0:0,0:58.56:97074:0.0:0,0:57.55:370198:0.0:0,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_122019C70,0:59.69,0:57.69,0:57.79,0:58.53:52706:0.0:0,0:58.6:60422:0.0:0,0:60.11:118551:0.0:0,0:59.77:72334:0.0:0,0:58.44:89923:0.0:0,0:58.56:97074:0.0:0,0:57.55:370198:0.0:0,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_122019C75,0:59.69,0:57.69,0:57.79,0:58.53:52706:0.0:0,0:58.6:60422:0.0:0,0:60.11:118551:0.0:0,0:59.77:72334:0.0:0,0:58.44:89923:0.0:0,0:58.56:97074:0.0:0,0:57.55:370198:0.0:0,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_122019C80,0:59.69,0:57.69,0:57.79,0:58.53:52706:0.0:0,0:58.6:60422:0.0:0,0:60.11:118551:0.0:0,0:59.77:72334:0.0:0,0:58.44:89923:0.0:0,0:58.56:97074:0.0:0,0:57.55:370198:0.0:0,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_122019C85,0:59.69,0:57.69,0:57.79,0:58.53:52706:0.0:0,0:58.6:60422:0.0:0,0:60.11:118551:0.0:0,0:59.77:72334:0.0:0,0:58.44:89923:0.0:0,0:58.56:97074:0.0:0,0:57.55:370198:0.0:0,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_011720C30,U,U,U,U,U,U,U,U,U,U,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_011720C35,U,U,U,U,U,U,U,U,U,U,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_011720C40,U,U,U,U,U,U,U,U,U,U,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_011720C45,U,U,U,U,U,U,U,U,U,U,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_011720C50,U,U,U,U,U,U,U,U,U,U,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_011720C55,U,U,U,U,U,U,U,U,U,U,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_011720C60,U,U,U,U,U,U,U,U,U,U,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_011720C65,U,U,U,U,U,U,U,U,U,U,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_011720C70,U,U,U,U,U,U,U,U,U,U,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_011720C75,U,U,U,U,U,U,U,U,U,U,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_011720C80,U,U,U,U,U,U,U,U,U,U,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_011720C85,U,U,U,U,U,U,U,U,U,U,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_011720C90,U,U,U,U,U,U,U,U,U,U,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
