Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
WIRE_122019P30,0:59.69,0:57.69,0:57.79,0:58.53:52706:0.0:0,0:58.6:60422:0.0:0,0:60.11:118551:0.0:0,0:59.77:72334:0.0:0,0:58.44:89923:0.0:0,0:58.56:97074:0.0:0,0:57.55:370198:0.0:0,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_122019P35,0:59.69,0:57.69,0:57.79,0:58.53:52706:0.0:0,0:58.6:60422:0.0:0,0:60.11:118551:0.0:0,0:59.77:72334:0.0:0,0:58.44:89923:0.0:0,0:58.56:97074:0.0:0,0:57.55:370198:0.0:0,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_122019P40,0:59.69,0:57.69,0:57.79,0:58.53:52706:0.0:0,0:58.6:60422:0.0:0,0:60.11:118551:0.0:0,0:59.77:72334:0.0:0,0:58.44:89923:0.0:0,0:58.56:97074:0.0:0,0:57.55:370198:0.0:0,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_122019P45,0:59.69,0:57.69,0:57.79,0:58.53:52706:0.0:0,0:58.6:60422:0.0:0,0:60.11:118551:0.0:0,0:59.77:72334:0.0:0,0:58.44:89923:0.0:0,0:58.56:97074:0.0:0,0:57.55:370198:0.0:0,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_122019P50,0:59.69,0:57.69,0:57.79,0:58.53:52706:0.0:0,0:58.6:60422:0.0:0,0:60.11:118551:0.0:0,0:59.77:72334:0.0:0,0:58.44:89923:0.0:0,0:58.56:97074:0.0:0,0:57.55:370198:0.0:0,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_122019P55,10:59.69,14:57.69,14:57.79,14:58.53:52706:0.75:0,14:58.6:60422:0.75:0,14:60.11:118551:0.75:0,14:59.77:72334:0.75:0,14:58.44:89923:0.65:2,14:58.56:97074:0.65:0,14:57.55:370198:0.8:1,15:56.96:64100:1.0:10,25:55.65:94361:1.0:0,25:56.12:83170:1.0:0,[25:56.01:30940:1.0:0
WIRE_122019P60,1:59.69,1:57.69,1:57.79,1:58.53:52706:3.5:0,1:58.6:60422:3.5:0,1:60.11:118551:3.5:0,1:59.77:72334:3.5:0,1:58.44:89923:3.5:0,1:58.56:97074:3.5:0,1:57.55:370198:3.5:0,1:56.96:64100:3.5:0,1:55.65:94361:3.5:0,1:56.12:83170:3.5:0,[1:56.01:30940:3.5:0
WIRE_122019P65,0:59.69,0:57.69,0:57.79,0:58.53:52706:0.0:0,0:58.6:60422:0.0:0,0:60.11:118551:0.0:0,0:59.77:72334:0.0:0,0:58.44:89923:0.0:0,0:58.56:97074:0.0:0,0:57.55:370198:0.0:0,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_122019P70,0:59.69,0:57.69,0:57.79,0:58.53:52706:0.0:0,0:58.6:60422:0.0:0,0:60.11:118551:0.0:0,0:59.77:72334:0.0:0,0:58.44:89923:0.0:0,0:58.56:97074:0.0:0,0:57.55:370198:0.0:0,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_122019P75,0:59.69,0:57.69,0:57.79,0:58.53:52706:0.0:0,0:58.6:60422:0.0:0,0:60.11:118551:0.0:0,0:59.77:72334:0.0:0,0:58.44:89923:0.0:0,0:58.56:97074:0.0:0,0:57.55:370198:0.0:0,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_122019P80,0:59.69,0:57.69,0:57.79,0:58.53:52706:0.0:0,0:58.6:60422:0.0:0,0:60.11:118551:0.0:0,0:59.77:72334:0.0:0,0:58.44:89923:0.0:0,0:58.56:97074:0.0:0,0:57.55:370198:0.0:0,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_122019P85,0:59.69,0:57.69,0:57.79,0:58.53:52706:0.0:0,0:58.6:60422:0.0:0,0:60.11:118551:0.0:0,0:59.77:72334:0.0:0,0:58.44:89923:0.0:0,0:58.56:97074:0.0:0,0:57.55:370198:0.0:0,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_011720P30,U,U,U,U,U,U,U,U,U,U,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_011720P35,U,U,U,U,U,U,U,U,U,U,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_011720P40,U,U,U,U,U,U,U,U,U,U,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_011720P45,U,U,U,U,U,U,U,U,U,U,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_011720P50,U,U,U,U,U,U,U,U,U,U,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_011720P55,U,U,U,U,U,U,U,U,U,U,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_011720P60,U,U,U,U,U,U,U,U,U,U,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
WIRE_011720P65,U,U,U,U,U,U,U,U,U,U,0:56.96:64100:0.0:0,0:55.65:94361:0.0:0,0:56.12:83170:0.0:0,[0:56.01:30940:0.0:0
