Symbol,20191028,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
WMT_112219C110,2:119.22,2:118.1,2:117.26,2.0,2:117.57,2:118.86,2:119.5,2:120.23:4440399:9.94:0,2:119.44:3805186:9.94:0,2:119.04:4414926:9.94:0,2:119.12:5029887:9.4:3,5:120.98:7935925:11.25:5,6:120.65:22500640:11.25:0,6:118.87:10121552:8.68:461,424:120.25:6549633:10.3:383,371:119.13:5025362:9.25:5,371:119.86:4302425:9.25:0,[367:119.36:3843083:9.4:11
WMT_112219C111,5:119.22,5:118.1,5:117.26,5.0,5:117.57,5:118.86,5:119.5,5:120.23:4440399:7.97:0,5:119.44:3805186:7.97:0,5:119.04:4414926:7.97:0,5:119.12:5029887:7.97:0,5:120.98:7935925:8.35:3,8:120.65:22500640:11.8:1,7:118.87:10121552:8.3:1,8:120.25:6549633:8.3:0,8:119.13:5025362:8.9:0,8:119.86:4302425:8.81:1,[7:119.36:3843083:8.5:1
WMT_112219C112,5:119.22,8:118.1,8:117.26,8.0,9:117.57,27:118.86,32:119.5,32:120.23:4440399:6.6:0,32:119.44:3805186:8.1:5,37:119.04:4414926:7.55:6,37:119.12:5029887:8.35:1,38:120.98:7935925:9.5:2,40:120.65:22500640:12.5:7,35:118.87:10121552:12.5:0,35:120.25:6549633:12.5:0,35:119.13:5025362:12.5:0,35:119.86:4302425:7.6:1,[35:119.36:3843083:7.6:0
WMT_112219C113,9:119.22,10:118.1,10:117.26,10.0,10:117.57,10:118.86,10:119.5,10:120.23:4440399:8.1:12,19:119.44:3805186:8.1:0,19:119.04:4414926:6.75:66,55:119.12:5029887:7.0:2,57:120.98:7935925:7.8:9,56:120.65:22500640:8.2:12,53:118.87:10121552:6.1:14,63:120.25:6549633:6.85:10,63:119.13:5025362:6.23:5,60:119.86:4302425:6.6:51,[85:119.36:3843083:6.35:50
WMT_112219C114,5:119.22,5:118.1,52:117.26,52.0,52:117.57,52:118.86,53:119.5,53:120.23:4440399:5.1:0,53:119.44:3805186:6.15:25,58:119.04:4414926:6.05:20,78:119.12:5029887:6.11:13,87:120.98:7935925:7.7:30,93:120.65:22500640:6.35:76,96:118.87:10121552:4.75:24,107:120.25:6549633:6.4:6,99:119.13:5025362:4.85:3,96:119.86:4302425:4.85:0,[91:119.36:3843083:5.35:13
WMT_112219C115,22:119.22,30:118.1,30:117.26,30.0,41:117.57,48:118.86,52:119.5,55:120.23:4440399:6.0:1,55:119.44:3805186:5.43:126,138:119.04:4414926:5.22:74,182:119.12:5029887:5.15:13,182:120.98:7935925:6.9:154,152:120.65:22500640:5.1:122,150:118.87:10121552:3.75:336,417:120.25:6549633:5.22:337,287:119.13:5025362:4.25:87,271:119.86:4302425:4.6:6,[270:119.36:3843083:4.58:23
WMT_112219C116,4:119.22,5:118.1,5:117.26,5.0,5:117.57,5:118.86,8:119.5,8:120.23:4440399:5.71:1,9:119.44:3805186:4.6:130,106:119.04:4414926:4.45:26,127:119.12:5029887:4.59:126,252:120.98:7935925:5.95:160,222:120.65:22500640:4.41:131,239:118.87:10121552:2.87:126,213:120.25:6549633:4.67:27,207:119.13:5025362:3.34:6,210:119.86:4302425:3.95:106,[303:119.36:3843083:3.55:105
WMT_112219C117,30:119.22,31:118.1,41:117.26,41.0,44:117.57,151:118.86,171:119.5,231:120.23:4440399:4.95:12,230:119.44:3805186:4.03:48,256:119.04:4414926:3.9:25,270:119.12:5029887:3.85:32,284:120.98:7935925:5.2:104,314:120.65:22500640:3.75:226,341:118.87:10121552:2.3:116,378:120.25:6549633:3.43:143,356:119.13:5025362:2.23:132,403:119.86:4302425:2.69:97,[364:119.36:3843083:2.35:54
WMT_112219C118,142:119.22,227:118.1,240:117.26,240.0,253:117.57,262:118.86,237:119.5,261:120.23:4440399:4.0:18,256:119.44:3805186:3.47:125,234:119.04:4414926:3.3:368,417:119.12:5029887:3.3:78,443:120.98:7935925:4.5:586,744:120.65:22500640:3.14:599,461:118.87:10121552:1.59:636,601:120.25:6549633:2.47:289,587:119.13:5025362:1.43:401,673:119.86:4302425:1.85:387,[572:119.36:3843083:1.35:188
WMT_112219C119,36:119.22,317:118.1,331:117.26,331.0,107:117.57,162:118.86,179:119.5,184:120.23:4440399:3.42:93,151:119.44:3805186:2.87:229,292:119.04:4414926:2.77:761,664:119.12:5029887:2.79:392,734:120.98:7935925:3.82:669,867:120.65:22500640:2.4:929,997:118.87:10121552:1.05:1580,1374:120.25:6549633:1.71:951,1321:119.13:5025362:0.85:1626,1564:119.86:4302425:1.1:1355,[1201:119.36:3843083:0.37:766
WMT_112219C120,246:119.22,453:118.1,461:117.26,461.0,319:117.57,312:118.86,333:119.5,508:120.23:4440399:2.84:235,478:119.44:3805186:2.38:187,574:119.04:4414926:2.3:1158,1240:119.12:5029887:2.29:589,1333:120.98:7935925:3.25:1550,1725:120.65:22500640:1.77:8426,3767:118.87:10121552:0.66:6170,3543:120.25:6549633:1.13:7897,3958:119.13:5025362:0.42:3561,3653:119.86:4302425:0.39:2323,[3652:119.36:3843083:0.01:1882
WMT_112219C121,111:119.22,123:118.1,130:117.26,130.0,130:117.57,136:118.86,162:119.5,190:120.23:4440399:2.3:173,279:119.44:3805186:1.88:117,292:119.04:4414926:1.87:459,656:119.12:5029887:1.86:367,855:120.98:7935925:2.69:1381,1239:120.65:22500640:1.23:6050,2486:118.87:10121552:0.39:2768,3386:120.25:6549633:0.69:4992,3004:119.13:5025362:0.17:1977,3068:119.86:4302425:0.1:1685,[2628:119.36:3843083:0.01:470
WMT_112219C122,429:119.22,439:118.1,434:117.26,434.0,434:117.57,455:118.86,456:119.5,460:120.23:4440399:1.85:29,464:119.44:3805186:1.51:146,468:119.04:4414926:1.5:373,591:119.12:5029887:1.49:324,725:120.98:7935925:2.2:1011,1153:120.65:22500640:0.82:5813,2775:118.87:10121552:0.22:2964,3340:120.25:6549633:0.37:3191,2495:119.13:5025362:0.06:979,2305:119.86:4302425:0.01:435,[2134:119.36:3843083:0.01:90
WMT_112219C123,196:119.22,200:118.1,198:117.26,198.0,198:117.57,197:118.86,195:119.5,195:120.23:4440399:1.48:27,216:119.44:3805186:1.16:121,223:119.04:4414926:1.23:527,529:119.12:5029887:1.17:164,613:120.98:7935925:1.77:906,968:120.65:22500640:0.52:6692,2733:118.87:10121552:0.14:3615,4323:120.25:6549633:0.2:3334,3829:119.13:5025362:0.03:1578,3764:119.86:4302425:0.05:512,[3441:119.36:3843083:0.01:93
WMT_112219C124,106:119.22,142:118.1,145:117.26,145.0,145:117.57,145:118.86,235:119.5,217:120.23:4440399:1.25:33,226:119.44:3805186:0.89:42,234:119.04:4414926:0.92:453,535:119.12:5029887:0.87:348,617:120.98:7935925:1.41:1015,933:120.65:22500640:0.33:4491,2333:118.87:10121552:0.09:2152,2643:120.25:6549633:0.1:1840,2287:119.13:5025362:0.01:173,2179:119.86:4302425:0.01:24,[2164:119.36:3843083:0.01:94
WMT_112219C125,326:119.22,346:118.1,346:117.26,346.0,346:117.57,332:118.86,332:119.5,356:120.23:4440399:0.9:28,354:119.44:3805186:0.65:105,426:119.04:4414926:0.74:568,587:119.12:5029887:0.72:488,768:120.98:7935925:1.1:1527,1264:120.65:22500640:0.2:5618,3193:118.87:10121552:0.05:2712,3836:120.25:6549633:0.05:3077,4410:119.13:5025362:0.01:281,4291:119.86:4302425:0.01:6,[4285:119.36:3843083:0.01:27
WMT_112219C126,7:119.22,16:118.1,20:117.26,20.0,20:117.57,21:118.86,23:119.5,32:120.23:4440399:0.73:18,40:119.44:3805186:0.49:38,73:119.04:4414926:0.56:367,363:119.12:5029887:0.53:390,584:120.98:7935925:0.84:871,1059:120.65:22500640:0.12:2001,1417:118.87:10121552:0.05:1545,1984:120.25:6549633:0.03:357,1844:119.13:5025362:0.01:103,1841:119.86:4302425:0.01:2,[1840:119.36:3843083:0.01:1
WMT_112219C127,31:119.22,33:118.1,39:117.26,39.0,39:117.57,39:118.86,41:119.5,44:120.23:4440399:0.5:5,46:119.44:3805186:0.33:26,58:119.04:4414926:0.42:626,481:119.12:5029887:0.37:324,681:120.98:7935925:0.63:1336,1600:120.65:22500640:0.08:1724,1449:118.87:10121552:0.03:477,1479:120.25:6549633:0.01:190,1575:119.13:5025362:0.01:2,1573:119.86:4302425:0.01:0,[1573:119.36:3843083:0.01:36
WMT_112219C128,45:119.22,45:118.1,45:117.26,45.0,45:117.57,47:118.86,48:119.5,48:120.23:4440399:0.37:12,56:119.44:3805186:0.24:60,114:119.04:4414926:0.32:8631,3548:119.12:5029887:0.32:1492,3880:120.98:7935925:0.47:2283,3421:120.65:22500640:0.05:2002,3380:118.87:10121552:0.03:309,3382:120.25:6549633:0.01:284,3263:119.13:5025362:0.01:4,3262:119.86:4302425:0.01:0,[3262:119.36:3843083:0.01:5
WMT_112219C129,16:119.22,16:118.1,20:117.26,20.0,20:117.57,29:118.86,27:119.5,47:120.23:4440399:0.26:8,55:119.44:3805186:0.16:19,72:119.04:4414926:0.23:436,335:119.12:5029887:0.23:436,652:120.98:7935925:0.34:878,712:120.65:22500640:0.03:643,823:118.87:10121552:0.02:19,811:120.25:6549633:0.01:22,809:119.13:5025362:0.01:0,809:119.86:4302425:0.01:0,[809:119.36:3843083:0.01:0
WMT_112919C110,0:119.22,0:118.1,0:117.26,0.0,0:117.57,0:118.86,0:119.5,0:120.23:4440399:9.85:0,0:119.44:3805186:9.85:0,0:119.04:4414926:9.85:0,0:119.12:5029887:9.85:0,0:120.98:7935925:9.85:0,0:120.65:22500640:9.85:0,0:118.87:10121552:9.85:0,0:120.25:6549633:9.85:0,0:119.13:5025362:9.3:31,5:119.86:4302425:9.3:0,[5:119.36:3843083:9.3:0
WMT_112919C111,10:119.22,10:118.1,10:117.26,10.0,10:117.57,10:118.86,10:119.5,10:120.23:4440399:10.45:0,10:119.44:3805186:10.45:0,10:119.04:4414926:10.45:0,10:119.12:5029887:10.45:0,10:120.98:7935925:8.4:1,11:120.65:22500640:10.8:17,28:118.87:10121552:10.8:0,28:120.25:6549633:10.8:0,28:119.13:5025362:8.95:0,28:119.86:4302425:8.95:0,[28:119.36:3843083:8.65:1
WMT_112919C112,14:119.22,14:118.1,14:117.26,14.0,14:117.57,20:118.86,20:119.5,20:120.23:4440399:7.0:0,20:119.44:3805186:7.0:0,20:119.04:4414926:7.8:13,29:119.12:5029887:8.1:2,31:120.98:7935925:9.71:3,34:120.65:22500640:11.85:10,24:118.87:10121552:11.85:0,24:120.25:6549633:11.85:0,24:119.13:5025362:8.0:0,24:119.86:4302425:8.0:0,[24:119.36:3843083:8.0:0
WMT_112919C113,0:119.22,0:118.1,0:117.26,0.0,0:117.57,1:118.86,1:119.5,1:120.23:4440399:6.52:0,1:119.44:3805186:6.95:19,20:119.04:4414926:7.0:112,124:119.12:5029887:7.25:1,125:120.98:7935925:8.25:1,126:120.65:22500640:10.58:1,126:118.87:10121552:5.81:1,127:120.25:6549633:5.81:0,127:119.13:5025362:5.75:3,130:119.86:4302425:5.75:0,[130:119.36:3843083:5.75:0
WMT_112919C114,2:119.22,2:118.1,2:117.26,2.0,2:117.57,2:118.86,2:119.5,2:120.23:4440399:6.14:0,2:119.44:3805186:6.14:0,2:119.04:4414926:6.0:33,35:119.12:5029887:6.0:0,35:120.98:7935925:6.0:0,35:120.65:22500640:6.0:0,35:118.87:10121552:5.4:1,36:120.25:6549633:6.59:1,35:119.13:5025362:6.3:0,35:119.86:4302425:5.7:8,[35:119.36:3843083:5.7:12
WMT_112919C115,11:119.22,12:118.1,27:117.26,27.0,27:117.57,27:118.86,28:119.5,28:120.23:4440399:5.45:0,28:119.44:3805186:5.6:232,249:119.04:4414926:5.4:29,273:119.12:5029887:5.5:20,293:120.98:7935925:7.1:5,298:120.65:22500640:5.25:19,298:118.87:10121552:4.05:21,314:120.25:6549633:5.8:6,317:119.13:5025362:4.3:5,318:119.86:4302425:4.75:27,[307:119.36:3843083:4.5:21
WMT_112919C116,6:119.22,9:118.1,13:117.26,13.0,16:117.57,18:118.86,28:119.5,28:120.23:4440399:5.51:2,28:119.44:3805186:4.85:23,51:119.04:4414926:4.6:41,92:119.12:5029887:4.65:20,108:120.98:7935925:5.75:22,129:120.65:22500640:4.6:8,128:118.87:10121552:3.09:18,145:120.25:6549633:4.77:60,150:119.13:5025362:3.35:55,187:119.86:4302425:3.75:72,[188:119.36:3843083:3.7:12
WMT_112919C117,22:119.22,44:118.1,59:117.26,59.0,67:117.57,164:118.86,144:119.5,144:120.23:4440399:5.1:11,137:119.44:3805186:4.0:208,208:119.04:4414926:3.95:43,245:119.12:5029887:3.92:7,247:120.98:7935925:5.25:123,282:120.65:22500640:4.05:226,290:118.87:10121552:2.38:112,342:120.25:6549633:3.6:44,343:119.13:5025362:2.55:96,347:119.86:4302425:2.58:213,[397:119.36:3843083:2.6:24
WMT_112919C118,16:119.22,50:118.1,62:117.26,62.0,119:117.57,107:118.86,106:119.5,99:120.23:4440399:4.2:17,95:119.44:3805186:3.45:62,146:119.04:4414926:3.5:57,182:119.12:5029887:3.3:44,212:120.98:7935925:4.65:73,242:120.65:22500640:3.51:82,222:118.87:10121552:1.75:120,261:120.25:6549633:2.76:107,227:119.13:5025362:1.9:339,300:119.86:4302425:2.05:129,[326:119.36:3843083:1.65:205
WMT_112919C119,20:119.22,84:118.1,193:117.26,193.0,169:117.57,377:118.86,380:119.5,380:120.23:4440399:3.5:21,373:119.44:3805186:3.0:308,389:119.04:4414926:2.92:207,488:119.12:5029887:2.9:183,526:120.98:7935925:3.9:336,571:120.65:22500640:2.69:454,626:118.87:10121552:1.38:834,939:120.25:6549633:1.96:592,754:119.13:5025362:1.24:1158,1114:119.86:4302425:1.52:5848,[1807:119.36:3843083:0.98:753
WMT_112919C120,33:119.22,61:118.1,97:117.26,97.0,107:117.57,107:118.86,1532:119.5,1521:120.23:4440399:2.92:1163,592:119.44:3805186:2.44:254,604:119.04:4414926:2.32:231,670:119.12:5029887:2.37:291,816:120.98:7935925:3.3:601,905:120.65:22500640:2.08:2028,2113:118.87:10121552:0.93:1765,2993:120.25:6549633:1.4:2763,2792:119.13:5025362:0.81:1848,3223:119.86:4302425:0.98:1794,[3498:119.36:3843083:0.5:1857
WMT_112919C121,82:119.22,104:118.1,114:117.26,114.0,114:117.57,119:118.86,119:119.5,127:120.23:4440399:2.62:51,164:119.44:3805186:1.88:86,207:119.04:4414926:1.98:114,223:119.12:5029887:1.87:47,252:120.98:7935925:2.83:385,392:120.65:22500640:1.5:1395,1041:118.87:10121552:0.63:1498,2038:120.25:6549633:0.99:1306,1909:119.13:5025362:0.44:1054,2209:119.86:4302425:0.57:1673,[1965:119.36:3843083:0.23:939
WMT_112919C122,148:119.22,160:118.1,189:117.26,189.0,190:117.57,244:118.86,252:119.5,309:120.23:4440399:2.03:27,322:119.44:3805186:1.62:92,263:119.04:4414926:1.62:86,289:119.12:5029887:1.59:103,333:120.98:7935925:2.33:116,383:120.65:22500640:1.07:873,845:118.87:10121552:0.38:939,1280:120.25:6549633:0.59:386,1193:119.13:5025362:0.25:692,1417:119.86:4302425:0.27:705,[1371:119.36:3843083:0.11:627
WMT_112919C123,125:119.22,128:118.1,131:117.26,131.0,136:117.57,159:118.86,180:119.5,217:120.23:4440399:1.72:8,225:119.44:3805186:1.21:43,199:119.04:4414926:1.29:43,227:119.12:5029887:1.26:45,241:120.98:7935925:1.93:604,516:120.65:22500640:0.73:1106,1087:118.87:10121552:0.24:891,1451:120.25:6549633:0.35:472,1637:119.13:5025362:0.14:540,1876:119.86:4302425:0.1:855,[1512:119.36:3843083:0.06:128
WMT_112919C124,20:119.22,25:118.1,28:117.26,28.0,30:117.57,33:118.86,85:119.5,101:120.23:4440399:1.29:149,130:119.44:3805186:0.9:70,130:119.04:4414926:0.98:39,151:119.12:5029887:0.95:20,168:120.98:7935925:1.51:158,236:120.65:22500640:0.5:1745,1197:118.87:10121552:0.17:823,1313:120.25:6549633:0.23:306,1240:119.13:5025362:0.08:438,1226:119.86:4302425:0.05:304,[1235:119.36:3843083:0.04:49
