Symbol,20191028,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
WMT_112219P110,121:119.22,145:118.1,163:117.26,163.0,212:117.57,221:118.86,228:119.5,228:120.23:4440399:0.23:2,228:119.44:3805186:0.32:72,245:119.04:4414926:0.34:111,296:119.12:5029887:0.32:271,477:120.98:7935925:0.17:759,876:120.65:22500640:0.03:129,848:118.87:10121552:0.04:63,865:120.25:6549633:0.01:28,871:119.13:5025362:0.01:10,872:119.86:4302425:0.01:0,[872:119.36:3843083:0.01:2
WMT_112219P111,71:119.22,75:118.1,75:117.26,75.0,75:117.57,80:118.86,124:119.5,141:120.23:4440399:0.3:7,148:119.44:3805186:0.42:2,148:119.04:4414926:0.42:31,172:119.12:5029887:0.42:67,215:120.98:7935925:0.22:311,317:120.65:22500640:0.05:232,281:118.87:10121552:0.03:3,281:120.25:6549633:0.03:0,281:119.13:5025362:0.01:4,281:119.86:4302425:0.01:5,[285:119.36:3843083:0.01:0
WMT_112219P112,40:119.22,95:118.1,109:117.26,109.0,115:117.57,124:118.86,123:119.5,124:120.23:4440399:0.44:9,132:119.44:3805186:0.51:88,200:119.04:4414926:0.55:334,479:119.12:5029887:0.54:40,501:120.98:7935925:0.29:316,640:120.65:22500640:0.03:170,585:118.87:10121552:0.06:40,588:120.25:6549633:0.03:7,582:119.13:5025362:0.01:1,582:119.86:4302425:0.01:0,[582:119.36:3843083:0.01:2
WMT_112219P113,31:119.22,134:118.1,297:117.26,297.0,299:117.57,309:118.86,311:119.5,315:120.23:4440399:0.46:13,317:119.44:3805186:0.69:26,337:119.04:4414926:0.72:86,378:119.12:5029887:0.72:50,389:120.98:7935925:0.38:1151,1235:120.65:22500640:0.06:686,742:118.87:10121552:0.05:117,728:120.25:6549633:0.02:39,750:119.13:5025362:0.01:20,744:119.86:4302425:0.01:0,[744:119.36:3843083:0.04:10
WMT_112219P114,64:119.22,168:118.1,168:117.26,168.0,168:117.57,173:118.86,173:119.5,177:120.23:4440399:0.66:28,170:119.44:3805186:0.8:149,272:119.04:4414926:0.95:390,528:119.12:5029887:0.9:282,737:120.98:7935925:0.52:338,910:120.65:22500640:0.08:441,797:118.87:10121552:0.09:100,805:120.25:6549633:0.03:366,741:119.13:5025362:0.02:14,727:119.86:4302425:0.01:36,[718:119.36:3843083:0.01:5
WMT_112219P115,99:119.22,169:118.1,170:117.26,170.0,166:117.57,181:118.86,184:119.5,175:120.23:4440399:0.87:123,261:119.44:3805186:1.05:68,286:119.04:4414926:1.18:442,626:119.12:5029887:1.12:3403,2927:120.98:7935925:0.64:886,3252:120.65:22500640:0.13:1184,3347:118.87:10121552:0.15:3111,1747:120.25:6549633:0.05:410,1721:119.13:5025362:0.03:128,1712:119.86:4302425:0.01:44,[1713:119.36:3843083:0.01:37
WMT_112219P116,40:119.22,57:118.1,78:117.26,78.0,69:117.57,83:118.86,88:119.5,79:120.23:4440399:1.14:77,134:119.44:3805186:1.41:98,121:119.04:4414926:1.51:55,149:119.12:5029887:1.42:141,219:120.98:7935925:0.86:234,276:120.65:22500640:0.25:535,340:118.87:10121552:0.22:335,470:120.25:6549633:0.08:580,724:119.13:5025362:0.07:156,751:119.86:4302425:0.01:122,[734:119.36:3843083:0.02:19
WMT_112219P117,106:119.22,224:118.1,234:117.26,234.0,259:117.57,270:118.86,295:119.5,290:120.23:4440399:1.43:32,300:119.44:3805186:1.68:61,312:119.04:4414926:1.88:81,346:119.12:5029887:1.73:48,354:120.98:7935925:1.12:305,473:120.65:22500640:0.29:1032,967:118.87:10121552:0.41:1897,1028:120.25:6549633:0.16:462,1419:119.13:5025362:0.14:287,1536:119.86:4302425:0.03:299,[1487:119.36:3843083:0.02:147
WMT_112219P118,82:119.22,81:118.1,93:117.26,93.0,96:117.57,95:118.86,123:119.5,127:120.23:4440399:1.8:39,153:119.44:3805186:2.01:49,145:119.04:4414926:2.27:206,305:119.12:5029887:2.19:106,337:120.98:7935925:1.38:418,519:120.65:22500640:0.47:614,594:118.87:10121552:0.72:1334,1124:120.25:6549633:0.33:550,1967:119.13:5025362:0.31:579,2065:119.86:4302425:0.04:837,[1926:119.36:3843083:0.02:314
WMT_112219P119,91:119.22,118:118.1,119:117.26,119.0,121:117.57,124:118.86,135:119.5,154:120.23:4440399:2.05:57,191:119.44:3805186:2.46:102,209:119.04:4414926:2.71:214,306:119.12:5029887:2.64:115,356:120.98:7935925:1.77:353,514:120.65:22500640:0.73:933,685:118.87:10121552:1.18:1251,1105:120.25:6549633:0.54:1346,2083:119.13:5025362:0.62:1155,1872:119.86:4302425:0.12:467,[1889:119.36:3843083:0.01:437
WMT_112219P120,89:119.22,79:118.1,78:117.26,78.0,78:117.57,77:118.86,77:119.5,77:120.23:4440399:2.61:86,135:119.44:3805186:2.99:117,107:119.04:4414926:3.13:27,119:119.12:5029887:3.2:93,167:120.98:7935925:2.14:669,674:120.65:22500640:1.08:4971,2024:118.87:10121552:1.8:1508,2315:120.25:6549633:0.93:1070,2274:119.13:5025362:1.23:529,2152:119.86:4302425:0.53:518,[2039:119.36:3843083:0.65:678
WMT_112219P121,3:119.22,3:118.1,3:117.26,3.0,3:117.57,5:118.86,5:119.5,7:120.23:4440399:3.1:98,66:119.44:3805186:3.7:18,68:119.04:4414926:3.99:5,68:119.12:5029887:3.8:6,69:120.98:7935925:2.56:265,224:120.65:22500640:1.59:1353,471:118.87:10121552:2.63:346,467:120.25:6549633:1.42:470,666:119.13:5025362:2.14:190,614:119.86:4302425:1.17:64,[580:119.36:3843083:1.63:110
WMT_112219P122,0:119.22,2:118.1,2:117.26,2.0,2:117.57,2:118.86,6:119.5,7:120.23:4440399:3.65:5,11:119.44:3805186:3.9:20,28:119.04:4414926:4.45:23,45:119.12:5029887:4.4:5,47:120.98:7935925:3.15:42,74:120.65:22500640:2.15:875,338:118.87:10121552:3.75:167,292:120.25:6549633:2.18:190,377:119.13:5025362:3.45:75,358:119.86:4302425:2.42:142,[294:119.36:3843083:2.56:62
WMT_112219P123,1:119.22,9:118.1,9:117.26,9.0,11:117.57,11:118.86,11:119.5,11:120.23:4440399:3.85:2,13:119.44:3805186:5.0:4,16:119.04:4414926:5.35:42,38:119.12:5029887:5.1:35,65:120.98:7935925:3.66:54,108:120.65:22500640:2.82:859,307:118.87:10121552:4.43:73,289:120.25:6549633:2.8:23,279:119.13:5025362:4.03:23,150:119.86:4302425:4.03:0,[82:119.36:3843083:3.65:14
WMT_112219P124,0:119.22,0:118.1,0:117.26,0.0,0:117.57,0:118.86,0:119.5,1:120.23:4440399:4.65:1,1:119.44:3805186:4.65:0,1:119.04:4414926:4.65:0,1:119.12:5029887:5.55:5,6:120.98:7935925:4.31:9,7:120.65:22500640:3.61:1512,267:118.87:10121552:4.7:34,266:120.25:6549633:3.58:9,273:119.13:5025362:4.0:0,142:119.86:4302425:4.0:0,[50:119.36:3843083:4.0:0
WMT_112219P125,10:119.22,10:118.1,10:117.26,10.0,10:117.57,10:118.86,10:119.5,10:120.23:4440399:6.3:0,10:119.44:3805186:6.52:9,14:119.04:4414926:6.52:0,14:119.12:5029887:6.42:4,12:120.98:7935925:4.98:29,28:120.65:22500640:4.45:203,106:118.87:10121552:4.45:0,106:120.25:6549633:4.5:56,117:119.13:5025362:5.05:0,8:119.86:4302425:6.03:1,[7:119.36:3843083:6.03:0
WMT_112219P126,4:119.22,4:118.1,4:117.26,4.0,4:117.57,4:118.86,4:119.5,4:120.23:4440399:6.75:0,4:119.44:3805186:6.75:0,4:119.04:4414926:6.75:0,4:119.12:5029887:6.75:0,4:120.98:7935925:6.18:2,4:120.65:22500640:5.35:108,36:118.87:10121552:6.6:10,38:120.25:6549633:6.6:0,16:119.13:5025362:6.6:0,11:119.86:4302425:7.05:1,[11:119.36:3843083:7.05:0
WMT_112219P127,46:119.22,46:118.1,46:117.26,46.0,46:117.57,46:118.86,46:119.5,46:120.23:4440399:10.35:0,46:119.44:3805186:10.35:0,46:119.04:4414926:8.52:1,46:119.12:5029887:8.52:0,46:120.98:7935925:6.52:4,47:120.65:22500640:6.53:4,46:118.87:10121552:6.53:0,46:120.25:6549633:6.53:0,1:119.13:5025362:6.53:0,0:119.86:4302425:6.53:0,[0:119.36:3843083:6.53:0
WMT_112219P128,0:119.22,0:118.1,0:117.26,0.0,0:117.57,0:118.86,0:119.5,0:120.23:4440399:0.0:0,0:119.44:3805186:7.9:10,10:119.04:4414926:7.9:0,10:119.12:5029887:7.9:0,10:120.98:7935925:7.9:0,10:120.65:22500640:7.9:0,10:118.87:10121552:7.9:0,10:120.25:6549633:7.9:0,10:119.13:5025362:7.9:0,0:119.86:4302425:7.9:0,[0:119.36:3843083:7.9:0
WMT_112219P129,2:119.22,2:118.1,2:117.26,2.0,2:117.57,2:118.86,2:119.5,2:120.23:4440399:11.2:0,2:119.44:3805186:11.2:0,2:119.04:4414926:10.33:1,3:119.12:5029887:10.33:0,3:120.98:7935925:10.33:0,3:120.65:22500640:10.33:0,3:118.87:10121552:10.33:0,3:120.25:6549633:10.33:0,0:119.13:5025362:10.33:0,0:119.86:4302425:10.33:0,[0:119.36:3843083:10.33:0
WMT_112919P110,16:119.22,24:118.1,24:117.26,24.0,29:117.57,34:118.86,201:119.5,206:120.23:4440399:0.28:12,214:119.44:3805186:0.38:31,209:119.04:4414926:0.45:8,208:119.12:5029887:0.43:7,212:120.98:7935925:0.28:53,230:120.65:22500640:0.08:60,203:118.87:10121552:0.04:9,200:120.25:6549633:0.03:3,200:119.13:5025362:0.01:21,215:119.86:4302425:0.01:1,[214:119.36:3843083:0.02:10
WMT_112919P111,6:119.22,20:118.1,32:117.26,32.0,36:117.57,138:118.86,170:119.5,177:120.23:4440399:0.39:21,198:119.44:3805186:0.48:2,197:119.04:4414926:0.54:21,183:119.12:5029887:0.49:9,178:120.98:7935925:0.34:17,171:120.65:22500640:0.1:13,166:118.87:10121552:0.1:0,166:120.25:6549633:0.04:2,166:119.13:5025362:0.02:1,167:119.86:4302425:0.02:0,[167:119.36:3843083:0.02:0
WMT_112919P112,13:119.22,16:118.1,24:117.26,24.0,24:117.57,24:118.86,24:119.5,23:120.23:4440399:0.45:3,23:119.44:3805186:0.45:0,23:119.04:4414926:0.69:8,25:119.12:5029887:0.68:11,28:120.98:7935925:0.41:736,562:120.65:22500640:0.1:625,415:118.87:10121552:0.09:15,417:120.25:6549633:0.03:5,417:119.13:5025362:0.04:153,468:119.86:4302425:0.03:3,[468:119.36:3843083:0.03:12
WMT_112919P113,23:119.22,35:118.1,344:117.26,344.0,347:117.57,375:118.86,380:119.5,382:120.23:4440399:0.63:40,406:119.44:3805186:0.63:0,406:119.04:4414926:0.88:13,406:119.12:5029887:0.82:11,405:120.98:7935925:0.54:113,444:120.65:22500640:0.19:80,401:118.87:10121552:0.13:13,399:120.25:6549633:0.04:87,430:119.13:5025362:0.07:30,431:119.86:4302425:0.03:43,[457:119.36:3843083:0.02:1
WMT_112919P114,29:119.22,52:118.1,79:117.26,79.0,80:117.57,85:118.86,78:119.5,74:120.23:4440399:0.7:33,90:119.44:3805186:0.98:529,597:119.04:4414926:1.08:42,625:119.12:5029887:1.01:4,625:120.98:7935925:0.69:331,864:120.65:22500640:0.27:432,820:118.87:10121552:0.17:9,825:120.25:6549633:0.08:6,826:119.13:5025362:0.07:30,845:119.86:4302425:0.05:3,[846:119.36:3843083:0.01:17
WMT_112919P115,49:119.22,63:118.1,171:117.26,171.0,172:117.57,181:118.86,176:119.5,183:120.23:4440399:0.9:4,183:119.44:3805186:1.18:103,261:119.04:4414926:1.34:154,297:119.12:5029887:1.3:24,291:120.98:7935925:0.81:70,315:120.65:22500640:0.27:245,401:118.87:10121552:0.33:110,419:120.25:6549633:0.13:8,431:119.13:5025362:0.14:195,525:119.86:4302425:0.09:138,[494:119.36:3843083:0.03:64
WMT_112919P116,115:119.22,221:118.1,221:117.26,221.0,224:117.57,234:118.86,235:119.5,233:120.23:4440399:1.1:1,234:119.44:3805186:1.37:5,234:119.04:4414926:1.59:28,236:119.12:5029887:1.54:14,239:120.98:7935925:1.01:72,257:120.65:22500640:0.5:520,663:118.87:10121552:0.42:498,386:120.25:6549633:0.22:108,389:119.13:5025362:0.21:51,394:119.86:4302425:0.11:102,[374:119.36:3843083:0.06:59
WMT_112919P117,33:119.22,51:118.1,60:117.26,60.0,60:117.57,62:118.86,70:119.5,68:120.23:4440399:1.56:16,80:119.44:3805186:1.87:23,101:119.04:4414926:2.06:112,183:119.12:5029887:1.88:19,188:120.98:7935925:1.23:71,199:120.65:22500640:0.71:124,196:118.87:10121552:0.65:539,542:120.25:6549633:0.33:112,748:119.13:5025362:0.41:182,820:119.86:4302425:0.2:236,[846:119.36:3843083:0.14:131
WMT_112919P118,62:119.22,97:118.1,107:117.26,107.0,117:117.57,119:118.86,140:119.5,141:120.23:4440399:1.78:13,148:119.44:3805186:2.15:28,156:119.04:4414926:2.42:88,220:119.12:5029887:2.24:18,229:120.98:7935925:1.54:61,250:120.65:22500640:0.71:369,355:118.87:10121552:1.01:504,556:120.25:6549633:0.53:443,810:119.13:5025362:0.67:341,864:119.86:4302425:0.38:196,[928:119.36:3843083:0.29:221
