Symbol,20191028,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
ZEN_122019C40,0:66.68,0:69.44,0:70.65,0.0,0:71.96,0:70.71,0:70.32,0:69.84:932779:0.0:0,0:70.83:872355:0.0:0,0:72.31:1228322:0.0:0,0:73.51:1572571:0.0:0,0:73.87:1000566:0.0:0,0:74.07:1416288:0.0:0,0:75.44:1409401:0.0:0,0:77.21:2269205:0.0:0,0:78.03:1834183:0.0:0,0:0:0:0.0:0,0:78.9:1509571:0.0:0
ZEN_122019C45,0:66.68,0:69.44,0:70.65,0.0,0:71.96,0:70.71,0:70.32,0:69.84:932779:0.0:0,0:70.83:872355:0.0:0,0:72.31:1228322:0.0:0,0:73.51:1572571:0.0:0,0:73.87:1000566:0.0:0,0:74.07:1416288:0.0:0,U:75.44:1409401::,0:77.21:2269205:0.0:0,0:78.03:1834183:0.0:0,0:0:0:0.0:0,0:78.9:1509571:0.0:0
ZEN_122019C50,11:66.68,11:69.44,11:70.65,11.0,7:71.96,7:70.71,7:70.32,7:69.84:932779:22.5:0,7:70.83:872355:22.5:0,7:72.31:1228322:22.5:0,7:73.51:1572571:22.5:0,7:73.87:1000566:22.5:0,7:74.07:1416288:22.5:0,7:75.44:1409401:22.5:0,7:77.21:2269205:22.5:0,7:78.03:1834183:22.5:0,7:0:0:22.5:0,[7:78.9:1509571:22.5:0
ZEN_122019C55,1:66.68,1:69.44,1:70.65,1.0,1:71.96,1:70.71,1:70.32,1:69.84:932779:10.85:0,1:70.83:872355:10.85:0,1:72.31:1228322:10.85:0,1:73.51:1572571:10.85:0,1:73.87:1000566:10.85:0,1:74.07:1416288:10.85:0,1:75.44:1409401:10.85:0,1:77.21:2269205:10.85:0,1:78.03:1834183:10.85:0,U:0:0:U:U,[1:78.9:1509571:10.85:0
ZEN_122019C60,20:66.68,23:69.44,23:70.65,23.0,23:71.96,22:70.71,22:70.32,23:69.84:932779:11.53:0,23:70.83:872355:11.53:0,23:72.31:1228322:11.53:0,23:73.51:1572571:11.53:0,23:73.87:1000566:11.53:0,23:74.07:1416288:11.53:0,23:75.44:1409401:11.53:0,23:77.21:2269205:11.53:0,23:78.03:1834183:11.53:0,U:0:0:U:U,[23:78.9:1509571:11.53:0
ZEN_122019C62.5,15:66.68,16:69.44,16:70.65,16.0,16:71.96,16:70.71,16:70.32,16:69.84:932779:7.53:0,16:70.83:872355:7.53:0,16:72.31:1228322:7.53:0,16:73.51:1572571:7.53:0,16:73.87:1000566:7.53:0,16:74.07:1416288:7.53:0,16:75.44:1409401:7.53:0,16:77.21:2269205:13.31:1,15:78.03:1834183:13.31:0,15:0:0:13.31:0,[15:78.9:1509571:13.31:0
ZEN_122019C65,52:66.68,78:69.44,74:70.65,74.0,72:71.96,72:70.71,72:70.32,72:69.84:932779:8.0:0,72:70.83:872355:8.0:0,72:72.31:1228322:8.0:0,72:73.51:1572571:8.0:0,72:73.87:1000566:8.0:0,72:74.07:1416288:8.0:0,72:75.44:1409401:10.98:1,71:77.21:2269205:10.98:0,81:78.03:1834183:12.4:0,81:0:0:12.4:0,[81:78.9:1509571:12.4:0
ZEN_122019C67.5,21:66.68,763:69.44,880:70.65,880.0,880:71.96,873:70.71,823:70.32,836:69.84:932779:5.2:0,836:70.83:872355:5.03:4,836:72.31:1228322:5.03:0,836:73.51:1572571:7.4:3,836:73.87:1000566:7.4:0,836:74.07:1416288:7.4:0,836:75.44:1409401:7.8:1,836:77.21:2269205:8.69:3,834:78.03:1834183:8.69:0,834:0:0:8.69:0,[834:78.9:1509571:8.69:0
ZEN_122019C70,3568:66.68,3596:69.44,3782:70.65,3782.0,3793:71.96,3784:70.71,3784:70.32,3783:69.84:932779:4.3:29,3790:70.83:872355:4.2:9,3789:72.31:1228322:4.6:10,3799:73.51:1572571:5.45:11,3801:73.87:1000566:5.45:0,3801:74.07:1416288:5.57:21,3787:75.44:1409401:7.0:12,3779:77.21:2269205:7.91:2,3779:78.03:1834183:9.38:5,3776:0:0:9.38:0,[3776:78.9:1509571:9.59:3
ZEN_122019C72.5,178:66.68,180:69.44,162:70.65,162.0,163:71.96,163:70.71,165:70.32,152:69.84:932779:2.55:37,152:70.83:872355:2.9:18,166:72.31:1228322:3.59:29,174:73.51:1572571:4.07:11,171:73.87:1000566:4.2:23,192:74.07:1416288:4.7:8,200:75.44:1409401:4.96:23,209:77.21:2269205:6.1:10,211:78.03:1834183:6.7:6,210:0:0:7.76:10,[200:78.9:1509571:7.4:1
