Symbol,20191028,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
Z_112219C30,0:34.97,0:33.18,0:32.57,0.0,0:33.98,0:33.36,0:33.63,0:33.44:6088502:0.0:0,0:37.55:10239798:0.0:0,0:38.63:3930412:0.0:0,0:37.83:3640661:0.0:0,0:38.15:2289076:0.0:0,0:38.955:2553204:0.0:0,0:39.68:2290778:0.0:0,0:39.95:1817379:0.0:0,0:38.88:2713073:0.0:0,0:0:0:0.0:0,0:41.1:3686223:0.0:0
Z_112219C30.5,0:34.97,0:33.18,0:32.57,0.0,0:33.98,0:33.36,0:33.63,0:33.44:6088502:0.0:0,0:37.55:10239798:0.0:0,0:38.63:3930412:0.0:0,0:37.83:3640661:0.0:0,0:38.15:2289076:0.0:0,0:38.955:2553204:0.0:0,0:39.68:2290778:0.0:0,0:39.95:1817379:0.0:0,0:38.88:2713073:0.0:0,0:0:0:0.0:0,0:41.1:3686223:0.0:0
Z_112219C31,8:34.97,8:33.18,8:32.57,8.0,8:33.98,8:33.36,8:33.63,8:33.44:6088502:5.3:0,8:37.55:10239798:6.94:4,8:38.63:3930412:6.94:0,8:37.83:3640661:6.94:0,8:38.15:2289076:6.94:0,8:38.955:2553204:6.94:0,8:39.68:2290778:6.94:0,8:39.95:1817379:6.94:0,8:38.88:2713073:6.94:0,8:0:0:6.94:0,8:41.1:3686223:6.94:0
Z_112219C31.5,0:34.97,0:33.18,0:32.57,0.0,0:33.98,0:33.36,2:33.63,2:33.44:6088502:3.8:0,2:37.55:10239798:3.8:0,2:38.63:3930412:3.8:0,2:37.83:3640661:3.8:0,2:38.15:2289076:3.8:0,2:38.955:2553204:3.8:0,2:39.68:2290778:3.8:0,2:39.95:1817379:3.8:0,2:38.88:2713073:3.8:0,2:0:0:3.8:0,2:41.1:3686223:3.8:0
Z_112219C32,35:34.97,34:33.18,34:32.57,34.0,34:33.98,34:33.36,34:33.63,34:33.44:6088502:3.79:1,35:37.55:10239798:5.7:4,34:38.63:3930412:5.7:0,34:37.83:3640661:5.7:0,34:38.15:2289076:5.7:0,34:38.955:2553204:5.7:0,34:39.68:2290778:7.6:2,34:39.95:1817379:7.6:0,32:38.88:2713073:6.0:0,U:0:0:U:U,32:41.1:3686223:6.0:0
Z_112219C32.5,2:34.97,7:33.18,7:32.57,7.0,7:33.98,7:33.36,7:33.63,7:33.44:6088502:3.3:0,7:37.55:10239798:3.3:0,7:38.63:3930412:3.3:0,7:37.83:3640661:3.3:0,7:38.15:2289076:3.3:0,7:38.955:2553204:3.3:0,7:39.68:2290778:3.3:0,7:39.95:1817379:3.3:0,U:38.88:2713073:U:U,7:0:0:6.1:0,7:41.1:3686223:6.1:0
Z_112219C33,16:34.97,11:33.18,11:32.57,11.0,11:33.98,11:33.36,11:33.63,11:33.44:6088502:3.56:10,7:37.55:10239798:3.56:0,7:38.63:3930412:3.56:0,7:37.83:3640661:3.56:0,7:38.15:2289076:3.56:0,7:38.955:2553204:3.56:0,7:39.68:2290778:3.56:0,7:39.95:1817379:3.56:0,6:38.88:2713073:3.56:0,U:0:0:U:U,6:41.1:3686223:7.84:1
Z_112219C33.5,5:34.97,5:33.18,5:32.57,5.0,5:33.98,13:33.36,13:33.63,13:33.44:6088502:2.54:4,14:37.55:10239798:4.52:3,14:38.63:3930412:4.5:10,11:37.83:3640661:4.5:0,11:38.15:2289076:4.5:0,11:38.955:2553204:4.5:0,11:39.68:2290778:5.5:1,11:39.95:1817379:5.5:0,11:38.88:2713073:5.5:0,11:0:0:5.5:0,11:41.1:3686223:7.61:3
Z_112219C34,1:34.97,4:33.18,4:32.57,4.0,4:33.98,53:33.36,38:33.63,30:33.44:6088502:2.5:28,44:37.55:10239798:4.07:13,38:38.63:3930412:4.07:0,38:37.83:3640661:4.07:0,38:38.15:2289076:4.07:0,38:38.955:2553204:4.86:14,27:39.68:2290778:4.86:0,27:39.95:1817379:4.86:0,27:38.88:2713073:4.42:3,27:0:0:5.0:2,27:41.1:3686223:5.0:0
Z_112219C34.5,0:34.97,0:33.18,0:32.57,0.0,1:33.98,3:33.36,3:33.63,3:33.44:6088502:2.45:1,4:37.55:10239798:3.3:2,6:38.63:3930412:3.6:1,5:37.83:3640661:3.6:0,5:38.15:2289076:3.6:0,5:38.955:2553204:3.6:0,5:39.68:2290778:3.6:0,5:39.95:1817379:3.6:0,4:38.88:2713073:4.67:0,4:0:0:4.67:0,4:41.1:3686223:6.51:1
