Symbol,20191028,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
Z_112219P30,211:34.97,224:33.18,223:32.57,223.0,223:33.98,225:33.36,237:33.63,237:33.44:6088502:1.15:50,281:37.55:10239798:0.1:1,281:38.63:3930412:0.1:2,279:37.83:3640661:0.1:0,279:38.15:2289076:0.1:0,279:38.955:2553204:0.05:1,278:39.68:2290778:0.05:0,278:39.95:1817379:0.05:0,278:38.88:2713073:0.05:0,278:39.79:3361193:0.05:0,278:41.1:3686223:0.05:0
Z_112219P30.5,5:34.97,5:33.18,5:32.57,5.0,5:33.98,5:33.36,5:33.63,5:33.44:6088502:1.42:0,5:37.55:10239798:1.42:0,5:38.63:3930412:1.42:0,5:37.83:3640661:1.42:0,5:38.15:2289076:1.42:0,5:38.955:2553204:1.42:0,5:39.68:2290778:1.42:0,5:39.95:1817379:1.42:0,5:38.88:2713073:1.42:0,U:39.79:3361193:U:U,5:41.1:3686223:1.42:0
Z_112219P31,0:34.97,0:33.18,0:32.57,0.0,0:33.98,0:33.36,0:33.63,0:33.44:6088502:0.0:0,0:37.55:10239798:0.0:0,0:38.63:3930412:0.0:0,0:37.83:3640661:0.0:0,0:38.15:2289076:0.0:0,0:38.955:2553204:0.0:0,0:39.68:2290778:0.0:0,0:39.95:1817379:0.0:0,0:38.88:2713073:0.0:0,0:39.79:3361193:0.0:0,0:41.1:3686223:0.0:0
Z_112219P31.5,4:34.97,12:33.18,12:32.57,12.0,12:33.98,12:33.36,12:33.63,12:33.44:6088502:1.69:1,13:37.55:10239798:0.12:3,12:38.63:3930412:0.09:2,12:37.83:3640661:0.09:0,12:38.15:2289076:0.09:0,12:38.955:2553204:0.09:0,12:39.68:2290778:0.09:0,U:39.95:1817379::,12:38.88:2713073:0.09:0,12:39.79:3361193:0.09:0,U:41.1:3686223:.7:U
Z_112219P32,2:34.97,33:33.18,33:32.57,33.0,33:33.98,33:33.36,33:33.63,33:33.44:6088502:1.85:0,33:37.55:10239798:0.15:20,32:38.63:3930412:0.15:0,32:37.83:3640661:0.15:0,32:38.15:2289076:0.15:0,32:38.955:2553204:0.15:0,32:39.68:2290778:0.15:0,32:39.95:1817379:0.15:0,U:38.88:2713073:U:U,32:39.79:3361193:0.15:0,32:41.1:3686223:0.15:0
Z_112219P32.5,0:34.97,5:33.18,5:32.57,5.0,7:33.98,7:33.36,7:33.63,7:33.44:6088502:2.1:3,8:37.55:10239798:2.1:0,8:38.63:3930412:2.1:0,8:37.83:3640661:2.1:0,8:38.15:2289076:2.1:0,8:38.955:2553204:2.1:0,8:39.68:2290778:2.1:0,8:39.95:1817379:2.1:0,8:38.88:2713073:2.1:0,8:39.79:3361193:2.1:0,U:41.1:3686223:U:U
Z_112219P33,10:34.97,11:33.18,11:32.57,11.0,21:33.98,21:33.36,21:33.63,21:33.44:6088502:2.3:52,61:37.55:10239798:0.2:25,75:38.63:3930412:0.1:23,84:37.83:3640661:0.1:0,84:38.15:2289076:0.1:0,84:38.955:2553204:0.1:0,84:39.68:2290778:0.1:0,84:39.95:1817379:0.1:0,84:38.88:2713073:0.1:0,84:39.79:3361193:0.1:0,84:41.1:3686223:0.1:0
Z_112219P33.5,10:34.97,10:33.18,10:32.57,10.0,10:33.98,10:33.36,10:33.63,11:33.44:6088502:2.51:17,20:37.55:10239798:2.51:0,20:38.63:3930412:0.17:1,20:37.83:3640661:0.17:0,20:38.15:2289076:0.17:0,20:38.955:2553204:0.17:0,20:39.68:2290778:0.05:1,19:39.95:1817379:0.05:0,19:38.88:2713073:0.05:0,19:39.79:3361193:0.05:0,19:41.1:3686223:0.05:0
Z_112219P34,2:34.97,20:33.18,20:32.57,20.0,20:33.98,20:33.36,19:33.63,19:33.44:6088502:2.5:4,22:37.55:10239798:0.4:6,25:38.63:3930412:0.23:3,26:37.83:3640661:0.23:0,26:38.15:2289076:0.23:0,26:38.955:2553204:0.05:1,27:39.68:2290778:0.05:0,27:39.95:1817379:0.05:0,27:38.88:2713073:0.05:0,27:39.79:3361193:0.05:0,27:41.1:3686223:0.05:0
Z_112219P34.5,0:34.97,0:33.18,0:32.57,0.0,0:33.98,0:33.36,0:33.63,0:33.44:6088502:2.8:1,1:37.55:10239798:2.8:0,1:38.63:3930412:2.8:0,1:37.83:3640661:2.8:0,1:38.15:2289076:2.8:0,1:38.955:2553204:2.8:0,1:39.68:2290778:2.8:0,1:39.95:1817379:2.8:0,1:38.88:2713073:2.8:0,1:39.79:3361193:2.8:0,1:41.1:3686223:2.8:0
Z_112219P35,20:34.97,20:33.18,20:32.57,20.0,20:33.98,20:33.36,20:33.63,20:33.44:6088502:3.2:24,40:37.55:10239798:0.67:1,40:38.63:3930412:0.33:13,51:37.83:3640661:0.3:2,51:38.15:2289076:0.25:1,50:38.955:2553204:0.08:10,44:39.68:2290778:0.04:8,36:39.95:1817379:0.04:0,36:38.88:2713073:0.04:0,36:39.79:3361193:0.04:0,36:41.1:3686223:0.02:2
