Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ABBV_120619P89,0,0,0,0,0,0,0,0,0,0,0,0,0,0:87.64:4676686:2.61:10,10:88.59:6687424:1.61:40,30:267.1:21677338:1.82:95,62:89.02:7469818:1.38:63,114:87.21:5829334:2.7:9,113:86.52:9181283:3.13:636,671:86.05:7728326:3.25:47
AAPL_011720C260,0,0,0,0,0,0,0,0,0,0,0,0,0,14940:262.64:21334111:10.92:1911,15475:265.17:20776877:12.75:4102,16873:267.1:21677338:13.75:1804,17066:266.29:18678302:13.45:681,17115:261.44:16973993:11.25:3384,16997:262.08:16676013:11.25:58084,102238:261.78:16115226:10.35:918
AAPL_011720P260,0,0,0,0,0,0,0,0,0,0,0,0,0,6395:262.64:21334111:7.4:1439,6410:265.17:20776877:6.25:1246,6878:267.1:21677338:5.8:1302,7100:266.29:18678304:6.35:667,7106:261.5199:16982676:7.8:1698,6338:262.13:16683603:8.07:58105,93159:261.78:16115496:7.8:409
ADI_120619P101,0:108.83,0:108.06,0:108.25,0:105.41,0.0,2:111.39,2:113.45,2:112.03,2:112.29:1139209:0.62:100,102:112.84:742939:0.65:1,103:112.54:1074959:0.65:0,103:113.465:931615:0.65:0,103:114.215:1347192:0.65:0,103:113.32:1057322:0.65:0,103:113.29:1468122:0.65:0,103:111.97:1845236:0.65:0,103:111.71:1870559:0.65:0,103:109.02:1730369:0.65:0,103:108.78:2903049:0.95:1195,1247:110.65:1783548:0.95:0
AMAT_112219C57,133:56.95,179:55.52,182:55.21,182:53.85,199.0,191:55.74,213:55.88,212:55.82,271:55.94:4486875:1.22:69,292:56.01:2751868:1.16:134,335:56.56:4679493:1.34:309,565:56.41:4338835:1.25:285,681:57.205:4900445:1.58:1097,903:56.96:6359030:1.43:776,1372:62.06:28249678:5.05:691,871:62.35:10413069:5.94:29,843:60.94:9869628:4.0:515,114:59.99:7263894:2.45:70,134:56.44:13931633:0.21:1360,685:55.94:8613681:0.01:345
AMAT_122019C58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:62.35:10413069:4.73:1,1:60.94:9869628:3.88:86,67:59.99:7263894:3.05:7,60:56.44:13931633:1.25:381,330:55.94:8613681:0.98:877
AMD_112919C55,0,0,0,0,0,0,0,0:35.93,0:36.28:54283963:0.0:0,0:36.24:36598568:0.0:0,0:36.2815:40862499:0.0:0,0:36.705:55552154:0.0:0,0:37.505:65981891:0.0:0,0:38.35:64319311:0.0:0,0:38.56:61729774:0.03:1,1:39.88:66156575:0.03:1,2:41.29:94208266:0.02:12,11:40.97:65648250:0.03:50,56:0:0:0.03:269,301:39.15:56735084:0.02:286
AMD_112919C39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:41.29:94208266:2.58:282,119:40.97:65648250:1.83:271,456:0:0:0.99:9263,2520:39.15:56735084:0.6:5340
FB_120619C205,0,0,17:189.31,71:191.65,100.0,141:194.72,267:194.32,265:191.55,281:190.42:13457662:0.79:122,303:190.84:10699151:0.61:80,315:189.61:8294973:0.44:88,294:194.47:17147000:1.12:295,438:193.19:10835199:0.78:107,469:193.15:8701600:0.7:124,496:195.1:11152427:0.73:451,561:197.4:16173621:1.27:1124,1086:199.32:19053471:1.66:627,1311:196.765:8949327:1.04:2752,1950:197.93:11843418:1.26:21394,9801:198.82:9951062:1.12:7760
FB_120619C220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54:195.1:11152427:0.1:0,54:197.4:16173621:0.16:41,80:199.32:19053471:0.17:35,96:196.765:8949327:0.17:0,96:197.93:11843418:0.12:551,577:198.82:9951062:0.1:2
